rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,actual
0.40005934,0.17611784,0.48668897,0.63191247,0.53542876,0.56040704,0.6121235,0.6117121,0.080957465,0.2978242,0.46698305,0.47093865,0.6919679,0.41418374,0.43716967,0.29401994,0.4198676,0.4400047,0.5709366,0.05494237,0.58251953
0.23061353,0.15313661,0.3728988,0.46641892,0.4205076,0.47410834,0.36876333,0.6657808,0.16286597,0.39177614,0.26502973,0.37153783,0.56260777,0.182692,0.15481028,0.28609914,0.21012893,0.24424998,0.42879188,0.080421686,0.5298103
0.36906397,0.1495142,0.44146717,0.5684873,0.5117456,0.5556048,0.47804323,0.52917504,0.08812923,0.28979877,0.40518087,0.48039517,0.64694995,0.20374902,0.16446644,0.29223022,0.2806817,0.349698,0.46196088,0.06510723,0.60087943
0.23352134,0.18722816,0.3598087,0.45091903,0.41019022,0.4531713,0.4165657,0.6367557,0.16889378,0.36809888,0.2617818,0.34867963,0.5234657,0.21712245,0.19031009,0.23399663,0.2035937,0.24468024,0.43366554,0.11265689,0.42199284
0.18741393,0.38909388,0.25295478,0.36748222,0.29722065,0.32601127,0.31267703,0.7645111,0.3451278,0.51989996,0.24581158,0.27544743,0.50137436,0.15823685,0.23967123,0.6160639,0.22234884,0.21982588,0.33972135,0.18353295,0.75419074
0.18566403,0.26689118,0.31261912,0.40684912,0.36110646,0.39845216,0.3785905,0.7873377,0.22831333,0.5132169,0.2331048,0.29838902,0.64762425,0.17559765,0.14622787,0.34812945,0.16350621,0.2401398,0.3912826,0.13719547,0.5993622
0.5136709,0.15976346,0.5735186,0.66665316,0.61539614,0.6472163,0.5556085,0.4117747,0.05400794,0.23865671,0.54383343,0.5858554,0.70456874,0.41133845,0.45702544,0.371307,0.45454893,0.4729709,0.60566306,0.11961448,0.5890107
0.20380008,0.6067353,0.22023162,0.3105259,0.23266065,0.32292882,0.49762705,0.77333504,0.5025608,0.5935355,0.25588602,0.23358399,0.67027104,0.3539586,0.29971242,0.50334907,0.25863084,0.4172132,0.30932254,0.36914986,0.7169524
0.45774686,0.099905536,0.5581513,0.6259658,0.60760915,0.6232198,0.5127778,0.41770765,0.05737195,0.21887663,0.47457132,0.551204,0.59092605,0.3959638,0.40518764,0.17098036,0.43155614,0.42936248,0.60918474,0.118049085,0.39888155
0.06877604,0.77535516,0.03352682,0.085250914,0.09546813,0.08326095,0.13631612,0.9288791,0.73310643,0.82017875,0.022741072,0.048077684,0.1602156,0.15465339,0.119881354,0.8178583,0.076401055,0.061955288,0.09734036,0.61717415,0.71035933
