size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,effort_D
0.5385364,0.591524,0.24884179,0.27118504,0.13516605,0.094150126,0.16995484,0.40825087,0.47967046,0.1602237,0.06031698,0.5011284,0.10342789,0.1424582,0.2945928,0.43965685,0.47399154,0.2140367,0.19329795,0.24791484,0.12031156,0.15902561,0.09007797,0.17909817,0.27965686,0.23933303,0.24694529,0.19632863,0.16864583,0.1887199,0.76169467
0.61193115,0.66863006,0.22993472,0.24055623,0.17690045,0.13813877,0.23062348,0.45024508,0.4907678,0.1368182,0.009997338,0.5792517,0.06180191,0.115083694,0.21594334,0.5054318,0.55083764,0.23283374,0.23558459,0.2938931,0.09999174,0.2052874,0.037655994,0.16614337,0.29207534,0.20003118,0.24402621,0.17920898,0.23560926,0.21647194,0.8256383
0.45809457,0.5650264,0.09504002,0.10822506,0.03380394,0.049160063,0.07380086,0.2762852,0.414289,0.028553784,0.03209448,0.46300793,0.080608696,0.01233986,0.33311364,0.37061125,0.44900984,0.031660646,0.014145762,0.0704819,0.030058563,0.046685576,0.10163024,0.062189743,0.15836713,0.31645483,0.12081339,0.121258125,0.023040056,0.08635056,0.82726103
0.4294421,0.49138576,0.29678264,0.2283643,0.19165254,0.20283991,0.1804806,0.32214195,0.4691734,0.23252383,0.18340605,0.46030903,0.22024217,0.19595674,0.41674492,0.3318292,0.42898855,0.24676299,0.15822697,0.1540053,0.23613715,0.11879486,0.21111128,0.20819049,0.24257213,0.3399527,0.20690677,0.2708153,0.11105865,0.23944375,0.6013036
0.25410116,0.29146296,0.3400611,0.36626,0.30906445,0.28235906,0.26477104,0.21889947,0.34844565,0.3371227,0.34380782,0.2239925,0.3979633,0.34136292,0.6032182,0.21302068,0.36092493,0.3028155,0.20077005,0.10024993,0.3227427,0.12904698,0.4245681,0.2685092,0.18438274,0.5129038,0.2188012,0.29306877,0.124340564,0.3286083,0.50291765
0.37932852,0.48581848,0.13658103,0.1408922,0.07616931,0.102173924,0.09074432,0.21071586,0.35202605,0.0830009,0.11595839,0.36339945,0.14791292,0.06289506,0.41092438,0.27381167,0.43205518,0.065193,0.052939743,0.031753838,0.05410418,0.03216076,0.17099082,0.051105723,0.103036106,0.39593342,0.100539304,0.09721747,0.028638333,0.14685732,0.7157494
1.0,0.95627916,0.7584218,0.6916653,0.886449,0.8449196,1.0,1.0,0.7638904,0.6812953,0.19722855,1.0,0.292099,0.56729424,0.033815295,1.0,0.9482858,1.0,1.0,0.99999994,0.66069597,1.0,0.086979985,0.57781714,0.7327527,0.0,0.6784714,0.63603073,1.0,1.0,0.71364737
0.4564398,0.5574646,0.11556435,0.11914985,0.05785954,0.07336366,0.09158704,0.27576366,0.41258016,0.04451832,0.04412806,0.4644069,0.103459746,0.025804937,0.33388987,0.36780882,0.44812033,0.055400014,0.03052184,0.08064896,0.050807327,0.047385097,0.10853699,0.06383051,0.16386372,0.31652597,0.13045105,0.12945732,0.03555259,0.09743133,0.81171644
0.48951262,0.57210755,0.12147778,0.15665205,0.043255866,0.02956295,0.0895915,0.31045574,0.42581132,0.035660744,0.024383754,0.46697986,0.05976242,0.03866321,0.30505535,0.38237703,0.45035595,0.06709069,0.053825855,0.117392644,0.028021634,0.053513348,0.084502,0.08672412,0.19388449,0.28351054,0.15707588,0.12780431,0.059606582,0.08706945,0.8417398
0.2725832,0.30067572,0.46715268,0.35100543,0.39186805,0.36490256,0.29654205,0.22887537,0.30689174,0.44964293,0.37852263,0.29851118,0.46759045,0.39201555,0.5423503,0.14617491,0.39545107,0.41806954,0.311748,0.14445801,0.41917968,0.1960792,0.41230342,0.27907592,0.1820474,0.49780294,0.25360233,0.22885545,0.17520836,0.2982624,0.4159125
