rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,actual
0.18927492,0.12054749,0.17015743,0.108597584,0.2248646,0.17961898,0.7276975,0.15983361,0.23030968,0.11389458,0.3152871,0.116719656,0.11763715,0.10836771,0.845645,0.10994591,0.16543555,0.46423173,0.17975682,0.075306565,0.121576905,0.102411,0.65331584,0.10323618,0.11031608
0.3139412,0.23544371,0.28165013,0.2379717,0.35413617,0.30966198,0.6816569,0.21757957,0.34789622,0.22249681,0.437962,0.24377394,0.23616374,0.2423952,0.944807,0.20137814,0.29096717,0.29381424,0.3250239,0.14195031,0.10283941,0.22356385,0.4891386,0.22916645,0.23070355
0.07027866,0.034990408,0.046079926,0.032405116,0.108727165,0.03473779,0.6914664,0.044315442,0.054945685,0.029997837,0.09661491,0.03793156,0.041548662,0.02639687,0.38270122,0.088476345,0.025833389,0.8520413,0.026835185,0.2447305,0.47434038,0.026561253,0.9153756,0.02142056,0.03649104
0.078723095,0.06330591,0.0543138,0.030292418,0.122790694,0.0815837,0.80678135,0.11986625,0.14591621,0.09019646,0.19708952,0.021652745,0.13067088,0.03724833,0.7277137,0.05979222,0.100471176,0.4847362,0.10900159,0.13653153,0.04520476,0.054352194,0.7198554,0.052721202,0.018845923
0.104380235,0.062564455,0.07059931,0.04862708,0.13277625,0.09021918,0.7149021,0.08145055,0.12352319,0.074312076,0.19127382,0.04768081,0.047057055,0.030102849,0.6867521,0.06684846,0.092020094,0.55324,0.093395725,0.10296458,0.14026147,0.046878457,0.73328155,0.037256546,0.052368317
0.12070435,0.056473844,0.09935704,0.03537833,0.17648858,0.11538488,0.868972,0.12822044,0.16633177,0.059329916,0.25343543,0.03974075,0.100316755,0.061900437,0.7819265,0.06057495,0.10955133,0.6095452,0.122784965,0.10196534,0.1275869,0.046827294,0.75671464,0.049921952,0.043581408
0.32955745,0.25467855,0.2889149,0.25786608,0.36737168,0.32224548,0.59366995,0.22396287,0.35705853,0.2509175,0.4329931,0.26009575,0.22385123,0.24523054,0.83491224,0.23622629,0.2851201,0.27153105,0.32682377,0.19845352,0.14603436,0.24277717,0.47188988,0.24115336,0.24737011
0.4625321,0.3979379,0.44544592,0.40328625,0.4856068,0.45549086,0.43315747,0.38203907,0.48097658,0.40146068,0.5468309,0.42143518,0.38995272,0.40186143,0.9296955,0.3732891,0.4422935,0.26686293,0.47807842,0.32397386,0.30241746,0.3879671,0.38425952,0.38659337,0.39283618
0.41764137,0.36799768,0.38751963,0.36181432,0.4473744,0.41380802,0.51445466,0.33830297,0.44729528,0.3469677,0.51996756,0.36488572,0.3478599,0.35687917,0.8888204,0.32588285,0.39788282,0.25636286,0.42021543,0.26357904,0.23654097,0.34606102,0.40269527,0.34529522,0.3667311
0.24788319,0.16791697,0.2038829,0.16484705,0.2904432,0.24608508,0.673548,0.1378932,0.28594524,0.15574147,0.38552964,0.17575252,0.14177296,0.14910139,0.88897085,0.1381765,0.21691227,0.3306,0.23485039,0.04591751,0.04927206,0.14469354,0.52609646,0.14499395,0.16822515
