size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,effort_D
0.38271162,0.32805893,0.25101313,0.23974708,0.12318432,0.03406155,0.061360255,0.39393637,0.17385875,0.2863394,0.09042135,0.27076256,0.33517158,0.23419288,0.07183805,0.250547,0.15833217,0.28992546,0.33411023,0.34981912,0.42743614,0.2534212,0.15526628,0.26801237,0.1343559,0.019061565,0.028835095,0.08689215,0.14426754,0.088582814,0.100893095,0.03579837,0.3257779,0.32138607,0.08995112,0.05903826,0.50104284
0.3332664,0.27959237,0.23768857,0.24517766,0.099126995,0.058163315,0.08856399,0.39412996,0.22182351,0.24133267,0.073064804,0.21502194,0.31546396,0.18092257,0.07679355,0.19387686,0.14504927,0.25206578,0.29156926,0.33779052,0.39276192,0.20765005,0.14230496,0.23145327,0.17075242,0.02921781,0.05384983,0.1050284,0.17558134,0.09257406,0.12468656,0.04676369,0.3058629,0.27790853,0.105783924,0.079003334,0.466152
0.15121442,0.1248284,0.20965353,0.20809117,0.18883812,0.16415071,0.27088702,0.40786958,0.36361575,0.124029264,0.03490475,0.18996489,0.3309327,0.120372385,0.21838823,0.10191679,0.2620424,0.30346107,0.23372418,0.4128526,0.36200085,0.08553876,0.15505397,0.20983478,0.28372288,0.13826385,0.12137048,0.15689254,0.26133314,0.15293121,0.23671299,0.16167393,0.33654833,0.30668113,0.15265611,0.20575273,0.25806788
0.047163688,0.05165669,0.34040102,0.39564285,0.49343157,0.5857005,0.586265,0.35560688,0.43766934,0.15242936,0.455756,0.19147027,0.50161487,0.2013799,0.41001788,0.095308185,0.44259655,0.31539166,0.2099309,0.40129384,0.38438192,0.20619528,0.46009243,0.25925514,0.5770317,0.42131957,0.388327,0.39956275,0.5782511,0.34523976,0.53312594,0.48715788,0.3863176,0.33642122,0.33734307,0.4802895,0.15736045
0.3483807,0.26770383,0.35063013,0.32925543,0.20693076,0.13284627,0.20837082,0.5297557,0.33898142,0.2966054,0.0494017,0.32558453,0.4390387,0.2539496,0.21192878,0.25244612,0.33503246,0.41750246,0.37179992,0.4869605,0.46170884,0.23511909,0.25551695,0.35740957,0.19809443,0.07390198,0.06696722,0.11548013,0.16303262,0.12637833,0.15411913,0.118740946,0.43962044,0.44789782,0.08764377,0.12175733,0.4289363
0.07613549,0.057804476,0.05687344,0.116282314,0.092983365,0.17026478,0.23271166,0.25710115,0.28017008,0.044279784,0.12515312,0.045896083,0.24035999,0.031338394,0.10887766,0.050236434,0.06157884,0.071909755,0.08804205,0.22754094,0.23485398,0.030930802,0.025898337,0.04097587,0.29110208,0.13346267,0.14638984,0.16597337,0.33280125,0.12625551,0.25802127,0.103524,0.15299149,0.11485723,0.19125113,0.1976463,0.2527069
0.0981998,0.05671026,0.08338848,0.110880494,0.061267674,0.17054623,0.26058125,0.27738637,0.2901116,0.051996633,0.101225406,0.028412089,0.26449302,0.018401504,0.12595472,0.03373298,0.07523078,0.09956077,0.08757931,0.25606385,0.25183514,0.05089633,0.06135422,0.057335407,0.29228714,0.13057575,0.1499615,0.17598861,0.3310007,0.14001638,0.25905958,0.11969456,0.16605468,0.1340167,0.17476042,0.19665901,0.23706192
0.33845672,0.21799263,0.21768656,0.44234982,0.16485673,0.1931948,0.20021276,0.6292473,0.47578102,0.21344058,0.06966686,0.23515838,0.5193147,0.22799852,0.2696298,0.4057595,0.27223605,0.32483947,0.34786567,0.5109125,0.439969,0.14450045,0.15167189,0.34042588,0.14003882,0.014818311,0.014208384,0.0034717396,0.101608075,0.0023539662,0.08743067,0.014443368,0.4605682,0.36811033,0.004388498,0.12036979,0.48649994
0.2194213,0.17619509,0.23602536,0.18856302,0.17754859,0.1566456,0.21587835,0.35820082,0.26521462,0.18150608,0.09304088,0.20614547,0.3423703,0.15909848,0.12114027,0.10191846,0.18548793,0.2584362,0.22838694,0.34166437,0.38992298,0.17074569,0.16906863,0.17346942,0.28044382,0.10658854,0.113297105,0.16610599,0.26459414,0.14586723,0.21606503,0.15637717,0.2903626,0.29621884,0.16202886,0.16874701,0.32610863
0.15269372,0.108003795,0.11363447,0.16904393,0.091398895,0.13815624,0.21280642,0.33343875,0.28676552,0.098301515,0.10897681,0.09350988,0.29871362,0.07128486,0.09925544,0.07459152,0.079566,0.13606954,0.15455252,0.28299713,0.3111773,0.09393932,0.07209772,0.09042755,0.2541285,0.08075678,0.093533546,0.13463971,0.27820736,0.09206194,0.2026202,0.06665346,0.21810399,0.17983139,0.13580297,0.14584711,0.30094278
