TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,MI_PointsAdjust_Entities,Effort
0.6094667,0.37609422,0.64286053,0.11044286,0.2772688,0.15630211,0.5240206,0.8130294,0.19792613,0.2646449
0.84601873,0.8968453,0.8307117,0.3964703,0.40014046,0.43487027,0.7712708,0.79832304,0.3598912,0.69704854
0.38704485,0.459674,0.533045,0.056597564,0.69972146,0.26230252,0.5955542,0.8108076,0.5027268,0.28131485
0.122953154,0.44061446,0.8271102,0.24088573,0.14070717,0.19288756,0.58665746,0.8769572,0.11362067,0.2787633
0.7360174,0.3862605,0.7676333,0.23209292,0.23198542,0.25364336,0.608811,0.8680389,0.21065722,0.33883256
0.74714077,0.83307624,0.5646629,0.09759901,0.10599609,0.014556715,0.16090031,0.8994633,0.029778525,0.093671806
0.5095335,0.8149874,0.4795453,0.14944878,0.15870714,0.11348374,0.66674143,0.8126565,0.09447242,0.3509597
0.5977299,0.4155987,0.58494747,0.10658375,0.4761144,0.20599028,0.64989495,0.8232807,0.32528415,0.28440964
0.704261,0.49894622,0.66999984,0.17650944,0.5039926,0.25872678,0.6945793,0.8471409,0.30882257,0.30611467
0.06955287,0.6280371,0.69563156,0.18001924,0.2563807,0.24995685,0.7030848,0.7777754,0.16195773,0.34950203
0.6768728,0.81258005,0.6300678,0.1535314,0.26183593,0.2050178,0.32799923,0.80554706,0.18672499,0.24186867
0.3087951,0.26465663,0.843544,0.14709094,0.14507267,0.11723019,0.57308185,0.6911095,0.07520571,0.2958616
0.7296377,0.806121,0.7915322,0.6384483,0.33582026,0.65786433,0.6533277,0.43880677,0.5037345,0.4605836
0.80846375,0.83907324,0.7186223,0.3318541,0.37172765,0.38871267,0.68035364,0.80754554,0.35459286,0.6622347
0.18847325,0.8303061,0.5649354,0.1704117,0.10252037,0.09353352,0.58005905,0.77496684,0.053228088,0.27336395
0.5327246,0.6818539,0.7104511,0.04961756,0.8305088,0.35453618,0.52558565,0.8128577,0.6295852,0.3471884
0.44562912,0.14512879,0.83763266,0.106303036,0.076048054,0.07887048,0.55789965,0.600417,0.05755699,0.2652474
0.18223996,0.46910763,0.669261,0.2643791,0.16753271,0.27489203,0.67143196,0.8744949,0.15392107,0.3456258
0.06972691,0.38184166,0.7146449,0.2276115,0.19222154,0.1572612,0.20777375,0.83479387,0.07130155,0.28061587
0.9902103,0.6600206,0.7851654,0.3429426,0.39568478,0.43534103,0.88973224,0.92180526,0.34405178,0.709726
0.120660044,0.33419412,0.46656972,0.19207677,0.1333265,0.118110314,0.36144552,0.7869066,0.08099317,0.29065618
0.5668004,0.3494984,0.60092646,0.17973506,0.1275332,0.15593295,0.58345395,0.8159224,0.11232674,0.33703655
0.89491874,0.8779547,0.8519399,0.9169675,0.50150853,0.98762214,0.8076528,0.8467077,0.9042504,1.0
0.49999744,0.80057234,0.7695447,0.1723389,0.26228264,0.19090666,0.30080366,0.42243892,0.17138535,0.22175711
0.08353758,0.41751155,0.44180608,0.26722032,0.19490667,0.19689226,0.21101265,1.0,0.09908195,0.3268823
0.23669721,0.16614202,0.86052215,0.11464172,0.12335686,0.0855875,0.59952277,0.47682917,0.042156026,0.21714255
0.73857045,0.5653208,0.7192501,0.18224081,0.35987628,0.24385172,0.74665076,0.87869215,0.23475225,0.49275306
0.23509936,0.5637387,0.6139747,0.21164589,0.28955203,0.27285132,0.8151547,0.83633566,0.22723293,0.388431
0.72520894,0.56468874,0.675851,0.12606874,0.5172329,0.24715722,0.74886405,0.90239704,0.3675893,0.41619962
0.12124705,0.4169756,0.7793129,0.15734893,0.18700686,0.16963875,0.5553851,0.8370497,0.13847457,0.25115907
0.26791894,0.8935356,0.74954116,0.17796564,0.18632147,0.15661831,0.6587293,0.7742127,0.0985761,0.3512208
0.14212981,0.7109911,0.7860559,0.0,0.5147987,0.16960296,0.24397725,0.5943426,0.36978915,0.31639045
0.094836935,0.5995151,0.6931015,0.23328102,0.17993133,0.20795397,0.38794172,0.790048,0.10396539,0.28996307
0.18935382,0.36678576,0.8066342,0.17432204,0.17996623,0.16451082,0.54825616,0.8361932,0.12776037,0.27546516
0.7982158,0.594293,0.7508373,0.24483243,0.31206304,0.30545217,0.6388788,0.82003367,0.24348736,0.51960003
0.88892716,0.77623224,0.7165084,0.35782868,0.3944037,0.42738026,0.82829386,0.8312262,0.3496308,0.73465395
0.44206566,0.6200507,0.55533326,0.17665634,0.21133085,0.18238164,0.7545279,0.8742684,0.12983796,0.43630126
0.43305403,0.7225928,0.67352986,0.17385614,0.21622752,0.14913476,0.32468846,0.41488236,0.11535686,0.15773976
0.29484636,0.60160863,0.6377396,0.113809034,0.107731774,0.06657284,0.19427511,0.7018459,0.031407822,0.21943215
0.6854003,0.42541096,0.72933424,0.17362392,0.22132088,0.19199239,0.53253585,0.7417631,0.13028316,0.25204703
0.83457464,0.33147317,0.7532392,0.1841004,0.11332987,0.18024573,0.60163677,0.8925159,0.11584127,0.30014768
0.33132815,0.68267685,0.79955363,0.34558904,0.23197897,0.37611666,0.59416026,0.55244094,0.22140826,0.44812894
0.51950884,0.65016174,0.60756516,0.16907221,0.30915385,0.22932357,0.8422655,0.87438285,0.21703924,0.48766857
0.12023478,0.80757433,0.86692846,0.111271136,0.14140527,0.07843466,0.15785742,0.63908756,0.09106016,0.26516715
0.46710587,0.8458138,0.3957336,0.13757409,0.09194542,0.038536265,0.5835102,0.8304659,0.041023776,0.26388243
0.13935949,0.44765806,0.6468631,0.22073497,0.1810331,0.20820732,0.49718118,0.93532383,0.15404363,0.30966446
0.8973458,0.63362336,0.63743895,0.19745277,0.36984056,0.2961033,0.8654175,0.8569565,0.26181847,0.6346427
0.5268604,0.77964175,0.7415916,0.36250824,0.28028512,0.3867106,0.8203697,0.776972,0.23584242,0.6191406
0.68320537,0.77372247,0.4913726,0.12498337,0.21059823,0.1405039,0.6805346,0.78947103,0.10716484,0.38863522
0.7641553,0.7046464,0.64694625,0.10989041,0.17742983,0.11021344,0.3684063,0.8843682,0.08480721,0.21017426
0.5933813,0.26444313,0.8050606,0.15191402,0.12040433,0.1565117,0.6433994,0.78081965,0.11188197,0.36378473
0.7466537,0.81212884,0.5366794,0.1592452,0.26240343,0.16905293,0.7387402,0.82350147,0.1374715,0.4882598
0.7309602,0.38671285,0.63575166,0.12685758,0.31324768,0.16734877,0.64315724,0.8695594,0.22282681,0.30285358
0.029174924,0.8454092,0.73717666,0.1610393,0.18087663,0.15594889,0.5951083,0.6948197,0.09763804,0.31318662
0.79125017,0.7502736,0.72108567,0.20975937,0.36402994,0.2833875,0.57825243,0.80901885,0.27660275,0.4957472
0.096834324,0.35855597,0.7567402,0.17325468,0.12669784,0.11138488,0.3937083,0.8059521,0.06986832,0.26333892
0.6264707,0.46250784,0.82397234,0.40351784,0.21989025,0.4025781,0.7099182,0.69650984,0.23136543,0.442824
0.8256911,0.52598095,0.6206721,0.1959671,0.34405828,0.2864372,0.7910056,0.86034155,0.24124147,0.5150241
0.83712876,0.58547235,0.7061781,0.25371623,0.29210293,0.30840716,0.819094,0.8867817,0.21714813,0.65708375
0.040151075,0.342809,0.8718549,0.13275549,0.13972957,0.074603915,0.41408926,0.76023424,0.09270713,0.26965046
0.07408314,0.28064016,0.8438555,0.10230068,0.12429367,0.053464256,0.33030415,0.6841028,0.067100264,0.24725127
0.4923452,0.49522465,0.5353884,0.21231875,0.20671383,0.22227672,0.7299045,0.8182522,0.16817808,0.47349578
0.5609819,0.3714104,0.43944663,0.14963903,0.14152941,0.115888886,0.47894633,0.7820065,0.08109242,0.28515917
0.10717225,0.76089364,0.59514153,0.20278642,0.13261974,0.17024033,0.6414333,0.8322877,0.09570147,0.32565495
0.4650008,0.6977153,0.7203263,0.11472042,0.21719243,0.116239406,0.22538996,0.59508294,0.116251014,0.21626656
0.38510704,0.3512963,0.67625964,0.1702588,0.14011875,0.15341687,0.56103206,0.86799026,0.14125589,0.35104156
0.2167729,0.65198815,0.7741633,0.20150737,0.22773866,0.21907294,0.5350256,0.65660524,0.14972916,0.3641081
0.7846351,0.78380895,0.7270591,0.7015155,0.38723838,0.76228434,0.6682911,0.6363413,0.65842766,0.68199027
0.08963359,0.42080212,0.8523135,0.105521925,0.1579834,0.094401985,0.3591,0.75358725,0.100207016,0.24669495
0.05526953,0.8462314,0.78667796,0.17117974,0.16217059,0.1424686,0.4741832,0.7421612,0.087638475,0.31488526
0.39703912,0.8050684,0.49125677,0.16648416,0.12587766,0.09223204,0.5524173,0.8361746,0.0703692,0.29154286
0.7189055,0.7753122,0.6796037,0.22612377,0.33449888,0.29098672,0.26585978,0.6391411,0.313467,0.21099062
0.75822,0.8084846,0.72242355,0.4672262,0.4136418,0.53122985,0.5445057,0.6818656,0.5014831,0.4932752
0.43553382,0.8715087,0.53668714,0.18362175,0.26166642,0.22322106,0.89183867,0.8039863,0.16676451,0.55844843
0.7870763,0.5567937,0.70117474,0.2736959,0.26665413,0.308952,0.8384009,0.8557532,0.18316564,0.6217289
0.49363685,0.8237094,0.78296614,0.23740555,0.27950394,0.24983333,0.46564376,0.68697524,0.1985119,0.3484474
0.56790066,0.8363829,0.64273226,0.14006653,0.19334783,0.13325721,0.5687343,0.872064,0.10989471,0.33002433
0.3260141,0.8235299,0.4761115,0.14906676,0.110919334,0.06455809,0.61712784,0.8007722,0.06204617,0.29146975
0.61325324,0.8467941,0.43469745,0.111660495,0.091132686,0.010408354,0.42169374,0.8443372,0.0034986958,0.17989627
0.59506685,0.5877507,0.7923609,0.13205284,0.20524319,0.14102423,0.50513065,0.90389144,0.09162522,0.32344663
0.10002233,0.39977175,0.62152684,0.1881526,0.17299938,0.15403007,0.4751581,0.86752033,0.10886934,0.28664613
0.0685166,0.5624531,0.85462236,0.11734986,0.2184555,0.120009325,0.34672937,0.7837205,0.114544004,0.28134823
0.66820794,0.74527067,0.72390425,0.3972243,0.38449693,0.454397,0.5279401,0.73372203,0.43755063,0.56943667
0.6680174,0.71276206,0.705377,0.5477196,0.3356893,0.61300945,0.55484927,0.5326431,0.5144761,0.48752084
0.12941468,0.8516382,0.8049797,0.0994775,0.14591154,0.08029297,0.2050544,0.3279658,0.08767867,0.16379298
0.8390983,0.86973536,0.67355704,0.21116729,0.33582932,0.23664881,0.67492604,0.8275708,0.21813123,0.5498342
0.059757125,0.75027037,0.64431274,0.15583044,0.32642525,0.23646812,0.7654754,0.7203506,0.21078569,0.4134382
0.5543346,0.7350022,0.57873905,0.123086,0.1034821,0.06171546,0.268027,0.82333845,0.051205,0.20363034
0.5852029,0.95245594,0.8894918,0.19583152,0.31458992,0.21657993,0.5982193,0.808178,0.18781902,0.461837
0.3389904,0.4097578,0.79035366,0.23186646,0.15299445,0.20629363,0.66269284,0.90834725,0.14186084,0.34827292
0.67110497,0.79189473,0.7530112,0.44390696,0.37564594,0.49501753,0.39716047,0.72887516,0.48799807,0.4306233
0.1401148,0.1930457,0.92029345,0.14548162,0.07914285,0.06702707,0.5664093,0.6549042,0.059528608,0.25825456
0.16034341,0.8219152,0.6682825,0.16139325,0.16075742,0.14553382,0.5502792,0.77205336,0.09842728,0.2959509
0.46478528,0.65934205,0.714682,0.3576702,0.44175905,0.4782247,0.6382298,0.6704847,0.43336466,0.542693
0.48482382,0.7659246,0.57776535,0.11952811,0.103019044,0.037887536,0.25312823,0.7834999,0.034650043,0.16313483
0.43539518,0.81226045,0.6102464,0.19178851,0.36921144,0.2661182,0.9022346,0.75223565,0.22133267,0.5787954
0.057808615,0.5640923,0.6768798,0.19153875,0.1753176,0.19943172,0.55868727,0.8471118,0.13346708,0.28608352
0.6140481,0.7876509,0.77836096,0.3599379,0.43117863,0.45362914,0.7260186,0.718938,0.37968987,0.6417011
0.43837678,0.41288385,0.29838622,0.17791031,0.14800915,0.1314722,0.43401968,0.79544353,0.073040925,0.29341072
0.5318765,0.4209786,0.3778814,0.20523389,0.18286823,0.18024571,0.61315376,0.7778183,0.09183848,0.38220367
0.1262989,0.41774583,0.65563655,0.13828942,0.33897436,0.17264226,0.4417625,0.82714516,0.21811949,0.28456062
0.60312057,0.69154906,0.41120097,0.13505651,0.23231651,0.124864474,0.5446443,0.7678118,0.086344264,0.27559727
0.7437321,0.71315014,0.78499854,0.17329185,0.35274488,0.22675331,0.7851056,0.93645203,0.21596771,0.52104306
0.044932187,0.7967055,0.8547262,0.11273825,0.13122413,0.083669886,0.2833532,0.663207,0.07320916,0.28356025
0.80865115,0.88251275,0.7260859,0.2854815,0.38815802,0.35422486,0.7780231,0.8229164,0.3092726,0.67388034
0.42456847,0.61513054,0.48940358,0.1516368,0.11065864,0.092204295,0.44064033,0.81599414,0.06373105,0.26552546
0.41157138,0.62387747,0.8095765,0.316819,0.2908991,0.36670715,0.8301075,0.8321949,0.24813536,0.58736086
0.5409616,0.72321916,0.7105256,0.4530475,0.23543507,0.4732373,0.5583431,0.33318922,0.33429953,0.35649994
0.04607114,0.51196826,0.6559833,0.1992892,0.15696087,0.19668956,0.5986304,0.85846746,0.13549088,0.2879125
0.68910706,0.79962707,0.5767672,0.11934585,0.18385804,0.10979537,0.4766869,0.8513479,0.09521758,0.2818911
0.79633456,0.82039595,0.6413168,0.12062232,0.31915843,0.15935764,0.5813635,0.8824301,0.20404251,0.35545796
0.8170479,0.8239657,0.7204234,0.41960168,0.45653474,0.49440756,0.6526063,0.7419467,0.5173926,0.68982875
0.7571303,0.8442478,0.80440474,0.19098578,0.30503547,0.22636998,0.6215625,0.8705975,0.18294378,0.4836059
0.39790314,0.0,0.79361165,0.08346559,0.05183815,0.011659343,0.6270114,0.4777614,0.032672048,0.22656903
0.10947116,0.7813036,0.72766495,0.17600721,0.14331579,0.12555349,0.4697119,0.8111078,0.08335154,0.3041373
0.29813445,0.36124414,0.74906063,0.15840858,0.17213944,0.1367015,0.5341788,0.8101034,0.14528653,0.2865632
0.44836682,0.5652747,0.5355232,0.17091393,0.19694571,0.16979569,0.69711953,0.8738767,0.14610799,0.37724182
0.71491134,0.74524283,0.73431486,0.4065838,0.43966395,0.4609417,0.47062242,0.7326791,0.5025076,0.54864025
0.6891269,0.6408997,0.48248088,0.13829617,0.28447807,0.15539864,0.655798,0.8238827,0.17162548,0.3609027
0.36360914,0.38660827,0.5059921,0.15784605,0.19014356,0.16489242,0.61243075,0.8536346,0.15572985,0.35795778
0.6510076,0.7118859,0.4794119,0.10405324,0.12938043,0.075553164,0.37903428,0.8032787,0.053800125,0.21874657
0.77951884,0.82109576,0.6401038,0.26209146,0.3331344,0.2972853,0.7876567,0.8014229,0.23391251,0.66479015
0.74217665,0.5518099,0.59562695,0.08886715,0.1515145,0.10029239,0.35015738,0.8293805,0.06733963,0.178279
0.56189483,0.834054,0.80008626,0.12593178,0.81122047,0.39607656,0.38258475,0.74486995,0.65721524,0.45055693
0.8846924,0.6671313,0.6891677,0.19871505,0.54284537,0.34551764,0.8112478,0.83097863,0.3300769,0.5251447
0.062860265,0.66823417,0.78154397,0.11107164,0.124580786,0.053295143,0.24357116,0.41623053,0.04645938,0.2382941
0.7465825,0.7785917,0.7616675,0.6318163,0.36573052,0.7128093,0.723187,0.6169498,0.54435885,0.7237561
0.096050195,0.38176987,0.81233215,0.14806509,0.16389678,0.102127194,0.40053284,0.8103069,0.09274602,0.267025
0.30763555,0.7879736,0.43369582,0.19559744,0.13342641,0.15017413,0.63746816,0.8572333,0.09579706,0.34363717
0.06366661,0.11146811,0.87163687,0.13521585,0.082872406,0.050952114,0.6022799,0.55158126,0.05695736,0.22441587
0.13056606,0.5141983,0.7540192,0.17165266,0.16051152,0.13685639,0.51108,0.4243501,0.06590685,0.20479827
0.7266532,0.7338595,0.577857,0.08799847,0.15759431,0.11444043,0.33147353,0.8604468,0.07560762,0.19739503
0.23878622,0.46450335,0.8444735,0.3606524,0.20162785,0.3344888,0.7329915,0.83606315,0.19133462,0.49922407
0.32215458,0.5830641,0.5964843,0.13241717,0.5710209,0.29110935,0.78318673,0.7903836,0.373731,0.44297472
0.11804564,0.34502703,0.9039309,0.1557747,0.15013523,0.13632295,0.5413622,0.8110299,0.10326707,0.27207148
0.80322045,0.35675475,0.6434759,0.19212106,0.12438302,0.16698872,0.5706573,0.8533286,0.09331345,0.29315174
0.10595823,0.40686595,0.5786144,0.22037634,0.14837669,0.1769266,0.39801973,0.892933,0.09319253,0.29069513
0.7864022,0.6915208,0.76348704,0.22008836,0.32757986,0.2646112,0.7504418,0.8956547,0.240054,0.5459507
0.5095391,0.847911,0.7074734,0.20503595,0.2645429,0.19449566,0.60245144,0.7710202,0.16222054,0.43831062
0.7899715,0.6728034,0.80148363,0.2870242,0.30306417,0.34247106,0.5055918,0.70759785,0.24614127,0.36971185
0.801226,0.5961813,0.7244599,0.25920564,0.40746725,0.3640193,0.73861617,0.83645445,0.30578414,0.60135233
0.12764373,0.73637664,0.6383203,0.18395081,0.13748237,0.1433576,0.4740101,0.7751864,0.07657952,0.31796274
0.17316185,0.47208995,0.56553143,0.20060529,0.17779846,0.19239901,0.6611155,0.87489736,0.15153526,0.32272243
0.23102227,0.39060295,0.57706165,0.18896273,0.1891433,0.18128946,0.55477077,0.8656676,0.1490049,0.32050395
0.8659729,0.5159419,0.78295326,0.35437667,0.28482267,0.41546845,0.8747598,0.9105822,0.28079382,0.72420835
0.17501809,0.65602267,0.69709074,0.14469737,0.31058425,0.1823001,0.67117715,0.8785224,0.18665352,0.32303968
0.057943262,0.6321797,0.888492,0.04450787,0.3146981,0.09957724,0.28673822,0.6752319,0.18039511,0.28816426
0.69519085,0.7701066,0.7148198,0.18958743,0.23884372,0.17389056,0.3784132,0.3794354,0.13243775,0.039102003
0.78810555,0.5050539,0.6779976,0.15849599,0.23575437,0.20085247,0.62630796,0.88473773,0.15882438,0.3734808
0.24405454,0.87444454,0.52756554,0.18544407,0.09727857,0.11298858,0.6350289,0.8156084,0.06399604,0.30606827
0.086235955,0.70745647,0.8067106,0.07378094,0.32376903,0.15128377,0.40963578,0.6947588,0.21398742,0.3111689
0.12071089,0.8306307,0.57423866,0.19805571,0.11581231,0.14492786,0.6542838,0.7890637,0.09108526,0.31742573
0.6897427,0.7985218,0.5859802,0.098763674,0.15803567,0.10805211,0.35993856,0.8529495,0.08541888,0.21390766
0.0447236,0.42037314,0.82344794,0.051943433,0.13171722,0.025135972,0.24812722,0.43453524,0.06317826,0.23521341
0.18281169,0.8307501,0.67200094,0.1826784,0.12513253,0.11281668,0.54161394,0.8309449,0.07441015,0.31170544
0.7540855,0.79148275,0.6147196,0.099146426,0.25477213,0.16005526,0.51976275,0.81311405,0.13284814,0.34758723
0.019781362,0.1985942,0.8363184,0.088906564,0.1237039,0.030633144,0.43990213,0.5607356,0.06701836,0.22808486
0.780292,0.8429135,0.6506685,0.11745649,0.25781068,0.14873369,0.4474526,0.86211765,0.13797109,0.32971784
0.10808429,0.32152754,0.3527851,0.21277726,0.16407984,0.15983333,0.41941714,0.8295107,0.0940751,0.29368657
0.05292502,0.33127365,0.31794623,0.24136814,0.17117,0.16770977,0.33695638,0.847831,0.070792645,0.298917
0.2961356,0.36053112,0.59364676,0.14703089,0.22079632,0.15095937,0.47573906,0.8151686,0.14854316,0.27833667
0.5883044,0.70439786,0.79494035,0.2697578,0.49033743,0.4042419,0.8679906,0.8490046,0.37986782,0.6060599
0.7145086,0.7728088,0.88507414,0.2965762,0.33268857,0.3372608,0.69653404,0.77656615,0.25233203,0.55905586
0.19701445,0.65796924,0.71255815,0.24494702,0.1996176,0.25636363,0.5551425,0.44500655,0.14127299,0.281218
0.8574706,0.48742336,0.7113153,0.14296344,0.17550883,0.1690184,0.4500926,0.9040091,0.08972751,0.14378852
0.7306489,0.73807603,0.5389266,0.09815853,0.12620384,0.0812206,0.35340285,0.8422364,0.054341555,0.21011655
0.19605453,0.6476375,0.7757296,0.11923713,0.19661665,0.116370276,0.4352314,0.81968606,0.10268673,0.3103432
0.66042763,0.76511675,0.65260863,0.15278165,0.29371953,0.209262,0.41450036,0.7721494,0.20799798,0.35603714
0.66168714,0.8187805,0.57406163,0.08232179,0.33118677,0.13258559,0.5075569,0.77736914,0.16785961,0.3700871
0.7001636,0.7814075,0.7318467,0.7300097,0.4415791,0.8242062,0.37795797,0.5730244,0.90850365,0.58447266
0.57158643,0.6502856,0.5441108,0.09775847,0.75127405,0.34324968,0.6975778,0.7816971,0.49863088,0.4067161
0.1726614,0.51699865,0.7566792,0.12063207,0.13418365,0.093395755,0.1399852,0.701636,0.061206136,0.25359294
0.10106175,0.764399,0.8138864,0.11175172,0.13951278,0.095277645,0.2379264,0.5956351,0.07382103,0.2788312
0.6525716,0.2490387,0.7121819,0.196013,0.06412086,0.16015387,0.60936564,0.7994245,0.119204246,0.35453543
0.7620556,0.43950284,0.61393327,0.15809484,0.36189866,0.23981687,0.78601927,0.87962747,0.23786984,0.41748944
0.70923096,0.72989476,0.63305324,0.15010154,0.2660905,0.18960698,0.25903386,0.73970366,0.18355452,0.22891112
0.5894074,0.6734724,0.7724505,0.09269353,0.3655153,0.16660707,0.41661334,0.75166106,0.21843778,0.31951648
0.14862554,0.60911036,0.82366085,0.19977938,0.18230192,0.19202304,0.6299932,0.85018206,0.1037069,0.31809685
0.63540924,0.7748406,0.54388094,0.09355223,0.16480194,0.06172943,0.36350822,0.8216679,0.07058779,0.18986802
0.6256964,0.7629652,0.35090894,0.112901255,0.13260251,0.06671105,0.60361755,0.7747266,0.05046347,0.31051782
0.77548176,0.31858057,0.70414746,0.1093658,0.16418253,0.12924275,0.5050714,0.859022,0.093052015,0.19562271
0.36918336,0.33430588,0.56385535,0.13115823,0.12369367,0.08662855,0.40744722,0.76083887,0.08179993,0.27149016
0.551748,0.774741,0.5396815,0.13947824,0.11050131,0.0620953,0.38380283,0.8419738,0.048184175,0.21999994
0.13415438,0.4080454,0.63339067,0.19356526,0.17863832,0.15416847,0.48226857,0.87466717,0.11058674,0.30062497
0.69411063,0.41702002,0.75177324,0.10834186,0.15955473,0.10427634,0.37629908,0.87020206,0.08101805,0.20076661
0.35843307,0.12881391,0.78354335,0.09317552,0.035671376,0.026052075,0.40325952,0.6376354,0.05904647,0.26081395
0.23515974,0.109559216,0.7916238,0.0971432,0.0,0.015688956,0.34292758,0.5607954,0.053117927,0.2780299
0.09160407,0.87095785,0.57683057,0.22613266,0.17373858,0.2055255,0.81717217,0.76558065,0.106460154,0.38107127
0.12515885,0.464037,0.93771744,0.07471763,0.16184744,0.03156001,0.08913858,0.69694346,0.062184352,0.29619557
0.64465815,0.7873383,0.7198359,0.1132391,0.17798296,0.094034754,0.41905284,0.9261968,0.087048836,0.27521574
0.65652895,0.5198582,0.7146163,0.2177276,0.2675194,0.25977746,0.5126409,0.75120807,0.19544981,0.35868806
0.11686821,0.42956012,0.6012535,0.16581078,0.28360617,0.20394872,0.51906013,0.8757564,0.20423104,0.2874356
0.617862,0.744268,0.72207475,0.24234642,0.68090147,0.51528955,0.7096606,0.71223134,0.5839887,0.6409695
0.6751622,0.7372663,0.7098029,0.36210454,0.3643633,0.41913617,0.33088374,0.6704856,0.42791122,0.35146707
0.03676086,0.38790748,0.8803204,0.116123855,0.18200997,0.09387311,0.32737517,0.7958454,0.09073609,0.26502785
0.12446004,0.35743597,0.38749826,0.18876669,0.17943197,0.16587129,0.38795924,0.85062027,0.12340355,0.2904088
0.043283574,0.49778318,0.75572395,0.16684541,0.22045077,0.20154442,0.4630214,0.830961,0.13035125,0.27906284
0.17662264,0.60756516,0.35980523,0.19735187,0.2118383,0.22423163,0.63003916,0.8015149,0.14264348,0.34471363
0.7775285,0.84491235,0.7329547,0.394463,0.4755264,0.4959138,0.6796892,0.7725489,0.5071641,0.722314
0.09054103,0.40697938,0.6420595,0.1706201,0.18005557,0.1266493,0.35870793,0.83589375,0.08707036,0.27116382
0.6784701,0.7773381,0.80169976,0.51483154,0.3497951,0.56537837,0.6623971,0.6002687,0.41782585,0.5830184
0.27449003,0.839864,0.5208088,0.16901103,0.10061884,0.06887448,0.6032373,0.80950934,0.058528744,0.2797509
0.5159241,0.7170413,0.6900156,0.37961727,0.26487643,0.3771098,0.41303623,0.41635874,0.3171492,0.29664582
0.52554333,0.5629792,0.76747215,0.28386593,0.2906348,0.34070542,0.8539623,0.8587582,0.21600741,0.5685943
0.70627165,0.7379371,0.6670218,0.1254994,0.21802437,0.14687464,0.27411905,0.7771169,0.12458843,0.16980559
0.5627384,0.670132,0.7822907,0.2612335,0.49069858,0.39814928,0.72749364,0.76259446,0.4020393,0.5727092
0.23233107,0.83019006,0.87568736,0.12272781,0.21539573,0.116731755,0.3796253,0.66609126,0.115062095,0.32579955
0.7358899,0.70138335,0.61733913,0.3247199,0.41858786,0.39612934,0.8688856,0.80410105,0.34625158,0.6725385
0.28615022,0.2933227,0.72101146,0.13622597,0.1470027,0.09623818,0.57719654,0.24931163,0.068706445,0.10991666
0.9592169,0.91176087,0.75210345,0.46116686,0.4588648,0.54188603,0.86845785,0.8049891,0.49808133,0.90053344
0.76257944,0.83948517,0.5881858,0.093348995,0.11322864,0.04158499,0.21551317,0.905087,0.041993536,0.12909167
0.5092426,0.38808244,0.7227273,0.13653782,0.19765598,0.14970006,0.4563743,0.86189985,0.1436469,0.2632287
