size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_duration_D_t07,effort_D
0.14214535,0.16522688,0.58807606,0.6577182,0.34924468,0.6544228,0.8010556,0.27479166,0.8082836,0.02916462,0.49327242,0.15208843,0.6911788,0.110171154,0.27981725,0.07815012,0.16188467,0.17397079,0.25194168,0.1918232,0.34036106,0.43393144,0.49177042,0.06519337,0.56124365,0.6054628,0.29136735,0.17101109,0.12320901,0.10559036,0.1842907
0.063187614,0.11694027,0.44769844,0.5436629,0.14552203,0.4109589,0.6672101,0.09242703,0.7127541,0.0132671,0.20850295,0.05061379,0.47229952,0.02754502,0.052238554,0.08083159,0.050368845,0.06968075,0.29820183,0.1304654,0.11692959,0.15429065,0.35352072,0.049666718,0.70924294,0.7126833,0.31240118,0.11717059,0.04371748,0.08731525,0.19256116
0.06430562,0.12582749,0.47045088,0.5404413,0.14258343,0.42844164,0.6733022,0.07086493,0.7040415,0.017020404,0.22247559,0.0632015,0.4852638,0.020224437,0.06986308,0.0920396,0.0856141,0.08268681,0.2937832,0.12528902,0.10692525,0.21125117,0.357814,0.048718587,0.6874839,0.71995175,0.282316,0.10455126,0.02975399,0.09456815,0.20529461
0.08565166,0.099910274,0.32210466,0.3397426,0.12947056,0.20501561,0.44973785,0.032379135,0.5111804,0.1667759,0.16387379,0.16681415,0.27909338,0.12944658,0.09823182,0.2480692,0.13221577,0.15218997,0.4262661,0.034366503,0.07242197,0.13288274,0.32049778,0.15499859,0.6714426,0.66038847,0.22939822,0.06398045,0.07053367,0.115181476,0.16654491
0.19430616,0.2417282,0.51958025,0.5847645,0.11635989,0.45406163,0.63568425,0.21112694,0.75313765,0.05346699,0.17611855,0.106331915,0.4391691,0.05767797,0.12824956,0.1575282,0.11651361,0.053387195,0.20920481,0.22509296,0.12717944,0.1616812,0.26178148,0.082506105,0.80883896,0.78185576,0.40955025,0.24426179,0.19569471,0.20696086,0.3057849
0.07041908,0.11907569,0.38803744,0.40511793,0.101523936,0.27866033,0.5229219,0.0019309819,0.5703335,0.107015565,0.13178456,0.12037557,0.34497684,0.05789821,0.047785968,0.20036507,0.12106413,0.115107626,0.3893528,0.057344683,0.042811036,0.16702327,0.30198056,0.11963184,0.7190483,0.71250904,0.2513064,0.06674209,0.032989845,0.11238841,0.19578993
0.06541933,0.08146193,0.43157285,0.5281901,0.16587418,0.41146934,0.6433495,0.10716607,0.69504595,0.055312008,0.27339017,0.110235095,0.5147338,0.08168112,0.13283196,0.11652024,0.0683659,0.16945332,0.35375333,0.11778914,0.1922099,0.12765542,0.3902367,0.08176227,0.6580782,0.6294569,0.28025764,0.10572991,0.057066165,0.07770985,0.17653891
0.29095078,0.2719032,0.6509781,0.7061042,0.31415305,0.6520942,0.7343225,0.39514822,0.84166,0.072410464,0.43365163,0.20481566,0.6007725,0.11985429,0.3383424,0.13808925,0.19805399,0.11971688,0.13591844,0.22825971,0.34030157,0.40062192,0.30102402,0.058589414,0.7116147,0.6815229,0.38409206,0.31345826,0.25830066,0.23514082,0.31927103
0.177368,0.17239031,0.59177524,0.69390345,0.3511248,0.615919,0.7677102,0.33547103,0.83003056,0.029577494,0.46044213,0.12210196,0.6245899,0.11922954,0.28109106,0.061582122,0.12637141,0.1429835,0.22794914,0.20580158,0.3364638,0.34459868,0.42106733,0.052564487,0.6010323,0.62830186,0.34319782,0.22202507,0.17659277,0.1335873,0.2110832
0.12869476,0.13680847,0.44788975,0.49315536,0.10062933,0.3707255,0.5748683,0.08776562,0.66549146,0.080304906,0.17794997,0.12110579,0.42913538,0.045471177,0.07960555,0.16677164,0.09712827,0.12042424,0.30852127,0.11589211,0.11491513,0.10683608,0.26174518,0.063301906,0.698295,0.70130783,0.28790084,0.12164387,0.087091096,0.13097715,0.21438453
