TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,MI_PointsAdjust_Entities,MI_PointsAdjust_Language,MI_PointsAdjust_Envergure,MI_Entities_Language,Effort
0.09143342,0.45494384,0.6666105,0.21989611,0.31625012,0.19818057,0.46262372,0.76214373,0.10627376,0.30359936,0.17462665,0.34467408,0.15380555
0.1354692,0.6414533,0.7129178,0.2134416,0.70750535,0.36208007,0.33475184,0.6494082,0.4021749,0.51062894,0.23663642,0.6958662,0.1987645
0.56039363,0.41716185,0.66554123,0.22840382,0.4494988,0.2886713,0.6438049,0.86196095,0.19682227,0.45951855,0.30665314,0.53338647,0.22522438
0.61391777,0.8433117,0.35948426,0.27204102,0.19622631,0.21980883,0.5432874,0.78004444,0.069257535,0.36287576,0.18796992,0.23951548,0.2802127
0.7764117,0.6381926,0.52486175,0.3163625,0.45025483,0.30419457,0.6171428,0.8134012,0.19866213,0.5224464,0.29202908,0.56887615,0.32964894
0.6973789,0.54056376,0.709762,0.29951447,0.40718105,0.3138286,0.35498416,0.6688449,0.21177834,0.42281276,0.16991639,0.4082857,0.23279327
0.036970075,0.5548554,0.79942644,0.4254802,0.31296822,0.29697722,0.52392095,0.84595054,0.09957034,0.47323975,0.30015802,0.36199605,0.26237532
0.6126639,0.85152894,0.32367042,0.23798688,0.18535791,0.20653677,0.5454438,0.80029273,0.06785983,0.34904975,0.18336365,0.23137808,0.27067327
0.04999523,0.78532666,0.8178633,0.2042683,0.24814124,0.16613978,0.24449506,0.53792447,0.08788481,0.2148163,0.08754633,0.20361477,0.15103745
0.5608033,0.777759,0.38790536,0.3505656,0.21121703,0.23707527,0.47218972,0.7749578,0.09394259,0.42864442,0.18645477,0.28074685,0.30271834
0.3667765,0.7761807,0.6954092,0.20459853,0.12052987,0.09382616,0.18221904,0.7010908,0.0502262,0.18217267,0.06451031,0.13327676,0.09127092
0.15913889,0.39265186,0.59664536,0.3786304,0.21286054,0.25080323,0.5576303,0.7218647,0.094259985,0.37035134,0.24576992,0.20235023,0.19944459
0.08316949,0.79168695,0.8746313,0.25477546,0.10630697,0.08363231,0.19213805,0.3564284,0.06887029,0.1553842,0.039869815,0.07916483,0.11179707
0.5910259,0.51116884,0.5777075,0.15505925,0.8670635,0.38273528,0.615341,0.80087686,0.5194676,0.63126826,0.4036107,0.92388535,0.22784048
0.8830096,0.43838245,0.60139173,0.16228534,0.8171624,0.38188013,0.9227751,0.9189493,0.43332523,0.6430439,0.5259429,0.9635865,0.3479715
0.6237563,0.5246396,0.50096995,0.5074216,0.20258024,0.35745344,0.47337252,0.7548501,0.13928896,0.5551308,0.27841276,0.27115297,0.3347077
0.054746807,0.6381112,0.79447967,0.2449373,0.35650262,0.2174799,0.36141568,0.6455335,0.14804524,0.33753628,0.16086704,0.37217546,0.21316287
0.78823096,0.89830893,0.7225845,0.5421088,0.5351826,0.5081862,0.8468048,0.67263985,0.3666979,0.7158768,0.70915556,0.542452,0.7555237
0.7689333,0.8678429,0.708253,0.26367635,0.47864795,0.3126224,0.5241658,0.77532685,0.22274268,0.47381166,0.24674276,0.5293527,0.33847374
0.0493139,0.48402566,0.48426208,0.36486927,0.21551053,0.20180175,0.43567735,0.74204785,0.08747061,0.35136443,0.1702986,0.21373013,0.20405239
0.11386357,0.41692328,0.6597396,0.16373917,0.2882075,0.17208287,0.5235587,0.7293072,0.10831431,0.24006167,0.17372283,0.30802426,0.14009827
0.028580505,0.70486057,0.6242355,0.45651257,0.28641695,0.3011458,0.60264564,0.7977327,0.10680456,0.47409937,0.33288306,0.27667347,0.29452083
0.6992925,0.6254343,0.37537068,0.42456192,0.1569253,0.27920583,0.27879196,0.646253,0.12337198,0.42487118,0.15649816,0.20516452,0.23685673
0.8321545,0.7454481,0.69395363,0.63847524,0.4387771,0.5807974,0.7435787,0.18589604,0.35895407,0.24565756,0.59855974,0.167561,0.34549907
0.15770257,0.65705717,0.5767399,0.21350014,0.20471144,0.14750116,0.2614178,0.61871475,0.06519019,0.22082886,0.07943894,0.18686302,0.13707235
0.5808679,0.715578,0.8134006,0.7161793,0.46891582,0.5357715,0.6743929,0.78827214,0.4757237,0.86123407,0.7402211,0.52738994,0.7418893
0.054859072,0.53324115,0.7265067,0.39361382,0.28130186,0.2666648,0.5208687,0.7952302,0.10179736,0.42131045,0.26770496,0.3095064,0.26707992
0.23253366,0.560009,0.7756175,0.5254863,0.22637169,0.34540898,0.69190264,0.62117696,0.11557165,0.44488788,0.42209312,0.21255574,0.29695332
0.7932862,0.8399388,0.5583203,0.3234856,0.32801515,0.28871357,0.56592333,0.73217535,0.15335862,0.47616267,0.2579921,0.42613414,0.39049917
0.4815605,0.74021006,0.41629893,0.36852455,0.25707483,0.27858078,0.549232,0.7326759,0.11129003,0.4547481,0.2657326,0.30462873,0.37585872
0.8096028,0.82147,0.59528065,0.42638063,0.44422957,0.3920555,0.6150425,0.73194015,0.27053225,0.66303694,0.4063859,0.5718722,0.6214975
0.19646657,0.77522004,0.53122157,0.272637,0.25146317,0.20660123,0.567396,0.73684555,0.07748538,0.35427207,0.2004134,0.2719524,0.25732353
0.035798162,0.877699,0.65104413,0.2942005,0.2525751,0.21762033,0.6543989,0.57321846,0.092102475,0.31642294,0.2569971,0.21136281,0.22974351
0.3187286,0.67748034,0.80505884,0.80149364,0.18828173,0.5327903,0.6656539,0.6264021,0.18325545,0.6600518,0.6258288,0.17971793,0.43873957
0.7776789,0.7185536,0.84226495,0.59098244,0.3911385,0.434588,0.5964549,0.7758125,0.3401939,0.68387496,0.49682117,0.4623094,0.55571985
0.84825176,0.8060282,0.6303529,0.24646392,0.25876892,0.1812123,0.38941252,0.76312906,0.08845935,0.33551928,0.13097176,0.27991906,0.17656997
0.44204128,0.36425942,0.71751237,0.27784085,0.22622292,0.21785074,0.51505965,0.75493854,0.07726209,0.33539936,0.19108075,0.25951603,0.20644552
0.35942984,0.47047347,0.45831275,0.20322424,0.160478,0.105681956,0.29628518,0.68288016,0.05278992,0.1973815,0.0771215,0.12420001,0.08269276
0.4371538,0.38255763,0.3514976,0.2688334,0.20700231,0.15714455,0.45292968,0.67211366,0.08332445,0.25490272,0.14944443,0.16933674,0.1465774
0.08699857,0.48920196,0.67265177,0.4094228,0.26463658,0.26500934,0.46300018,0.87232524,0.07767126,0.41127083,0.22222812,0.2974774,0.24739823
0.8516513,0.8881931,0.7974919,0.8859817,0.72703457,0.791035,0.66970026,0.6801176,0.71640015,0.87883663,0.91255873,0.54236734,0.9240691
0.8443303,0.65218985,0.7892716,0.5014611,0.3584956,0.40420273,0.67571104,0.8382931,0.2655856,0.69312394,0.4741072,0.50670785,0.57004386
0.64722526,0.864115,0.7899577,0.5993157,0.4345089,0.5110249,0.7777241,0.6219627,0.31532684,0.62134784,0.67296124,0.3947929,0.6067623
0.7977152,0.33834934,0.66822624,0.29599702,0.22577916,0.23239669,0.54998374,0.79939103,0.08804101,0.34651718,0.20606467,0.24944532,0.1716893
0.05297828,0.5565046,0.5379293,0.23626581,0.20967272,0.16309738,0.38682693,0.75980914,0.07622933,0.3008811,0.09619505,0.24260968,0.1899215
0.47244927,0.73103607,0.22271755,0.35144752,0.20598166,0.23073056,0.4242857,0.6886122,0.09520997,0.39640838,0.15833935,0.22334918,0.31873542
0.6114781,0.23804158,0.71283954,0.27233487,0.12929268,0.17279005,0.3711667,0.5907515,0.060100593,0.25969237,0.12667932,0.10255307,0.11659019
0.7844512,0.34622473,0.52881795,0.26293892,0.21478699,0.17957278,0.38235134,0.6491786,0.072891384,0.28695923,0.14007987,0.18849862,0.09571592
0.5543478,0.39772952,0.48387071,0.18117419,0.76906466,0.3982894,0.8596059,0.7918029,0.4944263,0.6267162,0.5218898,0.8715343,0.11248441
0.36568528,0.79920346,0.7015935,0.24354662,0.14591852,0.11028436,0.24534006,0.45879957,0.07058954,0.15799147,0.06438016,0.09344695,0.042809624
0.22915429,0.728623,0.80420995,0.4026751,0.24253401,0.27689198,0.6711839,0.62311536,0.106111094,0.37253565,0.33011693,0.24522367,0.26906824
0.70446235,0.8595853,0.792472,0.45454013,0.38259685,0.40621525,0.8576657,0.68102336,0.23372811,0.5313096,0.58086616,0.40661126,0.5782575
0.42081156,0.19509012,0.6877929,0.007908732,0.17209885,0.045994885,0.48050988,0.4965878,0.027673926,0.0,0.06666323,0.058806453,0.07339592
