size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t08,MI_size_D_t14,MI_size_D_t03,MI_size_D_t10,MI_size_D_app,MI_duration_D_t07,effort_D
0.16571742,0.12779635,0.6137378,0.35295653,0.45886862,0.44994187,0.51889426,0.2844785,0.28277948,0.20789647,0.50194,0.25304016,0.6577328,0.4282421,0.38506746,0.20180465,0.15922543,0.3749095,0.45371702,0.37346047,0.174828,0.07851221,0.3700053,0.34824032,0.12478537,0.19413692,0.28345832,0.102938384,0.16710623,0.09794234,0.14300823,0.20811683,0.15670273,0.22705603,0.21067919,0.32306284,0.28013888
0.054320496,0.052409824,0.5147574,0.1599405,0.24309045,0.21583669,0.28507036,0.17361781,0.11923935,0.11186564,0.34045187,0.32003048,0.47911274,0.19623318,0.18087587,0.087038025,0.0677605,0.16988492,0.22432306,0.30306402,0.13017592,0.10382911,0.21800327,0.16491872,0.0284088,0.05861913,0.12935889,0.10686709,0.048957326,0.043812,0.020087972,0.3640495,0.06932782,0.21427552,0.16200446,0.49425173,0.28711313
0.113548234,0.023677941,0.6031779,0.3572718,0.56122124,0.48661143,0.63061345,0.33583483,0.311704,0.22467393,0.7243073,0.2742826,0.73853916,0.4047987,0.49017262,0.21403171,0.16838458,0.43830416,0.59584594,0.4086846,0.32894906,0.1623185,0.5510493,0.5644377,0.039171576,0.14115542,0.29486704,0.026811987,0.12344084,0.090626806,0.14594512,0.317516,0.06976858,0.17115882,0.17752223,0.29823506,0.28273854
0.024243142,0.03502385,0.43455148,0.06615901,0.07986438,0.08837594,0.16939549,0.20910022,0.13057238,0.037777513,0.21805379,0.32397684,0.3895806,0.05122021,0.07112965,0.019275889,0.019242287,0.08642173,0.08356646,0.2997448,0.10271296,0.13293818,0.1264813,0.07042229,0.026183808,0.021216232,0.08380516,0.11847669,0.026546432,0.082025275,0.025938258,0.5030368,0.017743692,0.23102032,0.17270659,0.5793052,0.34055012
0.09001388,0.14037217,0.45605057,0.13324825,0.15239316,0.14662547,0.21769781,0.29101261,0.22260395,0.07134625,0.19068703,0.31275636,0.38880122,0.100367874,0.11341077,0.06861456,0.0708811,0.17024693,0.1391863,0.35977694,0.12064272,0.15886997,0.14382374,0.11308825,0.15085971,0.112813056,0.14682963,0.1545072,0.091850445,0.14716226,0.102606654,0.48635817,0.086717725,0.28735548,0.21768191,0.61682445,0.37064654
0.13697726,0.19996946,0.45313963,0.14896421,0.13339788,0.14739184,0.19424252,0.31855068,0.2591456,0.10198641,0.14472076,0.27929407,0.364309,0.13799906,0.107022226,0.10206269,0.068232775,0.17425907,0.11452821,0.37732953,0.12480295,0.14815451,0.11810449,0.08841804,0.22011168,0.15714566,0.17264886,0.21868277,0.13471748,0.18608686,0.14890315,0.5468025,0.14580657,0.32034805,0.27059174,0.6639771,0.40275794
0.012318622,0.06627886,0.42396796,0.044783518,0.12397224,0.06872393,0.12893538,0.18674979,0.09324777,0.03659779,0.21079025,0.3571268,0.3376987,0.024506748,0.030673891,0.031342834,0.039688677,0.073439926,0.045645922,0.2837104,0.11615458,0.16699399,0.10870394,0.05752471,0.048820384,0.009765152,0.046090852,0.13210708,0.011222664,0.07175577,0.020697415,0.5040084,0.0180901,0.24085951,0.16798937,0.67490137,0.34265265
0.04072733,0.060623553,0.48218757,0.12283985,0.18759686,0.15889083,0.23396884,0.1686634,0.11231426,0.059418976,0.2858005,0.3302645,0.41622216,0.12864894,0.107124686,0.056719005,0.048535094,0.12017438,0.13806066,0.29324904,0.095211595,0.10755279,0.15243861,0.09264386,0.03790361,0.041075733,0.09109141,0.11595539,0.033066943,0.06202425,0.016278125,0.39786425,0.054239955,0.22782366,0.16622366,0.5698342,0.31741932
0.009859685,0.054945137,0.4298879,0.048321083,0.13158321,0.07215203,0.14274617,0.19244167,0.098356254,0.024587497,0.2059131,0.35166776,0.3496245,0.02341196,0.023924738,0.026470155,0.02563952,0.071525574,0.052985936,0.28947726,0.11109486,0.1611792,0.10074487,0.045023978,0.032776102,0.0029239915,0.04736386,0.13279252,0.008513395,0.07608153,0.020709768,0.5028523,0.013936188,0.2453583,0.17322868,0.6665437,0.3441726
0.05349839,0.27054977,0.27605632,0.026838645,0.04609084,0.019913718,0.05611582,0.2748677,0.12521672,0.19841671,0.27659222,0.46269053,0.19272201,0.10110748,0.17766991,0.0849271,0.21539989,0.029031783,0.055482596,0.21123229,0.23771968,0.31769547,0.22088742,0.14697587,0.25257316,0.068237364,0.015599791,0.1366165,0.028358983,0.09228566,0.13302523,0.5555016,0.09535816,0.19213027,0.13458939,0.7779966,0.27164325
