Entities,PointsAdjust,Generated_Var_3,Effort
0.5188875,0.348559,0.44178152,0.3403963
0.5170787,0.33497825,0.47265193,0.34256467
0.3701924,0.28936946,0.39518496,0.30044255
0.17589983,0.21107271,0.19550289,0.25579715
0.39129344,0.2683711,0.36462128,0.21186224
0.25328782,0.1752826,0.30229592,0.21829742
0.4077706,0.24928077,0.45382324,0.27073103
0.4002502,0.24333403,0.47873244,0.15667668
0.511443,0.29942346,0.48811093,0.34613755
0.5715271,0.44215536,0.6022439,0.4097007
0.32181776,0.22746107,0.4795867,0.24091393
0.053458005,0.17752238,0.38060856,0.088720486
0.35364634,0.18035494,0.37249142,0.19434288
0.20710799,0.25540695,0.3111409,0.25090152
0.4985096,0.29171157,0.46950626,0.2636771
0.28471398,0.17313652,0.17377512,0.22119153
0.19577311,0.14059271,0.25545436,0.11170531
0.19759464,0.18564396,0.22462617,0.18208626
0.49860814,0.31318867,0.4487699,0.41650134
0.24287438,0.33215976,0.3837571,0.40929905
0.39767507,0.29930252,0.48536664,0.24390906
0.47170433,0.28484005,0.45572427,0.29184476
0.41958004,0.4344351,0.5036668,0.2159843
0.70167005,0.6084322,0.6935916,0.5080143
0.5953478,0.63495624,0.6958283,0.41666377
0.34367895,0.2436123,0.40004447,0.1605217
0.21606043,0.22434212,0.42359838,0.12537496
0.34532452,0.24620833,0.3517137,0.2431806
0.32173502,0.25691086,0.34446064,0.3009703
0.9106915,0.8928046,0.91108537,0.8106676
0.5566378,0.37120974,0.5597687,0.44479707
0.4251541,0.3105684,0.47687238,0.40840334
0.5315967,0.527906,0.6474314,0.30093104
0.45592725,0.31712693,0.4894925,0.28786892
0.5935397,0.43752605,0.6166239,0.6039326
0.27678713,0.167616,0.23813629,0.17171046
0.34389344,0.32469425,0.38673094,0.11442971
0.32323834,0.28832623,0.4046743,0.35201657
0.3201151,0.27036187,0.45899186,0.13565147
0.30947912,0.23069757,0.40379906,0.24780205
0.82179046,0.7575554,0.8229841,0.78110796
0.3260467,0.22948836,0.42203826,0.23452456
0.47288266,0.35149845,0.52425706,0.29303777
0.71437657,0.63246506,0.68055534,0.53949535
0.21289736,0.15299654,0.31212553,0.16374631
0.42401809,0.26306447,0.436853,0.22760206
0.42363536,0.31115562,0.45679545,0.31545883
0.5232444,0.3472149,0.5307231,0.40674195
0.5608065,0.36716998,0.56787825,0.3739069
0.56787884,0.40042636,0.55713594,0.35333282
0.43467793,0.39691663,0.52280647,0.18831533
0.35735714,0.23244834,0.4156726,0.19838044
0.4740789,0.26513848,0.50562364,0.40582576
0.40935707,0.3414564,0.47772247,0.34514868
0.39207694,0.29809457,0.42752275,0.3579025
0.7226006,0.6166884,0.6944784,0.6416593
0.46057707,0.2485793,0.43708867,0.28261948
0.2848385,0.3189,0.3925983,0.35552412
0.23741424,0.27812624,0.3571539,0.27214196
0.3365922,0.2004815,0.42856213,0.20776017
0.32828772,0.23150153,0.40480125,0.23590872
0.26916033,0.16602467,0.30238253,0.17217112
0.32780403,0.26679683,0.36027223,0.35085386
0.36347887,0.514853,0.59621215,0.065596595
0.30021405,0.19098362,0.36351332,0.2039766
0.30846494,0.17933923,0.3274838,0.1886943
0.6603239,0.5793413,0.6293547,0.5447473
0.32537034,0.1951136,0.37569147,0.14384867
0.32268977,0.35513848,0.43909973,0.17369117
0.6681312,0.6525069,0.7352998,0.5349029
0.565752,0.41560596,0.5980668,0.3901573
0.17232579,0.180659,0.41085616,0.1698947
0.54013693,0.38990432,0.4870873,0.4060813
0.30162323,0.15035942,0.33772898,0.17995906
0.5357722,0.35419828,0.5169341,0.37336987
0.47074187,0.28748387,0.5531831,0.45573485
0.36095864,0.2119734,0.2589711,0.26152736
0.39980444,0.2689498,0.46527582,0.2038839
0.3904975,0.23717022,0.36242473,0.2565183
0.2099861,0.12266469,0.17956421,0.15454857
0.22130203,0.15197769,0.13168667,0.18454498
0.5352863,0.3556135,0.5060944,0.35378876
0.39521533,0.25374144,0.41173083,0.22675523
0.4844875,0.2774347,0.4901327,0.23941702
0.44853634,0.321293,0.4504555,0.39402863
0.72353226,0.64386,0.6647712,0.62567914
0.43486398,0.3485652,0.56545246,0.39429015
0.57928884,0.38322312,0.56956756,0.393575
0.43040434,0.3125838,0.4797745,0.2825926
0.33951694,0.22163373,0.32852757,0.25230753
0.45663962,0.2956739,0.5291036,0.2984369
0.30577904,0.13568722,0.3817224,0.15972136
0.37468225,0.33016363,0.42418072,0.3963375
0.26375553,0.25023574,0.27835208,0.25568175
0.39650148,0.33162713,0.4898263,0.18521485
0.298242,0.25785828,0.38133755,0.29847205
0.59369564,0.349075,0.54937387,0.42835516
0.12475049,0.21989666,0.2701363,0.2219665
0.12764814,0.11122055,0.22301985,0.13749331
0.6115444,0.4452323,0.5986476,0.44398037
0.49795693,0.27580333,0.48505497,0.2778097
0.52252233,0.3526362,0.5322422,0.48416755
0.4401678,0.2845571,0.45656425,0.35247728
0.6127709,0.47713256,0.57308114,0.4706591
0.44176507,0.292875,0.49018997,0.21554154
0.4678219,0.23376931,0.43525246,0.30433762
0.43957162,0.27991033,0.47321516,0.27650416
0.28771722,0.30759132,0.39996904,0.38285807
0.1286784,0.18800718,0.33158165,0.16136028
0.3971098,0.45402545,0.56157136,0.12230609
0.42454237,0.26911342,0.45354113,0.2333729
0.606992,0.46508527,0.5529958,0.43085498
0.1690782,0.17670551,0.29005075,0.18308616
0.43023816,0.24683028,0.395411,0.24982822
0.36150777,0.28414816,0.42585063,0.29683873
0.3361491,0.2472368,0.38179517,0.12347678
0.444541,0.23626861,0.44708216,0.22748946
0.51330703,0.3277397,0.5053595,0.32652596
0.79090035,0.7009264,0.734041,0.68497837
0.5748451,0.38439354,0.56323826,0.36076164
0.3959799,0.24214707,0.47999492,0.36582595
0.7343048,0.615166,0.7267753,0.6217075
0.5181119,0.39338294,0.5707798,0.3083847
0.5463152,0.28068936,0.51145744,0.3038327
0.42614916,0.24913743,0.39472356,0.2920149
0.5160506,0.4531968,0.59126234,0.30968952
0.20571548,0.15406713,0.2397937,0.14013784
0.35535848,0.20683073,0.42017516,0.21131511
0.52728856,0.39375487,0.56473935,0.3878181
0.4726829,0.31627688,0.46300384,0.2987558
0.3874077,0.23593181,0.34997445,0.22794995
0.36686808,0.22394206,0.4271804,0.2739833
0.42076015,0.25786108,0.48130202,0.28537798
0.26952806,0.28167218,0.45368925,0.25268608
0.18455091,0.37885898,0.47042173,0.3705805
