data,cplx,time,stor,virt,aexp,pcap,lexp,loc,Generated_Var_3,actual
0.17611784,0.48668897,0.63191247,0.53542876,0.56040704,0.0809574698574482,0.2978242,0.47093865,0.29401994,0.5709365429063457,0.58251953
0.15313661,0.3728988,0.46641892,0.4205076,0.47410834,0.1628659797719588,0.39177614,0.37153783,0.28609914,0.42879183712081625,0.5298103
0.1495142,0.44146717,0.5684873,0.5117456,0.5556048,0.08812923528775413,0.28979877,0.48039517,0.29223022,0.4619608338039166,0.60087943
0.18722816,0.3598087,0.45091903,0.41019022,0.4531713,0.1688937901336274,0.36809888,0.34867963,0.23399663,0.43366549663345033,0.42199284
0.38909388,0.25295478,0.36748222,0.29722065,0.32601127,0.34512782070766923,0.51989996,0.27544743,0.6160639,0.33972131602786837,0.75419074
0.26689118,0.31261912,0.40684912,0.36110646,0.39845216,0.22831334369880063,0.5132169,0.29838902,0.34812945,0.39128256087174385,0.5993622
0.15976346,0.5735186,0.66665316,0.61539614,0.6472163,0.05400794324047659,0.23865671,0.5858554,0.371307,0.6056629994337001,0.5890107
0.6067353,0.22023162,0.3105259,0.23266065,0.32292882,0.5025608301536498,0.5935355,0.23358399,0.50334907,0.30932250906774905,0.7169524
0.099905536,0.5581513,0.6259658,0.60760915,0.6232198,0.05737195344231721,0.21887663,0.551204,0.17098036,0.6091846790815321,0.39888155
0.77535516,0.03352682,0.085250914,0.09546813,0.08326095,0.7331064739863884,0.82017875,0.048077684,0.8178583,0.09734035026596496,0.71035933
0.08468649,0.79958355,0.8417635,0.821755,0.8103986,0.012459233747554026,0.019782826,0.7841485,0.09681399,0.8776331122366887,0.42988637
0.53025144,0.087275356,0.18067053,0.14487328,0.1607794,0.5557541033452462,0.73391306,0.08002728,0.69025,0.20411397958860203,0.6818194
0.64043593,0.09476951,0.21147744,0.13145173,0.22439435,0.5833279849996792,0.71473444,0.12295108,0.5428543,0.22489390751060923,1.0
0.14476916,0.44751883,0.5277091,0.516906,0.5167669,0.1375400782524047,0.36350992,0.4373011,0.26739872,0.49563531043646897,0.53650934
0.11877838,0.76003903,0.79356587,0.74203056,0.74541545,0.04624776077486565,0.084393576,0.7305501,0.16292195,0.7940726205927379,0.49649405
0.8195667,0.063609034,0.061975926,0.052144192,0.070308015,0.8681509520890571,0.9211359,0.026574517,0.86355,0.09449814055018595,0.81739014
0.2700791,0.4426875,0.5682088,0.43876454,0.4953115,0.24723921483435288,0.4528268,0.43805045,0.37671652,0.4977153502284649,0.459238
0.2637812,0.27937225,0.3741963,0.3117584,0.36715224,0.27886851673211105,0.58918035,0.27057716,0.40916964,0.34849246515075344,0.617162
0.51436704,0.09959637,0.19122174,0.14824906,0.18312374,0.5073109304386558,0.7115374,0.086233765,0.6464147,0.19940261005973897,0.60026383
0.3726912,0.21927384,0.29967743,0.24611504,0.30449483,0.34891872093512327,0.6424052,0.18816337,0.51543283,0.31446611855338813,0.52997065
0.3217235,0.2534207,0.34731334,0.27683473,0.337502,0.2944336676660201,0.5306804,0.26259565,0.414036,0.2842381915761808,0.62588483
0.20353425,0.4291952,0.5232138,0.47515142,0.49599212,0.1201691032101462,0.32226765,0.42345563,0.21537554,0.5334697466530253,0.40313324
0.48231888,0.13114482,0.22140619,0.16820195,0.22611311,0.4939418696365122,0.7160529,0.10393376,0.58810425,0.2567146443285355,0.63352615
0.17206044,0.38170096,0.4891423,0.43749493,0.46250737,0.1587683395261004,0.42755955,0.36606282,0.36761877,0.44633795536620446,0.4888761
0.595105,0.07623361,0.13911581,0.11250645,0.1366347,0.6515786390947184,0.7743218,0.051086746,0.72400033,0.19232277076772292,0.56586826
0.51788276,0.1375849,0.2649384,0.23375684,0.26079458,0.4431401765884106,0.5266319,0.16752765,0.5050257,0.20814414918558505,0.56023586
0.8251109,0.029926237,0.09266436,0.07769716,0.11454368,0.7554154453249267,0.86299205,0.024786195,0.7799644,0.14915749508425047,0.77498496
0.8240969,0.022048455,0.09690511,0.06541725,0.10909797,0.7682971860978313,0.8235255,0.031487647,0.75985235,0.12580229741977025,0.9771873
0.38638598,0.16287272,0.26998344,0.20147237,0.2608538,0.3864773731886424,0.65233105,0.15451655,0.49014547,0.25834602416539754,0.5838974
0.1422005,0.41724837,0.56163853,0.49393412,0.5231254,0.08675178520510711,0.3011339,0.41828775,0.3111082,0.4817669218233078,0.5915828
0.85524535,0.038160305,0.0538224,0.027351558,0.022522092,0.9204684552281073,0.9406374,0.018829005,0.96781063,0.09860504013949598,0.6863051
0.20227394,0.33412638,0.43361026,0.37497663,0.43074504,0.21030806261848375,0.45806724,0.32046014,0.32054985,0.41344533865546607,0.5309824
0.8201262,0.04003341,0.06970447,0.05120317,0.054659307,0.8893410533604633,0.9443134,0.017644204,0.9133465,0.100133589986641,0.80107766
0.2660855,0.35801342,0.46337295,0.39200544,0.44257674,0.23058901383534083,0.506082,0.35876024,0.41860092,0.40887075911292403,0.6456095
0.1875258,0.32109296,0.40075883,0.35206652,0.41000563,0.2733210763992646,0.37084776,0.2970779,0.3023574,0.3824657417534258,0.4430312
0.4780691,0.12023823,0.21466969,0.17103907,0.21044233,0.47399720843983256,0.6860313,0.103873536,0.5846486,0.2205051879494812,0.66511935
0.17351526,0.5313135,0.6903749,0.5836004,0.5865014,0.0808631898517914,0.31976473,0.52417636,0.2927309,0.6281190371880963,0.46905336
0.5262048,0.0999957,0.21329775,0.1862465,0.1991978,0.44847544690852686,0.6717156,0.13038668,0.5524328,0.16849210315078966,0.7893727
0.48792726,0.12149352,0.20971584,0.19057705,0.2020553,0.46809342808560567,0.70948136,0.12015312,0.61231786,0.2316936368306363,0.64925367
0.48929974,0.09572229,0.20089671,0.14854495,0.18791842,0.49731888983913336,0.7195411,0.09562763,0.638707,0.2097936090206391,0.66005385
0.12031157,0.38310227,0.48932114,0.43777436,0.48224747,0.15433303925998237,0.3841856,0.38420305,0.29132244,0.4452673054732694,0.42699546
0.48508978,0.10400331,0.20994632,0.14761208,0.194467,0.5119424307165459,0.7327176,0.08055864,0.62452644,0.23382995661700431,0.66605365
0.18481334,0.5837188,0.69688094,0.6025764,0.62100506,0.09660759579645574,0.26561415,0.5690561,0.20769855,0.6510106848989314,0.48220396
0.4106395,0.15602703,0.25539643,0.18237431,0.25063813,0.45326467719588065,0.64746237,0.13138607,0.5402184,0.26821625317837466,0.60718876
0.10805012,0.5020126,0.5854105,0.5359701,0.5711681,0.09334717560083053,0.30008096,0.46817514,0.19151044,0.5647807735219226,0.53218347
0.20702639,0.36313313,0.46201304,0.408028,0.43042433,0.1929413215764793,0.46300834,0.3410373,0.34752887,0.4303466869653313,0.52467483
0.22285506,0.39094612,0.510136,0.44679117,0.46368596,0.1658370899502254,0.50200564,0.35355845,0.23940322,0.4943216505678349,0.39393678
0.25420788,0.32062265,0.44293433,0.35758853,0.41474432,0.2513801350828081,0.5220343,0.31003654,0.3595922,0.3921888607811139,0.5548313
0.42178994,0.13782589,0.238486,0.18203208,0.21955411,0.45554145733248746,0.6481429,0.12571976,0.5060119,0.23936012606398738,0.6802997
0.1543623,0.4176877,0.5213297,0.47525194,0.5083586,0.11001396060083764,0.37109774,0.41797206,0.2877965,0.46689330331066964,0.4747061
