size_D,duration_D,app,dba,ifc,t01,t02,t03,t04,t05,t06,t07,t12,t14,Generated_Var_2,effort_D
0.5385364,0.591524,0.24884179,0.13516605,0.0941501316490079,0.1602236839776316,0.06031698,0.5011284,0.10342789,0.1424582,0.2945928,0.43965685,0.12031156721869403,0.0900779790077979,0.2393330539333054,0.76169467
0.61193115,0.66863006,0.22993472,0.17690045,0.13813877828832669,0.13681818631818135,0.009997338,0.5792517,0.06180191,0.115083694,0.21594334,0.5054318,0.09999174599950476,0.037655997765599775,0.20003120000312002,0.8256383
0.45809457,0.5650264,0.09504002,0.03380394,0.049160065949603954,0.02855378114462188,0.03209448,0.46300793,0.080608696,0.01233986,0.33311364,0.37061125,0.03005856480351389,0.10163025016302502,0.3164548616454862,0.82726103
0.4294421,0.49138576,0.29678264,0.19165254,0.20283992217039534,0.2325238067476193,0.18340605,0.46030903,0.22024217,0.19595674,0.41674492,0.3318292,0.23613716416822986,0.21111130111113013,0.3399527339952734,0.6013036
0.25410116,0.29146296,0.3400611,0.30906445,0.2823590769415446,0.33712266628773335,0.34380782,0.2239925,0.3979633,0.34136292,0.6032182,0.21302068,0.32274271936456317,0.4245681424568143,0.5129038512903852,0.50291765
0.37932852,0.48581848,0.13658103,0.07616931,0.10217393013043581,0.08300089169991083,0.11595839,0.36339945,0.14791292,0.06289506,0.41092438,0.27381167,0.054104183246251,0.17099083709908372,0.39593345959334597,0.7157494
1.0,0.95627916,0.7584218,0.886449,0.844919650695179,0.6812952318704768,0.19722855,1.0,0.292099,0.56729424,0.033815295,1.0,0.6606960096417607,0.08697999369799937,0.0,0.71364737
0.4564398,0.5574646,0.11556435,0.05785954,0.07336366440181986,0.044518315548168444,0.04412806,0.4644069,0.103459746,0.025804937,0.33388987,0.36780882,0.050807330048439805,0.10853700085370009,0.3165260016526002,0.81171644
0.48951262,0.57210755,0.12147778,0.043255866,0.02956295177377711,0.035660740433925954,0.024383754,0.46697986,0.05976242,0.03866321,0.30505535,0.38237703,0.028021635681298143,0.08450200845020084,0.2835105683510568,0.8417398
0.2725832,0.30067572,0.46715268,0.39186805,0.3649025818941549,0.4496428850357115,0.37852263,0.29851118,0.46759045,0.39201555,0.5423503,0.14617491,0.41917970515078234,0.4123034612303461,0.497802989780299,0.4159125
0.5160601,0.6015537,0.18245342,0.11141306,0.10459781627586898,0.09371554062844592,0.046759307,0.50357926,0.08235964,0.08435273,0.29339984,0.40051442,0.09571338574280315,0.08654055865405587,0.2679744267974427,0.75300467
0.39740676,0.4289019,0.29531047,0.22316366,0.22805459368327563,0.23918754608124537,0.19319591,0.3957635,0.33640277,0.20058092,0.44613642,0.2962274,0.2733210463992628,0.2562833656283366,0.3477109147710915,0.614655
