data,cplx,time,stor,virt,acap,vexp,lexp,tool,loc,MI_loc_aexp,MI_loc_cplx,MI_loc_turn,MI_loc_rely,actual
0.20089713,0.30032653,0.30901366,0.46278718,0.23859180614081937,0.6684919,0.4048569604856961,0.29761833,0.21807443180744318,0.59737384,0.4127193,0.66861975,0.2146631128797868,0.2500786,0.24755612
0.065398924,0.50803417,0.5662542,0.56763124,0.5271879472812052,0.2800331,0.6151041615104162,0.56139576,0.36207658620765865,0.6408791,0.34046352,0.5847397,0.165666649939999,0.4045352,0.5195266
0.17287236,0.35036087,0.38804412,0.5038947,0.35410084458991553,0.6306515,0.43677604367760436,0.35832494,0.2632523763252377,0.8216119,0.5012036,0.80023646,0.2409584844575091,0.21227586,0.3425878
0.27209157,0.32876462,0.34633112,0.51393545,0.30601492939850705,0.6226224,0.4579094457909446,0.3708486,0.32489228248922825,0.78377926,0.3981505,0.6353892,0.29338096760285803,0.25779068,0.5368054
0.2648154,0.30280167,0.36111704,0.41721922,0.22082649791735018,0.585854,0.43436546343654636,0.36098686,0.2912700791270079,0.6528738,0.39824152,0.6336933,0.26897598613855916,0.23141348,0.39083153
0.15639369,0.19845787,0.2890379,0.4065794,0.24726848527315146,0.5864817,0.35361031536103155,0.27244118,0.13677404367740437,0.83823466,0.43951407,0.8093422,0.2583877555032653,0.098439425,0.37668526
0.088568024,0.2694233,0.37524897,0.4290205,0.27519819248018074,0.56904507,0.41803137180313715,0.30990177,0.1590261959026196,0.74690557,0.46653467,0.7506269,0.17778255066695303,0.21706459,0.3673385
0.15862429,0.17602909,0.27219808,0.33190197,0.21746092825390714,0.5425184,0.3259881125988113,0.26017588,0.11089031108903111,0.77642405,0.36455435,0.8613027,0.23482106408926387,0.074767575,0.36163893
0.24168785,0.28830492,0.30974475,0.5316973,0.38414444158555583,0.6559718,0.43039104303910436,0.32816476,0.2576253957625396,0.7136251,0.43123937,0.72986037,0.2785392567123554,0.15539645,0.34586304
0.2514199,0.45339388,0.40281725,0.57005143,0.31592878840712113,0.5937554,0.5273683527368354,0.42590058,0.4117257111725711,0.5559714,0.28267905,0.50211644,0.2497838249870295,0.43681297,0.3303559
0.22243172,0.2687714,0.3101601,0.49503547,0.32343950765604923,0.6459332,0.398556339855634,0.2961744,0.2265553426555343,0.83631414,0.588536,0.7538482,0.3223463193407791,0.17695144,0.34165767
0.24835695,0.23511285,0.3133207,0.40730095,0.22721656727834325,0.7121811,0.3361909736190974,0.2621911,0.19424151942415196,0.7965092,0.47888616,0.7830336,0.25054346503260794,0.10693608,0.31505048
0.14696443,0.23171264,0.3046985,0.35961604,0.2123772787622721,0.5659004,0.35083175508317554,0.28078187,0.13649986364998637,0.6885117,0.39586204,0.7812444,0.1585410195124612,0.15328296,0.27892756
0.18168989,0.25800073,0.33003497,0.44365785,0.2792764020723598,0.5645414,0.39073071907307194,0.32575813,0.21400910140091015,0.80152094,0.35348773,0.7103705,0.20976826258609574,0.16448282,0.4744497
0.13243651,0.17926764,0.29766545,0.3800729,0.23495592650440733,0.55830187,0.3422281342228134,0.25888833,0.12349055234905523,0.8382194,0.42936885,0.7959874,0.2280997636859858,0.07956909,0.376608
0.20622706,0.16088179,0.25308076,0.3757532,0.16239145376085462,0.56630343,0.32385817238581727,0.25102428,0.1392595039259504,0.8149972,0.35118982,0.75458086,0.2750222865013372,0.14029768,0.44286305
0.14046448,0.59842175,0.5673809,0.7058235,0.5909676009032399,0.54869276,0.6666514366651437,0.5408952,0.45775504577550463,0.5077346,0.4054695,0.55606425,0.17827889069673344,0.46880376,0.4848874
0.29733896,0.45110804,0.4484468,0.57268864,0.31514216848578314,0.52866745,0.5509713250971325,0.47156903,0.4405225040522504,0.59813714,0.4241078,0.38962388,0.23644724418683466,0.41541168,0.49972227
0.08393721,0.30577618,0.37545592,0.40156046,0.3511498848850115,0.3701084,0.4667685766768577,0.39669636,0.18087707808770784,0.6646539,0.32069543,0.72812563,0.20995417259725035,0.2621776,0.48613212
0.2202811,0.23124927,0.26254117,0.46599272,0.301783229821677,0.6453235,0.39204928920492893,0.2795276,0.1768803476880348,0.725063,0.41594338,0.7702831,0.2747068564824114,0.11609544,0.36950547
0.31183365,0.37697643,0.32236186,0.39741397,0.23920186607981336,0.40136787,0.47121988712198876,0.43136773,0.34265268426526846,0.48153734,0.13747267,0.5465118,0.28484691709081505,0.44381613,0.54389
0.1526582,0.19523448,0.2602412,0.38277823,0.2422611657738834,0.54491836,0.3352569035256904,0.2624218,0.09535200353520035,0.77639735,0.43399242,0.8835408,0.23344226400653584,0.057432164,0.30553526
0.25508267,0.13456798,0.17046931,0.24752316,0.08316049668395033,0.41301906,0.29359748935974894,0.23156074,0.09773061977306198,0.77357763,0.28277192,0.81527495,0.3343011900580714,0.15070522,0.33026293
0.48535436,0.24257386,0.18490583,0.38144183,0.22929580707041927,0.66428405,0.28239272823927286,0.20197518,0.3230919823091983,0.8592475,0.7602026,0.6754881,0.5806719348403161,0.32388735,0.103022695
0.45515394,0.042049766,0.05809568,0.12991156,0.06293741370625862,0.67284185,0.1102161810216181,0.05051197,0.03699586169958617,0.8893126,0.50766075,0.9755459,0.5379701022782061,0.104886666,0.21094169
0.1356584,0.2940119,0.3438995,0.48183888,0.3378610862138914,0.65840656,0.43957848395784843,0.30267084,0.18303231830323186,0.70796335,0.48726338,0.7296578,0.18292410097544606,0.16634946,0.30512282
0.16495578,0.40271324,0.42976725,0.57935995,0.40174187982581194,0.6130244,0.509535050953505,0.3962093,0.3219903721990372,0.66131675,0.45747718,0.6574378,0.22908318374499104,0.3192671,0.4538477
0.2635662,0.29506385,0.2935838,0.45606986,0.28466073153392685,0.7197632,0.38881123888112396,0.3014424,0.24953424495342452,0.82436174,0.4678474,0.7704752,0.268515416110925,0.14675319,0.26255974
0.13044009,0.28705704,0.33668828,0.44351885,0.24898584510141547,0.5493355,0.4477097847709785,0.3373492,0.23496484349648436,0.6654034,0.35310125,0.6030307,0.23025533381532004,0.29492337,0.5872612
0.27510196,0.1914041,0.22638807,0.33445507,0.14833170516682948,0.6131101,0.2883744488374449,0.2058143,0.1776872777687278,0.93247306,0.51570153,0.85766834,0.3612460716747643,0.16074772,0.25423092
0.36017168,0.25080484,0.22903448,0.44272482,0.2668381733161827,0.766381,0.3276583927658393,0.22009683,0.2505001950500195,0.6945,0.51336,0.69595647,0.36800410208024614,0.19629821,0.07232943
0.23376164,0.20518208,0.24510929,0.4485209,0.2329358667064133,0.6433414,0.3685971568597157,0.2568541,0.17415086741508676,0.7085272,0.447205,0.7153598,0.2761513465690808,0.13493142,0.3454472
0.36604354,0.085407466,0.07889816,0.22970946,0.05991568400843159,0.75715727,0.15647813564781357,0.07326643,0.029479595947959594,0.8789622,0.53279966,0.9618811,0.43960422637625357,0.12123437,0.14772196
0.15461746,0.35671818,0.41805458,0.535664,0.2928464707153529,0.67719114,0.494118979411898,0.38521412,0.3433442743344275,0.83062506,0.40919834,0.46904823,0.20793998247639894,0.33835047,0.6665807
0.48944807,0.1964758,0.35558093,0.34044212,0.15775760422423957,0.82156456,0.28047612804761285,0.20743082,0.28375356837535687,0.7938576,0.5718515,0.7102591,0.38824456329467383,0.24522439,0.42393708
0.2799138,0.042731315,0.12095255,0.19835488,0.07886832211316779,0.54935837,0.1716129971612997,0.117538646,0.013152302315230232,0.8469778,0.52206767,0.9776052,0.42039545522372734,0.08918285,0.2514352
0.086133316,0.44570106,0.55155545,0.51068926,0.4118211588178841,0.3853546,0.5618228561822856,0.49544543,0.29565679956568,0.51910824,0.3318268,0.58735055,0.11675780200546812,0.37086308,0.5531163
0.22464338,0.2808851,0.30839345,0.42720544,0.24195416580458343,0.5648059,0.4064284406428441,0.33416197,0.24201285420128543,0.73155797,0.45978266,0.68703425,0.29051609743096585,0.21923193,0.36209202
0.11447747,0.3566888,0.3960898,0.51487833,0.3754832924516707,0.538672,0.46252180625218065,0.38137907,0.25999050599905066,0.81054175,0.43495846,0.7375184,0.24372012462320747,0.2245943,0.34934086
0.20060238,0.18025872,0.264525,0.36780667,0.19961896003810398,0.65239877,0.33229068322906835,0.25386524,0.15460978546097856,0.86123526,0.4470616,0.7756411,0.2834499370069963,0.13024749,0.43638003
0.1041611,0.28923148,0.3857426,0.42058992,0.3688817831118217,0.3046395,0.42270122227012225,0.37868148,0.1709132670913267,0.78303444,0.40977663,0.88426405,0.270646016238761,0.20159557,0.34481382
0.40549272,0.1701302,0.19295004,0.27710184,0.14059358594064142,0.7044779,0.23079105307910533,0.1543818,0.17395053739505376,0.92745155,0.561141,0.8597689,0.43427726605663597,0.18666561,0.22479804
0.2338263,0.3383,0.4083388,0.49713632,0.29720011027998894,0.78827286,0.4059820405982041,0.3207694,0.29846602984660303,0.82144976,0.57609695,0.7268721,0.23459027407541644,0.18145701,0.39123452
0.14054264,0.21300265,0.30955037,0.39748895,0.22435395756460424,0.58968496,0.38240901824090184,0.27785856,0.17156074715607472,0.78093696,0.40110448,0.7103856,0.23307061398423684,0.15406841,0.47913593
0.3325441,0.1026749,0.120464504,0.22383884,0.08733426626657337,0.6882477,0.19445033944503395,0.108215675,0.059066985906698594,0.8460566,0.4972735,0.9417658,0.40136762408205745,0.07692534,0.17376156
0.2100019,0.24260426,0.26971823,0.41838527,0.2750639724936027,0.6346575,0.35850003585000356,0.2841196,0.19383518938351896,0.7687804,0.42431027,0.84344184,0.2531404151884249,0.08797793,0.26718116
0.060079187,0.79358006,0.756968,0.64216036,0.6294776770522322,0.18206248,0.8603602360360236,0.80533475,0.6353640035364003,0.38069645,0.18268019,0.1691075,0.16032880961972856,0.8359823,0.8554469
0.19055393,0.39248425,0.36920655,0.5466447,0.40497149950285005,0.51528364,0.5168222516822252,0.40808478,0.30948269094826913,0.6096712,0.3533755,0.64915323,0.23794691427681486,0.2862459,0.46048486
0.21575442,0.17329144,0.25455382,0.41958922,0.09563269043673095,0.65879864,0.35932019593201964,0.24122533,0.14188270418827043,0.7797834,0.46385545,0.64765036,0.28983928739035725,0.278,0.48274848
0.18688428,0.2552358,0.35258117,0.42332438,0.2691613130838687,0.64689875,0.3822272182227218,0.30560488,0.19878844987884497,0.87165916,0.51752937,0.8324182,0.2621582857294972,0.16432403,0.4213608
0.2194257,0.28022963,0.31753612,0.4811419,0.2866412113358789,0.7964435,0.3857196385719639,0.26573277,0.2185530618553062,0.7062437,0.45782718,0.7802837,0.2521150151269009,0.16197631,0.22812441
0.047930755,0.4734671,0.5150234,0.5084347,0.4818051518194848,0.34615558,0.6192340319234032,0.5420688,0.33108550310855034,0.62751764,0.2785892,0.51430094,0.1869092412145545,0.4493312,0.6770017
0.19459349,0.29072452,0.37086833,0.44833437,0.2623505937649406,0.67915577,0.4208284720828472,0.32295105,0.26378666637866666,0.9007672,0.5409888,0.68948984,0.25814576548874596,0.2079857,0.42527464
0.23928955,0.29770195,0.35502067,0.48364246,0.25640681435931856,0.6529058,0.396070369607037,0.31871253,0.27764962776496277,0.741271,0.43150645,0.6496248,0.2470665748239945,0.19825369,0.35839608
0.13169068,0.15233642,0.27862164,0.35729364,0.21224706877529312,0.5584208,0.32541159254115926,0.2415125,0.06803075180307519,0.7664078,0.44504714,0.8560847,0.2178166030689962,0.09403947,0.3834654
