TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Effort
0.5889796,0.57018876,0.49122685,0.14816234,0.38401866,0.2831037,0.53810287,1.1960539,0.20348506,0.7153504,0.7036686,0.325775,0.29104123,0.69794023,0.17395438
0.8261115,0.20380522,0.75284773,0.3037216,0.14515778,0.32478258,0.5811816,0.9388858,0.3796526,0.55064046,0.37382463,0.36332008,0.6006734,0.5087529,0.23110843
0.24278574,0.113953136,0.52270395,0.108214736,0.1402558,0.15188795,0.4565858,0.96572936,0.06500299,0.87575,0.7401049,0.11519438,0.3119918,0.8523372,0.06593841
0.12986924,0.5846427,0.47942975,0.13846038,0.21449625,0.20225942,0.23675823,1.1004267,0.2105796,0.7320575,0.7546327,0.38755947,0.24637517,0.7501758,0.073529005
0.34871635,0.48802662,0.57271117,0.13191052,0.36486843,0.27102214,0.7533396,1.1678566,0.07149249,0.9455985,0.91519105,0.20757736,0.13365315,0.9319529,0.1904863
-0.0552291,0.23056947,0.73947436,0.068718605,0.0391117,0.082137264,0.5033356,0.7958112,0.12683941,0.81941795,0.7038138,0.15478376,0.3609389,0.8998592,0.06698592
0.654621,0.87938815,0.54277915,0.2955983,0.8336093,0.58321977,0.5418509,0.8673506,0.5068466,0.2410773,0.28786427,0.70037055,0.5383823,0.27228388,0.5682361
0.7490379,0.725817,0.662561,0.40505284,0.36616623,0.45157874,0.90840346,0.9744185,0.4829666,0.3776134,0.36199647,0.5719061,0.58187217,0.39756626,0.5945338
0.24027577,0.5276501,0.5746639,0.15986343,0.34687522,0.28772783,0.77551657,1.112425,0.05913687,0.93005943,0.9542967,0.20855781,0.07330449,0.94383746,0.18714204
0.58349836,0.92894924,0.29410148,0.07124293,0.14165679,0.13002303,0.29510227,0.97765803,0.36461273,0.5628393,0.55666065,0.46563682,0.38620964,0.5297415,0.046439257
0.22985466,0.2328167,0.3531384,0.14879389,0.20519456,0.20857267,0.27320242,1.0343354,0.11050915,0.8207211,0.7608781,0.22498196,0.26903343,0.8150314,0.09962635
0.7232935,0.7914866,0.36523616,0.1635187,0.20754424,0.20217691,0.6614441,0.7366934,0.27437,0.65146315,0.65898013,0.3397839,0.32168004,0.58328325,0.10188934
0.28528365,0.90117985,0.61508715,0.119439304,0.26713952,0.20555374,0.42233953,0.89794993,0.31187725,0.6122827,0.65667665,0.47924626,0.31866276,0.6158046,0.07719539
0.8378186,0.90879613,0.357436,0.14058505,0.20931652,0.20703298,0.42486477,0.9527118,0.4181149,0.555478,0.50381744,0.47786394,0.4677143,0.46580753,0.08517401
0.5931933,0.53894794,0.45599008,0.13742946,0.29857963,0.22166185,0.77593064,1.2016865,0.15377092,0.8595883,0.79589224,0.23914613,0.2524239,0.8244421,0.18816392
0.5120231,1.0519984,0.51403785,0.16452691,0.32200342,0.25166547,0.89534813,1.1433073,0.2964793,0.6672335,0.7145171,0.45156115,0.28126955,0.67256886,0.27255058
0.84200954,0.7187609,0.4356557,0.16047232,0.3389292,0.26218238,0.73430014,1.069593,0.31428984,0.61988276,0.5808659,0.39293256,0.4064978,0.5788773,0.25344825
0.8417923,0.5109452,0.9812675,0.29295093,0.2135586,0.32289723,0.63702285,0.64792395,0.63503915,0.38476574,0.19948639,0.560107,0.7972484,0.29685822,0.16207613
0.35169345,0.8428689,0.5322598,0.130506,0.30541927,0.23917829,0.68243015,1.0733567,0.19669609,0.7238862,0.77634156,0.35646275,0.17244175,0.72112,0.15570317
0.9424367,0.23637776,1.065627,0.38606712,-0.06215018,0.31665832,0.62747836,0.77462757,0.60911804,0.46374264,0.18297914,0.47945055,0.9305566,0.36392823,0.19938819
0.25929865,0.3649208,0.39049643,0.17650892,0.30331862,0.2844621,0.60509974,1.0412828,0.04444721,0.966479,0.95152926,0.16460666,0.0655564,0.9508072,0.13572887
0.45994544,0.62517464,0.5932318,0.15950422,0.3862354,0.28854644,0.7999878,1.1217022,0.16722538,0.8083088,0.78938055,0.30240712,0.2229161,0.7934521,0.23927337
0.06811703,0.86129916,0.50599444,0.07119276,0.28405604,0.18972124,0.19955395,0.75183225,0.2973568,0.58266467,0.6569116,0.48220864,0.26135758,0.6240248,0.033217665
0.0981994,0.8432284,0.6881035,0.008370977,0.4388261,0.1978051,0.07355564,0.43684477,0.39709356,0.41789687,0.47430444,0.55789524,0.3859559,0.44612175,-0.04704717
-0.0128312595,0.60434604,0.6095233,0.10488834,0.34210154,0.22043346,0.34695727,0.9162867,0.13150926,0.73415744,0.80865586,0.34127644,0.14709188,0.7983229,0.08597925
0.7098466,0.57181466,0.586243,0.1541341,0.21721861,0.21221562,-0.15195867,0.97006047,0.5484972,0.3751997,0.31529397,0.58982605,0.66736573,0.32599717,-0.025239311
0.68286645,0.53476655,0.2122716,0.16611071,0.3486261,0.25727883,0.52293277,0.4115366,0.17395593,0.89630383,0.88361573,0.21171269,0.18400186,0.77035874,0.014259897
0.016085554,0.6938518,0.39475605,0.31644896,0.29448256,0.39359367,0.6692276,0.7773813,0.103229605,0.9944424,1.1028339,0.29085678,-0.06709901,0.9873988,0.17432687
0.5761297,0.9785245,0.3172733,0.079514176,0.1236058,0.1254899,0.4568113,1.026886,0.3226981,0.6040951,0.6003319,0.42836475,0.35893017,0.5551158,0.07889965
0.16989768,0.95767206,0.6855955,0.06973804,0.3356949,0.20773236,0.31166795,0.5950111,0.38230538,0.48731163,0.54680634,0.5354366,0.37224317,0.5171774,0.025147106
0.113058,0.74494964,0.3406853,0.17106533,0.2000787,0.24501756,0.51973194,0.9616885,0.1337245,0.8263097,0.90994966,0.31880027,0.07715801,0.8396046,0.114703745
-0.15222935,0.9812607,0.5361595,0.1641243,0.24279492,0.26245904,0.61712104,0.796401,0.15478133,0.81292135,0.98920286,0.3793015,0.0073584095,0.9001286,0.12508835
-0.19686837,0.31348488,0.62988895,0.02470825,0.013564758,0.05915048,0.37449867,0.54797745,0.15766712,0.78831196,0.669968,0.18334661,0.41243663,0.8762128,0.061408695
0.19569333,0.9866346,0.6023382,0.13029309,0.36817682,0.24642098,0.7684823,0.89916325,0.24019751,0.6460104,0.7346318,0.43047673,0.18270358,0.6895016,0.21369028
0.46799165,0.008432861,0.8703554,0.12415074,0.025913656,0.15130869,0.6051396,0.6649747,0.22192197,0.67410475,0.44273868,0.1358045,0.59160715,0.6539939,0.07844071
0.7415506,0.94202507,0.4663753,0.3209953,0.542265,0.4783579,0.67060834,1.0626217,0.48826325,0.31058645,0.32887223,0.6761807,0.54775345,0.32552198,0.593074
0.67474437,0.6951562,0.62344813,0.1699257,0.3537962,0.26459518,0.82391214,1.0003448,0.26673192,0.6373154,0.6242598,0.34761912,0.35451064,0.6210042,0.26690757
0.41892338,0.24997742,0.5124801,0.1296686,0.2578679,0.2152311,0.5177421,1.0551625,0.08969299,0.82738847,0.72978234,0.16902235,0.2479592,0.7871773,0.08823407
-0.031101774,0.10520498,0.70300835,0.025827685,-0.00243254,0.054421034,0.30173394,0.50616646,0.15266095,0.72854,0.5829435,0.14247268,0.50393677,0.82183045,0.0042183027
-0.16616884,0.12919973,0.77432984,0.023991583,-0.067858174,0.033112414,0.3370046,0.46111947,0.18329827,0.68112284,0.5557303,0.16317609,0.5560383,0.8423756,0.015181348
0.76363254,0.62939775,0.36648723,0.11472641,0.2401747,0.1909239,0.45764208,1.1201364,0.2795534,0.6559312,0.590419,0.35352337,0.38415554,0.5988264,0.07047157
0.16000782,0.5754909,0.29287696,0.32536831,0.33701685,0.39489362,0.46706006,0.42812163,0.105613306,1.0114305,1.0828927,0.24902445,-0.009734079,0.96733683,0.09203945
0.5132918,0.91295666,0.55995136,0.1418903,0.38161698,0.254087,0.91816545,1.020534,0.26206514,0.6547904,0.7227267,0.40317556,0.24714935,0.68409485,0.27668136
0.36713415,0.89236236,0.73077184,0.06628846,0.47437137,0.24905394,0.32099408,0.6169518,0.40580958,0.4525705,0.46910942,0.54289615,0.43324378,0.44681817,0.036552344
0.79641277,0.88419867,0.55401874,0.38456535,0.31623745,0.42580128,0.8934943,1.0800413,0.52684504,0.3508065,0.353647,0.63155884,0.58421004,0.39808816,0.58064723
0.8312758,0.112345956,0.76304173,0.20607683,0.11981039,0.22834367,0.41590977,0.9782095,0.3556911,0.6236349,0.40377268,0.31879634,0.6461624,0.5449077,0.08722964
0.78520256,0.99506575,0.867541,0.30711997,0.5040206,0.44896552,0.8079747,0.21457243,0.78642905,0.23459649,0.09824456,0.74690527,0.8437546,0.13852483,0.261148
0.2931241,0.9610043,0.63673526,0.117955,0.4362218,0.27501997,0.7201977,0.845436,0.2938035,0.60794485,0.6709876,0.47047564,0.2753922,0.6391988,0.2070325
0.5310144,0.6069052,0.4524689,0.15658951,0.24677089,0.22506411,0.8711499,1.0341512,0.19100225,0.753686,0.74998724,0.28107062,0.244279,0.7515664,0.24170884
0.7002116,0.85547656,0.61643714,0.2078581,0.6881157,0.41840497,0.63456774,0.85816896,0.47764853,0.37109184,0.37636173,0.6197794,0.52241987,0.37656048,0.3711335
0.5166036,0.68104273,0.52128327,0.10789156,0.35611317,0.21732819,0.747979,1.1094078,0.16775754,0.80366796,0.7832545,0.2833049,0.21861672,0.77940285,0.18193065
0.715109,0.3282639,0.57242936,0.15969269,0.33136794,0.27586398,0.7283018,0.99455404,0.19891071,0.6832896,0.59408593,0.24341965,0.39203024,0.66885895,0.25660586
0.5596742,0.65116423,0.5336001,0.20846072,0.40564367,0.32922637,0.89445716,1.0773926,0.22864689,0.69274515,0.6897906,0.35576835,0.28008172,0.70047915,0.35442957
0.7461077,0.33596218,0.6363895,0.22473097,0.35426864,0.3335898,0.77770066,1.0852154,0.24766184,0.6585567,0.56873965,0.29775438,0.45128977,0.6584153,0.35206464
0.13953996,0.29943296,0.4450233,0.142567,0.23860873,0.23066887,0.43330228,0.71188366,0.06436681,0.89939445,0.8504808,0.15010603,0.14021209,0.8746116,0.074494526
0.6000422,0.9736881,0.66422105,0.2683127,0.5342196,0.42278808,0.8454324,0.6308812,0.52078617,0.33215252,0.33890626,0.6129694,0.5556957,0.35728022,0.41069284
0.5111994,0.37957358,0.4670313,0.13926163,0.33109134,0.25708523,0.7256862,1.2117556,0.089130975,0.88385904,0.83068633,0.18065925,0.22540867,0.87272495,0.19519526
0.41877204,0.4098208,0.51894844,0.13639295,0.3161332,0.22993757,0.73538435,1.0133904,0.08175552,0.8808108,0.83256423,0.18168065,0.16395311,0.8552119,0.16793928
0.6134773,0.91301686,0.6095176,0.255418,0.8660642,0.5650109,0.46669742,0.75387144,0.5015975,0.27600533,0.31883138,0.68434966,0.54119813,0.27495432,0.4674519
0.122096315,0.2159097,0.6699021,0.12371041,0.11618453,0.1555823,0.56906676,0.87205434,0.074535124,0.88930005,0.76773167,0.12241816,0.27576756,0.88422424,0.07890023
0.80091643,0.91205126,0.3833835,0.16226928,0.35667068,0.2798878,0.70702964,1.1400557,0.38034016,0.5106058,0.5081807,0.5136552,0.43940532,0.49930695,0.31374127
0.511588,0.48557967,0.46822798,0.14064594,0.31800807,0.23831894,0.59589595,1.177878,0.13778009,0.8092927,0.7587204,0.2402759,0.22454038,0.7795111,0.13857557
0.7076958,0.89618856,0.64264333,0.2128629,0.4512346,0.34636194,0.48783013,0.8100507,0.48505172,0.39761204,0.38843226,0.58934635,0.5437019,0.35992184,0.24773848
0.86601424,0.24254619,0.3742101,0.21520619,0.16226174,0.27077863,0.40682438,0.5225171,0.30190358,0.74743026,0.60473776,0.26186252,0.4771042,0.61547273,0.0062331557
0.6880975,0.90667367,0.09431748,0.24154395,0.23473626,0.31851244,0.61953515,0.36331353,0.27818206,0.8738261,0.9433855,0.34071672,0.18367639,0.74030334,0.021537397
0.74309224,0.8773105,0.5719457,0.23616335,0.4940143,0.37028232,0.69557625,0.92595387,0.43777323,0.41354004,0.4101416,0.56227577,0.50251544,0.39593983,0.38137123
0.18075141,0.44040602,0.40772563,0.19403379,0.29046655,0.29497188,0.6125065,0.93609595,0.052235905,0.9632795,0.9731511,0.18617521,0.051679015,0.9444205,0.13664016
0.77411586,0.8050457,0.5286664,0.29829407,0.4161182,0.38937145,0.8841819,1.0585192,0.41375813,0.45967367,0.44618726,0.528726,0.49215043,0.47477144,0.49999854
0.73819494,0.79291415,0.50947064,0.105145745,0.30172688,0.216546,-0.07015906,0.91705143,0.5219817,0.38538212,0.34480923,0.5906657,0.56465304,0.33741713,-0.004869759
0.42817044,0.5225663,0.3877719,0.14151527,0.26525038,0.20906694,0.5834321,0.91494155,0.13238512,0.9104441,0.86977077,0.22630313,0.18056849,0.8433954,0.09681626
0.7428944,0.93192214,0.4931382,0.21306969,0.30129123,0.28349227,0.85804164,1.0498571,0.3865594,0.4877861,0.5142839,0.49020797,0.44250038,0.48232028,0.35756153
0.7266163,0.8113387,0.577704,0.4197801,0.3732294,0.49830177,0.6047607,0.9605781,0.5302476,0.21636324,0.24385169,0.67421865,0.5655072,0.2509334,0.5688296
0.3888533,0.35540482,0.40528068,0.13169314,0.24177341,0.20815492,0.4546392,1.1132873,0.109289065,0.8300962,0.7796507,0.21443309,0.2154687,0.8065021,0.08687335
0.4636932,0.98217636,0.7852728,0.16428459,0.25314045,0.21853516,0.5883577,0.5377307,0.53174686,0.42009473,0.37530303,0.5841247,0.57570946,0.3629331,0.08390461
0.75673187,0.37939072,0.5022453,0.124803305,0.21623495,0.18780477,0.26397747,0.97934425,0.3138576,0.59464574,0.4813092,0.33245707,0.47787213,0.5326754,0.01569482
0.69202536,0.9706859,0.5320122,0.22005305,0.3072314,0.2978151,0.8530384,0.9932226,0.39224958,0.4727787,0.5247809,0.50528777,0.43100563,0.502009,0.36201867
0.32461178,0.9070355,0.2982775,0.10143223,0.1442551,0.13431834,0.53400004,0.97207487,0.20833373,0.6781818,0.7247702,0.35947224,0.18443589,0.65394515,0.07677825
0.13438489,0.9575965,0.5363692,0.11731614,0.24530458,0.20221171,0.7959444,0.9669533,0.16985229,0.75174206,0.8776939,0.35583296,0.082498305,0.7894676,0.16362192
0.74064964,-0.07427722,0.9334832,0.36192045,0.06978418,0.4120587,0.5760959,0.9538716,0.39395648,0.4956702,0.3386792,0.35524467,0.78829306,0.5703695,0.30475023
0.035721503,0.31455964,0.5140579,0.14237723,0.18976791,0.19787452,0.468913,1.1029356,0.057695806,0.8830529,0.8415694,0.18889697,0.1717842,0.9251765,0.10628706
0.7399456,0.91121453,0.50867623,0.23482904,0.45355317,0.36202744,0.53744,1.0583923,0.45407516,0.3866507,0.39318594,0.59911805,0.5119718,0.37338865,0.3897068
0.85316926,0.64607656,0.78881484,0.31876302,0.2792123,0.3654583,0.5441451,0.9465815,0.54645884,0.35223052,0.2888051,0.5854194,0.6725928,0.30773705,0.31565365
0.53808516,0.8472109,0.45434317,0.12069361,0.26884514,0.20644917,0.8114826,1.1772741,0.20954207,0.7791621,0.78914785,0.3292131,0.22061974,0.7630525,0.16683887
0.5961639,0.60713375,0.688995,0.25007927,0.34564415,0.2959684,0.87170386,0.7102492,0.42028052,0.47779047,0.3698762,0.43450326,0.52485657,0.42700154,0.34482586
0.19947322,0.34064528,0.45010707,0.16094883,0.28640997,0.25508806,0.53601193,0.8138404,0.041504994,0.9418233,0.9105332,0.15039518,0.07937122,0.90389323,0.10988496
0.01829049,0.4886034,0.43147725,0.22889736,0.19492993,0.29380843,0.7079073,1.3060677,0.06535392,0.96490705,1.0116669,0.23818992,-0.004560858,1.0046942,0.19305544
0.12120433,0.39973214,0.5074429,0.16383193,0.27303645,0.253479,0.34612572,0.23311289,0.12235109,0.9341108,0.9217888,0.15802024,0.20033807,0.93926805,0.008175287
0.7720918,0.80812323,0.15145941,0.13163492,0.14853719,0.16630997,0.48230034,0.9416621,0.31876343,0.7258051,0.6699151,0.3757495,0.36023906,0.6154647,0.029905196
0.70226836,0.8402849,0.36121237,0.06601743,0.23304757,0.1502807,0.22763741,1.0557469,0.38057074,0.522423,0.50729823,0.46467593,0.42135176,0.47784507,0.039304372
0.8117642,0.5828224,0.59534365,0.17271821,0.16786557,0.2040285,0.14388365,1.058712,0.4926592,0.45701227,0.36316356,0.50184715,0.6193291,0.38398907,0.032392237
0.7080084,0.0179799,0.78244966,0.20711848,0.18357962,0.28364062,0.48698756,0.9755337,0.2644109,0.61831814,0.43632147,0.25844824,0.5864169,0.6067244,0.16575074
0.67549324,0.8689853,0.12804803,0.09920082,0.16273299,0.16154878,0.26357377,1.0947205,0.3832365,0.59791046,0.5760023,0.48141629,0.39032593,0.57121485,0.06789118
0.071217045,0.4515152,0.44677225,0.20192017,0.25214785,0.28705662,0.59115624,0.89240456,0.071729496,0.91074306,0.93283296,0.21352637,0.031951226,0.90841025,0.12554419
0.92055666,0.8603222,0.29267016,0.189672,0.08619019,0.20808235,0.20949589,0.8508837,0.5797919,0.51271594,0.4180131,0.5564776,0.5996759,0.41037706,0.024505999
0.46780604,0.57819206,0.41438708,0.121050924,0.33843747,0.24899113,0.7245192,0.9838178,0.10906097,0.87430465,0.84902096,0.22450535,0.15725957,0.83442044,0.16091852
-0.20590241,0.27187663,0.69204915,0.058514588,-0.017346881,0.047988266,0.38269886,0.75107443,0.16088185,0.72126186,0.65879023,0.1892536,0.39599556,0.87111855,0.062692195
0.048469488,0.51783454,0.5494647,0.16964844,0.30549026,0.27211615,0.69259167,0.97636485,0.04961355,0.9155953,0.9499705,0.21636489,0.012771871,0.94034785,0.16421463
0.06454726,0.8311279,0.35447237,0.19157639,0.18085492,0.25328547,0.56478876,0.9086735,0.13954535,0.8340448,0.96824944,0.34241086,0.040556565,0.88695514,0.10734008
0.68587005,0.871495,0.4942205,0.28316364,0.54094845,0.44527668,0.6204903,0.9441699,0.46257308,0.31123,0.3293306,0.6238451,0.5441789,0.31690708,0.52265173
0.63005495,0.10910413,0.6015504,0.12557667,0.23212421,0.21384202,0.6164966,0.96261644,0.1321819,0.82139677,0.6500267,0.1284571,0.37730312,0.7487168,0.12210773
0.34296206,0.9175347,0.7844792,0.22087286,0.7720789,0.48778075,0.6664877,0.5240228,0.47250742,0.32215902,0.3851712,0.64429367,0.497584,0.3723577,0.40261698
0.17178717,0.24416567,0.49645543,0.11916062,0.16317314,0.17827235,0.5442557,1.039967,0.059328813,0.91210645,0.8092123,0.13882944,0.22073275,0.90377176,0.09900239
-0.1241449,0.8501254,0.6988964,0.11183083,0.47427875,0.2850347,0.6203834,0.80599666,0.18464267,0.7539771,0.84074247,0.42542818,0.10187624,0.8233953,0.12131871
0.20713736,0.5305238,0.5210001,0.122281834,0.39642888,0.2715967,0.6277234,0.99261856,0.078394756,0.84556115,0.86502385,0.2332564,0.098254025,0.8586373,0.16800228
0.9495612,0.55759174,0.4797148,0.20451257,0.2176719,0.25510633,0.60891503,1.0603743,0.38078934,0.6460715,0.52916366,0.39268482,0.500479,0.5809751,0.15278886
0.54914004,0.53214717,0.3465982,0.13058318,0.27091503,0.19535477,0.6436832,0.9350858,0.15195568,0.9041373,0.8440076,0.22528048,0.20579696,0.8203341,0.09479825
0.7235773,0.83187515,0.51592505,0.44072002,0.6628322,0.624572,0.64324045,0.9673288,0.5373504,0.13670737,0.20104888,0.72347856,0.5574763,0.19921133,0.71191275
0.050765634,0.19168708,0.60035884,0.0751605,0.1244576,0.12593749,0.37526062,0.76616526,0.1047536,0.842508,0.71576333,0.1473043,0.34630004,0.8887872,0.049891625
0.74949795,0.93686235,0.2266626,0.07841698,0.12638663,0.12481277,0.2699374,1.0798417,0.41594815,0.5617022,0.5143143,0.48520505,0.4415716,0.5068173,0.032678563
0.35937357,0.7918448,0.63697875,0.066469505,0.6647433,0.3398513,0.467908,0.6238185,0.35054642,0.42879185,0.4579512,0.5150185,0.38774168,0.43294197,0.1859031
0.3534644,0.351078,0.5557428,0.14869364,0.28941327,0.24246582,0.6054927,1.1012483,0.08271788,0.88987267,0.8368517,0.18263617,0.18020353,0.88573724,0.118668124
0.69007105,0.8219432,0.65501875,0.1881437,0.4582417,0.3233158,0.33526015,0.79546785,0.47160718,0.36311185,0.34495798,0.57545096,0.52999055,0.3209648,0.19291689
0.72669154,0.80530256,0.43114272,0.10035904,0.19820938,0.1642045,0.17043425,0.84892845,0.44732082,0.47550073,0.43562895,0.50545084,0.496097,0.4217258,0.009127904
0.14516911,0.82593817,0.5237777,0.14105557,0.2837286,0.23718128,0.59230554,1.0294598,0.17162015,0.7337449,0.8110621,0.36629817,0.13071002,0.7422959,0.13492523
0.8699312,0.7413409,0.6853213,0.24870685,0.21835697,0.28446957,0.5863757,0.98700356,0.4850893,0.47452682,0.40326172,0.5169303,0.5861508,0.42400223,0.21716732
-0.023207325,0.27642226,0.4704622,0.12639637,0.09482135,0.15791194,0.4534818,1.1616817,0.094690844,0.8602163,0.80107176,0.18688135,0.2619218,0.9355965,0.111210644
0.1978087,0.7507009,0.19516405,0.19997528,0.17157982,0.25358525,0.4954016,0.81214046,0.14000016,0.83828706,0.92052174,0.31742254,0.073800035,0.8030044,0.09776208
0.14004019,0.23280016,0.6501505,0.11298181,0.16769092,0.1671642,0.61729544,0.9321853,0.057345673,0.9086324,0.799031,0.11126481,0.22635576,0.90081453,0.09953377
0.77102613,0.91263574,0.48423955,0.13350813,0.42259666,0.26624498,0.5553538,1.0573169,0.40327486,0.5107968,0.4964671,0.5218626,0.46182078,0.4700183,0.23250356
0.782164,0.6372315,0.3973657,0.11391322,0.24540189,0.19292758,0.3230304,1.1830302,0.3368641,0.59990245,0.5498232,0.40333802,0.43706208,0.5580719,0.05271939
0.599789,0.72039336,0.09863259,0.20745254,0.24835087,0.27729654,0.48509824,0.32660133,0.19634533,0.80725247,0.8279263,0.28452045,0.16694419,0.67702675,0.014970135
0.073549934,0.3879755,0.37015304,0.19961403,0.20219783,0.28343758,0.59118634,1.1477097,0.04563628,0.94732714,0.9673271,0.18202648,0.053689137,0.9835864,0.16476426
0.61411554,0.9135104,0.5702806,0.18753834,0.4681404,0.3297493,0.87339914,1.0206437,0.32370028,0.545822,0.58817387,0.481884,0.33540654,0.5595278,0.3578851
0.6347842,0.83884954,0.56712663,0.1889911,0.60759664,0.3970189,0.4751778,0.74129283,0.44314754,0.3437562,0.34453437,0.56517637,0.50264335,0.32094353,0.29842752
0.11784796,0.97480273,0.48613858,0.10941853,0.22025004,0.18044177,0.6991093,0.9681436,0.16306917,0.7485827,0.848876,0.36169672,0.08875993,0.778578,0.14227088
0.7798215,0.7860836,0.68938994,0.32862094,0.25187027,0.3475833,0.6936753,0.927444,0.50350326,0.4040381,0.3536913,0.57170355,0.5988362,0.36850962,0.38323945
0.15820993,0.33005232,0.26626894,0.20552853,0.23765817,0.27150607,0.39539263,0.79481864,0.061173987,0.91972697,0.9174851,0.1843161,0.08177801,0.89164734,0.10004775
0.19469044,0.09231515,0.6036132,0.042225458,0.11478078,0.10167608,0.47380543,0.7809354,0.08930034,0.7970213,0.63652706,0.11078481,0.3788634,0.8081579,0.058761414
0.55651224,0.90804565,0.73272467,0.15624644,0.6482323,0.39152256,0.41426826,0.5475498,0.5015633,0.37658873,0.3667263,0.6273237,0.54463035,0.3442354,0.16655383
0.7935744,0.9165066,0.52007765,0.3524735,0.65579283,0.54388714,0.77441347,1.1187005,0.47553152,0.33457357,0.36778572,0.65429425,0.50946975,0.3622213,0.62327397
0.24634139,0.21012038,0.63597876,0.12139268,0.25962937,0.20986679,0.6870902,1.0562041,0.03889693,0.99743944,0.8550291,0.110041425,0.2017375,0.9681422,0.12983492
0.5645616,0.8648594,0.16224866,0.13019824,0.19313064,0.19264975,0.6514141,0.8479111,0.21433465,0.7857378,0.8091217,0.31878382,0.18259782,0.7134438,0.06821056
0.7257088,0.7844161,0.50246143,0.17892203,0.40486693,0.3184719,0.8547457,1.1751562,0.27011746,0.67541766,0.68402123,0.39705783,0.31615826,0.674404,0.30896682
0.9132866,0.40133286,0.89564466,0.46636006,0.26163846,0.5061593,0.56302035,1.0778891,0.593741,0.32012597,0.22160712,0.6350651,0.7655163,0.34377867,0.4423746
0.822833,0.85449207,0.5034075,0.17909116,0.3440142,0.2784656,0.38011956,1.0128614,0.44566202,0.4430298,0.41976702,0.5395563,0.48723468,0.39752537,0.19291517
0.8300899,0.6062489,0.75375307,0.41392824,0.2610721,0.44541913,0.7219869,0.9605812,0.51551217,0.39965004,0.32916266,0.5806898,0.64823985,0.40746677,0.4798701
0.28303805,0.9754613,0.5689516,0.09855929,0.3344431,0.21649817,0.69908524,0.91857517,0.25710988,0.65137917,0.72910655,0.4302791,0.22573406,0.68398213,0.17150702
0.806282,0.72802323,0.5142792,0.22372879,0.1477066,0.22793111,0.68248063,0.848035,0.37119395,0.5885539,0.5325018,0.41181487,0.46329603,0.51925874,0.17245726
0.2790755,0.0630258,0.8049378,0.1101487,0.12660886,0.15166877,0.44787648,0.6603271,0.12761271,0.81841373,0.6342536,0.1280151,0.41622156,0.79876745,0.033094328
0.76290035,0.8944245,0.4891397,0.19265084,0.27065742,0.27648643,0.26721913,0.9305705,0.47690672,0.40625378,0.37441397,0.5632979,0.51614404,0.3534532,0.16645709
0.57237434,0.33046582,0.43432575,0.11724657,0.28149265,0.2033264,0.69875765,1.0311997,0.09600478,0.8925493,0.7864746,0.15269418,0.22123569,0.81140774,0.12905766
0.07965317,0.5656773,0.5457202,0.16856985,0.30286992,0.27418968,0.7083246,1.0240775,0.052724626,0.8950337,0.9401976,0.22719511,0.023225434,0.920123,0.17000575
0.56961036,0.07211316,0.80067843,0.14470705,0.21664174,0.22517127,0.55554485,0.92556036,0.18508197,0.7615924,0.5868415,0.17510498,0.47176218,0.7419851,0.09999581
0.73533326,0.9316495,0.49488094,0.25020385,0.43735516,0.37164655,0.7189241,1.0151079,0.4391808,0.4268475,0.45096722,0.57974523,0.48810068,0.4267888,0.42554936
0.6404065,0.8462725,0.5440995,0.058369875,0.34963998,0.19190574,0.23923454,0.83972704,0.3982148,0.48708653,0.4614624,0.4994996,0.45404908,0.42542,0.03416357
0.08537826,0.3428737,0.5464605,0.15616794,0.20599142,0.2363522,0.651117,1.0187355,0.046801668,0.9610704,0.91920257,0.1477533,0.12455413,0.9792008,0.12883747
0.1687512,0.4497246,0.59353584,0.11324392,0.27316725,0.1983286,0.3267686,1.0421871,0.14259198,0.73611724,0.7466401,0.30429468,0.24204615,0.7592298,0.06202295
0.9007612,0.57686234,0.5120718,0.18860982,0.17361432,0.22291628,0.3951876,0.9422555,0.44151884,0.55302197,0.44178402,0.44704488,0.557368,0.45859078,0.0766699
0.12605081,0.24126405,0.459682,0.10318203,0.16215903,0.16892378,0.51288754,1.1071125,0.064756714,0.9244641,0.82161903,0.14578325,0.2686412,0.9572963,0.1130739
