rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_aexp_data,actual
0.35266215,-0.12671174,0.42588842,0.3418887,0.52165025,0.24504207,0.48809028,0.055776544,0.1270695,0.07670215,0.09514998,0.1122832,0.25205755,0.35902306,0.027279146,0.08231527,-0.14376755,-0.06381259,0.1652761,-0.14694352,-0.050482552
0.5003566,-0.31816205,0.56705606,0.5796213,0.85788035,0.4664511,0.8324528,0.11319424,0.2345526,0.094136655,0.26093552,0.24002144,0.32852656,0.56028473,0.015808277,0.1192177,-0.24745306,-0.16179645,0.2728167,-0.29530996,-0.17569588
0.15212971,0.0073013753,0.59380394,0.31887752,0.40920734,-0.020549022,0.3320358,0.101373024,0.022413764,0.03558235,-0.09659561,-0.03010461,0.12520117,0.18415019,-0.018464528,0.15961155,-0.117965765,0.0046436638,0.22241639,-0.1317645,-0.079898104
0.32435197,-0.10428159,0.4224484,0.34604272,0.5365049,0.21672148,0.511184,0.07307779,0.12728758,0.050788194,0.039608132,0.0583003,0.27179483,0.3593575,0.0181778,0.10152888,-0.12820178,-0.0787368,0.16868742,-0.16699433,-0.09426552
0.103766,0.06466141,0.44934428,0.16094062,0.23923254,-0.1342851,0.2211771,0.12576365,0.14732887,0.10949941,-0.064883485,-0.0716198,0.1740193,0.21396685,0.014580935,0.16758464,-0.05659896,0.017620796,0.10479711,-0.07984815,0.0002558641
0.42793095,-0.14148684,0.46174443,0.41483143,0.6317165,0.40625462,0.6233639,0.074751124,0.16938801,0.12960681,0.23091295,0.22391976,0.305787,0.44672775,0.04946941,0.09257596,-0.16136542,-0.07810611,0.19155374,-0.1755175,-0.07892217
0.329813,-0.09314452,0.4463646,0.33508602,0.500539,0.12827905,0.38418907,0.0033074282,0.06349771,0.0065987185,0.00012564287,0.016544215,0.20894554,0.29309624,0.012889005,0.12808771,-0.116742656,-0.0341516,0.18398798,-0.18341547,-0.086108714
0.95537907,-0.47426206,0.9094935,0.79742277,1.2179525,0.35966268,0.5155496,-0.35190797,-0.31700346,-0.08666769,0.12845036,0.24452893,-0.22814333,0.20936263,-0.1722008,0.20475943,-0.39757064,-0.07783765,0.56707233,-0.61553144,-0.32862207
0.3476671,-0.12887417,0.4668868,0.390397,0.622057,0.3022883,0.65580636,0.14482239,0.21233736,0.115140334,0.12323438,0.12750041,0.32053202,0.4607628,0.036497757,0.09230036,-0.14359581,-0.099871896,0.1688504,-0.1586214,-0.084963664
0.3376062,-0.09823205,0.44420943,0.35971853,0.57107246,0.31490028,0.63586086,0.16117749,0.21872513,0.14089091,0.1510312,0.1440392,0.35306084,0.47469097,0.04782709,0.084493555,-0.1230371,-0.084780835,0.14517987,-0.12303616,-0.05410077
0.31321955,-0.054951012,0.6774219,0.4126663,0.54561144,-0.10310155,0.32109028,0.0028718412,-0.06426218,-0.00015505031,-0.1613799,-0.112295195,0.059087776,0.16842073,-0.07627136,0.25314113,-0.18465622,-0.0019320324,0.29521945,-0.3004395,-0.14607961
