size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_duration_D_t07,effort_D
-0.48520264,-0.10643608,1.320775,0.52463704,0.8876471,0.59829503,0.33729038,0.34357488,-0.3603179,0.21366887,0.8251101,0.65747845,0.542805,0.7500586,0.8554316,0.9054243,-0.057349935,0.72925514,0.8759124,0.60917324,0.9987658,0.5670837,-0.04721816,0.90085775,-0.25555944,-0.22247665,0.20278053,0.32424363,0.17853841,0.11897442,0.50581545
-0.17903055,0.1407885,0.8284302,0.4895624,0.70180345,0.6836771,0.4604763,0.76598823,0.21132725,0.36940014,0.6640293,0.43796688,0.44119042,0.5367223,0.76118404,0.8141112,0.106109455,0.75411177,0.7679291,0.7891688,0.83048874,0.48242047,0.08765672,0.7388896,-0.019954257,0.040646214,0.23424797,0.32424188,0.3133937,0.12504849,0.3934353
-0.2600133,0.025488576,0.9142666,0.43325716,0.65826344,0.3151234,0.14393775,0.1297875,-0.35413736,0.34351796,0.62238604,0.4532205,0.3360846,0.48526874,0.5181292,0.6355261,0.08789297,0.55079526,0.65944034,0.44486222,0.69265753,0.35749027,0.08905958,0.59172297,-0.08010957,-0.090752885,0.19824046,0.1789534,0.13794725,0.12669231,0.3787386
-0.28404763,0.032472976,0.89762026,0.4405506,0.73902893,0.67924434,0.4914964,0.6349331,0.058987804,0.29490805,0.70925874,0.46361345,0.40441918,0.6018578,0.7904562,0.71949506,0.016524803,0.7123355,0.7239771,0.6611159,0.8147218,0.53210706,0.08768762,0.7492924,-0.11744478,-0.0913959,0.18937045,0.2428396,0.20285602,0.064593874,0.3438617
-0.32440683,-0.024185605,0.91673994,0.431357,0.7316401,0.42232516,0.26425993,0.3043666,-0.22620453,0.2222169,0.65183973,0.5292133,0.3102504,0.55828625,0.68967754,0.681645,-0.052371547,0.60027367,0.68739927,0.5214797,0.78511184,0.43958604,-0.025188953,0.70656335,-0.14744326,-0.11893815,0.17320919,0.23455817,0.1678342,0.047553048,0.3837753
-0.2200947,0.06140659,0.9123003,0.5029138,0.7255661,0.6084644,0.40436614,0.6065594,0.033408068,0.2862521,0.66673577,0.5338635,0.32061762,0.5844727,0.7827409,0.7907814,0.018387195,0.7344419,0.77169347,0.71784943,0.8495114,0.49783337,0.0015677363,0.8078532,-0.097261116,-0.022693094,0.20985296,0.31399098,0.25535113,0.08736797,0.4277362
-0.44301793,-0.04414247,1.1969767,0.64148176,0.8887139,0.46837598,0.26008615,0.34350598,-0.4413234,0.22955343,0.83400226,0.7732038,0.30384338,0.7430223,0.92120135,0.97425187,-0.07544591,0.8305909,0.90257156,0.7386497,1.1200136,0.6066695,-0.15471472,1.0205127,-0.18820752,-0.10480338,0.27791223,0.40511072,0.261423,0.13721037,0.61576605
-0.15632293,0.1721136,0.81601983,0.5176738,0.6745554,0.5948028,0.3380092,0.7155543,0.11493377,0.36949447,0.65840536,0.53881,0.34701815,0.5661288,0.7425838,0.8827464,0.13409,0.7893464,0.81750935,0.8324434,0.8976482,0.49888527,0.023839429,0.7858674,0.020971335,0.098750785,0.26832062,0.39934874,0.36934778,0.174311,0.47732016
-0.41649446,0.05065783,1.087785,0.5329139,0.7842082,0.23923892,-0.03331656,-0.0050781816,-0.6301439,0.43309528,0.7860727,0.653003,0.42696196,0.61761475,0.6138905,0.8653369,0.1373107,0.671785,0.86489224,0.5161652,0.8170782,0.39244765,0.035160124,0.6879829,-0.12948124,-0.1716233,0.26168567,0.35239702,0.19866851,0.25309917,0.5171303
-0.21126664,0.041722044,0.7807149,0.45072255,0.7137213,0.6294709,0.5126501,0.5313357,0.06228591,0.29723048,0.6422319,0.42056042,0.32255715,0.52532935,0.7286183,0.5844061,0.03057978,0.6538701,0.6020911,0.56002855,0.7225678,0.47074607,0.10918915,0.66462517,-0.11512785,-0.074328825,0.14978835,0.19172585,0.16956852,0.04229054,0.29462987
-0.39083648,-0.023338206,1.1522486,0.5210601,0.85402983,0.671767,0.4597047,0.54430354,-0.12658119,0.28463537,0.80334246,0.55404997,0.4807967,0.69288254,0.87731624,0.8449131,-0.00081533566,0.7583176,0.81801784,0.67654276,0.9547024,0.58764154,0.02650255,0.8612352,-0.1715277,-0.13681307,0.21592166,0.28123802,0.20967126,0.08887614,0.4481136
