size_D,duration_D,har,dba,ifc,t01,t03,t13,t14,Generated_Var_9,Generated_Var_12,effort_D
0.31554013,0.35677838,0.76069283,0.89666104,0.8223158,0.62047267,0.21428025,0.27158576,0.5564724,0.0058381124,0.2797992,0.19552216
0.2889036,0.49322543,1.3798131,1.6182368,1.9334092,0.8954541,-0.3744239,0.10594579,1.2125149,-0.116161756,0.6437975,0.2915679
0.32372868,0.3582517,0.8214851,0.9427734,0.95199823,0.61590916,0.15265903,0.22686636,0.5935743,-0.06944795,0.28819394,0.22525832
0.5493796,0.4338777,0.8493212,0.96886957,0.6871816,0.9150728,0.36803576,0.3449782,0.3645011,-0.06495313,0.21424033,0.32860538
0.13692921,0.10786058,0.63117564,0.84215975,0.73221326,0.5080277,0.20889387,0.24210224,0.7261755,0.2871059,0.54856765,0.013818743
0.1670281,0.09469116,0.5488219,0.7907211,0.5769376,0.5448974,0.29560456,0.23855451,0.6468256,0.3159304,0.52166724,-0.005504026
0.1944376,0.2882971,0.69116384,0.8253701,0.83778036,0.5243532,0.15558504,0.28091127,0.62071174,0.121870264,0.34614295,0.11094854
0.41189295,0.41148788,0.9209265,1.0262986,0.9916347,0.7397415,0.15683271,0.23419625,0.550824,-0.14557464,0.25477067,0.3091053
0.15477307,-0.032604814,0.64377314,0.99274313,0.5786857,0.68210816,0.39867488,0.24485135,0.835962,0.51627684,0.783694,-0.081950895
0.47747612,0.48192915,0.9268524,1.0723193,0.94451165,0.8412527,0.27835402,0.30284426,0.5008022,-0.16764507,0.24291557,0.35597295
0.25843403,0.40465966,1.0509061,1.2200874,1.3898714,0.70410824,-0.09420291,0.1823177,0.86461186,-0.04370799,0.45502353,0.23146689
0.39683962,0.22613472,0.6823562,0.88921076,0.46558002,0.76822764,0.3983969,0.2773636,0.44980952,0.08481255,0.3354752,0.16238159
0.5469047,0.06579648,0.8427539,1.3851515,0.10364576,1.3465111,0.86629415,0.3827681,0.78305256,0.49291056,0.84710217,0.018934175
0.20483352,0.28454188,0.88581973,1.0069826,1.0851758,0.5778613,-0.02159496,0.20254508,0.7881035,0.030742446,0.43420112,0.12792258
0.1950926,0.034140095,0.5526933,0.90340525,0.4736941,0.7189855,0.42883936,0.25825453,0.74327314,0.47471878,0.6994692,-0.07906508
0.13478911,0.022961354,0.5687698,0.8716784,0.56673485,0.62228614,0.3023239,0.24470961,0.77239305,0.46740505,0.69039774,-0.064043805
0.5528957,0.24069917,0.82421875,1.1160065,0.3890308,1.0469557,0.55496967,0.3559637,0.50070935,0.17133194,0.47729445,0.21035436
0.36023882,0.37156785,0.9310343,1.0430146,1.0951614,0.65207535,0.06798904,0.2078923,0.6378806,-0.13130362,0.31392032,0.27160212
0.44010884,0.2856172,0.7191329,0.9600231,0.47764266,0.9447623,0.49542966,0.31333444,0.49818808,0.094519846,0.33946383,0.15463953
0.23785032,0.26884365,0.8025489,0.94717944,0.9958321,0.51693845,0.09211177,0.2154249,0.715453,0.046166178,0.37912947,0.15889204
0.16240999,0.23291811,0.65444326,0.8171678,0.81945753,0.4952107,0.15473355,0.26557177,0.6569753,0.16251233,0.39572203,0.091653176
0.47572035,0.43291655,0.8493301,0.9711168,0.82073104,0.77948415,0.26697484,0.2888366,0.45646545,-0.11662516,0.2221187,0.31870183
0.48055184,0.28492707,0.73923844,0.99581295,0.4464535,0.97277486,0.5255687,0.31222218,0.47541282,0.13726199,0.40197825,0.19140181
0.15140888,-0.025335493,0.5669873,0.8692912,0.49697196,0.6495324,0.35883945,0.23418175,0.7705942,0.48473713,0.720981,-0.09193068
0.17899811,0.21588685,0.6595657,0.8422065,0.78382003,0.51891345,0.18927622,0.24532561,0.66710615,0.18117575,0.4165678,0.065713026
0.21384019,-0.13604413,0.64694667,1.1727709,0.3420443,1.0280793,0.5496832,0.3013255,1.0653927,0.83239233,1.1124555,-0.22858784
0.15559852,0.14751118,0.76735306,0.9113261,0.9476719,0.45328304,0.07615011,0.20781311,0.78352267,0.16933116,0.5219194,0.051961713
