rely,data,tool,Generated_Var_1,Generated_Var_6,actual
0.5469924,0.14724801,0.3377865,0.568581,0.43746084,0.09838134
0.5360565,0.24405415,0.21857905,1.1978428,0.9544058,-0.039045017
0.4373345,0.101813465,0.20546956,0.79681295,0.6328163,-0.030294314
0.48545983,0.17476737,0.35190666,0.49884987,0.37180012,0.14311719
-0.15850386,0.7288978,0.33621603,0.59881496,0.25813833,0.40725994
-0.37499505,0.89769584,0.36016756,0.8456995,0.38517675,0.45198926
0.5630347,0.05229843,0.29691043,0.72484106,0.60902476,-0.0028532688
0.7521486,-0.15484683,0.27704406,1.145999,0.9804962,-0.08765282
0.09011757,0.3383198,0.22168769,0.6913823,0.4361334,0.11860062
0.51658666,0.07914606,0.25876677,0.787146,0.64969635,-0.028467543
0.71491927,-0.009352058,0.41104728,0.5568732,0.46308708,0.1241124
0.4929371,0.06467476,0.25477386,0.7953255,0.6560126,-0.027452748
-0.4486769,0.85318226,0.33494258,0.88845766,0.44484106,0.34544253
0.4417018,0.0771955,0.25106937,0.7542183,0.60826993,-0.011568261
0.7227572,0.079355836,0.37771678,0.57245064,0.47936618,0.107853875
-0.33466977,0.7438257,0.3106386,0.9062226,0.48853648,0.28021595
0.0664933,0.49253482,0.26500732,0.6643157,0.4108298,0.14541142
0.5945016,-0.009906612,0.24887393,0.9328452,0.7651219,-0.058272544
0.62894106,0.07231387,0.23783326,0.84901416,0.6394965,-0.0032095509
0.49852946,0.9574875,0.2440237,1.5477853,1.124855,0.13163875
0.6511032,0.025683157,0.32893145,0.64373946,0.4788355,0.050417036
-0.45480433,1.5519495,0.40507364,1.357109,0.7346979,0.4591077
-0.24975045,0.71676826,0.30158073,0.6669069,0.3113348,0.3240956
0.49620858,0.07202924,0.24958013,0.75073516,0.6366399,-0.032071617
0.98157954,0.054295693,0.4891619,0.5549669,0.4425038,0.24084228
0.59988517,-0.024601012,0.32080293,0.6568192,0.5773195,0.002483393
0.6750513,-0.04763198,0.2661808,0.82274586,0.6450677,-0.015319461
0.5312009,0.116935804,0.34771132,0.5718415,0.46169984,0.08149007
0.9057653,0.095715374,0.5049739,0.5344149,0.41391206,0.2567323
0.75140256,0.049546316,0.39686507,0.5800597,0.429533,0.13732773
1.0176483,0.03817775,0.48428154,0.56984174,0.45324996,0.20504327
0.72951734,0.09134502,0.3924083,0.55092263,0.45059833,0.1192563
0.2525521,0.25323072,0.29199675,0.63517034,0.44359243,0.12014733
0.8284634,0.08652205,0.4174018,0.5496885,0.4482776,0.15334791
0.42455402,0.18419957,0.2530123,0.6342599,0.42188314,0.06518181
0.683541,-0.015170433,0.24145505,1.0912657,0.9013972,-0.053556208
0.7167753,-0.14106098,0.27525163,0.9848709,0.8293069,-0.08663146
0.36112848,0.22682033,0.31282657,0.6038798,0.41149113,0.12643674
0.90273374,-0.022620715,0.40866822,0.6536205,0.48271537,0.12530097
0.41639152,0.21347404,0.31160533,0.6120414,0.46370107,0.08659157
0.3857059,0.3214528,0.23411894,0.70636225,0.51707125,0.06063079
0.5673346,0.12502164,0.4026183,0.61618996,0.43537018,0.13154395
0.5748375,0.10438699,0.38999367,0.46241674,0.39215052,0.15948747
-0.5232995,0.9562681,0.39726043,0.89065564,0.43487772,0.44043556
0.006862201,0.38357642,0.29699183,0.6754361,0.402548,0.22104283
0.53669983,0.09595972,0.30375588,0.6662252,0.5551524,0.015504865
0.9237105,0.09651331,0.47559375,0.53288984,0.4163459,0.2306759
0.29299572,0.2596063,0.305425,0.60338223,0.40654624,0.13153286
0.49472818,0.1662997,0.33465797,0.5669663,0.40502435,0.11724797
-0.029223572,0.7504373,0.26579034,0.8567576,0.45840764,0.25049385
-0.12033741,0.55562294,0.34066105,0.61217904,0.2955415,0.35927424
0.7503159,0.04505004,0.40458256,0.6408334,0.51363707,0.09508252
0.6744994,0.3586944,0.30591935,0.55917454,0.3675207,0.17774424
-0.98926103,1.4981077,0.50384593,1.0613333,0.42237574,0.6776475
0.42565426,0.33133823,0.25337362,0.649934,0.43029973,0.09465267
0.31164792,0.42427048,0.20871472,0.7283124,0.45301983,0.11771974
0.12631193,0.25770456,0.2780633,0.6408986,0.44278124,0.14370723
-0.045050275,0.4707312,0.27017695,0.6920985,0.39651206,0.19809869
0.74573845,0.16003016,0.35974997,0.55974793,0.37620384,0.1574901
0.3862854,0.2000649,0.2786252,0.6355841,0.4621424,0.06371063
-0.6403689,1.0208687,0.40904057,0.79982334,0.3457876,0.5326182
-0.5791665,0.9154268,0.37622666,0.84494877,0.39138642,0.46345633
0.4194234,0.1505231,0.35384053,0.58889675,0.42382753,0.11955592
0.697855,0.17761058,0.45200765,0.45449093,0.353163,0.25879708
0.82101613,0.08286419,0.42171746,0.5546922,0.43277645,0.14731108
0.013082515,0.5283716,0.25792783,0.6954165,0.41891298,0.16159487
0.47124755,0.11141514,0.24971601,0.7419891,0.596688,-0.0024894644
0.21108131,0.9076181,0.25786182,0.9422028,0.51783925,0.2388643
0.4985049,0.14974597,0.26592454,0.71968704,0.5787067,0.006494104
0.50669277,0.08222629,0.20339212,1.0494852,0.86070514,-0.07178523
1.2334439,-0.03702169,0.4967329,0.7444524,0.5730879,0.1924856
0.53588897,0.015573792,0.20971046,0.99580324,0.8311938,-0.07670657
-0.1871802,0.58128476,0.3105154,0.6808221,0.37057513,0.30654314
0.60079014,0.10238684,0.37188864,0.56991065,0.49228293,0.08282919
1.1108415,-0.027597927,0.48846048,0.6126206,0.51538086,0.2240787
-0.36734676,0.90486676,0.3415832,0.8584684,0.40821722,0.34452108
-0.03468391,0.48751727,0.2917034,0.6184248,0.3303453,0.27390137
0.6287974,0.09659949,0.40717614,0.61875105,0.47376707,0.09771137
-1.6313276,2.2639575,0.7223084,1.4393963,0.5677597,1.0194367
0.43738776,0.07173799,0.23967873,0.6965591,0.51762146,0.00906114
-0.38227692,0.89695966,0.32753927,0.85698754,0.40342385,0.34122807
0.6250028,0.054919697,0.2950741,0.7362799,0.59590244,0.0012678439
-0.13500169,0.5475695,0.289083,0.71151865,0.38720024,0.24800242
0.53201765,0.5214976,0.23125105,0.8467345,0.6311167,0.086467594
0.7013297,0.08279457,0.38541305,0.5757859,0.48381367,0.10398552
0.6154988,0.12703967,0.3838402,0.5650867,0.46238768,0.099902764
-0.30969557,0.6724581,0.3243891,1.0473313,0.63293123,0.2504831
0.9009136,0.06305882,0.43266994,0.5510579,0.43998885,0.18293785
