rely,cplx,virt,turn,pcap,vexp,tool,sced,loc,MI_loc_data,actual
0.35266215,0.42588842,0.24504207,0.48809028,0.07670215,0.09514998,0.35902306,0.027279146,0.08231527,-0.06381259,-0.050482552
0.5003566,0.56705606,0.4664511,0.8324528,0.094136655,0.26093552,0.56028473,0.015808277,0.1192177,-0.16179645,-0.17569588
0.15212971,0.59380394,-0.020549022,0.3320358,0.03558235,-0.09659561,0.18415019,-0.018464528,0.15961155,0.0046436638,-0.079898104
0.32435197,0.4224484,0.21672148,0.511184,0.050788194,0.039608132,0.3593575,0.0181778,0.10152888,-0.0787368,-0.09426552
0.103766,0.44934428,-0.1342851,0.2211771,0.10949941,-0.064883485,0.21396685,0.014580935,0.16758464,0.017620796,0.0002558641
0.42793095,0.46174443,0.40625462,0.6233639,0.12960681,0.23091295,0.44672775,0.04946941,0.09257596,-0.07810611,-0.07892217
0.329813,0.4463646,0.12827905,0.38418907,0.0065987185,0.00012564287,0.29309624,0.012889005,0.12808771,-0.0341516,-0.086108714
0.95537907,0.9094935,0.35966268,0.5155496,-0.08666769,0.12845036,0.20936263,-0.1722008,0.20475943,-0.07783765,-0.32862207
0.3476671,0.4668868,0.3022883,0.65580636,0.115140334,0.12323438,0.4607628,0.036497757,0.09230036,-0.099871896,-0.084963664
0.3376062,0.44420943,0.31490028,0.63586086,0.14089091,0.1510312,0.47469097,0.04782709,0.084493555,-0.084780835,-0.05410077
0.31321955,0.6774219,-0.10310155,0.32109028,-0.00015505031,-0.1613799,0.16842073,-0.07627136,0.25314113,-0.0019320324,-0.14607961
0.3826124,0.72786695,-0.040371455,0.43555707,-0.051078033,-0.15455437,0.1695945,-0.052363724,0.29325372,-0.026152201,-0.21582663
0.34286255,0.44290367,0.2944676,0.5982085,0.107121006,0.15060712,0.43895987,0.05083251,0.111156516,-0.08179348,-0.061495926
0.46728116,0.49491552,0.3561706,0.45599598,0.08958958,0.2262902,0.31401387,0.029907893,0.11138498,-0.024521478,-0.10810462
0.6928913,0.64128286,0.5392699,0.7652105,0.04749781,0.30144006,0.5120779,-0.042683847,0.13891664,-0.14192116,-0.19335824
0.16319494,0.40621483,0.15679374,0.5474616,0.20842351,0.13122255,0.47124562,0.104207456,0.12391693,-0.03498117,-0.02566776
0.23001845,0.4446701,0.23008592,0.5242838,0.18366632,0.15215927,0.45740318,0.10479973,0.1124214,-0.0058993846,-0.0068556294
0.2516415,0.46383873,0.30413902,0.7970157,0.14821006,0.15603882,0.56458896,0.083250284,0.1418499,-0.117052324,-0.10647102
0.26320678,0.5668725,0.024570107,0.34523815,0.027548213,-0.13529271,0.15976346,0.0040809065,0.17462976,-0.028516255,-0.12046456
0.5667638,0.5403679,0.36298397,0.55406266,0.038824383,0.15047576,0.33045328,-0.020594,0.11436232,-0.07164921,-0.17631495
0.27734652,0.412739,0.2020546,0.4743603,0.12825552,0.105277516,0.3249866,0.06042087,0.1061794,-0.03280706,-0.068663105
0.23289903,0.4321636,0.22874948,0.55739886,0.17538811,0.12916231,0.4075995,0.12675408,0.09899598,-0.040933363,-0.042646583
0.13731506,0.41911966,0.13887492,0.53311557,0.15188716,0.071290985,0.34089467,0.13197199,0.11091356,-0.043801248,-0.083548814
0.20060478,0.4231206,0.20725536,0.564431,0.11818832,0.08501899,0.33603776,0.13739339,0.13085982,-0.06416624,-0.106903
0.32458347,0.4926703,0.12190811,0.38443053,0.010624338,-0.06235338,0.19357279,0.01217892,0.12232589,-0.03497313,-0.10865995
0.13540775,0.48001745,0.060623925,0.40957886,0.07495742,-0.056047417,0.23531461,0.073819645,0.13339329,-0.030912824,-0.06846526
0.3164732,0.45104077,0.30925143,0.6851147,0.13962665,0.14670818,0.5062729,0.05069895,0.09911768,-0.10137106,-0.071560785
0.32672858,0.59194434,-0.008860834,0.35023487,-0.0010927841,-0.18164152,0.09184835,-0.04619191,0.22545324,-2.2135675e-05,-0.15117404
0.40043068,0.55815244,0.40468088,0.88553643,0.107428074,0.19570988,0.6163785,0.023422841,0.116408676,-0.16687068,-0.14584099
0.28390688,0.48913422,0.32094955,0.7585497,0.1317425,0.1379708,0.5549915,0.060841657,0.118232526,-0.10094202,-0.0888156
0.22946338,0.40701202,0.113698885,0.41826385,0.13526495,0.05920415,0.35651055,0.06683655,0.11044349,-0.024592329,-0.016709503
0.18864472,0.43773156,0.15766823,0.5030371,0.22854654,0.13957168,0.41783553,0.1210588,0.11565787,-0.00587257,-0.01241352
0.25377226,0.4681801,0.13789,0.37377977,0.073222674,0.051536255,0.23563382,0.024550665,0.11385956,-0.0052264854,-0.07193397
0.35874933,0.4728654,0.1555526,0.3379893,0.037283614,0.034165386,0.20920151,-0.016051285,0.12033646,-0.02202024,-0.10088745
0.38119918,0.45366693,0.29404363,0.6561643,0.07375229,0.09799926,0.44838932,0.018358983,0.09921849,-0.09907394,-0.09742284
0.34334844,0.4671467,0.1607268,0.39428502,0.025280468,-0.0123107135,0.21977782,0.017196696,0.10818467,-0.04064829,-0.10279684
0.59717995,0.5452604,0.4244173,0.5680275,0.03148975,0.17721972,0.29017705,0.030055292,0.1392385,-0.07543104,-0.21462572
0.61423784,0.6648131,0.30863208,0.49016565,0.0073836856,0.15185124,0.28661695,-0.11680976,0.107267395,-0.04456701,-0.17689772
0.8932864,0.7149456,0.5665971,0.5812725,-0.015367586,0.3316475,0.336415,-0.09200651,0.13722421,-0.07265287,-0.24825662
0.17779806,0.4037041,0.078691356,0.36460984,0.12643605,0.009683911,0.26264137,0.081953645,0.13669999,0.00809079,-0.047835667
0.16381958,0.42910022,0.0064730123,0.3082996,0.10363819,-0.048536323,0.25668564,0.018628772,0.10766711,-0.0099383,-0.013658617
0.18660364,0.46828377,0.20803082,0.77768755,0.13294603,0.08626597,0.5327704,0.08394111,0.17152968,-0.0984051,-0.095658585
0.6810813,0.5700852,0.43278897,0.55097556,-0.007164385,0.15388277,0.27875498,-0.013007313,0.1416698,-0.06830167,-0.24975213
0.41796285,0.5650318,0.2892076,0.6101538,0.014865965,0.06765712,0.3684788,-0.0144113675,0.14910406,-0.08774411,-0.15046947
0.024516994,0.39758983,0.084239036,0.5445323,0.18647869,0.081020795,0.37492174,0.17543992,0.15474324,-0.032901727,-0.08479008
0.30520046,0.48537526,0.3417038,0.76481473,0.12696657,0.16429816,0.528393,0.07023863,0.104903184,-0.1293762,-0.10595058
