size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t03,t04,t14,effort_D
-0.48520264,-0.10643608,1.320775,0.52463704,0.8876471,0.59829503,0.33729038,0.34357488,-0.3603179,0.65747845,0.542805,-0.04721816,0.50581545
-0.17903055,0.1407885,0.8284302,0.4895624,0.70180345,0.6836771,0.4604763,0.76598823,0.21132725,0.43796688,0.44119042,0.08765672,0.3934353
-0.2600133,0.025488576,0.9142666,0.43325716,0.65826344,0.3151234,0.14393775,0.1297875,-0.35413736,0.4532205,0.3360846,0.08905958,0.3787386
-0.28404763,0.032472976,0.89762026,0.4405506,0.73902893,0.67924434,0.4914964,0.6349331,0.058987804,0.46361345,0.40441918,0.08768762,0.3438617
-0.32440683,-0.024185605,0.91673994,0.431357,0.7316401,0.42232516,0.26425993,0.3043666,-0.22620453,0.5292133,0.3102504,-0.025188953,0.3837753
-0.2200947,0.06140659,0.9123003,0.5029138,0.7255661,0.6084644,0.40436614,0.6065594,0.033408068,0.5338635,0.32061762,0.0015677363,0.4277362
-0.44301793,-0.04414247,1.1969767,0.64148176,0.8887139,0.46837598,0.26008615,0.34350598,-0.4413234,0.7732038,0.30384338,-0.15471472,0.61576605
-0.15632293,0.1721136,0.81601983,0.5176738,0.6745554,0.5948028,0.3380092,0.7155543,0.11493377,0.53881,0.34701815,0.023839429,0.47732016
-0.41649446,0.05065783,1.087785,0.5329139,0.7842082,0.23923892,-0.03331656,-0.0050781816,-0.6301439,0.653003,0.42696196,0.035160124,0.5171303
-0.21126664,0.041722044,0.7807149,0.45072255,0.7137213,0.6294709,0.5126501,0.5313357,0.06228591,0.42056042,0.32255715,0.10918915,0.29462987
-0.39083648,-0.023338206,1.1522486,0.5210601,0.85402983,0.671767,0.4597047,0.54430354,-0.12658119,0.55404997,0.4807967,0.02650255,0.4481136
-0.17519192,0.0883379,0.7303475,0.34735513,0.54316604,0.24380782,0.09301959,0.1098904,-0.24921069,0.37130272,0.3281129,0.10960824,0.2946402
-0.28045252,0.015983935,0.9856342,0.43411496,0.73742914,0.74183196,0.48185423,0.6456125,0.10023764,0.48090914,0.5129419,0.08589646,0.3510396
-0.582253,-0.10882924,1.4381609,0.61265683,0.95605683,0.54287213,0.2608216,0.17053866,-0.6100746,0.743921,0.5536739,-0.020129353,0.5648206
-0.04354292,0.28876743,0.82088506,0.6228541,0.6490835,0.61741185,0.24619852,0.8107467,0.105578996,0.69699043,0.30108654,0.009784564,0.60674816
-0.21522535,0.025824413,0.830645,0.4168764,0.66632164,0.54050446,0.38762093,0.46615303,0.012570013,0.42039058,0.33721268,0.048507307,0.32091668
-0.18745998,0.03660074,0.7585187,0.4283049,0.7125508,0.65662605,0.54299456,0.53495467,0.1155478,0.3716292,0.32641476,0.16935149,0.2465889
-0.2864247,-0.038439676,0.9006227,0.43048814,0.750253,0.69625604,0.5270364,0.46312743,-0.010244378,0.4388323,0.3968475,0.14251395,0.27370083
-0.29829538,-0.037413828,0.8640153,0.45059493,0.7716139,0.62490386,0.45417145,0.48398393,-0.03755861,0.48374507,0.33902574,0.087611526,0.3294408
