PointsAdjust,Envergure,Effort
0.57269895,0.9906553,0.4694623
0.12512846,0.5152313,0.10808265
0.07377963,0.57204115,0.1365448
0.12490255,0.2199744,0.020435978
0.4574362,0.65111125,0.5440273
0.12653242,0.57974356,0.21201251
0.11093037,0.47769427,0.09725252
0.21950196,0.9026252,0.2596192
0.1416809,0.4785575,0.09212873
0.14233796,0.30329823,0.07326773
0.12031278,0.35808554,0.07797242
0.14485511,0.44087753,0.089720085
0.15922128,0.4951038,0.119500116
0.12396301,0.2687989,0.13450086
0.21298563,0.72626406,0.24638218
0.17449676,0.4784843,0.055702478
0.20939839,0.5948299,0.17263164
0.11133219,0.49005607,0.09080386
0.030502398,0.44547275,0.071188286
0.29785132,0.6461499,0.34883788
0.06400543,0.03972596,-0.01837549
0.19073433,0.7167235,0.26224846
0.12573457,0.12067981,0.054559886
0.08087666,-0.030068766,-0.0605851
0.23929316,0.5964287,0.013554361
0.5962797,1.0908189,0.20932038
0.1851686,0.62514937,0.18152219
0.63972753,0.5111185,0.5946144
0.10161458,0.5354711,0.15840624
0.183078,0.7034072,0.09909503
0.12463799,0.57360244,0.11836062
0.15184596,0.75081974,0.10390422
0.15680736,0.49621633,0.23429704
0.18793406,0.5294634,0.104680374
0.121542215,0.38249174,0.0812402
0.14638317,0.311155,0.052740134
0.118346184,0.4290391,0.06954782
0.11121647,0.7323318,0.13031647
0.14133094,0.26943702,0.015256717
0.19055857,0.26311082,0.13779938
0.13055882,0.673032,0.15994887
0.106877625,0.5909582,0.1798887
0.15059002,0.35299602,0.0961404
0.12664199,0.34790373,0.10243508
0.14161,0.40560687,0.053153135
0.17180188,0.064140275,0.06813431
0.08657099,0.47942048,0.1282519
0.10423151,0.20772941,0.07470989
0.29083315,0.8579303,0.4334532
0.35838702,0.8285281,0.4360931
0.25443462,0.5218131,0.27943018
0.15144281,0.28504428,0.10902734
0.075437315,0.22599806,0.029207429
0.10761754,0.4455121,0.1588548
0.1854317,0.7551095,0.12773141
0.10750279,0.45843124,0.14819016
0.2684604,0.5852785,0.36110833
0.3385669,0.8664372,0.43762833
0.10218854,0.3621062,0.04850258
0.15635057,0.23327143,0.10789661
0.10615818,0.52699715,0.16374053
0.09796275,0.7400598,0.1849519
0.20240164,0.6853105,0.29899883
0.20303574,0.5665817,0.16225877
0.12549151,-0.30379155,-0.057484176
0.24934985,0.87511224,0.34336442
0.061946232,0.625579,0.15365875
0.10556121,0.68822944,0.2238304
0.2396872,0.95062053,0.23160177
0.15827347,0.22952491,0.04265454
0.40241385,0.6512319,0.48677322
0.22107162,0.6194583,0.29284745
0.10981272,0.7254057,0.101504564
0.1400888,0.54879344,0.23482816
0.14239836,0.3354427,0.02567411
0.3375581,0.86673826,0.4951354
0.24393745,0.84581214,0.41370827
0.14246045,0.6165141,0.2632915
0.09863399,0.5556917,0.20126054
0.22909303,0.64492035,0.35359704
0.15959391,0.26912743,0.062423624
0.22831233,0.7133001,0.25964716
0.1572516,0.35966116,0.07998119
0.124812126,0.2482144,0.054265127
0.14503539,0.63811195,0.23785289
0.10558635,0.4597051,0.11963819
0.14642707,0.23084156,0.00059611537
0.36219954,0.8959756,0.5998884
0.18507516,0.69210565,0.19875957
0.5760556,0.23885742,0.39982134
0.21838886,0.7514608,0.32428202
0.12994625,0.33660153,0.15961301
0.17604773,0.48453403,0.088255405
0.16608097,0.57685745,0.16225417
0.17043845,0.7111015,0.11124022
0.13547668,0.5978697,0.13530691
0.19128773,0.5501593,0.2706535
0.07166599,0.37353498,0.054383103
0.16283657,0.6537937,0.25884148
0.20190817,0.76068455,0.27874297
0.17024042,0.7038743,0.036643237
0.0782212,0.12695108,-0.0403059
0.14502065,0.44619876,0.08448746
0.117213294,-0.052280564,-0.01615157
0.1448157,0.526782,0.12751697
0.082158074,0.16541006,0.035767328
0.101787314,0.22163072,-0.03014975
0.08214536,0.23156019,0.06988681
0.08848711,0.5916342,0.16100334
0.11633432,0.30768564,0.018945038
0.15211818,0.7494061,0.26613814
0.13544628,0.69096917,0.21716996
0.23349316,0.6462698,0.16756259
0.065511554,0.617432,0.13313657
0.08008428,0.67786276,0.20188871
0.13820603,0.4498472,0.08523339
0.20508736,0.66904587,0.16257642
0.19718635,0.7341412,0.36001334
0.10947947,0.46061656,0.10046975
0.25089234,0.86314285,0.38320962
0.13376737,0.15672497,0.06941569
0.10779327,0.66381156,0.1713824
0.10948056,0.24963652,0.06661704
0.17050514,-0.09380725,-0.10999785
0.15278476,0.4370467,0.08955854
0.14886133,0.44213232,0.17575356
0.15509824,0.47839,0.093987525
0.10743813,0.111669466,0.032126404
0.14556924,0.469643,0.11311215
0.19219996,0.71863866,0.2790335
0.21766248,0.48140645,0.15106453
0.17384945,0.7001175,0.19547637
0.31531146,0.7245689,0.17428279
0.28434333,0.8498472,0.46240398
0.14131165,0.3433405,0.07217002
0.2868092,0.80933654,0.40046415
0.34920457,0.79179555,0.5629813
0.10776621,-0.110946804,-0.014478579
0.117952794,0.5333255,0.15038067
0.1418977,0.49053925,0.14679086
0.32674855,0.60246223,0.4335275
0.12074044,0.54183674,0.1350486
0.1249522,0.3187952,0.028318938
0.1312451,0.41676176,0.10403496
0.11470039,0.5348772,0.11647846
0.10758601,0.63432354,-0.0050222687
0.19904149,0.4087102,0.06565042
0.200796,0.45337048,0.23077063
0.15425502,0.67740035,0.22995585
0.17452173,0.84308743,0.06458746
0.27400976,0.8889424,0.40721616
0.14109813,0.60610366,0.26849976
0.14439833,0.48769632,0.12843944
0.10541706,-0.07862975,-0.056925926
0.12324965,0.10460022,-0.03887627
0.1730856,0.7931678,0.26074234
0.16979277,0.39935872,0.061213482
0.08685371,0.41341224,0.11986822
0.12066467,0.68595535,0.18169297
0.19156736,0.6474258,0.1884322
0.18022312,0.67286175,0.22910653
0.4014356,0.6865281,0.066079505
0.05117018,0.3662023,0.06674936
0.18244398,0.40153718,0.10317454
0.13230322,0.35655478,0.077946365
0.15598357,0.66823834,0.17530477
0.43898508,0.09845543,0.09626384
0.14308739,0.79013234,0.21106523
0.25733122,0.22085756,0.18122537
0.1280682,0.8274569,0.26307464
0.15350097,0.7069666,0.25947413
0.15459941,0.46913818,0.0805465
0.15465717,0.15365687,0.04955115
0.23520887,0.6438287,0.3008847
0.07802896,0.5976431,0.1718077
0.4030017,0.9376417,0.3993052
0.26844957,0.74363476,0.3628908
0.16163298,0.381896,0.04038179
0.15001297,0.7116185,0.21541354
0.1134392,0.14111006,-0.020062499
0.26448277,0.574332,0.35117868
0.24615858,0.41788834,-0.04981638
0.05831829,0.5822104,0.11614469
0.13066332,0.073222816,0.05556383
0.16765013,0.4925628,0.2284813
0.48041975,0.88635385,0.56316537
0.12326464,0.75418043,0.23960316
0.47941607,-0.1705353,0.10539721
0.48679307,0.72917765,0.600221
0.29467118,0.80059725,0.4222777
0.26588988,0.08250978,0.10887675
0.14536813,0.2931463,0.08671568
0.2797551,0.80433416,0.37417474
0.2383807,0.5761302,0.13043725
0.1410538,0.38383165,0.08520586
0.19848937,0.77997595,0.3172292
0.17186917,0.4899729,0.08957098
0.12910137,0.3161753,0.072817594
0.09839882,0.5363108,0.12140858
0.1146045,0.5909626,0.10627721
0.11888774,0.39546376,0.025023384
0.08955692,0.61231244,0.18665591
0.23721978,0.91578436,0.3687284
0.06789929,0.0781958,0.0013730936
0.17712201,0.47844872,0.22288756
0.17837258,0.66742134,0.1762934
0.18260427,0.6939915,0.08540361
0.048322104,0.5490646,0.09505224
0.11757541,0.59199864,0.18588433
0.14817247,0.38439256,0.07142635
0.13109413,0.5618875,0.23537533
0.16849804,0.4328855,0.0841068
0.1210186,0.04541374,0.038554978
0.17359696,0.5581353,0.20539738
0.12913316,0.64351076,0.23403732
0.06085212,0.035802346,-0.0060438924
0.11976911,0.49929464,0.17984222
0.17314151,0.42983702,0.10014324
0.1999411,0.67204773,0.34383494
0.15949781,0.32113624,0.10378054
0.22556038,0.7642623,0.29625136
0.5590076,0.7344178,0.66805077
0.17265652,0.8217244,0.04897683
0.15569066,0.6983363,0.21994263
0.16870417,0.5338705,0.12366675
0.3655041,0.73502207,0.09227423
0.061089903,-0.02896664,-0.054033253
0.3266831,0.61453635,0.4322671
0.07899724,0.21188012,0.048107564
0.26165044,0.85735106,0.44162712
0.11526491,0.7740063,0.22328214
0.15577409,0.31019062,-0.07452838
