Transactions,Entities,PointsAdjust,Effort
0.10238244,0.61139333,0.21110524,0.20107979
0.16892354,0.120127454,0.059088096,0.17901638
0.13613999,0.20046365,0.093498796,0.15271166
0.2322893,0.16730003,0.124827445,0.18365875
0.14865305,0.10337615,0.058473013,0.15970194
0.20913632,0.17619258,0.12509793,0.15424426
0.13750404,0.11527506,0.042751614,0.14428973
0.31690276,0.27430323,0.21958429,0.4659035
0.24645357,0.15088694,0.13792738,0.2592728
0.19035088,0.39484438,0.17003503,0.15424536
0.1102407,0.14160122,0.054754652,0.12963912
0.23157673,0.35324168,0.23669524,0.2414788
0.26112595,0.45340398,0.2756748,0.38161543
0.280498,0.13016844,0.15995613,0.23751247
0.2617377,0.22194871,0.1790756,0.23695308
0.26398835,0.42539656,0.28722513,0.29562727
0.43104112,0.14871646,0.2464592,0.42723614
0.2432789,0.18779624,0.12041709,0.24872679
0.13842894,0.5002537,0.20014961,0.18878207
0.37844867,0.2244072,0.23066,0.385596
0.1547356,0.97506315,0.37544584,0.37585372
0.28231663,0.19113044,0.1797207,0.17261934
0.19723804,0.4814108,0.22766216,0.28805465
0.1983039,0.203362,0.14216688,0.12498966
0.28297886,0.19288072,0.18970913,0.3218035
0.18702863,0.3934917,0.20446576,0.36707982
0.08982739,0.17772478,0.058432728,0.106776536
0.1592108,0.2901466,0.13495849,0.22619286
0.12581939,0.1856577,0.07068507,0.089279935
0.04530338,0.5352689,0.1548807,0.1276673
0.28273818,0.4502101,0.30010828,0.48983932
0.18715264,0.13639082,0.04741316,0.20956558
0.6067718,0.54003626,0.5750028,0.7564766
0.25084886,0.3200997,0.2016673,0.25894582
0.14793263,0.09813885,0.057547078,0.091906756
0.12587474,0.51506716,0.18132344,0.24329597
0.10910867,0.0576727,0.019225713,0.090505525
0.093109325,0.15947658,0.060715735,0.12958986
0.107338876,0.64343446,0.21916121,0.27341643
0.03480054,0.89419734,0.2372801,0.2776211
0.1839508,0.27523482,0.14121494,0.1495356
0.21368714,0.23957159,0.15239708,0.2967137
0.14653619,0.49597228,0.2057374,0.26522115
0.111658245,0.118053004,0.028150823,0.07250827
0.13094708,0.23272385,0.09454461,0.18352476
0.3027806,0.19383737,0.1915144,0.38758737
0.31274468,0.33437577,0.25165963,0.08213228
0.072516814,0.24183431,0.060672224,0.07148251
0.13030443,0.18420926,0.09434317,0.14430681
0.43151104,0.06239882,0.22913149,0.3060888
0.27325067,0.19872825,0.18302871,0.21502802
0.13618578,0.57964,0.21909323,0.25494078
0.124007925,0.17237253,0.06446471,0.10970682
0.32284003,0.6343777,0.3845262,0.41516748
0.28160217,0.18309294,0.18462315,0.36181206
0.3493169,0.12959042,0.20773417,0.21024445
0.41454762,0.49842367,0.4162426,0.5632261
0.19684392,0.37901142,0.19724491,0.34531298
0.5609005,0.50067633,0.53245056,0.6618245
0.29240698,0.2514501,0.20745486,0.21868974
0.16927661,0.15009695,0.07257386,0.23601687
0.1753611,0.60374206,0.2536631,0.30214426
0.15994242,0.47422406,0.20128058,0.27963278
0.13866583,0.8973695,0.34146953,0.37259662
0.25701162,0.15445954,0.14494137,0.19259077
0.14308764,0.07591386,0.032755706,0.050922554
0.2557173,-0.0018180329,0.09580003,0.17239213
0.18659805,0.33049792,0.1625672,0.3163027
0.20629337,0.32545194,0.18563305,0.33195022
0.10530087,0.18927018,0.06421365,0.13864957
0.13247989,0.055530004,0.02511923,-0.13860336
0.13300252,0.3465647,0.13763727,0.18180838
0.18405968,0.24660726,0.13759595,0.0944862
0.17012867,0.2917332,0.1485441,0.3062646
0.15199098,0.32586083,0.13764128,0.1857644
0.17841536,0.20838241,0.1321258,0.1608698
0.2924263,0.4469877,0.3104406,0.5184217
0.10307485,0.1273994,0.0358452,0.090783775
0.2707785,0.17196037,0.14034382,0.20896009
0.15349819,0.45173395,0.17419739,0.22433302
0.23801558,0.44590935,0.25471246,0.37761
0.2837523,0.37795904,0.24144782,0.3747975
0.3991882,0.43418843,0.3916772,0.5084784
0.25725344,0.31283644,0.19789383,0.40863964
0.23336633,0.275615,0.15489572,0.30307227
0.1339511,0.23061232,0.09701538,0.15830623
0.16033344,0.25960022,0.125649,0.23192021
0.21963269,0.4049425,0.23621447,0.28489092
0.21134141,0.28386688,0.11238507,0.23891151
0.09382297,0.1638181,0.05305873,0.14029503
0.2640165,0.29724872,0.21151936,0.31449965
0.5370788,0.4796184,0.50388074,0.6013992
0.44489247,0.32665148,0.31968233,0.5023406
0.2616759,0.18893911,0.18619289,0.24788386
0.13260919,0.493515,0.1523898,0.23915279
0.13915947,0.15081285,0.06409206,0.10030065
0.85831547,0.60089314,0.7806941,0.9362976
0.26454943,0.21449843,0.16785094,0.29103574
0.31868333,0.445063,0.31646523,0.468357
0.18037385,0.32496998,0.1678237,0.116991624
0.14912972,0.21994595,0.09888451,0.15672141
0.08540654,0.90116155,0.27495265,0.24561784
0.6345001,0.4823591,0.5831736,0.5850606
0.24303393,0.17559235,0.16050655,0.3092023
0.07778412,0.48252928,0.14363882,0.18670902
0.2776913,0.15514997,0.14153443,0.23871332
0.19106881,0.13865663,0.05665078,0.19057357
0.26932415,0.16855781,0.16646297,0.19976386
0.13569681,0.4908947,0.19772542,0.26688653
0.24505465,0.53678024,0.25897482,0.34698248
0.13826142,0.20759758,0.09144512,0.17240503
0.28226596,0.24648266,0.17934401,0.3779597
0.33137214,0.13816102,0.1916749,0.24119884
0.24059947,0.15628704,0.103727184,0.23515469
0.22497901,0.2394485,0.15645617,0.24650681
0.21434881,0.11980697,0.08070021,0.258193
0.12647258,0.4331542,0.12618354,0.23418355
0.2840708,0.14016384,0.15331246,0.27125996
0.223886,0.337622,0.17955841,0.20275533
0.19533542,0.3524982,0.2009762,0.3615863
0.37039363,0.18674797,0.20842592,0.32070833
0.12589236,0.2625986,0.093491785,0.13783881
0.2428825,0.14281479,0.13257004,0.16184583
0.41260168,0.46417385,0.3971616,0.5853506
0.18691196,0.16523181,0.10994515,0.18349025
0.87935406,0.54644656,0.7674347,0.7744952
0.24156167,0.5911813,0.3099221,0.44422907
0.15465862,0.1592947,0.083255485,0.20204425
0.19841772,0.32634327,0.17589343,0.23547563
0.12717429,0.6031105,0.22233741,0.21128395
0.13980985,0.28029272,0.13255638,0.22494009
0.17134342,0.2714521,0.1327516,0.19296655
0.103341386,0.1371224,0.03263177,0.090970375
0.24707805,0.3688017,0.2413987,0.30630457
0.25206062,0.15139428,0.15099066,0.18112841
0.28130275,0.27041623,0.20208514,0.20931062
0.12254126,0.29001528,0.10563118,0.19195163
0.10074863,0.59750926,0.15295368,0.25045425
0.13523442,0.54137385,0.21571675,0.28414825
0.20443757,0.19663109,0.14898574,0.27172706
0.1813655,0.22304113,0.14017914,0.21470892
0.20309143,0.24542965,0.14851704,0.25610435
0.22271521,0.34620374,0.19653839,0.39403844
0.4773075,0.45478114,0.44012237,0.54449755
0.13192058,0.5478223,0.2181626,0.13258183
0.20475146,0.41862744,0.2089501,0.3197646
0.09718667,0.8986104,0.26589918,0.26598114
0.268275,0.35487968,0.24094604,0.48665854
0.5385627,0.52727485,0.50648373,0.8153384
0.118926585,0.1959124,0.09386632,0.13606712
0.53026694,0.6269013,0.5444636,0.5573293
0.1614882,0.29645827,0.14559177,0.2525923
0.19710806,1.4160808,0.54122794,0.47298756
0.19232368,0.2882384,0.15941632,0.28366992
0.41836998,0.20078821,0.24098755,0.27044192
0.1395782,0.16208524,0.07893354,0.025184896
0.25728625,0.15812336,0.122076094,0.29631132
0.21767098,0.1891795,0.12829094,0.21338823
0.13009052,0.38527545,0.12619263,0.234384
0.34585148,0.32427225,0.25650147,0.43306905
0.053485785,0.7325802,0.22764681,0.24979067
0.07822199,0.29300353,0.09076704,0.15914036
0.34297493,0.37542534,0.32236493,0.41884524
0.18856464,-0.048390903,0.04620704,0.09043485
0.11386967,0.53869385,0.17740607,0.22622585
0.16471924,0.1050076,0.06806046,0.10599007
0.27192616,0.15043639,0.18155558,0.008350924
0.19167139,0.396572,0.20111738,0.38827968
0.31872335,0.2680873,0.247582,0.39559048
0.48499507,0.48446628,0.46279418,0.6899265
0.16945371,0.13590866,0.06890189,0.18066305
0.16700141,0.28315285,0.13012476,0.19722515
0.1849541,0.45133343,0.21916479,0.30273676
0.5322239,0.6829821,0.5513026,0.4579271
0.112457186,0.15401752,0.025922839,0.056717798
0.2111304,0.32184625,0.1864997,0.21609327
0.20345436,0.31518307,0.16188869,0.18973008
0.36803144,0.4751978,0.368706,0.6103278
0.18412855,0.2333227,0.12533665,0.20050657
0.12176414,0.1318806,0.033749405,0.14265145
0.32229108,0.30143577,0.2382419,0.3568978
0.2612743,0.19916727,0.15861697,0.2295762
0.29629463,0.1599717,0.16472514,0.28799012
0.15957454,0.37159136,0.16854462,0.3437422
0.114278674,0.2071323,0.09123714,0.14487122
0.13629211,0.23036449,0.094224826,0.16598853
0.23691778,0.17153709,0.13390085,0.27288482
0.17465964,0.29519045,0.17285162,0.21100375
0.1610842,0.29244736,0.13826439,0.28430822
0.26230168,0.3644555,0.23873092,0.39208868
0.08136211,0.26867753,0.067683294,0.1362775
0.3439711,0.56675005,0.3813871,0.7068281
0.18717384,0.32535464,0.16066644,0.22136495
0.2600727,0.4466706,0.29027027,0.42250597
0.12656933,0.12322106,0.046487316,0.06804372
0.17452265,0.14967863,0.08082181,0.13772216
0.11793211,0.3073154,0.10192628,0.1625254
0.21317537,0.24009119,0.1378413,0.2683881
0.20636925,0.49609515,0.23903799,0.28120703
0.11905481,0.52173585,0.19027588,0.21569458
0.5952591,1.1361794,0.7605838,0.74389994
0.20236792,0.18702574,0.12518677,0.25291443
0.124018386,0.26334217,0.10808548,0.13180989
0.37643486,0.4767263,0.38341564,0.51420707
0.116367295,0.24247418,0.094550766,0.20712346
0.20572208,0.13734137,0.09265508,0.19382223
0.08704357,0.07203644,-0.0033431053,0.026662877
0.14470015,0.16520017,0.06675811,0.20120174
0.1088438,0.097045235,0.029698182,0.0955183
0.176603,0.20524481,0.11163768,0.09536475
0.1706663,0.2619274,0.120124854,0.17238602
0.12785378,0.11983182,0.048176616,0.06244473
0.34362403,0.2033581,0.20154989,0.3281813
0.15405194,0.16421404,0.04877905,0.19654298
0.065136686,0.073942535,-0.04968282,0.10854285
0.12910734,0.40974665,0.1506877,0.18380055
0.20897914,0.23345788,0.13625379,0.115395315
0.21341465,0.37427756,0.22753876,0.27594167
0.38644722,0.22304325,0.23800397,0.38431165
0.18446927,0.21163459,0.13177478,0.1251767
0.15296677,0.12417703,0.060903072,0.11949939
0.14671588,0.16719419,0.067895934,0.11758261
0.11187178,0.14056684,0.037929308,0.11822681
0.27861163,0.51937485,0.28231084,0.35749143
0.30592713,0.25432277,0.2332482,0.3977172
0.2726696,0.17466846,0.14548343,0.28285733
0.17115475,0.09371221,0.06616464,0.10515823
0.109082,0.13716358,0.07315301,0.15290205
0.22132906,0.15717544,0.12215338,0.24185151
0.103484854,0.8022907,0.27938187,0.26314798
0.2291566,0.39249176,0.2128063,0.3319193
0.14272977,0.23188688,0.11002031,0.19134215
0.16210467,0.24749851,0.11591174,0.26567474
0.12251674,0.24900389,0.098425224,0.1756053
0.16453339,0.19719534,0.107792646,0.17986226
0.29268825,0.15367275,0.16238105,0.28879318
0.13389853,0.2525678,0.09410895,0.14256838
0.14797606,0.24693425,0.10693286,0.18733937
0.33395368,0.48656604,0.33176225,0.5590485
0.15840371,0.13081783,0.047649458,0.18975148
0.15593608,0.29119843,0.12958235,0.26234916
0.2972365,0.97755885,0.4882862,0.45752206
0.11653426,0.30079556,0.11477476,0.19302785
0.11276534,0.1388848,0.053088263,0.07145135
0.22634147,0.17226903,0.15039212,0.21146199
0.14764957,0.14286809,0.084113635,0.109255195
0.20110954,0.2007482,0.12800224,0.2958602
0.3224651,0.67365766,0.3624196,0.20322943
0.2095565,0.082463466,0.04233979,0.23886392
0.119155824,0.36513215,0.12515442,0.16950113
0.20294054,0.36548254,0.20216009,0.38961977
0.21521504,0.45066577,0.2399579,0.30896562
0.13467109,0.13588198,0.0856859,0.17769739
0.3123266,0.28340262,0.21885896,0.36333904
0.2715513,0.33859208,0.23187646,0.44804165
0.23961271,0.021184089,0.092647836,0.15364537
0.16419786,0.19519249,0.10703653,0.14900437
0.1979795,0.4290154,0.20406397,0.19728816
0.14888369,0.15334333,0.08468216,0.15635279
0.2616193,0.5541971,0.3162893,0.38291168
0.44027674,0.863261,0.54564345,0.5842309
0.12545627,0.12900025,0.04204073,0.028502688
0.29864344,0.4616863,0.3002646,0.61085427
0.19000445,0.26156035,0.1545564,0.3336764
0.23509835,0.44330132,0.22637397,0.27923384
0.43170124,0.48303607,0.42705542,0.5342932
0.24865295,0.0483182,0.118300885,0.16944356
0.1541469,0.710705,0.2839728,0.2713953
0.34129784,0.21410292,0.21969116,0.28637758
-0.016101958,0.9632464,0.26249254,0.27380118
0.3384195,0.1625305,0.20016384,0.3202615
0.37306008,0.23583195,0.24777323,0.33472693
0.16163999,0.58513427,0.23885371,0.24687624
0.23393358,0.44001117,0.24342005,0.4379991
0.1979072,0.33165288,0.18354434,0.30974957
0.15110646,0.21789256,0.11331011,0.15474917
0.21572345,0.14454813,0.086818874,0.23525167
0.38958266,0.30627102,0.28107965,0.6106827
0.15105018,0.1387711,0.06344047,0.18955407
0.07701853,0.23426497,0.037110314,0.04635365
0.2597696,0.18886387,0.14637318,0.3483531
0.097273886,0.6184225,0.21298963,0.142259
0.090469,0.17385466,0.048539683,0.09334372
0.16262831,0.11231101,0.063371666,0.14648879
0.11140452,0.55011505,0.1707061,0.24690747
0.3843837,0.4592906,0.37236446,0.63797295
0.09300205,0.18583798,0.059362017,0.108907625
0.21474059,-0.041742653,0.07356791,0.20249328
0.3802405,0.34255308,0.29899544,0.56891084
0.39279145,0.64826477,0.4557581,0.5168499
0.15215875,0.28778666,0.12572552,0.23463753
0.064792216,0.082447626,-0.048465118,0.07120837
0.033107344,0.63542867,0.1822991,0.17743184
0.1990315,0.27126077,0.16999638,0.17816606
0.08686906,0.08047918,0.0149084665,0.046625003
0.23254563,0.16164182,0.11593721,0.292939
0.38702804,0.21421698,0.24013937,0.38664937
0.164394,0.27384162,0.14693135,0.17699763
0.16551553,0.09854574,0.0367684,0.17439544
0.05837628,0.46922132,0.08382575,0.2123991
0.32919675,0.2981274,0.23267439,0.4091278
0.5080734,0.8439414,0.6135747,0.63483673
0.16937792,0.3049289,0.13674262,0.24979264
0.22274543,0.28803605,0.20956464,0.15745991
0.23031704,0.33073205,0.20802705,0.30704567
0.19969872,0.18314938,0.118459746,0.18045458
