har,t03,t07,t10,t12,t15,MI_size_D_t11,effort_D
0.52463704,0.65747845,0.9054243,0.8759124,0.9987658,0.90085775,0.32424363,0.50581545
0.4895624,0.43796688,0.8141112,0.7679291,0.83048874,0.7388896,0.32424188,0.3934353
0.43325716,0.4532205,0.6355261,0.65944034,0.69265753,0.59172297,0.1789534,0.3787386
0.4405506,0.46361345,0.71949506,0.7239771,0.8147218,0.7492924,0.2428396,0.3438617
0.431357,0.5292133,0.681645,0.68739927,0.78511184,0.70656335,0.23455817,0.3837753
0.5029138,0.5338635,0.7907814,0.77169347,0.8495114,0.8078532,0.31399098,0.4277362
0.64148176,0.7732038,0.97425187,0.90257156,1.1200136,1.0205127,0.40511072,0.61576605
0.5176738,0.53881,0.8827464,0.81750935,0.8976482,0.7858674,0.39934874,0.47732016
0.5329139,0.653003,0.8653369,0.86489224,0.8170782,0.6879829,0.35239702,0.5171303
0.45072255,0.42056042,0.5844061,0.6020911,0.7225678,0.66462517,0.19172585,0.29462987
0.5210601,0.55404997,0.8449131,0.81801784,0.9547024,0.8612352,0.28123802,0.4481136
0.34735513,0.37130272,0.5207259,0.5547909,0.5486275,0.39885116,0.15902463,0.2946402
0.43411496,0.48090914,0.7611533,0.7755695,0.86099505,0.780431,0.2822852,0.3510396
0.61265683,0.743921,0.992228,0.9296119,1.093987,0.99076974,0.39850459,0.5648206
0.6228541,0.69699043,1.0752454,0.9381071,1.0535194,0.89496154,0.53524,0.60674816
0.4168764,0.42039058,0.61576045,0.6299779,0.70582825,0.63446444,0.22507957,0.32091668
0.4283049,0.3716292,0.540724,0.5796618,0.6613878,0.62043726,0.15253663,0.2465889
0.43048814,0.4388323,0.5832464,0.634484,0.74324834,0.69663525,0.18038835,0.27370083
0.45059493,0.48374507,0.61505616,0.6454648,0.7637423,0.72118723,0.23000887,0.3294408
0.45790014,0.61326545,0.8103206,0.7751162,0.8130464,0.6995179,0.33107725,0.47438127
0.54279345,0.67626905,0.81966424,0.77390736,0.94814426,0.87894183,0.3674128,0.47621414
0.40493727,0.46989888,0.6122695,0.6265772,0.74420744,0.6675252,0.19859172,0.3283245
0.39700857,0.44471884,0.5804078,0.6106235,0.71513546,0.6299177,0.16438808,0.3007372
0.44575396,0.5051048,0.6922748,0.7232879,0.8071646,0.7659719,0.24104372,0.35494885
0.4605692,0.40265477,0.7227886,0.68741584,0.7597386,0.6891465,0.24855396,0.3188175
0.78739387,0.9279429,1.2630826,1.1939864,1.2276329,1.0167302,0.51581746,0.8119646
0.6915984,0.6041382,1.1655338,0.9212774,1.0230359,0.88686454,0.5637073,0.53495556
0.5545535,0.52482593,0.70651406,0.68367714,0.84632206,0.79500794,0.2858595,0.37751624
0.39465117,0.5013069,0.66044265,0.67355084,0.77084386,0.6383358,0.21977505,0.36286953
0.41649708,0.38825783,0.53916115,0.59199375,0.6588928,0.6255368,0.13920605,0.27014408
0.4372554,0.363662,0.5590173,0.5709142,0.6695637,0.6304931,0.13057865,0.23789316
0.3669692,0.3715295,0.52607644,0.5434877,0.6679089,0.59883857,0.1420823,0.21916737
0.5159342,0.7402752,1.0922741,1.0172025,1.0972693,0.78145444,0.4440527,0.657122
0.51258385,0.4671467,0.79637295,0.6929257,0.81314504,0.6925872,0.34791714,0.3768641
0.45686886,0.4501403,0.73673344,0.71001136,0.8088955,0.7252728,0.26088384,0.34996754
0.45645142,0.51110876,0.6647072,0.65426147,0.80298835,0.73202604,0.27102402,0.32739818
0.4382459,0.47472712,0.7061783,0.7128437,0.80032337,0.7382274,0.24849007,0.34692067
0.49757883,0.6340136,0.76078874,0.7474438,0.9487092,0.83700836,0.31772733,0.4320261
0.57336307,0.6766154,0.9219033,0.8610492,1.0083382,0.8974802,0.3108603,0.52735835
0.56726426,0.7220235,0.87032497,0.83787006,1.0551286,0.9847308,0.41429326,0.4718385
0.42254204,0.500563,0.696857,0.67769134,0.76280254,0.63049036,0.23931196,0.419432
0.42529693,0.36801043,0.6282634,0.5995196,0.70280015,0.6548195,0.1890433,0.24481696
0.48276818,0.52717066,0.6567187,0.6519081,0.8231582,0.7627919,0.2688827,0.3390696
0.34153223,0.42676747,0.58835894,0.60955006,0.621704,0.4971097,0.18105009,0.3177938
0.48933572,0.57148206,0.7859949,0.8108938,0.74622136,0.6314296,0.31997946,0.46624416
0.46827492,0.6193528,0.74976134,0.71950305,0.8879151,0.7726036,0.3033224,0.44203138
0.5967086,0.66792625,0.85542375,0.81581336,1.0016518,0.9218383,0.35749048,0.49471033
0.5067444,0.65898037,0.89615613,0.8496962,0.9940595,0.8485443,0.35941523,0.5508405
0.6008057,0.7585556,0.9690411,0.9216689,1.1720014,1.1010749,0.40077326,0.5320218
0.55088586,0.57282746,0.9428569,0.8510478,0.91811144,0.81175894,0.49088126,0.44661212
0.59013313,0.6100155,0.8844414,0.8087968,0.9689966,0.8927337,0.38286155,0.481223
0.42209256,0.558906,0.68766785,0.68082476,0.773969,0.7091338,0.2780059,0.39142913
0.45085773,0.5473485,0.67861813,0.68002105,0.79611397,0.74186176,0.23434058,0.38038215
0.50580907,0.6214883,0.85838735,0.8518435,1.0085651,0.9161339,0.30755553,0.46251494
0.46168435,0.49623814,0.7067549,0.68746346,0.7896619,0.74058956,0.27164605,0.3491937
0.38794214,0.4256464,0.56529266,0.5661837,0.6936299,0.62027484,0.19011581,0.282288
0.5772277,0.6675795,0.8744529,0.8456435,1.016573,0.93627,0.38921237,0.519218
0.5072024,0.6072179,0.923102,0.8700173,1.0205466,0.90217775,0.3918302,0.49169114
0.52777183,0.68669045,0.9330577,0.9408599,1.0777956,0.98934805,0.39133906,0.51414335
0.44079718,0.47583818,0.6627328,0.66356397,0.7721885,0.68036985,0.1998229,0.35345015
0.43103418,0.38854346,0.59329426,0.63725257,0.7108994,0.6865144,0.13188426,0.25670597
0.8185156,0.7656001,1.4661779,1.1333545,1.2559385,1.0524273,0.7615281,0.7085245
0.4522207,0.4062084,0.6698412,0.6854552,0.7698889,0.714305,0.1697925,0.31056935
0.4628561,0.31588143,0.52620727,0.5378328,0.6379875,0.60840356,0.087987125,0.19766605
0.46319866,0.5272399,0.7533997,0.78876114,0.91545415,0.8140388,0.23136479,0.38688397
0.3604352,0.39280793,0.52733463,0.5621442,0.62524825,0.5452343,0.15104118,0.24193911
0.40805182,0.37756282,0.5390987,0.5751047,0.6657936,0.6192059,0.13512215,0.2477361
0.4381454,0.35969332,0.5907636,0.5909495,0.67682076,0.62771505,0.16092876,0.25720805
0.41923213,0.42478707,0.5492356,0.5836357,0.719978,0.66796535,0.18855523,0.24546814
0.43443063,0.5358101,0.6811691,0.7270288,0.8656183,0.8060572,0.27368328,0.3407236
0.52491295,0.5728028,0.8104735,0.79208916,0.94790566,0.8752164,0.2824136,0.42350867
0.4453488,0.4967183,0.69245094,0.7060401,0.80537,0.74224126,0.22238326,0.35701317
0.7086787,0.65701026,1.2700813,1.0328192,1.1317914,0.95441073,0.6244088,0.62112457
0.41504875,0.4553698,0.593923,0.6276835,0.6977151,0.63826776,0.17974322,0.3152455
0.49420634,0.6029756,0.7413552,0.7123658,0.85829693,0.78831834,0.27046564,0.4381746
0.7428582,0.8591723,1.1327655,1.0466586,1.1536022,0.9957891,0.44813007,0.7359262
0.44458476,0.4186143,0.6062868,0.6308817,0.7304599,0.693357,0.17563218,0.28618085
0.47156432,0.6060862,0.82086617,0.81530225,0.91785806,0.7967434,0.34272122,0.49522042
0.5345392,0.4934267,0.8403978,0.77259296,0.824038,0.76061076,0.3907416,0.4366989
0.63693404,0.5908993,1.0805472,0.86938226,0.9497269,0.7824171,0.53045845,0.5049002
0.79715544,0.83037895,1.4504391,1.1820077,1.288836,1.1064171,0.8018276,0.79259324
0.4178596,0.546255,0.7377102,0.7265751,0.7778433,0.6300432,0.30380332,0.44119495
0.62247163,0.6193062,1.0801519,0.9243873,1.035503,0.87067753,0.53818554,0.5792866
0.63589567,0.7392776,1.0653809,0.96130466,1.1693894,1.0353771,0.50683063,0.59942436
0.43964276,0.37184164,0.64373976,0.6438246,0.68653345,0.63794506,0.18872185,0.2543315
0.50365114,0.52182823,0.734378,0.72037446,0.8667274,0.80521524,0.26403204,0.3783557
0.41359526,0.49244893,0.6498472,0.6850406,0.79359984,0.7380504,0.24597308,0.33566794
0.44641247,0.52882946,0.66677094,0.66985446,0.754114,0.6883758,0.23332477,0.38109252
0.7091778,0.81175554,1.2996298,1.1124843,1.2555525,1.0846394,0.70689356,0.7071648
0.45421174,0.43400392,0.5963052,0.6230582,0.7393954,0.69844097,0.19369458,0.28041574
0.43193308,0.4065311,0.55970234,0.596272,0.70521766,0.65715384,0.15399462,0.27235475
1.0848373,1.0808902,2.0072036,1.5613691,1.7289515,1.4274334,1.129209,1.056788
0.46753716,0.39276314,0.590103,0.58235145,0.6947207,0.6345883,0.19412655,0.26223418
0.4590291,0.54818475,0.70836616,0.7106982,0.84636813,0.76899576,0.24408409,0.39975464
0.4551725,0.5309791,0.6640859,0.6756343,0.8020246,0.7578534,0.25747743,0.36340743
0.43642867,0.43817738,0.6067664,0.6426491,0.72946876,0.6839826,0.16376162,0.29777744
0.7548984,0.86408883,1.1826535,1.1123863,1.1194775,0.9239064,0.5158562,0.7326204
0.4343375,0.42463207,0.6083192,0.623368,0.7176432,0.6729812,0.2098651,0.2823346
0.51306254,0.5551722,0.8829683,0.8374246,0.94444585,0.8681221,0.38839674,0.46080804
0.35679454,0.39662045,0.573598,0.5904396,0.61611164,0.4990279,0.16182843,0.31451702
0.47308788,0.5192925,0.65395087,0.6613148,0.80671346,0.7462267,0.23418611,0.3487313
0.5945878,0.7670047,0.95114297,0.91647923,1.136633,1.0447184,0.46165937,0.5621413
0.4058566,0.40030277,0.60924315,0.6200103,0.70953184,0.66247845,0.19217299,0.26878163
0.78832966,0.86969256,1.1761454,1.0339713,1.3317397,1.1847378,0.5080748,0.6869651
0.40755057,0.50776786,0.666265,0.6841168,0.7757024,0.7098753,0.22164127,0.35105506
0.6779944,0.89600086,1.023941,0.90940875,1.2512513,1.1252048,0.5230019,0.607693
0.89606744,0.97906274,1.5503509,1.2442183,1.4923807,1.3181992,0.85737604,0.9002992
0.47213128,0.41834956,0.72709495,0.7006667,0.77970886,0.71388066,0.25253308,0.33077937
0.87326217,0.7776101,1.5639062,1.2247528,1.3102647,1.1044407,0.82532024,0.7535542
0.73709834,0.65834713,1.2907301,1.0248443,1.1264246,0.96064156,0.6525676,0.6047457
0.57099056,0.5178155,0.92959726,0.76595336,0.8819831,0.7670197,0.41699404,0.4442762
0.41573277,0.47607046,0.6053094,0.64242035,0.78098196,0.7318239,0.22312385,0.2994867
0.44915998,0.54240954,0.6729125,0.7053521,0.8270829,0.7508042,0.24656197,0.35459843
