nlan,t11,t13,t15,MI_size_D_duration_D,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_app,effort_D
0.73819935,0.4473791,0.90612185,0.7905748,0.17121841,0.26525447,0.18414335,0.25261444,-0.090411715,0.13772604
0.5379685,0.33072257,0.76373434,0.6583805,0.11420903,0.26839888,0.16286953,0.18315135,-0.02646205,0.086972624
1.1670661,0.9361924,1.4836309,1.0187602,0.5661365,0.9719341,0.7148208,0.81858236,0.45425117,0.3425722
0.74991745,0.49211663,0.82590735,0.7525407,0.19993548,0.29383457,0.18649365,0.25303718,-0.018978698,0.12610824
0.47522292,0.29850566,0.80585784,0.66412127,0.108413346,0.30771902,0.19999231,0.2179206,3.6612153e-05,0.08002825
0.6635268,0.38312417,0.7449754,0.72868437,0.1273099,0.18373586,0.10831112,0.17187932,-0.07667807,0.11519666
0.58067036,0.32012326,0.68034804,0.68412626,0.08182797,0.111901626,0.04090798,0.08541997,-0.09658176,0.080234796
0.56278133,0.34672815,0.8700668,0.72474027,0.12788191,0.30541566,0.20206375,0.20580693,-0.039777007,0.114519626
0.9896423,0.71725214,1.2391317,0.89569247,0.42798382,0.7192897,0.525501,0.5863089,0.25357455,0.27479154
2.053462,1.7027227,2.6916118,1.7017251,1.0525014,1.9250783,1.4344814,1.5820796,0.91656715,0.67269737
0.510853,0.28340644,0.69539994,0.6448537,0.06891248,0.16913722,0.0776315,0.10592434,-0.06643769,0.068509996
0.6352998,0.2618379,0.9299215,0.8001032,0.08627575,0.21848075,0.07325655,0.10916641,-0.0756277,0.12349364
0.65579885,0.37691438,0.79869336,0.71514904,0.14943717,0.24071817,0.14944477,0.20380606,-0.056931198,0.10835458
0.7165877,0.42517322,0.7297268,0.7309649,0.1684138,0.21774663,0.11614935,0.1984418,-0.05723136,0.09260638
0.9529298,0.7127526,1.1297913,0.8713355,0.41884658,0.66137314,0.5006179,0.5724625,0.27128762,0.2811376
