N_effort,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_PDR_UFP,MI_N_effort_NPDR_AFP,MI_N_effort_Duration,MI_AFP_PDR_AFP,Effort
0.0054496536,0.004931164,0.0014470888,0.0047341534,0.0018301213,9.835651e-05,0.0063084406,0.0067674154
0.020975487,0.004539216,0.0014310356,0.0044583464,0.0010688931,0.0033139735,0.02006161,0.01924611
0.008584576,0.004221998,0.001527807,0.005699133,0.00263488,0.0010034256,0.0096443845,0.010375125
0.007887213,0.0014002651,-0.0007972971,0.0022809543,-0.0013458503,0.00455107,0.008686673,0.008745946
0.0044635474,0.0030960443,0.00085272244,0.0033183638,0.0005374078,0.00062791933,0.005986106,0.006393081
0.0056212763,0.002157668,-0.00015873229,0.0019873865,2.9158313e-05,-0.00015777606,0.006223533,0.0063991323
0.006775419,0.0023589993,0.0006609375,0.002784025,0.0005451881,5.3823227e-05,0.0074263443,0.0078071468
0.01841421,0.004452138,0.0007769165,0.0041106893,0.0004293772,0.00027454086,0.018820481,0.018798117
0.06480816,0.017005714,0.011170543,0.01913787,0.015331518,0.018073551,0.0661476,0.062119402
0.02591765,0.005906635,0.0031497234,0.0067882505,0.004015146,0.0022656405,0.025586871,0.023355076
0.00876279,0.0039012402,0.0003972852,0.0037924708,0.0012219953,0.0015102415,0.00967403,0.009664137
0.026911244,0.00582817,0.0025913592,0.0075161685,0.0014284502,0.0027739056,0.02750659,0.024495004
0.015911005,0.00383586,0.0007402387,0.0037111458,0.0018137807,0.0012183918,0.016444692,0.015990224
0.0014010306,0.0023639656,-0.00076881424,0.0023286147,7.5625256e-05,1.4077872e-05,0.0017397365,0.0022553755
0.0003869757,0.003278481,-0.001091826,0.0028762752,0.00056543224,0.00027753017,0.0006947011,0.0013952785
0.008862601,0.0018828234,-0.00055515394,0.0026175044,0.00034069084,0.0019022981,0.008285813,0.007885865
0.03500686,0.0068298243,0.0047186743,0.008024694,0.0060288487,0.003979475,0.032198936,0.028223822
0.005845489,0.004392552,0.0007571548,0.004155728,0.0018847499,0.00021038204,0.006700324,0.006873921
0.041753862,0.010063854,0.005771487,0.012087133,0.008618448,0.012321478,0.043818247,0.04209878
0.009216384,0.0026402606,0.0003133826,0.0028807027,0.001409787,0.00045492966,0.010232998,0.0101598855
0.011742554,0.0032490322,0.0003654922,0.0031156698,0.001314135,0.0003384538,0.013147193,0.013017152
0.01074066,0.0025856865,0.00059865066,0.0027295537,0.0014841233,-1.691049e-06,0.010475293,0.009886552
0.010293059,0.0036797498,0.0010065397,0.004108372,0.0015411067,0.0014909359,0.0119393645,0.011834851
0.007857324,0.0037498937,9.200396e-05,0.0037328517,0.0019019165,0.0019102069,0.009075846,0.0092583755
0.019916795,0.0027408602,0.001656736,0.0033782856,0.0024095217,0.0012860089,0.018395128,0.017133761
0.017720822,0.00395946,0.0017382058,0.0045013945,0.003393566,0.0015793941,0.01718743,0.015439242
0.01805716,0.005959845,0.0029360384,0.0070533375,0.004505501,0.0012468514,0.017374841,0.016449936
0.03288748,0.007475352,0.004593038,0.0088089835,0.0066567445,0.004505123,0.030889343,0.02860535
0.0072974497,0.0019394981,-0.0004892729,0.0024840282,0.00085858675,0.00027608545,0.007951828,0.00770979
0.01521558,0.0027333957,0.00017684861,0.0030801944,0.0007773442,0.0004687216,0.015858758,0.015430388
0.016737439,0.004746737,0.0019016035,0.0056674127,0.0019872093,0.002059497,0.01750227,0.015545875
0.008387109,0.0031433695,0.0010127572,0.003904439,0.0019463606,-0.0005229274,0.00792722,0.008394339
0.0058393697,0.001009536,-0.0005274061,0.0016622957,-0.00057835924,0.0006752487,0.005220323,0.004677779
0.002731164,0.0013445618,-0.0011030342,0.00095426,-0.000904263,-0.0006314806,0.0032304325,0.0034242603
0.035163984,0.00879825,0.0030503834,0.0074240477,0.0041107824,0.007163237,0.03620687,0.034145795
0.022307644,0.0044661853,0.0018431481,0.0042769187,0.0010533342,0.00046097208,0.020571932,0.01908489
0.10481083,0.061897457,0.045335967,0.07087675,0.06367768,0.015937008,0.09612125,0.093551606
0.013802511,0.005362331,0.0005924527,0.00633026,0.0021889152,0.009407558,0.01613768,0.016767856
0.003207322,0.0028508,-0.00019506318,0.002508583,0.00046385126,-0.0005676234,0.005449723,0.0059029907
0.0034873916,0.0015754073,-0.00056763086,0.0019089069,-0.00034961803,-0.0003951257,0.0038210577,0.00373032
0.013932204,0.0037393176,0.0014400433,0.0044036666,0.0024705178,0.000971155,0.014356087,0.013130077
0.0013993505,0.0018129132,-0.00054517435,0.0012496206,-0.0010065475,-0.00044061407,0.0017902734,0.002215748
0.007744091,0.0028393401,-9.7755576e-05,0.0031397953,0.0015750991,0.0011788148,0.008757954,0.008717172
0.008406388,0.0015122325,-0.0005096663,0.002206569,-0.00020167162,0.0009499714,0.007063064,0.006183815
0.022190087,0.0040301746,0.00088665844,0.004149716,0.0008076129,0.001239267,0.023974588,0.023298668
0.007575525,0.0025990393,0.00039570616,0.0027853795,0.0014026558,0.00050660805,0.0082210805,0.00805429
0.014802933,0.0039004798,0.0012510915,0.0037288875,0.002164818,0.0014396794,0.014975463,0.014162903
0.042245418,0.010777037,0.0066045355,0.011806712,0.008008867,0.004472909,0.04208351,0.0375639
0.01013555,0.005014805,-2.2680266e-05,0.005102652,0.00092028873,0.0044943546,0.009529179,0.008932132
0.008028389,0.0017431832,-0.00017925166,0.0020684279,0.00088771177,-0.00022324384,0.008149376,0.007846532
0.013547001,0.0023485685,0.00092248176,0.002694136,0.0016458442,0.00042607193,0.012978782,0.012405889
0.00488012,0.0022906947,0.00012208824,0.0029976629,0.00082924473,0.00039048935,0.006518792,0.0066733705
0.0084701795,0.0032960519,0.0007350694,0.0033491831,0.0012415943,0.001679326,0.0085167615,0.008373437
0.034166582,0.006935397,0.0050493423,0.008517167,0.005350735,0.0036153146,0.03211124,0.028953975
0.0063197673,0.0026290396,-0.00038543576,0.002593767,0.0011270919,-0.00014499947,0.00690547,0.006727184
0.0072042076,0.002589306,0.00072838715,0.0023102812,0.0003004016,-2.20933e-05,0.006685821,0.0065741907
0.010631124,0.0035143464,0.00013016793,0.0038806903,0.0008347451,0.0031852908,0.013297844,0.01323671
0.0076479125,0.0011574833,-0.0006483514,0.0021964377,-0.0015109968,0.0044796364,0.008206496,0.008258514
0.010831935,0.0054689664,0.0010211451,0.005742858,0.0030446316,0.0022736257,0.013014125,0.012817974
0.0126857385,0.0033800534,0.0012834428,0.0033237846,0.0015698506,0.0005482952,0.0132091995,0.012787411
0.00766362,0.0018302163,-0.00021594786,0.0023170584,0.0006613538,0.00066724955,0.007647479,0.0073593305
0.036129385,0.007833714,0.004927952,0.009031481,0.0074057383,0.004343886,0.033476252,0.028848952
0.002560784,0.0022359046,-2.454198e-05,0.002573981,0.0005210219,-0.00073392387,0.0028301012,0.0030290878
0.019546745,0.004826244,0.0014881676,0.0061007976,-0.00027994858,0.0021562008,0.020197852,0.017262455
0.011211787,0.0028517453,0.00043665548,0.0030575576,0.0015375798,0.000328684,0.012043452,0.011746268
0.0067880824,0.0016502074,-0.00010674028,0.0021572206,-0.00027072383,0.0017492599,0.0072501213,0.006611688
0.011686846,0.002417952,0.00044768653,0.0029898323,0.00046427315,0.0015171957,0.011233214,0.010427988
0.01818113,0.0047878027,0.0023577942,0.0058223456,0.0029450955,0.0030414416,0.017696217,0.015669508
0.01059399,0.002804119,0.0005477143,0.002536761,0.0013911163,-0.00057120156,0.011780125,0.011346311
0.008773563,0.0038030765,0.001016841,0.0037072217,0.0010678468,0.0024073403,0.00899917,0.009015393
0.02265037,0.0047548553,-0.00014020316,0.0028238231,-0.00045506866,0.0033360966,0.021599278,0.022393929
0.018636309,0.0044779098,0.0025624947,0.005058925,0.0033826476,0.0007997239,0.017178066,0.01600368
0.015028328,0.0046645403,0.0011867394,0.004067696,0.0011462513,0.0015266556,0.01630994,0.016304381
0.00919391,0.001675939,2.7803937e-05,0.0033153244,-0.0001705694,0.004540931,0.010716858,0.010566932
0.054514334,0.02465135,0.018183034,0.027336905,0.022862824,0.009588912,0.052083004,0.049183544
0.023367813,0.005390579,0.0021639133,0.005438012,0.0023514081,0.002682338,0.026047995,0.024158327
0.01712894,0.005129504,0.0028841414,0.0053634755,0.004327344,0.0036821146,0.014699994,0.014113725
0.007836142,0.0028587284,-3.131712e-05,0.0031570108,0.0012711454,0.0018270323,0.008513805,0.008614767
0.036796685,0.010567104,0.0054822713,0.012055234,0.008379077,0.0122342855,0.040341273,0.039552856
0.004642986,0.0023571586,3.1060074e-05,0.0023480747,0.0002228897,-4.946487e-05,0.0049399477,0.005170486
0.008317849,0.0021305706,8.629402e-05,0.0026323395,0.0010156576,0.0006451423,0.009119194,0.009139208
0.009802379,0.005364475,-0.00014389958,0.005616355,0.0031142624,0.0038202843,0.011277028,0.012068513
0.007103424,0.0017525575,9.537442e-06,0.0023261635,0.00086662895,-0.00043571542,0.0071611595,0.0072470144
0.011337747,0.005623998,0.0017369275,0.0063564437,0.0037418075,0.0013155746,0.013532137,0.01291077
0.0067983815,0.002071766,0.00014312845,0.002549185,0.0007987751,-0.00039231195,0.0065518823,0.006781019
0.021583559,0.0051833456,0.0022962543,0.004568313,0.0024180848,0.00042108935,0.020517977,0.01917881
0.011977121,0.0032450117,0.0009852748,0.0038264496,0.00073250383,0.0020159534,0.009036178,0.007995997
0.0152977295,0.0034471464,0.0014560919,0.003540907,0.0024022365,-0.00041733892,0.013858054,0.0128168035
0.0056020548,0.0033622251,0.00026775873,0.0036583333,0.00094878883,0.00051267026,0.005837337,0.006360289
0.005842557,0.0039553065,-0.00015666918,0.0038148528,0.0012595204,0.0014359849,0.0063092,0.005915599
0.047398914,0.01312211,0.0071713114,0.014364056,0.01031891,0.015943721,0.05011087,0.049030703
0.010039985,0.0030401966,0.00043949182,0.0022567208,0.00045137666,-0.0007600833,0.008960762,0.008377746
0.012357531,0.0029295029,-0.0002937608,0.0024195444,-0.00012850319,-0.00021044863,0.014199794,0.01423696
0.01934275,0.0065658037,0.0039676186,0.0077743228,0.00554883,0.00028334954,0.017727902,0.01626988
0.008930417,0.0034168407,-0.0006336139,0.0038138125,0.0016780833,0.0034945798,0.010214418,0.010682231
0.008596517,0.0036051765,-5.8826758e-05,0.004028584,0.0021756312,0.0016468032,0.009913984,0.009569357
0.01032719,0.004780639,-0.0003733933,0.004751784,0.0012382383,0.0038631773,0.011879429,0.012508399
0.003231176,0.0005371359,-0.0011282105,0.0008307622,-0.00019544689,-0.00094362826,0.004458684,0.0045961337
0.011688134,0.001683871,0.00052153016,0.0037927246,-0.00060653896,0.00623783,0.012153787,0.012236885
0.009474186,0.0038088907,-9.801262e-05,0.0029643099,0.000461509,3.4650555e-05,0.0073985956,0.006502323
0.011060119,0.004158577,0.0011154434,0.0038925293,0.0025989597,0.00022675004,0.012314149,0.011664421
0.0682079,0.024534479,0.015442516,0.026201569,0.022286566,0.009230208,0.06436445,0.058095768
0.024568412,0.005138224,0.0032120182,0.005689731,0.003954728,0.0020003472,0.022866072,0.020833092
0.015636181,0.003446947,0.00063045113,0.0035852706,0.0013689885,0.00063237175,0.016789824,0.016461749
0.014308378,0.0027948997,0.00088922237,0.0044357893,-0.00010502455,0.007115379,0.013312223,0.012394545
0.007830097,0.0017428144,-0.00033774623,0.0020641638,0.0007158683,-0.00013722782,0.008442415,0.008313025
0.0507598,0.012459366,0.009229853,0.014181402,0.011391761,0.006410272,0.047690477,0.04154603
0.01961248,0.0041954117,0.00086897775,0.0040060505,0.00093047856,0.0004730879,0.021278774,0.021143422
0.023232078,0.005667378,0.0030773433,0.0060095657,0.0038525665,0.003525292,0.023347626,0.02143074
0.03166047,0.014130637,0.007823814,0.016025294,0.012184245,0.0031516952,0.030392783,0.029435834
0.00922047,0.0024269323,0.00030654576,0.0027810861,-1.785485e-05,0.0019539585,0.008118505,0.0071673607
0.014479601,0.00611406,0.0015260188,0.006227723,0.0030098527,0.0049989354,0.016400902,0.01727236
0.007588048,0.002564402,-0.00029887073,0.0028726137,0.00130052,0.0013787423,0.00849462,0.00863758
0.01746468,0.01008397,0.0036736939,0.011290072,0.0072652074,0.0017142938,0.0191208,0.018108755
0.0037058466,0.0014312493,7.7965204e-05,0.0014317312,-0.0009337013,-0.00014855503,0.0025547568,0.0028444822
0.005483958,0.0016544715,3.2451004e-05,0.001675546,0.00014315569,-0.0006224606,0.005607944,0.0055601136
0.024111673,0.0057013333,0.0032103464,0.00625773,0.0044698436,0.004727911,0.024417737,0.023652872
0.020659657,0.005275852,0.0026152737,0.006386096,0.004534642,0.0011267893,0.019726057,0.01723656
0.010277087,0.0017252478,-0.00059830816,0.0020583924,-0.00023315893,0.00079974416,0.010715127,0.010382987
0.05784009,0.012929738,0.0038334613,0.009441474,0.0091316225,0.014927073,0.05286605,0.05272443
0.0053690737,0.002999474,0.00041423575,0.0032692277,0.0011260081,-0.00067954336,0.0055769533,0.005819588
0.009160249,0.0018870381,0.00038490538,0.0017160565,-0.00091660593,0.001695958,0.0125067355,0.010982023
0.007999549,0.0022694438,-0.00026464765,0.0028181262,0.00072796363,0.0019969074,0.008731322,0.00868164
0.0029303033,0.0033676333,4.722993e-05,0.0037875585,0.0010829268,0.0007471298,0.004282585,0.004796853
0.02778271,0.0041995905,0.0036572313,0.004409001,0.003653901,0.0018018233,0.025368985,0.023836745
0.008708144,0.0032504473,-0.000104038976,0.0035766955,0.0016084162,0.002513073,0.009568701,0.009737769
0.0034952501,0.0019688539,-0.0012303232,0.0018828489,-0.0006799421,-0.00043730042,0.0027762093,0.0022568277
0.03679553,0.009111322,0.005602315,0.011957629,0.0026272049,0.005751407,0.0364535,0.031269547
0.014714198,0.0068351654,0.002589505,0.0075340034,0.003333899,0.0057688635,0.018254261,0.0198434
0.0040349104,0.004357608,-0.0012089636,0.004012734,0.0004744972,0.0025263317,0.004236025,0.004265342
0.012640433,0.0031881912,0.00080289296,0.0031836554,0.0011761554,0.0005944811,0.013029175,0.0128565
0.006353791,0.004643349,-4.8863934e-05,0.004184375,0.002400183,0.0010514169,0.0075201644,0.00796657
