rely,data,cplx,time,stor,turn,pcap,modp,Generated_Var_1,Generated_Var_2,Generated_Var_4,Generated_Var_7,actual
0.19749308,0.35757828,0.18320967,-0.14884311,-0.22248447,0.3853803,0.4352211,0.69266856,0.03684382,0.13141654,0.13404766,0.39088455,0.010986149
0.20942107,0.3495173,0.15633184,-0.0874639,-0.15043566,0.29927808,0.4081114,0.5869183,0.07799503,0.15266144,0.21591133,0.38628027,-0.01751621
0.21918255,0.3543617,0.17980886,-0.15928783,-0.23910859,0.38558415,0.46219733,0.6935937,0.018213898,0.14488466,0.12231435,0.3957437,0.013097516
0.22169499,0.27408674,0.20603187,-0.061829876,-0.10023326,0.30238155,0.3836898,0.5214868,0.13948618,0.16573215,0.2467975,0.33874503,-0.01723652
0.60885274,0.43708333,0.35351154,0.20250216,0.20546672,0.37261206,0.40642416,0.5581199,0.35555822,0.364483,0.5939379,0.7212964,0.043882426
0.34455884,0.3594632,0.22733492,0.0522117,0.039973363,0.3133303,0.3553369,0.51067996,0.21657795,0.22134945,0.3845665,0.45723084,0.025039308
0.284235,0.33797574,0.20648319,-0.07076709,-0.13476731,0.33870363,0.45783308,0.58368415,0.11523326,0.1493882,0.21694373,0.40747687,-0.005811913
0.7662387,0.54603803,0.42013356,0.29400626,0.21737504,0.39827588,0.435566,0.60289586,0.44044194,0.36336988,0.663633,0.8863462,0.10099108
0.30354524,0.42140466,0.23103373,0.038105905,0.04601029,0.34155217,0.32585013,0.56336135,0.14731002,0.21899228,0.3604891,0.5048144,0.017108232
0.8759593,0.5503819,0.48396432,0.33346424,0.3156544,0.44472533,0.51202714,0.6692832,0.5192241,0.41939884,0.73631394,0.98997855,0.135854
0.37657306,0.42579046,0.26287368,0.07075852,-0.0032127202,0.35780343,0.4333388,0.62147343,0.20636189,0.27369273,0.4512443,0.5935093,-0.003875821
0.43858862,0.40482897,0.2896589,0.118666336,0.099896654,0.33593678,0.37477854,0.5500131,0.25674406,0.2963707,0.4689303,0.591545,0.013850559
0.22216798,0.32227632,0.20041256,-0.040834527,-0.1052393,0.30193934,0.40330815,0.55917853,0.12761217,0.18205482,0.26934785,0.39181215,-0.02167233
1.8939848,0.975043,0.98845804,0.8262518,0.7984611,0.7893325,0.73330355,1.0366288,1.0776097,0.81028587,1.394033,1.94285,0.35766315
0.2091887,0.29284698,0.21749796,-0.026245091,-0.04281558,0.28469482,0.3514735,0.49951342,0.1480323,0.16494185,0.2727403,0.34611428,-0.022539482
0.39004096,0.4209887,0.25566974,0.09220621,0.03820358,0.31509352,0.40909305,0.56441694,0.21105097,0.28297675,0.45011556,0.56211865,0.0037310657
0.21389592,0.34796494,0.17386973,-0.09608708,-0.17466705,0.3269948,0.4085788,0.61702174,0.057266388,0.15505753,0.20512404,0.39476863,-0.013442316
0.21241006,0.2664657,0.15940718,-0.13967887,-0.15150075,0.31095603,0.37675706,0.54815924,0.06708805,0.1406023,0.16120902,0.30921477,-0.011383208
0.85112536,0.5271925,0.48793322,0.3403023,0.2853942,0.42384228,0.47813478,0.6107445,0.5259663,0.43070054,0.7317708,0.9573078,0.10117685
0.18473025,0.24413726,0.21034347,-0.08214101,-0.11438903,0.27687165,0.37004808,0.48807207,0.119247936,0.12073158,0.1523684,0.27695376,-0.021137554
0.41365927,0.4252321,0.24990895,0.10484208,0.029668495,0.31264004,0.37538266,0.511938,0.23085454,0.23844956,0.4292785,0.56111073,0.013971708
0.22288658,0.29118043,0.19720803,-0.039161157,-0.10271028,0.2945669,0.34970817,0.50270313,0.11152532,0.12552564,0.23222739,0.31369188,-0.0076377857
