size_D,duration_D,har,telonuse,t01,t04,t07,t09,t11,Generated_Var_1,Generated_Var_3,Generated_Var_5,Generated_Var_6,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,effort_D
-0.26692563,0.32321307,0.6714078,-0.39156613,0.36602673,0.32567915,0.16929863,0.5337534,0.20503305,0.8135889,0.27604902,0.048482332,0.3214437,0.8412997,0.7563457,0.81383,0.30017313,0.9924581,1.4406828,1.5019689,0.9716679,-0.27231863
-0.13223018,0.1220932,0.38995862,-0.08497073,0.24835391,0.28454733,0.232557,0.42027318,0.24381839,0.48709393,0.26644182,0.1514898,0.2179245,0.4876615,0.4389853,0.46120185,0.29531932,0.51852244,0.70757854,0.70004946,0.4392159,-0.059991077
-0.11952792,0.13502392,0.3784843,-0.011415929,0.25816208,0.2935968,0.2035793,0.4257858,0.26115352,0.43231094,0.27870423,0.13633657,0.25155303,0.44929442,0.40547574,0.47278455,0.29396313,0.49034485,0.6983334,0.6818675,0.40259624,-0.06792484
-0.14159417,0.14371045,0.6161618,0.1996088,0.20905001,0.51808846,0.26501566,0.5108302,0.39956963,0.53344774,0.40734848,0.35235435,0.31674486,0.3947164,0.36131215,0.69005656,0.4851566,0.47797725,0.7917491,0.7257489,0.38682377,-0.06408356
0.06805168,0.32142553,0.6630584,0.28352448,0.38321733,0.6193669,0.32916555,0.59956574,0.5279847,0.25527593,0.57310736,0.582559,0.54920614,0.123436555,0.053948097,0.82980716,0.6274569,0.19127738,0.42280003,0.3627658,0.22506303,0.098602265
-0.02321851,0.071349934,0.39160067,0.29850402,0.33591557,0.39146104,0.29754567,0.5111861,0.49005753,0.20244434,0.43096262,0.32899082,0.34858096,0.26017162,0.20024902,0.56933904,0.4516201,0.25974444,0.3921356,0.32190567,0.19610071,0.0057596266
-0.12665455,0.13486284,0.5118426,0.023870522,0.22053672,0.4198168,0.24959363,0.4525592,0.32691914,0.54136556,0.33508348,0.25101417,0.26762062,0.43863946,0.42460936,0.58207715,0.3640327,0.46969157,0.74016595,0.7043463,0.44034773,-0.072135314
-0.0011388869,0.08070168,0.4622025,0.4340272,0.33211577,0.48726946,0.31442422,0.519634,0.57652545,0.18729705,0.4522559,0.4099646,0.37530583,0.22191682,0.1990108,0.60965085,0.5036555,0.22779503,0.3813416,0.30861813,0.1690662,0.014788393
-0.11285566,0.10631179,0.47014797,0.16267762,0.24644496,0.41938823,0.25547683,0.49516597,0.38047796,0.4695873,0.3760644,0.2743912,0.27040112,0.4195506,0.38442147,0.5432358,0.38252786,0.4356846,0.6556697,0.61506677,0.35555112,-0.029265799
-0.13595404,0.16979581,0.5682924,0.020387776,0.26073617,0.4468073,0.2985824,0.49942052,0.35609448,0.6014186,0.37389338,0.30871958,0.31088895,0.44998994,0.43104935,0.6423565,0.4335016,0.50592214,0.7910032,0.75355595,0.46850425,-0.061094884
-0.0676734,0.20054948,0.6328584,0.25229862,0.29877925,0.5522971,0.3365768,0.5610443,0.49181205,0.49224263,0.4724269,0.44426227,0.40441778,0.30800694,0.29647642,0.7084882,0.5482097,0.3611132,0.6457739,0.5894593,0.33290464,0.013100389
-0.22755997,0.26353595,0.8945075,0.1361792,0.21233945,0.71495575,0.19354875,0.6316807,0.4971621,0.8202001,0.49176186,0.38608855,0.3531395,0.6115609,0.59062403,1.0078653,0.5380889,0.75374985,1.2707677,1.1963066,0.6967893,-0.19719921
-0.09247839,0.080080494,0.49210584,0.22194946,0.27364096,0.45389262,0.33291194,0.5560663,0.4378062,0.5005554,0.4325485,0.37524408,0.28061548,0.41862175,0.3918872,0.53551656,0.43393996,0.40389848,0.5914617,0.53622866,0.33601984,0.008980844
-0.105882436,0.086055614,0.50373894,0.24890448,0.23106341,0.47341046,0.3002064,0.5269395,0.41755348,0.46360472,0.41220367,0.3636801,0.27581352,0.39048544,0.356686,0.56537783,0.43667057,0.37922713,0.6046829,0.538708,0.32571903,-0.010037374
1.1099924,2.094607,2.481441,0.8557547,1.8630067,2.0654972,0.98946834,2.2629068,1.7526157,-0.103016146,2.2747636,2.6418548,2.8529801,-0.4434523,-0.859114,3.4432461,2.4907098,0.18974023,0.7662864,0.63171214,0.5579478,0.6886743
-0.11879258,0.15559253,0.21756552,-0.38153338,0.40059882,0.06416309,0.14006288,0.34911612,0.09823229,0.2773762,0.13805135,-0.09784777,0.257918,0.5400147,0.4466781,0.51381826,0.15247974,0.63535905,0.7545432,0.8306466,0.5323063,-0.12705538
-0.14826934,0.14123043,0.43453437,-0.063074574,0.22522761,0.31287736,0.19962966,0.39601055,0.22288701,0.48026937,0.25007975,0.1300874,0.22063339,0.46659222,0.4257583,0.5247525,0.31132254,0.5173503,0.7756096,0.7508367,0.45201868,-0.09160955
-0.049409896,0.09564146,0.44528478,0.29239795,0.30273893,0.4443859,0.27927756,0.5033615,0.5066478,0.25873485,0.43231815,0.32113394,0.32730347,0.27070728,0.2214328,0.582582,0.4536377,0.27033022,0.44609153,0.3837194,0.22687747,0.002408594
0.11214431,0.11736032,0.5604951,0.70176995,0.5722143,0.5974044,0.44161752,0.74181926,0.9303566,0.002841875,0.6777625,0.6234077,0.61933523,0.16105033,0.13043159,0.880586,0.70565176,0.20837682,0.3292895,0.23667496,0.16575551,0.03043307
-0.16081968,0.15880646,0.36816627,-0.22832261,0.2519464,0.20592228,0.17413524,0.36168224,0.14416224,0.46951988,0.18679923,0.02567983,0.21455374,0.5294863,0.4645058,0.4837647,0.22484657,0.5929368,0.8340739,0.8471761,0.5166592,-0.12383734
-0.1339243,0.1944735,0.26473576,-0.5059375,0.43065563,0.050830994,0.15141836,0.3642886,0.07759865,0.36487857,0.1237738,-0.13071388,0.26195258,0.6218304,0.53668576,0.5651221,0.13527782,0.739906,0.9124737,1.0151532,0.6761768,-0.15591528
-0.22069971,0.2763307,0.8801187,-0.11980209,0.24275038,0.61176634,0.34551215,0.5296465,0.38226402,0.82247007,0.39912757,0.39454502,0.3876479,0.53208995,0.48437268,1.0126286,0.55842185,0.6525103,1.1978427,1.205816,0.7574356,-0.22764573
-0.0019525071,0.17993945,0.5847593,0.39261225,0.3263482,0.57381594,0.3213423,0.57102054,0.5538347,0.2961863,0.51639193,0.47284278,0.45080808,0.2233557,0.18230635,0.7263483,0.58139694,0.27361253,0.4836851,0.43239042,0.21939713,0.041747104
-0.11266802,0.12624805,0.5454107,0.2321202,0.2629707,0.482925,0.30748552,0.5537765,0.43577653,0.5143341,0.4149785,0.3651835,0.28394964,0.4046291,0.37125415,0.5851048,0.44897372,0.40997818,0.6459583,0.58330476,0.34576267,0.0058435053
-0.103854686,0.14440075,0.33445382,-0.23596665,0.30234355,0.19413078,0.1849463,0.3629201,0.15453199,0.416849,0.20551844,0.03577153,0.24533895,0.49566317,0.44149828,0.5044252,0.19837825,0.5353633,0.76518,0.7980115,0.52079153,-0.112707056
-0.13455908,0.16469146,0.6001152,0.1870111,0.24607745,0.5301584,0.28562087,0.51383793,0.43513572,0.5011367,0.39210936,0.368401,0.3179418,0.352562,0.32713038,0.6946999,0.47062784,0.37678355,0.7088165,0.64870536,0.36914706,-0.038241077
-0.15003796,0.15620846,0.41320568,-0.19226375,0.24965125,0.2468426,0.18255123,0.37498194,0.16842411,0.5021444,0.21915364,0.05812916,0.2247912,0.5154189,0.45834702,0.50932527,0.24797508,0.56588864,0.8435285,0.8430332,0.5134923,-0.11879878
0.10398787,0.20535882,0.6168021,0.6735771,0.5326337,0.6248348,0.4096698,0.7185439,0.8514043,0.03527481,0.64912325,0.6124161,0.6576789,0.11905846,0.069712475,0.89303815,0.7289622,0.2020069,0.35811564,0.29553702,0.1266247,0.055752773
0.18444741,0.53940004,0.8865928,0.53119385,0.57377493,0.8368661,0.32536146,0.8191292,0.75327057,-0.023629695,0.8673142,0.8476467,0.88990736,-0.03202683,-0.16616733,1.2593755,0.9012534,0.13385607,0.44026983,0.34269306,0.17406951,0.14541554
0.19162731,0.18007982,0.66896576,0.76882267,0.77062124,0.69644356,0.5450585,0.9562423,1.1443281,-0.1203506,0.83509016,0.7743643,0.85264504,0.087829545,0.02461201,1.1389337,0.916358,0.21209183,0.28592157,0.21914434,0.12200449,0.06755252
0.26812664,0.15902108,0.7513596,0.98816776,1.1284262,0.69204503,0.725605,1.3085726,1.5228415,-0.31190118,1.0696094,0.9951512,1.216297,0.17831567,0.055390675,1.5232286,1.1991047,0.36979872,0.36247283,0.26012957,0.21836612,0.05143966
-0.14730857,0.14877442,0.45196235,-0.06093135,0.24435212,0.33056957,0.21532524,0.42361695,0.26528466,0.52639157,0.28724203,0.15359488,0.2453239,0.49837852,0.46842498,0.52865934,0.32221597,0.570056,0.7994207,0.78659254,0.47815147,-0.09138021
-0.09730364,0.11491817,0.5167789,0.26269633,0.23187856,0.49429673,0.26649538,0.50824094,0.4192149,0.39226237,0.41274077,0.35463586,0.29379344,0.33772808,0.29241973,0.6157954,0.44836956,0.36322373,0.6040257,0.522672,0.31412897,-0.028289832
-0.09140787,0.10469411,0.5314825,0.3213488,0.28900352,0.4918286,0.32925728,0.5675888,0.4864592,0.46808758,0.44994813,0.41020823,0.32856756,0.3723786,0.3417551,0.59494925,0.47749972,0.3460223,0.5815534,0.5011584,0.29102886,0.0292246
-0.19998561,0.2611911,0.6216011,-0.3722141,0.3090383,0.34577906,0.26268572,0.4347956,0.21084112,0.7520046,0.26979086,0.10228342,0.33115822,0.633542,0.58744824,0.76015043,0.34689328,0.7770464,1.1884322,1.230069,0.8042114,-0.20703857
0.096414216,0.19903669,0.55376554,0.5511811,0.5104513,0.60279465,0.40160504,0.64173377,0.7887372,0.036014557,0.59580046,0.5594368,0.5902577,0.079007834,0.08618263,0.8552098,0.6776041,0.14646009,0.29660493,0.25662726,0.11733889,0.05870011
0.11044241,0.1436685,0.4964441,0.48349956,0.5053606,0.49208212,0.40922958,0.65730524,0.71332943,0.024415292,0.56278723,0.5310117,0.5943436,0.11355722,0.06674499,0.7637042,0.6408907,0.16570143,0.24122988,0.19653562,0.106379144,0.061577912
-0.15016864,0.18421301,0.6699678,0.06934498,0.22404458,0.5444939,0.31844977,0.51554406,0.36634463,0.59544873,0.4014173,0.39938167,0.33992958,0.39574796,0.34889138,0.7683331,0.5178678,0.46557257,0.8362905,0.76971054,0.45798633,-0.08168548
-0.12363544,0.13196778,0.45566547,0.038004316,0.22610472,0.37538993,0.17858854,0.42197782,0.28434333,0.4196562,0.30957738,0.17096058,0.2236999,0.41969976,0.3604545,0.54527503,0.3259657,0.4465334,0.7449777,0.6654331,0.39442754,-0.09617278
0.04265809,0.15891083,0.43870074,0.30564597,0.4060322,0.46407643,0.31335625,0.5882927,0.5499368,0.070265934,0.52181625,0.41854748,0.49245858,0.13442993,0.04835178,0.7038882,0.53243357,0.19966462,0.3145523,0.26860344,0.15196165,0.0220395
-0.055977724,0.120555006,0.5442598,0.4091364,0.29519787,0.5476555,0.2987095,0.5596604,0.5645479,0.34583813,0.48022518,0.40109658,0.36192772,0.3010629,0.28119642,0.6485876,0.49597925,0.31749618,0.53187704,0.4672227,0.25500026,0.0054292157
-0.18238802,0.20673431,0.75253487,0.08500071,0.21544346,0.606557,0.2734021,0.5561683,0.41280866,0.7004843,0.41717362,0.38188717,0.34799388,0.47091392,0.44504744,0.85014737,0.5221877,0.5642349,0.98927796,0.9272343,0.5518794,-0.13268204
-0.051590554,0.21808788,0.63016045,0.23639774,0.29775152,0.5812937,0.34094808,0.5238143,0.49505365,0.38338706,0.47777665,0.45574898,0.40836203,0.24398479,0.19708657,0.7590791,0.55477816,0.26344472,0.54197514,0.5068199,0.2681611,0.03389636
-0.06687028,0.09736203,0.50482094,0.3214543,0.27958825,0.47656643,0.32070163,0.54746,0.48613113,0.4079594,0.4419126,0.38894463,0.31926805,0.34152165,0.321517,0.5724695,0.46933895,0.34494475,0.54921424,0.49408284,0.27868962,0.015999746
0.059383843,0.14512198,0.43056875,0.3565818,0.7687425,0.43073544,0.4479372,0.82402027,0.8210638,-0.21063265,0.6254963,0.4566107,0.7172925,0.19671404,0.12169073,1.0286365,0.71040183,0.38076565,0.42705458,0.3169383,0.240732,-0.056211434
-0.10332236,0.10929378,0.33435392,0.0543101,0.28846627,0.27626407,0.1955669,0.41563192,0.2702715,0.3387635,0.28683585,0.16103652,0.24764058,0.4211245,0.35367906,0.46519655,0.29725158,0.41697124,0.5883194,0.5576948,0.34276333,-0.038283102
0.07280065,0.33464482,0.7139601,0.42288443,0.38676763,0.6686377,0.33708903,0.67995214,0.6297628,0.28794026,0.5778071,0.60683304,0.60766166,0.14039706,0.10323178,0.8952646,0.6756399,0.25072533,0.520749,0.46757647,0.2581483,0.07487512
-0.06801381,0.118355334,0.522064,0.29872963,0.2801947,0.4993682,0.33445567,0.53759074,0.48774064,0.40462792,0.44604477,0.40900996,0.32690662,0.32534403,0.31527427,0.60033,0.47007805,0.31024128,0.5186045,0.4779396,0.2863974,0.036210958
-0.06976887,0.15472575,0.5802024,0.29043093,0.30774352,0.5179459,0.35114613,0.5809792,0.48939115,0.46707278,0.48503995,0.43858606,0.38026577,0.33081585,0.31426883,0.6491538,0.5276493,0.35003018,0.5988145,0.5277695,0.31088227,0.025818612
-0.20132639,0.25501803,0.4913162,-0.48247752,0.36901128,0.19392337,0.20819275,0.43771428,0.103153974,0.68593717,0.19239673,-0.03385901,0.29838386,0.752882,0.6657839,0.6583767,0.22338971,0.86310077,1.1998113,1.280007,0.8454343,-0.18667735
0.0031321184,0.082257845,0.41051227,0.34142804,0.3534,0.44438443,0.31401974,0.51486754,0.53224784,0.15841235,0.4583007,0.37924632,0.38542956,0.20824663,0.15295985,0.60382175,0.48643616,0.21734703,0.33954144,0.2812394,0.15726611,0.020094614
-0.12766546,0.15324795,0.6082395,0.23961468,0.24050178,0.5395433,0.2878453,0.5412564,0.45055073,0.5387456,0.42445537,0.36567375,0.3279931,0.40194124,0.3799321,0.67967725,0.48060772,0.44349343,0.7364569,0.68225646,0.36798412,-0.03528935
-0.038034808,0.21771057,0.58681303,0.23629284,0.28698978,0.58660465,0.30774355,0.5045202,0.46628994,0.3406848,0.4683777,0.46203604,0.41786662,0.21666531,0.16660815,0.7498983,0.5648035,0.2798919,0.52878076,0.47248855,0.264501,0.018568475
-0.111841455,0.09832955,0.4519512,0.15583038,0.24714045,0.4126953,0.25933224,0.4946282,0.38165158,0.46845135,0.3733687,0.27083907,0.2629545,0.4319163,0.39490283,0.5277889,0.37431613,0.4258268,0.62547755,0.5773487,0.34804767,-0.0178979
-0.03508519,0.06874107,0.43398017,0.3055286,0.3025367,0.4519528,0.31249452,0.51132596,0.4957294,0.27858442,0.440303,0.37147504,0.3228887,0.2869928,0.24408673,0.57557654,0.45135525,0.2748228,0.43237168,0.36639357,0.23123977,0.015214492
-0.22665419,0.24432135,0.78941196,-0.08914335,0.21731701,0.5366647,0.23766471,0.5255494,0.32797897,0.7940513,0.36698872,0.28979895,0.2982038,0.58419245,0.56004614,0.883139,0.4667044,0.7046168,1.2088928,1.1667976,0.7297743,-0.23131937
