rely,data,cplx,time,stor,acap,pcap,MI_loc_aexp,MI_loc_stor,MI_aexp_data,actual
0.35266215,-0.12671174,0.42588842,0.3418887,0.52165025,0.055776544,0.07670215,-0.14376755,0.1652761,-0.14694352,-0.050482552
0.5003566,-0.31816205,0.56705606,0.5796213,0.85788035,0.11319424,0.094136655,-0.24745306,0.2728167,-0.29530996,-0.17569588
0.15212971,0.0073013753,0.59380394,0.31887752,0.40920734,0.101373024,0.03558235,-0.117965765,0.22241639,-0.1317645,-0.079898104
0.32435197,-0.10428159,0.4224484,0.34604272,0.5365049,0.07307779,0.050788194,-0.12820178,0.16868742,-0.16699433,-0.09426552
0.103766,0.06466141,0.44934428,0.16094062,0.23923254,0.12576365,0.10949941,-0.05659896,0.10479711,-0.07984815,0.0002558641
0.42793095,-0.14148684,0.46174443,0.41483143,0.6317165,0.074751124,0.12960681,-0.16136542,0.19155374,-0.1755175,-0.07892217
0.329813,-0.09314452,0.4463646,0.33508602,0.500539,0.0033074282,0.0065987185,-0.116742656,0.18398798,-0.18341547,-0.086108714
0.95537907,-0.47426206,0.9094935,0.79742277,1.2179525,-0.35190797,-0.08666769,-0.39757064,0.56707233,-0.61553144,-0.32862207
0.3476671,-0.12887417,0.4668868,0.390397,0.622057,0.14482239,0.115140334,-0.14359581,0.1688504,-0.1586214,-0.084963664
0.3376062,-0.09823205,0.44420943,0.35971853,0.57107246,0.16117749,0.14089091,-0.1230371,0.14517987,-0.12303616,-0.05410077
0.31321955,-0.054951012,0.6774219,0.4126663,0.54561144,0.0028718412,-0.00015505031,-0.18465622,0.29521945,-0.3004395,-0.14607961
0.3826124,-0.06687048,0.72786695,0.51562256,0.7016428,-0.030086964,-0.051078033,-0.20701955,0.32263097,-0.32249367,-0.21582663
0.34286255,-0.1289195,0.44290367,0.39307383,0.587684,0.12042835,0.107121006,-0.14863186,0.17791514,-0.1711256,-0.061495926
0.46728116,-0.15823698,0.49491552,0.40874982,0.6114795,-0.051695377,0.08958958,-0.19101481,0.2461478,-0.2280239,-0.10810462
0.6928913,-0.4243783,0.64128286,0.660013,1.0114398,-0.049449503,0.04749781,-0.28810206,0.36080346,-0.42420474,-0.19335824
0.16319494,0.051989123,0.40621483,0.23924913,0.37579137,0.2367766,0.20842351,-0.050850198,0.11336759,-0.014423162,-0.02566776
0.23001845,0.05842369,0.4446701,0.3102916,0.41019928,0.17971088,0.18366632,-0.07344937,0.12482911,-0.053925302,-0.0068556294
0.2516415,-0.13846995,0.46383873,0.4280027,0.62200314,0.26092178,0.14821006,-0.1544473,0.18561788,-0.15678921,-0.10647102
0.26320678,-0.005346236,0.5668725,0.33859017,0.46900958,0.04114188,0.027548213,-0.12830561,0.21244384,-0.19591404,-0.12046456
0.5667638,-0.26314813,0.5403679,0.4484478,0.76503974,-0.062386237,0.038824383,-0.220872,0.28840703,-0.29527068,-0.17631495
0.27734652,-0.0073665148,0.412739,0.2700656,0.4318392,0.10635483,0.12825552,-0.081677556,0.15456907,-0.066327825,-0.068663105
0.23289903,0.08074527,0.4321636,0.28846222,0.42213216,0.20254837,0.17538811,-0.06855805,0.10368678,-0.031687386,-0.042646583
0.13731506,0.10366148,0.41911966,0.29039937,0.3712749,0.2230819,0.15188716,-0.071328685,0.1130462,-0.04915471,-0.083548814
0.20060478,0.04373263,0.4231206,0.33302757,0.44790497,0.18490523,0.11818832,-0.113990635,0.15390125,-0.090905264,-0.106903
0.32458347,-0.043271467,0.4926703,0.3357121,0.48959136,0.027538927,0.010624338,-0.12633923,0.212817,-0.14677137,-0.10865995
0.13540775,0.09993883,0.48001745,0.29582986,0.3860302,0.15336867,0.07495742,-0.08422202,0.12376,-0.0769762,-0.06846526
0.3164732,-0.1331407,0.45104077,0.38938314,0.5949434,0.19385889,0.13962665,-0.14771244,0.15973707,-0.13602543,-0.071560785
0.32672858,-0.003286684,0.59194434,0.35836995,0.54453135,0.0137113035,-0.0010927841,-0.16930342,0.24390341,-0.2123423,-0.15117404
0.40043068,-0.2707563,0.55815244,0.5496483,0.81265795,0.19803093,0.107428074,-0.20452598,0.23586589,-0.2548068,-0.14584099
0.28390688,-0.15470831,0.48913422,0.4554269,0.63447756,0.21996066,0.1317425,-0.15514517,0.19796242,-0.18536545,-0.0888156
0.22946338,-0.011973807,0.40701202,0.24875942,0.3872071,0.11038822,0.13526495,-0.0852309,0.11833212,-0.073650956,-0.016709503
0.18864472,0.1322082,0.43773156,0.23762506,0.34045824,0.21440393,0.22854654,-0.04443838,0.10020509,0.008255242,-0.01241352
0.25377226,-0.032429576,0.4681801,0.30265123,0.41609824,0.061440468,0.073222674,-0.12175013,0.19636817,-0.12203963,-0.07193397
0.35874933,-0.12658451,0.4728654,0.32102174,0.48618156,-0.023958206,0.037283614,-0.16313508,0.2207291,-0.21665783,-0.10088745
0.38119918,-0.18040411,0.45366693,0.38566098,0.65001005,0.12912554,0.07375229,-0.1597504,0.1931775,-0.1652416,-0.09742284
0.34334844,-0.053483576,0.4671467,0.32679623,0.4885251,0.030739946,0.025280468,-0.12318792,0.19623335,-0.14402594,-0.10279684
0.59717995,-0.2292934,0.5452604,0.5059401,0.7798928,-0.065225035,0.03148975,-0.21363872,0.28735542,-0.29826653,-0.21462572
0.61423784,-0.37595192,0.6648131,0.5317881,0.83933383,-0.1489418,0.0073836856,-0.26670578,0.40456092,-0.39820123,-0.17689772
0.8932864,-0.4989874,0.7149456,0.7112494,1.0916781,-0.3071754,-0.015367586,-0.3781638,0.48464808,-0.51556003,-0.24825662
0.17779806,0.099788845,0.4037041,0.2314398,0.3077638,0.14337173,0.12643605,-0.0726329,0.1066934,-0.028665738,-0.047835667
0.16381958,0.05908288,0.42910022,0.19528188,0.29653677,0.14322048,0.10363819,-0.062443517,0.10557984,-0.06913796,-0.013658617
0.18660364,-0.090381876,0.46828377,0.40107355,0.5918147,0.28608268,0.13294603,-0.14416294,0.19732042,-0.11285984,-0.095658585
0.6810813,-0.28619584,0.5700852,0.52818304,0.82948434,-0.11374581,-0.007164385,-0.2323998,0.33525896,-0.33556303,-0.24975213
0.41796285,-0.24281915,0.5650318,0.48463374,0.74772596,0.04131447,0.014865965,-0.17687696,0.26341102,-0.2834399,-0.15046947
0.024516994,0.14354895,0.39758983,0.25157923,0.30529585,0.3071838,0.18647869,-0.046691887,0.105820686,0.00031372363,-0.08479008
0.30520046,-0.14812133,0.48537526,0.44538894,0.6681933,0.21153347,0.12696657,-0.16132656,0.18256107,-0.18173969,-0.10595058
0.13168171,0.057002455,0.43776077,0.27825856,0.33055493,0.21569155,0.14878981,-0.07512226,0.16229616,-0.05989392,-0.06994775
0.24599664,0.036081843,0.46645343,0.29040334,0.42776164,0.10846302,0.09661119,-0.08433323,0.1378943,-0.073579915,-0.049283672
0.27931216,-0.09615425,0.4177352,0.29733813,0.43630216,-0.00404479,0.03640177,-0.16021861,0.18228665,-0.19521675,-0.059292305
0.3631379,-0.11358736,0.40739793,0.30700094,0.49940175,0.066177726,0.096627876,-0.115565896,0.1598944,-0.13183878,-0.0520205
0.09756203,0.11115186,0.44503278,0.2410149,0.26872393,0.14917779,0.09918356,-0.07443558,0.117100224,-0.07367467,-0.06783429
1.2728207,-0.7372314,0.9689902,0.99165606,1.527839,-0.53192294,-0.0571733,-0.53089386,0.7163415,-0.7878639,-0.38886338
0.2709575,0.034609787,0.43561244,0.28893092,0.40672714,0.13783978,0.14572236,-0.08054235,0.12171918,-0.072942965,-0.021261279
0.19135082,0.05243042,0.4181132,0.24194284,0.37705612,0.2195398,0.2041304,-0.049984574,0.115909055,-0.018763164,-0.012786191
0.038548846,0.07220418,0.44690037,0.18855004,0.23025689,0.18132278,0.13601752,-0.06955331,0.119303346,-0.044458933,-0.050844703
0.2842877,-0.11016853,0.4266025,0.35240698,0.53924197,0.15464275,0.140991,-0.1284339,0.16318536,-0.12060216,-0.072034225
0.112421684,0.059282035,0.46201405,0.3870927,0.44466928,0.2653768,0.13741498,-0.09686661,0.16166396,-0.124457136,-0.079037756
0.1407681,-0.0670643,0.53417915,0.46929792,0.65267074,0.2965834,0.09821467,-0.13611297,0.223685,-0.20911801,-0.17612027
0.43735248,-0.21598399,0.4970884,0.42934975,0.68811315,0.07290921,0.07760866,-0.19073486,0.22708368,-0.21767777,-0.1098233
0.01198739,0.16574854,0.42233258,0.23636565,0.27320504,0.26374274,0.17027754,-0.03776201,0.098486215,-0.0049079657,-0.076591805
0.15775612,0.06500704,0.6038018,0.4107774,0.5189962,0.12246559,0.004188679,-0.12714384,0.22957645,-0.15774368,-0.15498729
0.23276019,-0.06184034,0.42697233,0.29630986,0.43172872,0.0951167,0.08913095,-0.117057614,0.16808626,-0.1309817,-0.07382846
0.04311378,0.14301164,0.40101194,0.23543791,0.20239842,0.2793489,0.2359349,-0.059469454,0.121744156,0.026708636,-0.07395856
0.16756247,0.105975494,0.5154108,0.29392204,0.46678063,0.10579215,0.037023403,-0.113757156,0.1965672,-0.1312199,-0.11968213
0.15035963,0.02836903,0.43366376,0.3717687,0.46414733,0.2794124,0.16125728,-0.10705357,0.14990363,-0.102468565,-0.09733279
0.123602144,0.055441663,0.43524265,0.16751255,0.23097548,0.17550892,0.14001,-0.048330657,0.1090024,-0.05391106,-0.017761167
0.3108393,-0.11173525,0.442717,0.3315346,0.52198124,0.08894406,0.12532955,-0.13637868,0.18568759,-0.14369865,-0.08013025
0.24354993,-0.0131974295,0.4724628,0.27669877,0.38315052,0.065937534,0.025708701,-0.11603453,0.19157398,-0.1315823,-0.08876082
0.23546457,-0.024160396,0.48132622,0.26414567,0.36216348,0.04383008,0.03153579,-0.10613095,0.1816281,-0.161281,-0.07574491
0.4655478,-0.14095327,0.4926342,0.4045874,0.61344326,-0.05066637,0.04736077,-0.18591651,0.22582488,-0.2428904,-0.1260773
0.6384556,-0.32835028,0.55951333,0.52135754,0.7932883,-0.18507946,0.0038178042,-0.26917502,0.34851196,-0.3716193,-0.17763558
0.35996562,-0.12372447,0.45261195,0.34442133,0.55148613,0.07235311,0.12275572,-0.14594527,0.17614795,-0.16172773,-0.076773286
-0.011580791,0.14169128,0.45662975,0.23706043,0.2612137,0.2259009,0.12349136,-0.064641654,0.12959623,-0.05349005,-0.103539854
0.93767166,-0.56739235,0.76944035,0.7882215,1.1832274,-0.25338334,0.021222271,-0.39952856,0.4930971,-0.5388511,-0.25367504
0.3210116,0.04366111,0.4654844,0.31049484,0.457569,0.15563133,0.20308627,-0.0792504,0.12928079,-0.06825852,-0.03071436
0.2637601,-0.031122506,0.44166568,0.34697032,0.5141385,0.15868944,0.114324495,-0.11700178,0.14771602,-0.112964354,-0.08134392
0.33132654,-0.11193228,0.46674648,0.3590824,0.57522815,0.07702951,0.03456768,-0.13807869,0.18876243,-0.1719793,-0.10677688
0.57066715,-0.24968946,0.5256595,0.436739,0.6644711,-0.1140075,0.05082597,-0.22411461,0.28436914,-0.28511605,-0.10715258
-0.0013823435,0.219388,0.72618586,0.42767748,0.48703143,0.20932186,0.05343742,-0.098382235,0.21912293,-0.14554214,-0.17441574
0.31543368,-0.064020194,0.44137144,0.34498882,0.5442346,0.160732,0.12842318,-0.122510605,0.1453941,-0.09826347,-0.043215033
0.09954129,0.037587725,0.4305334,0.3449617,0.41115382,0.2953868,0.19722939,-0.10891465,0.16912688,-0.07790781,-0.09522772
0.28749537,-0.070295796,0.45202777,0.3206234,0.47956103,0.00062118843,0.014257345,-0.12865,0.1916943,-0.16023348,-0.08607258
0.21243885,-0.055793114,0.45353913,0.31856087,0.44506517,0.053389322,0.033560425,-0.09327497,0.16193889,-0.15270723,-0.06639399
0.32470572,0.08422394,0.77038115,0.441917,0.64592135,0.04888085,-0.012066562,-0.19023214,0.29253426,-0.24237125,-0.218175
1.281602,-0.80080193,0.96143144,1.0312663,1.600713,-0.42407668,-0.045242805,-0.5127128,0.6731682,-0.74538124,-0.40077135
0.2030992,0.092682384,0.44017288,0.2575008,0.3819521,0.18407369,0.17475288,-0.054734387,0.11301918,-0.02292215,-0.020988245
0.23259938,0.11875193,0.46599662,0.26259258,0.368558,0.19168682,0.2091909,-0.057927825,0.10794726,-0.016844582,-0.0060847476
0.3748082,-0.103388295,0.588357,0.3961516,0.571378,-0.019713335,0.0012607314,-0.17856304,0.2832364,-0.24700104,-0.12961586
