har,t02,t03,t05,t07,t09,t10,t11,t12,t13,t15,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_duration_D_t07,effort_D
0.52463704,0.8251101,0.65747845,0.7500586,0.9054243,0.72925514,0.8759124,0.60917324,0.9987658,0.5670837,0.90085775,0.20278053,0.32424363,0.17853841,0.11897442,0.50581545
0.4895624,0.6640293,0.43796688,0.5367223,0.8141112,0.75411177,0.7679291,0.7891688,0.83048874,0.48242047,0.7388896,0.23424797,0.32424188,0.3133937,0.12504849,0.3934353
0.43325716,0.62238604,0.4532205,0.48526874,0.6355261,0.55079526,0.65944034,0.44486222,0.69265753,0.35749027,0.59172297,0.19824046,0.1789534,0.13794725,0.12669231,0.3787386
0.4405506,0.70925874,0.46361345,0.6018578,0.71949506,0.7123355,0.7239771,0.6611159,0.8147218,0.53210706,0.7492924,0.18937045,0.2428396,0.20285602,0.064593874,0.3438617
0.431357,0.65183973,0.5292133,0.55828625,0.681645,0.60027367,0.68739927,0.5214797,0.78511184,0.43958604,0.70656335,0.17320919,0.23455817,0.1678342,0.047553048,0.3837753
0.5029138,0.66673577,0.5338635,0.5844727,0.7907814,0.7344419,0.77169347,0.71784943,0.8495114,0.49783337,0.8078532,0.20985296,0.31399098,0.25535113,0.08736797,0.4277362
0.64148176,0.83400226,0.7732038,0.7430223,0.97425187,0.8305909,0.90257156,0.7386497,1.1200136,0.6066695,1.0205127,0.27791223,0.40511072,0.261423,0.13721037,0.61576605
0.5176738,0.65840536,0.53881,0.5661288,0.8827464,0.7893464,0.81750935,0.8324434,0.8976482,0.49888527,0.7858674,0.26832062,0.39934874,0.36934778,0.174311,0.47732016
0.5329139,0.7860727,0.653003,0.61761475,0.8653369,0.671785,0.86489224,0.5161652,0.8170782,0.39244765,0.6879829,0.26168567,0.35239702,0.19866851,0.25309917,0.5171303
0.45072255,0.6422319,0.42056042,0.52532935,0.5844061,0.6538701,0.6020911,0.56002855,0.7225678,0.47074607,0.66462517,0.14978835,0.19172585,0.16956852,0.04229054,0.29462987
0.5210601,0.80334246,0.55404997,0.69288254,0.8449131,0.7583176,0.81801784,0.67654276,0.9547024,0.58764154,0.8612352,0.21592166,0.28123802,0.20967126,0.08887614,0.4481136
0.34735513,0.5204148,0.37130272,0.35876375,0.5207259,0.4636826,0.5547909,0.3776926,0.5486275,0.30008844,0.39885116,0.18240859,0.15902463,0.12308974,0.15572485,0.2946402
0.43411496,0.7147346,0.48090914,0.6252067,0.7611533,0.7278184,0.7755695,0.71058446,0.86099505,0.5052332,0.780431,0.20202799,0.2822852,0.1792764,0.10289046,0.3510396
0.61265683,0.97256476,0.743921,0.8417384,0.992228,0.7969841,0.9296119,0.58695585,1.093987,0.5726886,0.99076974,0.23902461,0.39850459,0.19512063,0.20652413,0.5648206
0.6228541,0.68067175,0.69699043,0.5931674,1.0752454,0.9532495,0.9381071,1.0246134,1.0535194,0.53614056,0.89496154,0.365324,0.53524,0.48226884,0.310453,0.60674816
0.4168764,0.6036798,0.42039058,0.5205802,0.61576045,0.60419065,0.6299779,0.5562813,0.70582825,0.43313754,0.63446444,0.17403802,0.22507957,0.18483777,0.059672453,0.32091668
