cplx,acap,aexp,pcap,modp,sced,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_turn,actual
0.11426596,0.30426398,0.16615134,0.48321187,0.47165006,-0.2976066,0.30932644,-0.010808205,0.01126905,0.18711556,0.34850332,-0.13245374,0.041558925
0.03881731,0.40577844,0.17252676,0.6413203,0.6276695,-0.5700999,0.5205679,0.014769761,0.0236162,0.33360633,0.6089671,-0.1427272,0.12839717
0.19954905,0.25856686,0.20977187,0.38422883,0.44003356,-0.23840252,0.3013747,-0.036877252,0.027825462,0.16491848,0.34801978,-0.09898384,0.0799707
0.16815443,0.36812687,0.16811287,0.5942579,0.5709061,-0.31401777,0.3388906,-0.0016075298,0.04382401,0.1951137,0.38347504,-0.11382282,0.042754617
0.17245007,0.29640487,0.17029086,0.4395129,0.45803165,-0.19446196,0.21930325,-0.020911878,0.020155977,0.1397061,0.24574098,-0.09190373,0.03875265
0.12019922,0.31178123,0.1861162,0.47000867,0.4593107,-0.29784006,0.31428942,-0.024984846,0.008307572,0.1732115,0.36048508,-0.12354118,0.052839894
0.035763696,0.34600377,0.14873865,0.52964544,0.5060369,-0.44029576,0.38310444,-0.007960213,0.012027768,0.2289458,0.45757365,-0.158077,0.06212971
0.06280625,0.38954812,0.1590749,0.5902067,0.48688263,-0.25304005,0.25568867,-0.010963131,0.04629653,0.15821728,0.2636259,-0.024628427,0.0414653
0.21514815,0.33448878,0.20048288,0.4950347,0.5198822,-0.2372114,0.29384145,-0.02422263,0.025384484,0.19306475,0.34241277,-0.11552307,0.037976477
0.107919216,0.31683582,0.14691406,0.4708957,0.46203035,-0.2764951,0.26718774,-0.020445226,0.019932423,0.1581652,0.31579772,-0.11226645,0.044897508
-0.22828902,0.6259187,0.059761297,1.0084275,0.6947238,-0.43315184,0.50261647,0.057267398,0.18997777,0.27651092,0.4753002,0.16317652,0.1302464
-0.35096246,0.73244715,0.06321336,1.1945324,0.7710403,-0.5081393,0.58505,0.08605012,0.2328389,0.32500878,0.5318015,0.23754509,0.1517131
-0.013523683,0.44599038,0.13563356,0.6749691,0.5602502,-0.2788672,0.32731605,0.0035451557,0.07855737,0.1823208,0.32375237,0.023604184,0.07077931
0.11937219,0.2939072,0.17914012,0.45475322,0.48203582,-0.3354174,0.34980828,0.0053487075,0.022979705,0.21825866,0.40253034,-0.13461332,0.07860358
0.12637815,0.36583292,0.17195329,0.5724721,0.49116373,-0.2638703,0.29223746,-0.035143033,0.04071588,0.17111096,0.3102993,-0.06781286,0.04238223
0.096364796,0.3249564,0.14472772,0.51549864,0.5119369,-0.33657113,0.35001144,-0.0054497477,0.028590536,0.21109946,0.3891179,-0.15213396,0.05667342
0.18813285,0.3335811,0.17636067,0.50497216,0.51352876,-0.25396279,0.26508528,-0.014840445,0.027167017,0.15839267,0.3059825,-0.11539878,0.040539954
0.058357738,0.38502288,0.13084576,0.618939,0.5252552,-0.28881976,0.29687387,-0.012782918,0.056278676,0.1755414,0.31290174,-0.04347026,0.053698745
0.20803022,0.28934535,0.19318232,0.41940475,0.44462532,-0.16180776,0.19395073,-0.022483954,0.01802055,0.122480825,0.21494569,-0.05986154,0.044450033
-0.6011965,1.1335462,-0.03275489,1.6791699,1.0205748,-0.8497636,0.87542963,0.16127282,0.37285054,0.44919056,0.7915376,0.42384505,0.22970155
-0.0037639737,0.4390546,0.11979867,0.67451817,0.54241204,-0.30117843,0.34253627,-0.005079787,0.10049151,0.19120987,0.3290877,0.014051802,0.08052234
0.04832299,0.3738681,0.17956951,0.55934376,0.504331,-0.35409486,0.3663726,-0.04444789,0.0091686845,0.17555568,0.42169842,-0.09383774,0.04772417
0.23148525,0.29153013,0.19234186,0.40748513,0.4628862,-0.1225531,0.19181217,-0.034464903,0.025331063,0.11344358,0.1970561,-0.07860318,0.033351723
0.1580976,0.29571685,0.18079415,0.44983256,0.476218,-0.3112638,0.29371113,-0.019937621,0.017189236,0.18950868,0.37992892,-0.124816746,0.0677156
-0.028838083,0.48202047,0.11462307,0.73370385,0.5894649,-0.33683857,0.35291165,0.0061327703,0.08539793,0.20490743,0.35994694,0.017500777,0.06675857
0.22321498,0.30370802,0.19764768,0.4239505,0.4759838,-0.16498205,0.22029093,-0.031200955,0.02496863,0.14635834,0.25507218,-0.08260286,0.045064997
-1.3141677,1.9433304,-0.1788255,2.950254,1.6515145,-1.3683739,1.554734,0.3952772,0.8660798,0.8030567,1.3095258,1.0222331,0.48775226
0.121755674,0.30288887,0.17937164,0.458633,0.4527719,-0.32207054,0.31997517,-0.029250069,0.023136409,0.18489662,0.385804,-0.10021569,0.060301203
0.16800503,0.31870028,0.17697948,0.48573554,0.45509315,-0.22161812,0.22180109,-0.0100424085,0.014713718,0.14196718,0.24741927,-0.07360289,0.04293431
0.07026588,0.3840265,0.16421336,0.6111474,0.51692754,-0.2786943,0.3048665,-0.023308808,0.03650911,0.17623685,0.32103604,-0.04253017,0.043466423
-0.09639692,0.52708507,0.118853115,0.7765102,0.59945476,-0.37720874,0.35663977,0.0061397674,0.09101909,0.20422415,0.3685678,0.03450503,0.085043
-0.088471696,0.46337438,0.12746236,0.76436985,0.5783843,-0.29839486,0.39839372,0.03314726,0.11715932,0.22225715,0.37652126,0.06592424,0.09986691
0.20598288,0.32815605,0.18886155,0.4838522,0.49503094,-0.24461588,0.26337463,-0.025438366,0.02373547,0.16719045,0.3082404,-0.11528322,0.04608823
0.061912462,0.55745584,0.12588239,0.750118,0.7121807,-0.35610774,0.38789043,0.0024670362,0.083717704,0.21223608,0.44115242,-0.05391396,0.08357324
0.19040976,0.31393006,0.18335873,0.42448854,0.45528442,-0.19541913,0.22059692,-0.025276879,0.011650505,0.14290984,0.25178462,-0.10349108,0.03598417
0.17857337,0.31181306,0.18634841,0.44950658,0.4693101,-0.16550592,0.22620699,-0.021531647,0.021551548,0.13048697,0.24281779,-0.06540855,0.056359228
0.226217,0.31347722,0.18815064,0.45610046,0.4840449,-0.2030457,0.21334042,-0.018647874,0.016254952,0.13951187,0.25431633,-0.100578025,0.03810801
0.13667497,0.29818073,0.17285936,0.4343679,0.4543596,-0.26415536,0.27931833,-0.030421792,0.0065723117,0.17070723,0.3248832,-0.11348492,0.04689328
0.094019085,0.33620718,0.17949465,0.5401261,0.48251718,-0.25275186,0.3439043,-0.04962013,0.056927845,0.16387488,0.37337443,-0.061915807,0.06116992
0.18645637,0.29106256,0.17913526,0.3870495,0.44040054,-0.20873879,0.20765397,-0.028742878,0.0097930245,0.12326877,0.2530989,-0.11019082,0.034893926
0.06913696,0.39402205,0.1751289,0.60355705,0.52257806,-0.24943376,0.26959947,-0.012460919,0.035357945,0.15671381,0.27845386,-0.029911516,0.041245107
-0.034935355,0.4657591,0.14160618,0.68923485,0.5631663,-0.37033963,0.34404513,-0.020346167,0.06793352,0.1920482,0.38776797,-0.026224393,0.07107851
0.17291765,0.3128062,0.16167027,0.50509524,0.4775148,-0.26883495,0.28514934,-0.015877867,0.029396525,0.17068404,0.31889454,-0.11497657,0.0437742
0.17878076,0.30081066,0.19041553,0.40864247,0.45474386,-0.2642284,0.29383653,-0.017852144,0.013984732,0.17517662,0.3289055,-0.116252005,0.06973751
0.27924967,0.3466245,0.19926226,0.46743095,0.5637928,-0.18029012,0.24818473,-0.023913438,0.04146857,0.1629314,0.30058587,-0.11390346,0.050539043
