Transactions,PointsAdjust,Envergure,MI_PointsAdjust_Entities,MI_PointsAdjust_Language,MI_PointsAdjust_Envergure,Effort
0.090716094,0.102424905,0.6075334,0.055035904,0.11563339,0.15059344,0.110297725
0.11603214,0.120190665,0.48474985,0.048430853,0.11938652,0.105856664,0.11190075
0.014065243,0.047168344,0.35103834,0.044355467,0.05729423,0.062031254,-0.017968347
0.095425025,0.10721007,0.45702094,0.061233692,0.10506329,0.09207239,0.118850425
0.34269735,0.36214125,0.54716814,0.16161647,0.33284637,0.38147753,0.33282855
0.26605254,0.22158262,0.59700245,0.06487871,0.275806,0.25144374,0.2604792
0.10088715,0.16697417,0.5066225,0.153001,0.19667374,0.16379459,-0.009287117
0.19449884,0.15729704,0.26353264,0.013618189,0.17355514,0.046278447,0.11506959
0.27187568,0.26196957,0.6682366,0.1245976,0.3056545,0.28310594,0.37535208
0.12562527,0.12940246,-0.07214102,0.04533857,0.11521479,0.0074988455,0.012302652
0.15773953,0.22436902,0.6699389,0.15371074,0.25409994,0.250826,0.26563692
0.40385786,0.46951646,0.898293,0.33308262,0.4758267,0.6676333,0.6762101
0.108391464,0.081770815,0.10777997,0.021412024,0.06182969,0.0038356856,0.050001256
0.20215188,0.19890518,0.6474878,0.0748482,0.21086593,0.24137174,0.27768135
0.18333553,0.22119437,0.5885368,0.17587723,0.2833291,0.24584733,-0.074538596
0.14629519,0.07168106,0.33746192,-8.935109e-06,0.046192862,0.011111688,0.052596807
0.10765911,0.10137124,0.35255283,0.023711765,0.0895001,0.04992418,0.105931945
0.1676037,0.21028247,0.8296494,0.09914515,0.2855304,0.3175155,0.4038344
0.019813683,0.31842887,0.38315016,0.51830417,0.2854875,0.26188916,0.012809094
0.13691966,0.051590174,0.4910876,-0.022629505,0.00832764,0.029182175,-0.007890349
0.123441294,0.23879503,0.5322238,0.1717502,0.22687168,0.19944146,0.15279837
0.058984365,0.10087706,-0.118243694,0.09816592,0.052976046,0.014999209,0.09244942
0.12615116,0.22809216,0.6242835,0.19804488,0.2551417,0.23247205,0.16996816
0.14621872,0.1041286,0.5025449,0.0049778894,0.08092508,0.08361502,0.035695042
0.099301994,0.07208847,0.45515856,0.017966237,0.04109277,0.068367876,0.08859069
0.13667104,0.078511305,0.35337567,-0.008254807,0.10275915,0.01973323,0.02860606
0.017278716,0.040634654,0.099057,0.028369099,0.03507987,0.017704068,0.056456704
0.12024577,0.13205503,0.335383,0.07784659,0.12909918,0.08777541,0.047960445
0.10047591,0.10049698,0.64566606,0.019079795,0.13677149,0.13444348,0.15628389
0.1251129,0.09403773,0.6448153,0.0032694712,0.09707404,0.10825177,0.14392675
0.09187804,0.13461125,0.48407885,0.11443807,0.13005322,0.13492496,0.04923498
0.12749636,0.2536552,0.7272315,0.2311054,0.2647511,0.29492736,0.22385827
0.22214888,0.30567312,0.5398144,0.2028837,0.250653,0.27866456,0.3213122
0.16396064,0.14458165,0.4714912,0.030225325,0.142324,0.10510509,0.077186435
0.06537517,0.11257236,0.2726829,0.032257255,0.103432156,0.062073402,0.07696773
