size_D,duration_D,dba,nlan,t05,t07,t11,t12,t13,t15,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_t08,MI_size_D_app,MI_duration_D_t07,effort_D
0.16771087,-0.12267261,0.77112895,0.73819935,0.6681959,0.28183907,0.4473791,0.8762182,0.90612185,0.7905748,0.17121841,-0.0054603703,0.26525447,0.18414335,0.25261444,0.19540414,-0.090411715,0.08560179,0.13772604
0.060371675,-0.08032554,0.6325073,0.5379685,0.48192027,0.28279585,0.33072257,0.8196986,0.76373434,0.6583805,0.11420903,0.071326174,0.26839888,0.16286953,0.18315135,0.24344766,-0.02646205,0.19910643,0.086972624
0.6704007,0.16177571,0.9124808,1.1670661,0.8472088,0.83193964,0.9361924,1.5482309,1.4836309,1.0187602,0.5661365,0.3802764,0.9719341,0.7148208,0.81858236,0.6822885,0.45425117,0.77796936,0.3425722
0.17765956,-0.0810902,0.72373116,0.74991745,0.6434906,0.32269144,0.49211663,0.87244266,0.82590735,0.7525407,0.19993548,0.059743688,0.29383457,0.18649365,0.25303718,0.22617376,-0.018978698,0.15322584,0.12610824
0.044618476,-0.061296377,0.623405,0.47522292,0.45220068,0.34120882,0.29850566,0.9008268,0.80585784,0.66412127,0.108413346,0.14158376,0.30771902,0.19999231,0.2179206,0.30494973,3.6612153e-05,0.26922333,0.08002825
0.11343623,-0.109328,0.71277165,0.6635268,0.5701683,0.24865824,0.38312417,0.7572345,0.7449754,0.72868437,0.1273099,-0.00315566,0.18373586,0.10831112,0.17187932,0.12930608,-0.07667807,0.08635506,0.11519666
0.048857287,-0.10022908,0.69257337,0.58067036,0.5071249,0.2368362,0.32012326,0.6811739,0.68034804,0.68412626,0.08182797,-0.02972751,0.111901626,0.04090798,0.08541997,0.06457336,-0.09658176,0.075113334,0.080234796
0.07145567,-0.11665073,0.6697426,0.56278133,0.5330752,0.26855984,0.34672815,0.8718474,0.8700668,0.72474027,0.12788191,0.053667635,0.30541566,0.20206375,0.20580693,0.2570768,-0.039777007,0.16105282,0.114519626
0.4506964,0.040877316,0.78751814,0.9896423,0.78779453,0.6049428,0.71725214,1.2691916,1.2391317,0.89569247,0.42798382,0.22018032,0.7192897,0.525501,0.5863089,0.47307053,0.25357455,0.4844558,0.27479154
1.2691134,0.38321236,1.4808868,2.053462,1.5088573,1.522191,1.7027227,2.7929928,2.6916118,1.7017251,1.0525014,0.7336648,1.9250783,1.4344814,1.5820796,1.3247043,0.91656715,1.4480656,0.67269737
0.016695332,-0.11159624,0.6326325,0.510853,0.44338915,0.22810557,0.28340644,0.7154938,0.69539994,0.6448537,0.06891248,0.0035322867,0.16913722,0.0776315,0.10592434,0.14517681,-0.06643769,0.12598827,0.068509996
0.025305431,-0.053937096,0.78325695,0.6352998,0.57081556,0.24286026,0.2618379,0.884143,0.9299215,0.8001032,0.08627575,0.020847546,0.21848075,0.07325655,0.10916641,0.08174142,-0.0756277,0.17580795,0.12349364
0.13737027,-0.085547,0.67643905,0.65579885,0.5886845,0.2672818,0.37691438,0.7867846,0.79869336,0.71514904,0.14943717,-0.010911578,0.24071817,0.14944477,0.20380606,0.16845405,-0.056931198,0.107475564,0.10835458
0.14741373,-0.083256826,0.7069076,0.7165877,0.5971231,0.29338035,0.42517322,0.792783,0.7297268,0.7309649,0.1684138,0.028822184,0.21774663,0.11614935,0.1984418,0.15510967,-0.05723136,0.12289104,0.09260638
0.45687506,0.04980117,0.7501829,0.9529298,0.6846873,0.57694614,0.7127526,1.2343386,1.1297913,0.8713355,0.41884658,0.25801492,0.66137314,0.5006179,0.5724625,0.46938312,0.27128762,0.5163924,0.2811376
0.045719005,-0.06912332,0.683298,0.55197126,0.53738534,0.3296363,0.3448729,0.91199815,0.8526998,0.70532644,0.15852754,0.094326995,0.3091702,0.20600992,0.2174063,0.23241886,-0.015733756,0.20292652,0.12565549
-0.038425032,-0.035349697,0.7350766,0.47535694,0.45884812,0.39785427,0.25356197,1.0445933,0.9438699,0.7518972,0.08794479,0.17629357,0.39361703,0.17973296,0.19084516,0.30139688,-0.0059001893,0.4017603,0.098608956
0.03363165,-0.10976183,0.70057625,0.5706952,0.5049595,0.23182777,0.31134522,0.6818621,0.68222785,0.6890308,0.0705985,-0.03538318,0.101069085,0.03676838,0.07666372,0.060581252,-0.105223335,0.068636596,0.07675946
0.49241748,0.12444213,0.76287687,0.8848219,0.6806931,0.640949,0.69805604,1.2075197,1.1542695,0.8472079,0.40735272,0.30072564,0.69570506,0.49128345,0.61203694,0.5005138,0.31754112,0.57894695,0.22828767
0.00055956934,-0.1155751,0.63635975,0.48509943,0.43865404,0.21820197,0.26368514,0.70189416,0.70118356,0.6496119,0.057255298,-0.0047477465,0.1535305,0.067742474,0.090411246,0.13392481,-0.08231287,0.1186673,0.071171016
0.0452619,-0.101648636,0.69697773,0.5775889,0.5057091,0.23695606,0.3177703,0.6792742,0.67911386,0.6856729,0.07884047,-0.030023286,0.10656252,0.036230262,0.0805852,0.060954962,-0.099093035,0.0738488,0.07968479
0.4243347,0.08361401,0.7546851,0.86461264,0.66590583,0.5580564,0.6135966,1.1844074,1.1419146,0.8378027,0.36459118,0.22603577,0.6481511,0.47328916,0.5207603,0.47184587,0.259736,0.5119725,0.25725594
-0.030734789,-0.052470516,0.63947105,0.41491845,0.39536956,0.31847703,0.23507614,0.8860105,0.8058183,0.6630037,0.05709555,0.12742858,0.28755528,0.14126202,0.15706238,0.25488853,-0.016030438,0.29729447,0.07856242
0.49512592,0.0747244,0.830603,0.92279404,0.80573606,0.6268374,0.71030885,1.3177279,1.3362498,0.89555365,0.43463638,0.28156704,0.74806905,0.548394,0.61029047,0.49549487,0.25376052,0.49917376,0.27849442
0.1267967,-0.026208263,0.73898214,0.70883954,0.612671,0.28879395,0.3386178,0.95824176,0.97711974,0.80279285,0.14410798,0.030336803,0.32413873,0.17237812,0.2069377,0.18288392,-0.003245879,0.22015753,0.13990381
0.14326172,-0.109757446,0.7241941,0.7315478,0.59363586,0.2910081,0.4258269,0.84026134,0.7716819,0.7421563,0.17495658,0.034869663,0.23754807,0.11873466,0.20344731,0.1860201,-0.051366813,0.14999282,0.09250523
0.4175749,0.043505188,0.7820645,0.96943575,0.6840498,0.55068785,0.70061535,1.1360432,1.048924,0.8624034,0.36604738,0.23840533,0.5782035,0.38794947,0.51542795,0.39107114,0.23476242,0.456062,0.22463447
-0.0063421666,-0.08636648,0.6593491,0.5147448,0.51537997,0.20050964,0.21465197,0.6909842,0.72462505,0.7002895,0.019659026,-0.039294682,0.11477415,0.026079789,0.054677933,0.06662243,-0.12814243,0.08010671,0.06257739
0.47875258,0.04680102,0.85207266,1.0559852,0.85059285,0.6523157,0.7601316,1.3191767,1.2684412,0.96615946,0.42523348,0.20398779,0.7400175,0.5054714,0.6257442,0.51627344,0.22774993,0.47861812,0.24738556
0.16053924,-0.13964774,0.79145026,0.74068004,0.6862527,0.2680698,0.45216185,0.8649824,0.91762,0.7954574,0.17780454,-0.013608174,0.275565,0.1917259,0.25684616,0.19302025,-0.1105459,0.05686614,0.15024911
0.07880138,-0.11313113,0.6994874,0.62017375,0.5471842,0.2318478,0.35137153,0.72217035,0.73178303,0.702442,0.106006086,-0.03277356,0.15642269,0.0827243,0.13373835,0.10574041,-0.10149394,0.067991085,0.094310954
0.052368,-0.10078925,0.6797662,0.5794476,0.4936035,0.23884657,0.329907,0.6845897,0.66590655,0.67991686,0.07692989,-0.017366441,0.11790214,0.04877214,0.09284641,0.07262573,-0.08392501,0.0836038,0.078873284
0.04096819,-0.103595376,0.69600064,0.5701284,0.5000365,0.234972,0.3109454,0.6757727,0.67846906,0.68374515,0.07388976,-0.032113217,0.10305581,0.03248946,0.07472183,0.05704036,-0.10188321,0.07212113,0.07632173
0.19741455,-0.06622789,0.64878625,0.6889862,0.53934497,0.32037315,0.43093908,0.8387237,0.78272855,0.71495205,0.19668297,0.065803535,0.2838557,0.19441693,0.25746003,0.21474555,0.032223377,0.21551171,0.13566245
0.30258304,0.01598785,0.71995765,0.8321388,0.65137434,0.4272236,0.51968795,1.1309162,1.1018689,0.8314561,0.29395145,0.17476913,0.5681642,0.41325265,0.43077186,0.3473392,0.16088848,0.40226075,0.22197261
