ManagerExp,Transactions,Entities,PointsAdjust,Envergure,MI_PointsAdjust_Entities,Effort
0.3533832,0.14885086,0.18769935,0.16941997,0.50599974,0.041450527,0.1025544
0.9983112,0.28520694,0.34460163,0.31001922,0.8225451,0.15530257,0.2823545
0.25883678,0.18938935,0.11629984,0.13757093,0.47789493,0.008317139,0.025060568
-0.106043175,0.16164362,0.11138276,0.19184485,0.33549947,-0.012038274,0.11310498
0.9550285,0.6176543,0.2608351,0.600736,0.92394626,0.34024364,0.14358863
0.40313894,0.2904353,0.28046167,0.29510728,0.73396605,0.127781,0.2378706
0.7953904,0.24447049,0.25985867,0.22433123,0.7872808,0.06033368,0.19493008
0.99387497,0.22198123,0.32650048,0.26720512,0.664329,0.13143566,0.22453682
-0.004425876,0.084621206,0.15075327,0.11021263,0.3113778,-0.0011944138,-0.013009843
0.72439,0.15880878,0.288194,0.2161566,0.5367043,0.05619083,0.11541593
0.27685332,0.20174569,0.1856973,0.17463166,0.62268525,0.019806009,0.11920359
0.39837033,0.21983278,0.16453688,0.18496448,0.7056856,0.021474991,0.16844413
0.9951867,0.11549267,0.119661726,0.100568965,0.46938083,-0.0037296228,0.06285739
1.1046216,0.117191166,0.10496372,0.09417489,0.5049247,-0.010927873,0.0642626
0.5089811,0.10389443,0.13861598,0.12009107,0.37338638,-0.0038210563,0.028691456
1.0307727,0.10019614,0.040651266,0.10340674,0.09492815,-0.00021331012,0.036761783
0.16233748,0.14240424,0.20036301,0.17444742,0.4360101,0.058119897,0.06421494
0.44999903,0.1955599,0.3177691,0.22503859,0.62281126,0.08691327,0.15318568
0.8400792,0.2738642,0.40751612,0.30310243,0.80272263,0.15094654,0.28251228
0.05575791,0.11868745,0.09841207,0.10889049,0.40282154,-0.00040333718,0.03476877
1.0181252,0.20169443,0.17399262,0.1956031,0.51432335,0.07007182,0.16525158
0.9928112,0.14235647,0.08117031,0.120387316,0.5030019,-0.007376019,0.099977456
0.94289106,0.3944513,0.36573452,0.4457136,0.9345247,0.21287446,0.34580517
0.9137531,0.29537985,0.21878591,0.26086724,0.7682309,0.047151435,0.12036896
0.8380577,0.21288803,0.19211935,0.17774382,0.7156564,0.037762452,0.18877468
0.37738204,0.12306477,0.18051386,0.1461658,0.38055676,0.03503303,0.015786473
1.0169902,0.21790294,0.22706336,0.24210799,0.6487407,0.046449404,0.09969944
0.5230538,0.24079043,0.24029689,0.21181625,0.70442927,0.045687992,0.14602397
0.48648012,0.19460702,0.16239358,0.18555936,0.61240023,0.027877409,0.17453605
-0.015558571,0.113074064,0.09771367,0.115108006,0.3034441,-0.009452909,0.01257027
1.0996755,0.19872288,0.13445577,0.16010168,0.7306305,0.039849345,0.20446208
-0.1220047,0.12109509,0.088368416,0.12699458,0.2716078,-0.015613126,0.03899644
0.30123603,0.2051884,0.10343723,0.16960748,0.6691327,-0.0019485727,0.20325312
-0.084171206,0.056323707,0.06845733,-0.01979559,0.3187595,-0.030017413,-0.008250184
0.65121055,0.30555806,0.6993716,0.5050311,0.536353,0.5479492,0.5043219
-0.027895361,0.085426964,0.06862266,0.048798703,0.2887824,-0.032856826,-0.01462887
0.08488788,0.10475981,0.10700512,0.074882984,0.44491395,-0.020721907,0.01989591
0.9799699,0.18161368,0.15196009,0.14110667,0.44461304,0.019597381,0.12065195
1.0119169,0.1557164,0.20986488,0.20115972,0.44698307,0.065139055,0.089458466
0.95806646,0.23143403,0.31105915,0.23922288,0.7911521,0.09646045,0.22702312
0.93791187,0.22022825,0.14161375,0.1639953,0.82245195,0.022986576,0.22768332
0.89479685,0.13771044,0.20059642,0.15250659,0.41070676,0.023150865,0.12467504
0.9152447,0.2860282,0.46058452,0.4169677,0.40097266,0.31063145,0.20833297
0.9898364,0.044748712,0.12463329,0.07353893,0.08052534,0.0005896278,-0.08981464
1.0308462,0.710896,0.19219904,0.5524723,0.98144364,0.2927866,-0.0059011653
0.33461887,0.23784061,0.15143888,0.2118184,0.61338496,0.02944718,0.16846561
0.95220405,0.036875352,0.13046165,0.09488873,0.056748018,-0.0068412684,-0.037537962
0.20151196,0.13830534,0.23228873,0.10975652,0.3591502,0.037176613,0.008443766
-0.043096438,0.09838636,0.028579565,0.054864347,0.3912567,-0.053363636,0.0036980007
0.40194428,0.15765418,0.25389138,0.18479005,0.5252365,0.05720788,0.119305596
0.09446636,0.11108352,0.16200477,0.11183369,0.4183741,0.032693837,0.04071956
0.49337363,0.16953866,0.43844345,0.2409347,0.537899,0.16831934,0.16848174
0.13624057,0.10022348,0.13165817,0.112858154,0.423304,-0.018120974,0.03470573
1.0322982,0.14183044,0.086964816,0.14054331,0.2541674,-0.023407657,0.069447584
0.9126175,0.2402498,0.18708459,0.22090158,0.25567654,0.098578975,-0.037057754
1.0775656,0.26367283,0.23533894,0.27383733,0.676166,0.083915845,0.13306917
0.98838866,0.109667525,0.13624759,0.10981414,0.4602301,0.005112931,0.0966272
0.2902805,0.09474118,0.10592085,0.10110283,0.30091086,-0.0048617087,-0.016364599
0.4123357,0.12069599,0.2013572,0.13758403,0.4143732,0.016503979,0.02161532
0.01377587,0.117357865,0.11671922,0.10174902,0.3998115,-0.0055075884,0.012063727
0.6601456,0.33004716,0.54920983,0.518375,0.50022817,0.45109713,0.37761194
0.39986235,0.1944832,0.3136593,0.209304,0.6303528,0.08146876,0.121795855
1.094474,0.047596797,0.15866642,0.056479655,0.19330913,-0.005385246,-0.033917323
0.9299077,0.08527684,0.097920254,0.08201601,0.3828323,-0.023622595,0.038577784
0.1392647,0.039254416,0.13781837,0.03711512,0.37913606,-0.051425524,-0.0061699916
0.33503437,0.13794835,0.19932655,0.12843972,0.4739804,0.012215689,0.05552188
0.5696247,0.36496612,0.5344501,0.511959,0.62171924,0.44090098,0.42296913
0.68067735,0.2848538,0.51801354,0.39936993,0.6899037,0.3185778,0.39346623
0.48449224,0.16809118,0.14463829,0.16375828,0.5303464,0.003692422,0.13138568
1.0765696,0.19669692,0.10038521,0.16401254,0.6597689,0.027083348,0.16288103
0.8984879,0.12046707,0.28052148,0.18811119,0.1990237,0.121173695,0.058167227
0.22467703,0.16794248,0.16787533,0.16863035,0.57866424,0.010084175,0.13949086
0.3353201,0.08042563,0.14665839,0.08221027,0.31883466,-0.02193959,0.018940266
0.9634467,0.12251164,0.12048877,0.11980894,0.47376704,0.014094152,0.09868982
0.9942606,0.14293474,0.09068162,0.13474447,0.21362564,0.0086646415,0.031020047
0.35333222,0.19564497,0.33158612,0.1947554,0.5216833,0.09649034,0.08162721
0.92739874,0.14784014,0.35279706,0.22576985,0.2580392,0.16149972,0.0827556
1.0217867,0.13341482,0.11437109,0.12385488,0.6065104,0.0008720644,0.15265423
0.9599991,0.14422287,0.26605973,0.19756812,0.27527687,0.094903424,0.030388705
0.7798929,0.22633749,0.31958044,0.23726729,0.7717471,0.07974446,0.1682188
0.9135371,0.36385077,0.41075814,0.46376428,0.788113,0.2754191,0.31788823
0.71065885,0.18546437,0.32392234,0.20821607,0.62563515,0.09916367,0.1706307
0.89034724,0.3473857,0.16221374,0.3255125,0.5215225,0.111442655,-0.018327462
0.5654546,0.18865423,0.112459466,0.17101213,0.66852045,-0.0011025816,0.21174464
0.6914882,0.19729114,0.13424715,0.17230584,0.66893643,0.006724268,0.1863254
0.9929046,0.4244079,0.28930238,0.44822758,0.6441402,0.21212068,0.14579275
0.95654994,0.26636428,0.26515955,0.2309004,0.92943525,0.072992116,0.2718692
0.036268502,0.049554743,0.10146824,0.039887406,0.2625151,-0.004190527,-0.025105162
0.06151793,0.15479359,0.15976746,0.15905616,0.40140262,0.025721412,0.030772228
0.2676364,0.14819615,0.25468886,0.14674696,0.43483302,0.045477275,0.028236367
0.13365485,0.09495541,0.17032278,0.08252381,0.34154668,0.0013065524,0.0077638365
0.87436324,0.050800167,0.15130217,0.104002334,0.038224712,0.021123715,-0.026773933
0.60874504,0.21464325,0.23878127,0.18555707,0.53362626,0.05950744,0.12454147
0.8684724,0.18557453,0.29986963,0.19079542,0.6916927,0.0862463,0.18167748
-0.057215914,0.07090697,0.069035016,0.04498831,0.27701712,-0.016568655,-0.027741516
0.73865247,0.22052412,0.36929578,0.33095294,0.48979735,0.17998028,0.1915306
0.89142823,0.095158815,0.2011469,0.12815067,0.24267304,0.054497663,0.061046313
0.32399213,0.24125218,0.24331054,0.20907584,0.5350062,0.057483155,0.078199446
0.79344845,0.29849938,0.35277712,0.36973846,0.65659505,0.18450469,0.20171426
0.92255795,0.15247287,0.12026014,0.12186949,0.6287438,-0.006777147,0.123578854
0.8190871,0.23944077,0.4650686,0.3162555,0.5629725,0.30535924,0.38292593
1.0716884,0.04973729,0.06087635,0.043528996,0.20624882,-0.032003548,-0.044217907
0.65278155,0.16441809,0.3400045,0.2000581,0.55586195,0.07451418,0.12648696
0.10643605,0.16063483,0.11294236,0.12828353,0.4516619,-0.0040313713,0.0691756
0.76313233,0.14006673,0.16767305,0.12405996,0.42743888,-0.008472493,0.08656285
0.4233111,0.14221065,0.27898765,0.12964037,0.4449405,0.04162759,0.050246414
1.0088675,0.09080315,0.13223343,0.09694916,0.40452102,-0.0008710399,0.03987532
0.96534604,0.186302,0.1907174,0.20727581,0.32392043,0.054929916,-0.0040523903
0.7948347,0.14520128,0.16964154,0.14389789,0.5249596,0.008663498,0.09391642
0.43713552,0.11976409,0.17368953,0.13048226,0.34225214,0.019179251,0.0041042343
0.21223564,0.13952835,0.20654586,0.16227162,0.47747007,0.053247493,0.09002459
1.0901935,0.29313132,0.28593755,0.31171238,0.7838874,0.121891126,0.2201778
0.96535534,0.29294243,0.2562189,0.3096135,0.5034485,0.13685693,0.11587322
-0.18726192,0.118493855,0.048314817,0.105552755,0.33464837,-0.052800998,0.041102864
0.98319423,0.091200046,0.14758188,0.11484007,0.19971299,0.028896336,-0.03796203
0.14448522,0.17105459,0.30882815,0.21755731,0.482851,0.10441925,0.11757438
0.4476142,0.20442863,0.43060195,0.2847634,0.49014738,0.23525341,0.25574985
0.96742356,0.15797627,0.25453153,0.1910598,0.58305126,0.05646133,0.16289204
0.80496883,0.27802405,0.26351377,0.2923242,0.57973456,0.10271075,0.09254769
-0.009542912,0.12686783,0.097196296,0.10147421,0.37139553,-0.0030245967,0.018139357
0.4095906,0.2020489,0.46919355,0.28581333,0.5611313,0.23924531,0.24609596
0.70006037,0.11663596,0.20357184,0.12852113,0.29172322,0.0023001172,0.065013565
0.94433314,0.21570396,0.24964932,0.210475,0.71872234,0.0728285,0.18922056
0.54885316,0.2667536,0.27582777,0.24815091,0.7317296,0.09069486,0.17498027
0.17125767,0.15312406,0.17754395,0.1721887,0.4739849,0.021319322,0.07672892
1.0396905,0.08675314,0.107281856,0.12327942,0.2708302,0.0076590218,0.010136937
1.0811114,0.16925657,0.14672956,0.14819327,0.7243536,0.019273605,0.17170964
0.9035458,0.09720893,0.23533762,0.15775736,0.21785146,0.049829606,-0.0136178015
0.21598133,0.09463452,0.20512876,0.0611007,0.3500117,0.0041928403,-0.011165393
0.19957961,0.14792454,0.12889268,0.14312683,0.42631721,-0.0017418303,0.06496971
0.22939755,0.20945531,0.14204976,0.17940927,0.58531,0.0028857328,0.15676574
-0.19735582,0.06729334,-0.049431637,-0.03449478,0.26372242,-0.06761154,-0.02452868
0.68559563,0.21208003,0.14077786,0.19043875,0.8428472,0.007965155,0.29743415
0.84289205,0.2040406,0.2717975,0.21270192,0.806092,0.11678828,0.27004927
0.98444897,0.23306224,0.11282117,0.18291438,0.72015184,0.031198863,0.17970607
0.95477057,0.032949183,0.14153107,0.07472281,0.12794624,0.0060361437,-0.026552312
1.0270574,0.09760176,0.1559773,0.09021041,0.42138216,0.008342516,0.034900982
0.84621644,0.22518952,0.2678018,0.23961914,0.74733686,0.039055016,0.12017169
0.16445792,0.13171813,0.2616227,0.14912805,0.4858066,0.055252407,0.06731724
0.41512674,0.19596153,0.25655696,0.23853692,0.42226535,0.07647133,0.07769115
0.011346512,0.15812537,0.14837268,0.1751301,0.42050317,0.005940065,0.06671844
0.46653026,0.2808886,0.5074954,0.4085102,0.51446325,0.37129882,0.33348843
0.000575535,0.13212314,0.12342382,0.14301261,0.37680754,-0.007827561,0.03502934
0.99146116,0.06933509,0.080131546,0.0900307,0.12772006,0.009081699,0.017607156
1.1570389,0.18201126,0.15088709,0.16557431,0.78950053,0.0074450746,0.18231066
0.6320722,0.13326856,0.17816858,0.14795001,0.4890648,0.022000581,0.1105592
0.66365147,0.34374198,0.7326364,0.5932738,0.5091313,0.6523099,0.5206504
0.82721585,0.07738843,0.1800809,0.09496871,0.24475813,0.034545932,0.04096678
-0.05473207,0.1356038,0.12101547,0.1636156,0.31539732,-0.0045343526,0.05793714
0.24804373,0.067413986,0.11253031,0.08706794,0.36235288,-0.045040667,0.0043920777
0.8835963,0.5001779,0.662634,0.6965078,0.7035241,0.6361883,0.60220313
