duration_D,app,har,dba,source,t01,t02,t03,t05,t06,t07,t09,t10,t11,t12,t13,t14,t15,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_duration_D_t07,effort_D
-0.10643608,1.320775,0.52463704,0.8876471,0.33729038,0.21366887,0.8251101,0.65747845,0.7500586,0.8554316,0.9054243,0.72925514,0.8759124,0.60917324,0.9987658,0.5670837,-0.04721816,0.90085775,0.20278053,0.32424363,0.17853841,0.11897442,0.50581545
0.1407885,0.8284302,0.4895624,0.70180345,0.4604763,0.36940014,0.6640293,0.43796688,0.5367223,0.76118404,0.8141112,0.75411177,0.7679291,0.7891688,0.83048874,0.48242047,0.08765672,0.7388896,0.23424797,0.32424188,0.3133937,0.12504849,0.3934353
0.025488576,0.9142666,0.43325716,0.65826344,0.14393775,0.34351796,0.62238604,0.4532205,0.48526874,0.5181292,0.6355261,0.55079526,0.65944034,0.44486222,0.69265753,0.35749027,0.08905958,0.59172297,0.19824046,0.1789534,0.13794725,0.12669231,0.3787386
0.032472976,0.89762026,0.4405506,0.73902893,0.4914964,0.29490805,0.70925874,0.46361345,0.6018578,0.7904562,0.71949506,0.7123355,0.7239771,0.6611159,0.8147218,0.53210706,0.08768762,0.7492924,0.18937045,0.2428396,0.20285602,0.064593874,0.3438617
-0.024185605,0.91673994,0.431357,0.7316401,0.26425993,0.2222169,0.65183973,0.5292133,0.55828625,0.68967754,0.681645,0.60027367,0.68739927,0.5214797,0.78511184,0.43958604,-0.025188953,0.70656335,0.17320919,0.23455817,0.1678342,0.047553048,0.3837753
0.06140659,0.9123003,0.5029138,0.7255661,0.40436614,0.2862521,0.66673577,0.5338635,0.5844727,0.7827409,0.7907814,0.7344419,0.77169347,0.71784943,0.8495114,0.49783337,0.0015677363,0.8078532,0.20985296,0.31399098,0.25535113,0.08736797,0.4277362
-0.04414247,1.1969767,0.64148176,0.8887139,0.26008615,0.22955343,0.83400226,0.7732038,0.7430223,0.92120135,0.97425187,0.8305909,0.90257156,0.7386497,1.1200136,0.6066695,-0.15471472,1.0205127,0.27791223,0.40511072,0.261423,0.13721037,0.61576605
0.1721136,0.81601983,0.5176738,0.6745554,0.3380092,0.36949447,0.65840536,0.53881,0.5661288,0.7425838,0.8827464,0.7893464,0.81750935,0.8324434,0.8976482,0.49888527,0.023839429,0.7858674,0.26832062,0.39934874,0.36934778,0.174311,0.47732016
0.05065783,1.087785,0.5329139,0.7842082,-0.03331656,0.43309528,0.7860727,0.653003,0.61761475,0.6138905,0.8653369,0.671785,0.86489224,0.5161652,0.8170782,0.39244765,0.035160124,0.6879829,0.26168567,0.35239702,0.19866851,0.25309917,0.5171303
0.041722044,0.7807149,0.45072255,0.7137213,0.5126501,0.29723048,0.6422319,0.42056042,0.52532935,0.7286183,0.5844061,0.6538701,0.6020911,0.56002855,0.7225678,0.47074607,0.10918915,0.66462517,0.14978835,0.19172585,0.16956852,0.04229054,0.29462987
-0.023338206,1.1522486,0.5210601,0.85402983,0.4597047,0.28463537,0.80334246,0.55404997,0.69288254,0.87731624,0.8449131,0.7583176,0.81801784,0.67654276,0.9547024,0.58764154,0.02650255,0.8612352,0.21592166,0.28123802,0.20967126,0.08887614,0.4481136
0.0883379,0.7303475,0.34735513,0.54316604,0.09301959,0.36152196,0.5204148,0.37130272,0.35876375,0.4122212,0.5207259,0.4636826,0.5547909,0.3776926,0.5486275,0.30008844,0.10960824,0.39885116,0.18240859,0.15902463,0.12308974,0.15572485,0.2946402
0.015983935,0.9856342,0.43411496,0.73742914,0.48185423,0.26937926,0.7147346,0.48090914,0.6252067,0.7496651,0.7611533,0.7278184,0.7755695,0.71058446,0.86099505,0.5052332,0.08589646,0.780431,0.20202799,0.2822852,0.1792764,0.10289046,0.3510396
-0.10882924,1.4381609,0.61265683,0.95605683,0.2608216,0.27530745,0.97256476,0.743921,0.8417384,0.89627135,0.992228,0.7969841,0.9296119,0.58695585,1.093987,0.5726886,-0.020129353,0.99076974,0.23902461,0.39850459,0.19512063,0.20652413,0.5648206
0.28876743,0.82088506,0.6228541,0.6490835,0.24619852,0.4674108,0.68067175,0.69699043,0.5931674,0.7329547,1.0752454,0.9532495,0.9381071,1.0246134,1.0535194,0.53614056,0.009784564,0.89496154,0.365324,0.53524,0.48226884,0.310453,0.60674816
0.025824413,0.830645,0.4168764,0.66632164,0.38762093,0.25343752,0.6036798,0.42039058,0.5205802,0.664799,0.61576045,0.60419065,0.6299779,0.5562813,0.70582825,0.43313754,0.048507307,0.63446444,0.17403802,0.22507957,0.18483777,0.059672453,0.32091668
0.03660074,0.7585187,0.4283049,0.7125508,0.54299456,0.3161483,0.634981,0.3716292,0.51323295,0.70140207,0.540724,0.6173102,0.5796618,0.5310928,0.6613878,0.46412057,0.16935149,0.62043726,0.1415185,0.15253663,0.14767882,0.033537313,0.2465889
-0.038439676,0.9006227,0.43048814,0.750253,0.5270364,0.22650939,0.65841395,0.4388323,0.61939394,0.7403131,0.5832464,0.6344247,0.634484,0.5106677,0.74324834,0.47279456,0.14251395,0.69663525,0.11455217,0.18038835,0.095805645,0.020578258,0.27370083
-0.037413828,0.8640153,0.45059493,0.7716139,0.45417145,0.24819028,0.6957235,0.48374507,0.6111517,0.77411586,0.61505616,0.6581461,0.6454648,0.5400295,0.7637423,0.49515998,0.087611526,0.72118723,0.13919511,0.23000887,0.13569088,0.021878183,0.3294408
0.018805811,1.0113385,0.45790014,0.71337795,0.0055634156,0.30294245,0.72259915,0.61326545,0.58594304,0.645035,0.8103206,0.6154198,0.7751162,0.5191526,0.8130464,0.392084,-0.069488496,0.6995179,0.2547946,0.33107725,0.2060557,0.18098402,0.47438127
0.013467945,0.8561411,0.54279345,0.7502493,0.3377252,0.27297354,0.6888473,0.67626905,0.6644932,0.83295846,0.81966424,0.7888934,0.77390736,0.7329956,0.94814426,0.53556603,-0.052531943,0.87894183,0.22442964,0.3674128,0.2555722,0.07521811,0.47621414
-0.0063545965,0.80945957,0.40493727,0.6787072,0.32308298,0.2675215,0.6201732,0.46989888,0.5401777,0.66556656,0.6122695,0.6057624,0.6265772,0.51280725,0.74420744,0.43369514,0.050419915,0.6675252,0.17134093,0.19859172,0.15102577,0.05234369,0.3283245
-0.0052050017,0.86568546,0.39700857,0.6823239,0.34992296,0.23828179,0.60476136,0.44471884,0.52630275,0.63313556,0.5804078,0.55518675,0.6106235,0.47370097,0.71513546,0.42362234,0.07723662,0.6299177,0.14918886,0.16438808,0.11831426,0.05049856,0.3007372
-0.052367575,1.0203216,0.44575396,0.78626233,0.46854973,0.21323685,0.69960475,0.5051048,0.6581736,0.7855712,0.6922748,0.6659359,0.7232879,0.5890183,0.8071646,0.50121415,0.06463902,0.7659719,0.16772214,0.24104372,0.1497015,0.054496624,0.35494885
0.1257934,0.7735602,0.4605692,0.6744936,0.5039419,0.36170793,0.63356525,0.40265477,0.5377034,0.7130908,0.7227886,0.7145807,0.68741584,0.7138887,0.7597386,0.47824055,0.12717986,0.6891465,0.2118036,0.24855396,0.26728177,0.09840384,0.3188175
0.11694886,1.3857877,0.78739387,1.0351022,-0.13252309,0.5780293,1.0423002,0.9279429,0.7839467,0.79571366,1.2630826,0.9358091,1.1939864,0.7827779,1.2276329,0.535898,-0.049497128,1.0167302,0.38660845,0.51581746,0.31696898,0.370005,0.8119646
0.38321534,0.7995897,0.6915984,0.718181,0.5562777,0.585082,0.73307234,0.6041382,0.66347843,0.8605808,1.1655338,1.054194,0.9212774,1.1946167,1.0230359,0.6157944,0.15164652,0.88686454,0.37907445,0.5637073,0.5314795,0.30715263,0.53495556
0.007719543,0.95081514,0.5545535,0.8168832,0.5284585,0.27074006,0.726493,0.52482593,0.6563919,0.8479045,0.70651406,0.7255492,0.68367714,0.6391126,0.84632206,0.5642584,0.052580014,0.79500794,0.1860491,0.2858595,0.17056578,0.046817392,0.37751624
-0.005081989,0.91455543,0.39465117,0.7289894,0.24174963,0.29621804,0.6818554,0.5013069,0.5417165,0.6647183,0.66044265,0.6024535,0.67355084,0.5016268,0.77084386,0.44157925,0.054407656,0.6383358,0.17280507,0.21977505,0.14504243,0.11091706,0.36286953
0.026248299,0.8097587,0.41649708,0.66200256,0.46445355,0.25116715,0.577564,0.38825783,0.51137626,0.6384493,0.53916115,0.57537216,0.59199375,0.48842254,0.6588928,0.4567805,0.12231236,0.6255368,0.13168688,0.13920605,0.12565345,0.03248605,0.27014408
0.05398383,0.8052894,0.4372554,0.6706085,0.5349145,0.29081982,0.5944002,0.363662,0.5067881,0.65598834,0.5590173,0.604844,0.5709142,0.5176617,0.6695637,0.4630103,0.15467249,0.6304931,0.14919418,0.13057865,0.14578061,0.042160176,0.23789316
-0.0037908591,0.7764974,0.3669692,0.63768417,0.4242981,0.24375129,0.60072803,0.3715295,0.51548177,0.6375908,0.52607644,0.5567352,0.5434877,0.459424,0.6679089,0.43382195,0.12987608,0.59883857,0.14229296,0.1420823,0.08571907,0.027445883,0.21916737
0.206188,1.0922678,0.5159342,0.78839636,-0.19730523,0.5129872,0.86968225,0.7402752,0.5857599,0.65826887,1.0922741,0.73544365,1.0172025,0.7704083,1.0972693,0.42283395,-0.022848248,0.78145444,0.39972812,0.4440527,0.31456956,0.33654523,0.657122
0.19298837,0.69287604,0.51258385,0.65173775,0.48111388,0.39872164,0.6287456,0.4671467,0.5582635,0.7141791,0.79637295,0.7857767,0.6929257,0.8192505,0.81314504,0.50452965,0.09815804,0.6925872,0.2559076,0.34791714,0.33540878,0.1365173,0.3768641
0.0910644,0.795151,0.45686886,0.7157385,0.49151886,0.326712,0.6369899,0.4501403,0.5796449,0.74630433,0.73673344,0.7463976,0.71001136,0.71824193,0.8088955,0.5045925,0.07907291,0.7252728,0.20916714,0.26088384,0.2628047,0.069624305,0.34996754
0.015951905,0.73828995,0.45645142,0.7290768,0.4314172,0.3071456,0.66984415,0.51110876,0.629694,0.775667,0.6647072,0.6979598,0.65426147,0.6177661,0.80298835,0.49048018,0.068066835,0.73202604,0.17369933,0.27102402,0.2000502,0.03954514,0.32739818
0.041007247,0.8315072,0.4382459,0.7353417,0.45019692,0.2963295,0.6454037,0.47472712,0.59293205,0.75418454,0.7061783,0.70931387,0.7128437,0.6657127,0.80032337,0.50009376,0.051697124,0.7382274,0.18419147,0.24849007,0.22577006,0.054523364,0.34692067
-0.0447132,0.9201372,0.49757883,0.81920964,0.3101436,0.2679451,0.761474,0.6340136,0.6561819,0.84032696,0.76078874,0.7595226,0.7474438,0.6307681,0.9487092,0.5284458,-0.010880083,0.83700836,0.19138786,0.31772733,0.17121743,0.0826609,0.4320261
-0.05872654,1.2951276,0.57336307,0.9021634,0.2779817,0.30819976,0.86586076,0.6766154,0.7167501,0.84420514,0.9219033,0.719883,0.8610492,0.5917418,1.0083382,0.5785264,-0.026058212,0.8974802,0.2278595,0.3108603,0.19587606,0.17151381,0.52735835
-0.03781251,0.87216425,0.56726426,0.88716304,0.4448092,0.28607154,0.8097768,0.7220235,0.8087331,0.9849878,0.87032497,0.88189656,0.83787006,0.7861953,1.0551286,0.60193735,-0.004446149,0.9847308,0.19742346,0.41429326,0.23827516,0.040777087,0.4718385
0.04540859,0.8994917,0.42254204,0.6534859,0.10853769,0.30832657,0.625191,0.500563,0.472337,0.5706047,0.696857,0.5858025,0.67769134,0.5136523,0.76280254,0.37070677,-0.0034840032,0.63049036,0.23177782,0.23931196,0.19244951,0.13345902,0.419432
0.07410554,0.7799921,0.42529693,0.68810755,0.5591699,0.3211034,0.64535433,0.36801043,0.5524024,0.70203924,0.6282634,0.65419286,0.5995196,0.61312044,0.70280015,0.46021643,0.15882361,0.6548195,0.17360874,0.1890433,0.19243762,0.048991665,0.24481696
-0.010519583,0.77978855,0.48276818,0.7658764,0.46713635,0.28368613,0.6945998,0.52717066,0.651175,0.8142472,0.6567187,0.7014611,0.6519081,0.60119617,0.8231582,0.5126199,0.06962336,0.7627919,0.160945,0.2688827,0.17151998,0.016733147,0.3390696
0.07827097,0.82422465,0.34153223,0.63390136,0.14078535,0.2951397,0.58099663,0.42676747,0.45832145,0.49651507,0.58835894,0.5045138,0.60955006,0.4327142,0.621704,0.32227814,0.08190463,0.4971097,0.17271805,0.18105009,0.13125174,0.13050042,0.3177938
0.070328414,1.0417587,0.48933572,0.7481185,0.01804465,0.4049204,0.73675585,0.57148206,0.6083798,0.5829294,0.7859949,0.62567055,0.8108938,0.49867958,0.74622136,0.36002225,0.093587354,0.6314296,0.23320524,0.31997946,0.1722297,0.23374301,0.46624416
