size_D,duration_D,har,dba,nlan,telonuse,t03,t04,t05,t06,t07,t08,t11,t12,t13,t15,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_t08,MI_size_D_t14,MI_size_D_t03,MI_size_D_t10,MI_size_D_app,MI_duration_D_t07,effort_D
0.16771087,-0.12267261,0.62417924,0.77112895,0.73819935,0.44304067,0.2181595,0.5538873,0.6681959,0.9317887,0.28183907,0.4199922,0.4473791,0.8762182,0.90612185,0.7905748,0.17121841,-0.0054603703,0.26525447,0.18414335,0.25261444,0.19540414,0.12275063,0.0430463,0.06789562,-0.090411715,0.08560179,0.13772604
0.060371675,-0.08032554,0.3159216,0.6325073,0.5379685,0.25854632,0.4250734,0.46135312,0.48192027,0.6874012,0.28279585,0.11275027,0.33072257,0.8196986,0.76373434,0.6583805,0.11420903,0.071326174,0.26839888,0.16286953,0.18315135,0.24344766,0.25152254,0.21050416,0.08102737,-0.02646205,0.19910643,0.086972624
0.6704007,0.16177571,0.8037481,0.9124808,1.1670661,0.6258021,0.8136303,0.07889919,0.8472088,0.5145605,0.83193964,0.9582603,0.9361924,1.5482309,1.4836309,1.0187602,0.5661365,0.3802764,0.9719341,0.7148208,0.81858236,0.6822885,0.5623424,0.58264136,0.1480824,0.45425117,0.77796936,0.3425722
0.17765956,-0.0810902,0.5690277,0.72373116,0.74991745,0.4650935,0.2850538,0.50344944,0.6434906,0.82154727,0.32269144,0.3623336,0.49211663,0.87244266,0.82590735,0.7525407,0.19993548,0.059743688,0.29383457,0.18649365,0.25303718,0.22617376,0.17670421,0.13337706,0.051431578,-0.018978698,0.15322584,0.12610824
0.044618476,-0.061296377,0.19456714,0.623405,0.47522292,0.19027531,0.61199963,0.43572187,0.45220068,0.61487025,0.34120882,-0.042498015,0.29850566,0.9008268,0.80585784,0.66412127,0.108413346,0.14158376,0.30771902,0.19999231,0.2179206,0.30494973,0.33723772,0.3255042,0.11445917,3.6612153e-05,0.26922333,0.08002825
0.11343623,-0.109328,0.56723404,0.71277165,0.6635268,0.37408012,0.14392664,0.5192831,0.5701683,0.8687013,0.24865824,0.40614972,0.38312417,0.7572345,0.7449754,0.72868437,0.1273099,-0.00315566,0.18373586,0.10831112,0.17187932,0.12930608,0.09358317,0.02598792,0.05068226,-0.07667807,0.08635506,0.11519666
0.048857287,-0.10022908,0.5009784,0.69257337,0.58067036,0.25783095,0.11071531,0.51566595,0.5071249,0.8602399,0.2368362,0.3950749,0.32012326,0.6811739,0.68034804,0.68412626,0.08182797,-0.02972751,0.111901626,0.04090798,0.08541997,0.06457336,0.073538065,0.02462665,0.048866455,-0.09658176,0.075113334,0.080234796
0.07145567,-0.11665073,0.33447832,0.6697426,0.56278133,0.28578618,0.437329,0.49390095,0.5330752,0.76239717,0.26855984,0.08983208,0.34672815,0.8718474,0.8700668,0.72474027,0.12788191,0.053667635,0.30541566,0.20206375,0.20580693,0.2570768,0.2619115,0.17278098,0.093330935,-0.039777007,0.16105282,0.114519626
0.4506964,0.040877316,0.6826816,0.78751814,0.9896423,0.52554846,0.6185693,0.23324195,0.78779453,0.60467523,0.6049428,0.69289285,0.71725214,1.2691916,1.2391317,0.89569247,0.42798382,0.22018032,0.7192897,0.525501,0.5863089,0.47307053,0.41286677,0.39893028,0.10261549,0.25357455,0.4844558,0.27479154
1.2691134,0.38321236,1.3931515,1.4808868,2.053462,1.097166,1.57141,-0.06705922,1.5088573,0.6930161,1.522191,1.6673632,1.7027227,2.7929928,2.6916118,1.7017251,1.0525014,0.7336648,1.9250783,1.4344814,1.5820796,1.3247043,1.0873458,1.1373489,0.2714056,0.91656715,1.4480656,0.67269737
