rely,data,cplx,time,virt,acap,pcap,vexp,lexp,modp,tool,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_pcap,MI_loc_acap,MI_loc_vexp,MI_aexp_data,actual
0.54171944,-0.11274457,0.6122208,0.3209586,0.20463705,0.27506623,0.49249077,0.8678637,0.47218925,0.40815437,0.53688496,-0.18101305,0.30287975,0.009711029,0.18417606,0.12690672,0.137343,0.09810907,0.27108952,0.13404278,-0.006969791,0.23163266
0.3603768,-0.07787852,0.41918433,0.18896657,0.12321432,0.29277095,0.3396821,0.5550598,0.30048114,0.3511207,0.44899088,-0.09624289,0.19984531,0.033080067,0.13016903,0.053095594,0.11061227,0.08782999,0.18962632,0.07064595,-0.037655164,0.13201644
0.46239984,-0.11335017,0.44707108,0.22475287,0.10576225,0.3485135,0.43386048,0.58972734,0.3393283,0.39721107,0.45922208,-0.18246037,0.29931787,0.03269375,0.13875277,0.046809465,0.08593752,0.09941274,0.20474009,0.061234646,-0.09467889,0.16894871
0.7577097,-0.29458898,0.5827411,0.4512418,0.21412747,0.37981573,0.5222919,0.9478267,0.71794486,0.8690621,0.72864586,-0.2254624,0.58633864,0.08668649,0.2866978,0.14952281,0.2768638,0.25303042,0.51266265,0.29660526,-0.36929557,0.3230477
0.7825277,-0.36924654,0.71566206,0.505636,0.2374956,0.47926396,0.6483718,1.1676295,0.8304392,0.8742999,0.72670454,-0.3117921,0.6644116,0.060249597,0.31533882,0.16935349,0.2186807,0.32380736,0.518809,0.27863473,-0.34952456,0.38828805
0.75259745,-0.44726658,0.69338435,0.54056644,0.23010324,0.46623147,0.6210203,1.1766464,0.84715986,0.9843512,0.7667343,-0.27441043,0.6979903,0.038852926,0.35316616,0.16693267,0.31911102,0.30063015,0.5389175,0.34279945,-0.3964857,0.38516963
0.60863996,-0.22712563,0.6626184,0.33986133,0.19091702,0.3671635,0.561321,0.98727906,0.58253217,0.5145031,0.60713494,-0.25134498,0.43911275,0.033335105,0.21190749,0.12923872,0.14548954,0.17378566,0.3141007,0.118368514,-0.08381002,0.28145403
0.7237735,-0.009624038,0.76290494,0.51900494,0.10194296,0.42707402,0.71253407,0.92816526,0.830104,1.2662555,0.9350284,-0.0075958073,0.56080735,0.13317767,0.2735323,0.22462565,0.3266658,0.31751627,0.76173127,0.59304106,-0.4258181,0.28934222
0.42442024,-0.13314837,0.4243254,0.24614272,0.12227249,0.2675712,0.3473072,0.5208182,0.31734696,0.40741146,0.46942964,-0.10628222,0.24635105,0.022908922,0.1606112,0.06539764,0.12844492,0.061935794,0.22544952,0.11622364,-0.1035735,0.14196084
0.38110492,-0.08465344,0.4675861,0.24946758,0.15334591,0.2983379,0.38753352,0.6066785,0.4363505,0.4738737,0.4756609,-0.07917012,0.2542468,0.03096394,0.15446226,0.06826676,0.12588832,0.0818014,0.21464065,0.15037738,-0.055290084,0.17934555
