size_D,har,dba,nlan,telonuse,t03,t06,t07,t09,t10,t11,t12,t14,t15,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t08,MI_size_D_t03,MI_size_D_t10,MI_size_D_app,MI_size_D_t15,MI_size_D_t12,MI_size_D_telonuse,MI_size_D_har,MI_size_D_ifc,MI_size_D_dba,MI_duration_D_t07,effort_D
-0.0012641214,0.9177022,0.75368285,0.58810604,0.5054012,0.477893,0.6194799,0.6157843,0.98985016,0.8739528,0.78225744,0.64920783,0.59627455,0.6514873,0.09720367,0.021130458,0.01850067,0.0654182,0.1363579,0.013744943,0.25024033,0.16390039,0.08944459,0.21151914,-0.03889156,-0.059257727,0.30213562,0.036292568,0.25916022,0.24629538,-0.025202544,0.06114544
0.0046084113,0.9633481,0.8375846,0.46009892,0.3205144,0.65082866,0.5398489,0.8005605,1.077814,0.83095366,0.7708974,0.6574917,0.6009611,0.63486195,0.12022276,0.068602905,0.04600451,0.13209094,0.10769969,-0.02645792,0.31766942,0.20079893,0.032488614,0.19986112,-0.06547633,-0.04959481,0.32904708,-0.002380345,0.35832596,0.2383517,0.13852406,0.087786905
-0.01533558,0.82890105,0.83966804,0.23913813,0.1308815,0.3196529,0.72270197,0.487667,0.7646376,0.6127204,0.41999125,0.57037586,0.7209124,0.48028088,-0.0067828856,-0.04621268,-0.058079142,-0.046324164,-0.0013822131,0.027469777,0.10730423,0.016436432,0.00032212585,0.064000055,-0.18381931,-0.11163829,0.14736906,-0.036183897,0.118549295,0.108229116,-0.11703334,-0.008716442
-0.015639164,0.7272261,0.9106655,0.20991907,-0.03277102,-0.36557215,1.3061538,0.4037578,0.49312893,0.6072936,0.11367842,0.55465746,1.1960697,0.58757013,-0.02834132,-0.00498188,-0.08984476,-0.08573504,-0.010116626,0.014638629,0.07368538,-0.02581048,0.051602393,-0.11090739,-0.22526589,-0.03499995,0.07312921,0.0030058865,0.100612774,0.16045074,-0.38597345,-0.1253418
-0.043442547,0.9954849,0.94957185,0.30648023,0.1986108,0.6177538,0.6402329,0.73423135,1.0609503,0.79441303,0.6125129,0.6702642,0.73593336,0.57714945,0.060400385,-0.01609737,-0.010069463,0.056940887,0.012521725,0.0006960612,0.23023818,0.13601817,-0.03467172,0.14956424,-0.16754179,-0.1227756,0.27241635,-0.056765202,0.26523453,0.21179292,0.05881028,0.06512574
-0.0048449077,0.6855245,0.8983691,0.1260646,-0.056282133,-0.00074100494,0.9751377,0.57355714,0.53508335,0.46196795,0.08604017,0.4808162,0.90624267,0.50100785,0.009663451,0.0017865952,-0.08993359,-0.0118175335,-0.03460634,-0.011465265,0.17542247,0.003249975,-0.090534896,-0.106377825,-0.16392031,-0.0620928,0.16023062,-0.08599366,0.10813733,0.1730287,-0.044874556,-0.12354721
-0.009494953,0.91017544,0.8311168,0.34542114,0.29037488,0.5131731,0.6041353,0.616848,0.91478795,0.7160929,0.61193913,0.61410403,0.61704624,0.5331977,0.053625844,-0.014690219,-0.043449763,0.009944599,0.05663059,0.00075720437,0.18788654,0.0896707,0.023527293,0.13723595,-0.1292501,-0.08928572,0.23365097,-0.03243695,0.19457476,0.17158552,-0.013105428,0.039358437
-0.06048855,0.9844432,0.9519999,0.29303986,0.1805109,0.62759143,0.6290287,0.76566553,1.0579817,0.80304945,0.6111598,0.67925555,0.7326823,0.5543605,0.06855204,-0.023547739,-0.022265434,0.061602373,0.0021107867,-0.0054647736,0.23724954,0.14451975,-0.050759405,0.14467041,-0.18346281,-0.120483294,0.28697282,-0.06569433,0.25114366,0.21597521,0.07588841,0.062527835
-0.018147392,0.9331063,0.8828379,0.3384121,0.2403412,0.60886914,0.5910547,0.71256566,0.991702,0.7373296,0.6229594,0.6376857,0.66415066,0.55494577,0.0683502,0.004202096,-0.013136141,0.04849341,0.036474705,-0.011270274,0.22708608,0.12558477,-0.009977141,0.15176563,-0.1367283,-0.097558886,0.2542626,-0.04621624,0.25093064,0.19406052,0.06425068,0.054048672
-0.032427475,0.88483196,0.86260045,0.2839628,0.18358105,0.5407093,0.5937407,0.6559169,0.91252023,0.6800077,0.5304189,0.6175996,0.6600872,0.51824594,0.05061523,-0.020931657,-0.03391113,0.02413275,0.010088254,-0.000886105,0.18193182,0.094113275,-0.020726014,0.12377,-0.15318811,-0.102635846,0.2174898,-0.060898524,0.1959621,0.16057505,0.024763366,0.033475295
