ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
1,1587,774,260,340,128,0,1502,0,0,4.7,5.0,4.7,5.0,4.0,7490,0,0,0,1,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,7490
2,260,9,4,3,193,41,51,138,61,16.0,16.6,16.0,16.6,17.0,4150,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,4150
3,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,9.0,668,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,668
4,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,4.0,3901,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3238
5,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,13.0,3607,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2994
6,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,4.0,1606,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1333
7,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,6.0,1936,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1607
8,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,7.0,1158,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1158
9,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13.0,6.0,1498,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1243
10,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,7.0,4063,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3372
11,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,9.0,10200,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,10200
12,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,7.0,2053,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1704
13,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,7.0,3034,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2640
14,176,13,54,54,40,7,168,0,0,19.0,19.9,19.0,19.9,26.0,3348,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3348
15,391,208,26,81,25,0,38,302,0,1.7,2.0,2.1,2.4,7.0,814,1,0,0,0,1,5.120185,3.3732107,-8.091177,0.92335796,4.048375,2.8309996,-0.25416493,-5.931686,1.3795323,-3.447539,-1.3313723,676
16,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,3.0,911,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,911
17,42,12,15,3,7,15,52,0,0,59.4,48.0,59.4,48.0,6.4,2496,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2496
18,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,10.0,1171,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1171
19,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,13.0,3532,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3532
20,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1.0,525,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,436
21,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,4.0,1095,1,0,0,0,1,3.1191685,2.2586803,-4.8509645,0.60151243,2.0854661,1.4608326,-0.31693873,-3.392972,0.60862356,-1.9127747,-0.5819267,909
22,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,6.0,10957,1,0,0,0,1,20.14797,11.427537,10.638939,12.228277,-50.72839,-47.35786,-28.280384,-24.22869,36.79891,21.059443,-33.43548,9094
23,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,6.0,344,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,344
24,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,3.0,296,0,0,0,1,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,296
25,106,65,4,12,14,0,35,53,7,33.0,36.9,39.8,44.4,13.0,4220,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3503
26,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1.0,296,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,246
27,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,24.0,2082,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2082
28,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,7.0,191,0,0,0,1,1,2.9500353,7.684751,-8.474759,-1.4757009,5.7339277,4.783845,-0.9249318,-1.7150517,-1.525365,-3.5624084,0.9288357,191
29,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,15.0,3583,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2974
30,331,100,44,61,107,0,312,0,0,1.0,1.1,1.2,1.3,2.0,395,1,0,0,0,1,3.862353,5.160214,-9.658725,-2.0931158,6.647325,6.0989437,-0.3203028,-2.3826091,-2.7413044,-5.5222397,2.4213853,328
31,101,16,5,39,52,0,112,0,0,4.0,3.6,4.0,3.6,8.0,406,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,406
32,192,9,102,0,10,77,198,0,0,9.3,9.0,11.2,10.9,8.0,2151,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1785
33,60,39,4,0,14,10,39,22,6,7.9,7.0,7.9,7.0,8.0,471,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,471
34,180,74,18,33,57,0,153,29,0,3.9,3.8,3.9,3.8,5.0,700,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,700
35,118,43,71,7,0,0,38,83,0,4.9,4.8,5.9,5.8,2.0,698,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,579
36,73,43,10,4,15,0,6,66,0,16.6,16.8,20.0,20.3,3.0,1459,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1211
37,143,63,0,27,45,0,14,121,0,8.0,8.4,9.6,10.2,4.0,1372,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1139
38,2190,706,648,236,235,0,1825,0,0,6.6,8.0,7.6,9.1,19.0,16690,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,14520
39,9,0,10,0,0,0,5,5,0,26.6,23.9,26.6,23.9,2.0,239,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,239
40,203,21,167,3,10,0,201,0,0,6.2,6.3,7.5,7.6,5.0,1520,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1262
41,162,64,36,9,28,20,157,0,0,10.8,11.2,10.8,11.2,8.0,1754,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1754
42,183,60,21,29,71,0,181,0,0,8.3,8.4,10.0,10.1,6.0,1824,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1514
43,59,36,21,0,0,0,6,51,0,11.3,11.7,13.6,14.1,8.0,804,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,667
44,412,198,14,99,91,10,412,0,0,14.2,14.2,14.2,14.2,20.0,5864,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,5864
45,348,198,14,33,77,0,10,312,0,2.8,3.0,3.4,3.6,3.0,1172,1,0,0,0,1,3.2464745,1.5545484,-4.8332596,0.30338594,2.6845703,1.6607339,-0.4091626,-3.115829,0.5695814,-1.9476918,-0.5907268,973
46,2529,554,513,66,703,220,2056,0,0,2.1,2.6,2.1,2.6,13.0,5333,0,1,0,0,1,6.655816,11.604626,-8.858004,-2.0596817,2.3027134,-2.4505303,-1.0126405,-10.016589,1.9652416,-5.216327,2.6512954,5333
47,250,28,92,57,0,30,164,43,0,7.1,8.6,7.1,8.6,8.0,1775,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1775
48,206,0,199,0,0,5,100,104,0,1.0,1.0,1.2,1.2,5.0,246,1,0,0,0,1,3.443317,5.032947,-5.924369,0.46272376,2.3022578,0.6422361,-1.6098258,-3.3276854,0.76373464,-2.2269735,0.93608266,204
49,617,184,136,103,133,0,377,179,0,5.1,5.7,6.1,6.8,7.0,3793,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,3148
50,173,0,78,10,17,72,177,0,0,50.4,49.2,60.7,59.3,12.0,10501,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,8716
51,286,45,156,27,37,0,265,0,0,5.1,5.5,5.1,5.5,6.0,1464,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1464
52,52,13,17,6,10,5,20,16,15,26.1,26.6,31.5,32.1,2.0,1636,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,1358
53,45,6,28,0,0,25,59,0,0,6.2,4.8,6.2,4.8,7.0,281,0,1,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,281
54,104,30,7,48,15,0,0,100,0,22.3,23.2,26.9,28.0,5.0,2796,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,2321
55,465,234,44,104,118,0,431,15,54,8.7,8.1,10.5,9.8,13.0,4884,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,4054
56,2145,862,63,491,518,300,2234,0,0,1.1,1.1,1.1,1.1,84.0,2400,0,0,0,1,1,6.528112,40.677002,-48.491573,-26.909622,39.573544,47.1461,9.18607,-3.5346346,-18.354342,-28.251781,9.628481,2400
57,283,20,125,39,91,17,292,0,0,20.0,19.3,20.0,19.3,13.0,5650,1,0,0,0,1,0.3393224,0.05999869,-0.23620301,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.15960735,0.029847588,5650
