YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Effort
85,253,52,305,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-93.43474,-17.980618,-76.396095,18.548677,41.028713,10.56716,28.442337,-55.573643,-147.4439,19.592632,-48.301155,35.037277,48.645866,-54.46115,-106.46546,-21.702662,64.7175,5152
86,197,124,321,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-99.1859,-18.916578,-85.0089,19.03148,43.24746,8.968387,31.559216,-62.273453,-157.26631,21.475203,-54.84697,41.304344,53.326828,-57.67812,-117.185326,-20.56103,71.5703,5635
85,40,60,100,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-15.387077,-1.5167158,-10.030673,2.2363145,7.2425957,2.6403282,3.7284205,-10.799193,-22.028809,2.253302,-4.802303,5.1650043,6.622334,-8.281036,-16.54079,-4.803837,13.64272,805
86,200,119,319,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-69.30934,-10.527534,-54.821854,13.817518,31.383646,9.197833,20.755085,-43.13994,-107.79796,13.0354805,-31.912785,24.520157,33.809616,-39.828392,-78.45868,-18.492622,52.879578,3829
86,140,94,234,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-40.06999,-4.5881248,-29.080984,7.875651,18.685062,6.7377787,11.053626,-25.170292,-60.653316,6.499029,-15.066152,12.414975,17.708439,-22.651619,-43.56825,-12.69109,32.33874,2149
86,97,89,186,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-49.849228,-8.674272,-41.361534,8.795947,22.469616,4.820782,15.089927,-31.98519,-77.69731,10.551313,-25.920012,20.315964,26.146414,-27.856672,-58.746845,-10.779464,38.08435,2821
85,119,42,161,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-46.99337,-8.650137,-37.774616,8.490626,20.67491,5.4427876,13.244877,-28.866364,-72.9029,9.641253,-23.546217,17.91194,24.215822,-26.445509,-53.421722,-10.652682,33.694042,2569
83,186,52,238,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-71.087135,-13.41788,-58.0561,13.776507,30.996696,8.005573,21.154375,-42.96425,-111.54708,14.779378,-36.58108,26.998226,36.919098,-41.092075,-80.98353,-16.328678,49.938457,3913
85,172,88,260,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-135.28194,-30.9493,-122.6667,26.040031,57.017494,7.3414416,43.715137,-85.79453,-219.48514,32.967285,-85.30844,64.36274,79.23905,-81.0339,-165.5239,-20.459059,90.80842,7854
83,78,38,116,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-43.44789,-8.901329,-36.61502,7.4424434,18.712591,3.713485,12.599804,-27.287888,-67.78522,9.709585,-24.205078,18.550394,23.756006,-24.35523,-50.855404,-8.086158,30.667824,2422
84,167,99,266,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-72.727325,-12.943507,-60.388393,13.96859,31.920614,7.7326536,22.276138,-45.65545,-114.072845,14.89387,-37.71711,28.677586,37.7936,-41.98182,-84.22373,-16.511269,53.30561,4067
84,146,112,258,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-153.61705,-36.114887,-142.40439,29.301022,64.7214,6.293332,50.5103,-98.767624,-251.22633,38.752426,-100.57403,76.532646,92.227264,-92.42835,-191.53545,-20.52856,103.110245,9051
84,33,72,105,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-39.85972,-8.0937605,-35.085247,6.4486628,16.902761,2.3003964,11.998765,-27.034552,-61.925087,8.999017,-23.617422,19.072441,22.485172,-22.22633,-48.296597,-6.2312903,29.61531,2282
85,162,61,223,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-74.47778,-14.705781,-62.808834,13.909276,32.43064,7.106899,22.814613,-45.65684,-117.61449,16.301733,-40.742886,30.256075,40.011158,-42.830418,-86.872734,-15.431726,52.388134,4172
85,223,121,344,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-89.036674,-15.390863,-73.43193,17.582169,39.4409,10.065856,27.58141,-55.24206,-140.03374,17.973587,-45.192856,34.058487,45.659687,-51.66738,-102.68414,-21.194443,65.39862,4977
85,119,48,167,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-30.982891,-3.943446,-21.568275,5.704978,14.470678,5.484727,7.81837,-18.654655,-46.517975,5.190811,-11.199805,8.98277,13.699885,-17.103664,-32.91442,-9.787623,24.097458,1617
85,57,43,100,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-55.097813,-12.543345,-49.371845,9.089202,23.866556,2.716125,17.10869,-34.999695,-88.01451,13.80525,-34.537163,26.333143,32.392277,-31.12773,-67.76511,-7.7191405,38.248646,3192
86,68,316,384,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-58.79117,-5.2426543,-48.21506,10.981647,26.801178,6.5988417,19.986378,-44.437218,-88.89522,9.808739,-26.617981,24.110252,27.12018,-34.04069,-70.59337,-17.15287,54.565334,3437
87,9,386,395,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-74.52106,-9.661695,-65.94822,13.309023,32.594437,4.863091,26.844208,-57.71991,-114.866,14.3555155,-40.417236,35.291862,38.348553,-43.535423,-93.68014,-17.259892,67.44085,4494
86,58,34,92,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-16.448034,-2.0207257,-10.395599,2.3041492,7.91438,2.9841993,3.6451619,-10.248013,-23.850912,2.8009255,-5.212667,4.7464643,7.196115,-8.561126,-17.267315,-5.1791706,13.52465,840
86,318,269,587,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-255.11697,-55.544685,-233.01654,50.778957,108.54594,14.118889,85.006355,-164.24559,-415.65045,60.97097,-159.59616,121.66737,148.16318,-154.3505,-314.59894,-40.467434,176.10071,14973
85,88,170,258,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-87.950836,-17.33905,-79.26523,16.225151,38.35128,4.972994,29.09581,-58.859703,-140.67876,20.225348,-52.87567,41.913387,49.91033,-51.319176,-108.86869,-14.683846,65.570526,5180
86,306,132,438,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-104.212906,-17.10278,-83.93866,21.14975,46.805508,13.372647,32.054764,-63.223057,-163.9201,20.370478,-50.129646,37.154686,51.920708,-60.61922,-118.43333,-27.025188,76.70837,5775
87,304,78,382,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-184.15334,-41.698,-163.62083,36.738136,78.28717,12.203714,59.490128,-113.91426,-298.53577,43.883575,-112.43535,83.31647,105.82852,-111.00536,-221.84364,-31.072552,122.06321,10577
86,89,200,289,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-68.16179,-10.761789,-59.029503,12.446877,30.710619,5.4466925,22.520222,-46.688324,-106.6712,13.979693,-36.627434,30.03132,36.011566,-38.76482,-82.88185,-14.332859,55.27418,3983
85,86,230,316,33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-54.215767,-5.87438,-44.866673,9.954758,25.433268,5.70948,18.01627,-38.500454,-83.31741,9.712087,-25.35904,22.222668,26.240759,-30.765461,-65.13431,-14.323398,48.07149,3164
86,71,235,306,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-59.87896,-7.8144636,-51.418427,10.822043,27.786858,5.0027976,20.252104,-42.478905,-92.99636,11.652317,-30.642344,26.338343,30.648806,-33.85696,-73.442444,-13.702306,51.875015,3542
85,148,324,472,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-73.689255,-6.918548,-59.628372,14.250831,34.79648,9.095255,24.929346,-51.781086,-113.321434,12.44456,-32.242023,28.006758,34.070526,-42.54663,-87.306076,-21.96572,65.99547,4277
85,116,170,286,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-123.0165,-26.535921,-112.810295,23.474033,52.413124,5.909459,40.69344,-81.18239,-199.10428,29.483107,-77.48626,60.35809,71.86577,-73.400314,-152.87215,-18.401724,87.03071,7252
85,175,277,452,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-69.026245,-6.053289,-54.502525,13.822168,33.08798,9.576308,22.656076,-46.933804,-106.07219,11.281455,-28.530329,24.662397,31.156473,-39.72785,-80.11672,-21.346563,60.97127,3948
86,79,128,207,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-67.657845,-13.047986,-59.776405,12.211585,29.43692,4.433502,21.720205,-45.02238,-106.96517,15.10115,-39.446747,31.271952,37.669674,-38.90969,-82.43982,-11.903933,50.572628,3927
86,145,38,183,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-16.249504,-0.07319032,-6.086919,4.8871474,7.4941177,5.464967,1.8708977,-9.319852,-21.032034,2.8171623,-2.4255323,0.38255635,4.2171116,-10.610457,-13.856171,-10.153433,12.417358,710
87,174,78,252,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-45.39601,-5.470165,-32.731625,8.725342,21.71868,7.8151875,12.482292,-26.99691,-69.31936,7.8057485,-17.107082,13.183931,20.199268,-25.268688,-49.292694,-14.480785,35.68821,2429
85,194,91,285,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-112.01421,-23.575407,-98.295906,21.386066,48.07519,8.441639,35.69476,-69.942375,-179.53099,25.764668,-65.88794,49.23637,62.708534,-65.8807,-134.0476,-20.392473,77.46076,6405
88,126,49,175,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-14.386856,0.1113205,-4.924518,4.2055793,6.838834,4.508666,1.7138169,-8.219823,-18.260221,2.7551334,-2.0935311,0.29764864,3.7765536,-9.47516,-13.0349655,-9.383564,11.717129,651
86,137,119,256,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-154.88258,-36.467064,-144.02513,29.558752,65.06389,6.060997,50.86587,-100.07152,-253.23546,39.0481,-101.838776,77.89864,93.183136,-93.23962,-193.49155,-20.180992,103.92975,9135
87,289,88,377,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-30.964132,2.0710828,-13.954647,10.5599985,16.217981,11.9426,5.110131,-18.293829,-42.368004,4.7359495,-4.1455355,0.18276739,7.150173,-19.791632,-26.342266,-19.879633,25.575464,1435
87,260,144,404,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-105.73438,-18.468077,-87.82581,21.142927,46.48995,11.697544,33.083366,-65.80069,-166.59756,21.349699,-54.306896,40.874615,54.438454,-61.768612,-122.16623,-24.9348,77.36194,5922
88,158,59,217,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-19.060165,0.21914718,-7.7487373,5.9165397,8.775629,6.5320897,2.5442955,-11.45659,-24.783152,2.8924294,-2.5074124,0.90279925,4.6525927,-12.384681,-16.36043,-11.548308,15.13725,847
88,302,145,447,52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-141.5482,-27.329565,-121.32611,27.611475,62.21216,13.051004,45.622257,-87.14335,-225.89029,31.008434,-78.385216,57.984562,76.24351,-82.822334,-167.23819,-29.76725,100.68979,8050
87,451,48,499,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-90.24262,-11.854913,-61.585632,20.774096,41.92143,18.50933,24.689991,-49.41019,-138.79732,14.020999,-30.668491,20.916527,38.123993,-53.437946,-91.87553,-32.549267,64.76817,4620
87,661,132,793,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-52.31406,10.695458,-21.373402,23.04267,28.620764,27.902128,6.8093886,-33.716885,-70.22858,5.740072,-4.7109838,-7.347244,9.053537,-37.42379,-38.31536,-40.65845,42.79448,2352
88,64,54,118,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-38.98572,-7.5125747,-32.56086,6.4378786,16.901922,3.3731678,11.095176,-25.26906,-60.19539,8.437259,-21.153288,16.730932,21.013556,-21.550812,-45.67277,-7.4101877,28.662378,2174
86,284,230,514,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-334.92926,-80.46048,-314.58847,66.32888,140.39203,11.55446,112.3751,-216.0548,-552.4915,85.72477,-224.07872,170.55792,203.79134,-205.23631,-421.09357,-42.394882,221.81728,19894
86,182,126,308,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-116.16781,-24.058765,-102.81988,22.16648,50.000824,8.248058,37.50193,-73.80132,-186.4158,26.706133,-68.818184,52.141098,65.283775,-68.43241,-140.30272,-20.76202,81.78053,6699
87,173,332,505,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-250.89598,-56.576633,-235.86928,49.595875,105.55376,8.856642,84.961624,-167.22646,-411.19925,61.98336,-165.0169,128.85558,150.5198,-153.15567,-316.73434,-33.331966,174.16904,14987
88,252,7,259,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-74.97795,-14.261377,-57.958817,15.316112,33.05235,10.205684,21.437778,-42.96489,-117.09641,14.948904,-35.58071,25.232647,37.54365,-43.743572,-82.21763,-19.354256,50.677364,4004
85,131,180,311,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-214.32841,-51.68864,-203.30336,41.150963,90.057594,5.751534,72.02659,-140.0571,-353.56076,55.748222,-145.71558,111.92999,131.8477,-130.27583,-272.29355,-24.891258,143.67964,12824
85,106,39,145,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-43.220573,-8.130339,-34.667343,8.083504,18.308132,5.0222516,11.768341,-27.043344,-66.46422,8.520404,-21.707949,16.885162,22.215742,-24.62469,-48.46664,-9.557427,30.422825,2331
