ID,AFP,Output,Enquiry,Interface,Changed,Deleted,PDR_AFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Effort
1,1587,260,340,0,0,0,4.7,4.0,7490,0,0,0,1,1,7490
2,260,4,3,41,138,61,16.0,17.0,4150,0,1,0,0,1,4150
3,152,33,28,35,0,0,4.4,9.0,668,1,0,0,0,1,668
4,252,28,8,0,153,4,12.8,4.0,3901,1,0,0,0,1,3238
5,292,0,194,0,307,0,10.3,13.0,3607,1,0,0,0,1,2994
6,83,0,24,0,87,0,16.1,4.0,1606,1,0,0,0,1,1333
7,79,0,23,0,77,0,20.3,6.0,1936,1,0,0,0,1,1607
8,97,108,7,5,0,0,11.9,7.0,1158,0,1,0,0,1,1158
9,116,23,58,20,34,0,10.7,6.0,1498,1,0,0,0,1,1243
10,52,7,0,0,46,0,64.8,7.0,4063,1,0,0,0,1,3372
11,465,129,24,15,0,0,21.9,9.0,10200,1,0,0,0,1,10200
12,67,5,16,0,35,0,25.4,7.0,2053,1,0,0,0,1,1704
13,199,115,57,42,0,0,13.3,7.0,3034,0,1,0,0,1,2640
14,176,54,54,7,0,0,19.0,26.0,3348,1,0,0,0,1,3348
15,391,26,81,0,302,0,1.7,7.0,814,1,0,0,0,1,676
16,263,45,101,10,87,0,3.5,3.0,911,1,0,0,0,1,911
17,42,15,3,15,0,0,59.4,6.4,2496,1,0,0,0,1,2496
18,190,20,16,5,42,0,6.2,10.0,1171,1,0,0,0,1,1171
19,245,28,18,0,190,0,14.4,13.0,3532,1,0,0,0,1,3532
20,77,0,42,0,70,0,5.7,1.0,525,1,0,0,0,1,436
21,355,0,73,0,351,0,2.6,4.0,1095,1,0,0,0,1,909
22,3156,525,97,0,12,2657,2.9,6.0,10957,1,0,0,0,1,9094
23,46,28,0,0,25,0,7.5,6.0,344,1,0,0,0,1,344
24,56,12,15,5,0,0,5.3,3.0,296,0,0,0,1,1,296
25,106,4,12,0,53,7,33.0,13.0,4220,1,0,0,0,1,3503
26,71,28,9,0,23,21,3.5,1.0,296,1,0,0,0,1,246
27,306,105,0,45,0,0,6.8,24.0,2082,0,1,0,0,1,2082
28,244,78,22,14,0,0,0.8,7.0,191,0,0,0,1,1,191
29,98,46,3,0,0,0,30.3,15.0,3583,1,0,0,0,1,2974
30,331,44,61,0,0,0,1.0,2.0,395,1,0,0,0,1,328
31,101,5,39,0,0,0,4.0,8.0,406,1,0,0,0,1,406
32,192,102,0,77,0,0,9.3,8.0,2151,1,0,0,0,1,1785
33,60,4,0,10,22,6,7.9,8.0,471,0,1,0,0,1,471
34,180,18,33,0,29,0,3.9,5.0,700,0,1,0,0,1,700
35,118,71,7,0,83,0,4.9,2.0,698,1,0,0,0,1,579
36,73,10,4,0,66,0,16.6,3.0,1459,1,0,0,0,1,1211
37,143,0,27,0,121,0,8.0,4.0,1372,1,0,0,0,1,1139
38,2190,648,236,0,0,0,6.6,19.0,16690,0,1,0,0,1,14520
39,9,10,0,0,5,0,26.6,2.0,239,1,0,0,0,1,239
40,203,167,3,0,0,0,6.2,5.0,1520,1,0,0,0,1,1262
41,162,36,9,20,0,0,10.8,8.0,1754,1,0,0,0,1,1754
42,183,21,29,0,0,0,8.3,6.0,1824,1,0,0,0,1,1514
43,59,21,0,0,51,0,11.3,8.0,804,1,0,0,0,1,667
44,412,14,99,10,0,0,14.2,20.0,5864,1,0,0,0,1,5864
45,348,14,33,0,312,0,2.8,3.0,1172,1,0,0,0,1,973
46,2529,513,66,220,0,0,2.1,13.0,5333,0,1,0,0,1,5333
47,250,92,57,30,43,0,7.1,8.0,1775,0,1,0,0,1,1775
48,206,199,0,5,104,0,1.0,5.0,246,1,0,0,0,1,204
49,617,136,103,0,179,0,5.1,7.0,3793,1,0,0,0,1,3148
50,173,78,10,72,0,0,50.4,12.0,10501,1,0,0,0,1,8716
51,286,156,27,0,0,0,5.1,6.0,1464,1,0,0,0,1,1464
52,52,17,6,5,16,15,26.1,2.0,1636,1,0,0,0,1,1358
53,45,28,0,25,0,0,6.2,7.0,281,0,1,0,0,1,281
54,104,7,48,0,100,0,22.3,5.0,2796,1,0,0,0,1,2321
55,465,44,104,0,15,54,8.7,13.0,4884,1,0,0,0,1,4054
56,2145,63,491,300,0,0,1.1,84.0,2400,0,0,0,1,1,2400
57,283,125,39,17,0,0,20.0,13.0,5650,1,0,0,0,1,5650
58,109,84,0,5,59,0,14.0,2.0,1837,1,0,0,0,1,1525
59,160,21,72,40,68,16,3.0,2.0,575,1,0,0,0,1,477
60,65,64,0,0,10,0,7.7,2.0,606,1,0,0,0,1,503
61,366,27,96,0,84,11,23.1,10.0,10205,1,0,0,0,1,8470
62,63,10,3,0,43,0,12.3,3.0,937,1,0,0,0,1,778
63,309,13,59,30,0,0,8.4,7.5,2597,0,0,0,1,1,2597
64,610,174,117,0,0,0,1.6,3.0,950,1,0,0,0,1,950
65,562,125,93,0,0,0,10.2,13.0,5727,0,0,1,0,1,5727
66,156,38,39,41,0,0,13.1,4.0,2458,1,0,0,0,1,2040
67,75,5,19,0,35,0,49.0,8.0,4430,1,0,0,0,1,3677
68,136,64,0,0,127,0,4.2,2.0,687,1,0,0,0,1,570
69,96,56,0,40,0,0,12.7,8.0,4530,0,1,0,0,1,1223
70,78,24,9,0,0,0,12.5,4.0,1084,1,0,0,0,1,976
71,51,0,14,0,36,0,7.6,12.0,466,1,0,0,0,1,387
72,1092,84,170,21,0,0,4.0,13.0,5320,1,0,0,0,1,4416
73,134,11,32,14,0,0,2.1,8.0,345,1,0,0,0,1,286
74,75,9,0,0,69,0,4.1,5.0,367,1,0,0,0,1,305
75,88,20,0,0,45,0,1.5,7.0,155,1,0,0,0,1,129
76,3088,1009,772,5,2544,0,1.4,8.0,4266,1,0,0,0,1,4266
77,82,46,0,15,0,0,5.4,3.0,440,1,0,0,0,1,440
78,110,66,0,0,85,0,12.4,2.0,1362,1,0,0,0,1,1362
79,308,83,0,10,122,0,8.2,6.0,2533,0,1,0,0,1,2533
