rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,Generated_Var_1,actual
0.88,1.16,0.7,1.0,1.06,1.15,1.07,1.19,1.13,1.17,1.1,1.0,1.24,1.1,1.04,113.0,273.75092,2040.0
0.88,1.16,0.85,1.0,1.06,1.0,1.07,1.0,0.91,1.0,0.9,0.95,1.1,1.0,1.0,293.0,222.57785,1600.0
1.0,1.16,0.85,1.0,1.0,0.87,0.94,0.86,0.82,0.86,0.9,0.95,0.91,0.91,1.0,132.0,40.33498,243.0
0.75,1.16,0.7,1.0,1.0,0.87,1.0,1.19,0.91,1.42,1.0,0.95,1.24,1.0,1.04,60.0,34.06994,240.0
0.88,0.94,1.0,1.0,1.0,0.87,1.0,1.0,1.0,0.86,0.9,0.95,1.24,1.0,1.0,16.0,5.579176,33.0
0.75,1.0,0.85,1.0,1.21,1.0,1.0,1.46,1.0,1.42,0.9,0.95,1.24,1.1,1.0,4.0,6.077956,43.0
0.75,1.0,1.0,1.0,1.0,0.87,0.87,1.0,1.0,1.0,0.9,0.95,0.91,0.91,1.0,6.9,2.0748067,8.0
1.15,0.94,1.3,1.66,1.56,1.3,1.0,0.71,0.91,1.0,1.21,1.14,1.1,1.1,1.08,22.0,143.44597,1075.0
1.15,0.94,1.3,1.3,1.21,1.15,1.0,0.86,1.0,0.86,1.1,1.07,0.91,1.0,1.0,30.0,57.057602,423.0
1.4,0.94,1.3,1.11,1.56,1.0,1.07,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.0,29.0,43.51398,321.0
1.4,0.94,1.3,1.11,1.56,1.0,1.07,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.0,32.0,30.005033,218.0
1.15,0.94,1.3,1.11,1.06,1.0,1.0,0.86,0.82,0.86,1.0,0.95,0.91,1.0,1.08,37.0,27.95818,201.0
1.15,0.94,1.3,1.11,1.06,1.15,1.0,0.71,1.0,0.7,1.1,1.0,0.82,1.0,1.0,25.0,11.726156,79.0
1.15,0.94,1.65,1.3,1.56,1.15,1.0,0.86,1.0,0.7,1.1,1.07,1.1,1.24,1.23,3.0,8.280425,60.0
1.4,0.94,1.3,1.3,1.06,1.15,0.87,0.86,1.13,0.86,1.21,1.14,0.91,1.0,1.23,3.9,8.400529,61.0
1.4,1.0,1.3,1.3,1.56,1.0,0.87,0.86,1.0,0.86,1.0,1.0,1.0,1.0,1.0,6.1,5.8083367,40.0
1.4,1.0,1.3,1.3,1.56,1.0,0.87,0.86,0.82,0.86,1.0,1.0,1.0,1.0,1.0,3.6,1.9911624,9.0
1.15,1.16,1.15,1.3,1.21,1.0,1.07,0.86,1.0,1.0,1.0,1.0,1.24,1.1,1.08,320.0,1521.6155,11400.0
1.15,1.08,1.0,1.11,1.21,0.87,0.94,0.71,0.91,1.0,1.0,1.0,0.91,0.91,1.0,1150.0,915.66254,6600.0
1.4,1.08,1.3,1.11,1.21,1.15,1.07,0.71,0.82,1.08,1.1,1.07,1.24,1.0,1.08,299.0,857.19543,6400.0
1.0,1.16,1.15,1.06,1.14,0.87,0.87,0.86,1.0,1.0,1.0,1.0,0.91,0.91,1.0,252.0,332.93073,2455.0
1.15,1.0,1.0,1.27,1.06,1.0,1.0,0.86,0.82,0.86,0.9,1.0,0.91,1.0,1.23,118.0,100.05623,724.0
1.15,1.0,1.0,1.08,1.06,1.0,1.0,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.23,77.0,73.9992,539.0
0.88,1.0,0.85,1.06,1.06,1.0,0.87,1.0,1.29,1.0,1.1,0.95,0.82,0.83,1.0,90.0,63.267925,453.0
1.15,1.16,1.3,1.15,1.06,1.0,0.87,0.86,1.0,0.86,1.1,1.0,0.82,0.91,1.08,38.0,70.49495,523.0
0.94,1.0,0.85,1.07,1.06,1.15,1.07,0.86,1.0,0.86,1.1,1.0,0.91,1.1,1.08,48.0,52.8234,387.0
1.15,0.94,1.15,1.35,1.21,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.82,1.1,1.08,9.4,12.133049,88.0
1.15,1.08,1.3,1.11,1.21,1.15,1.07,0.86,1.0,0.86,1.1,1.07,1.1,1.1,1.0,13.0,13.552647,98.0
0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.29,0.86,1.0,1.0,0.91,0.91,1.23,2.14,1.6603118,7.3
0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,0.86,1.0,1.0,0.91,0.91,1.23,1.98,1.4979095,5.9
1.4,1.08,1.0,1.48,1.56,1.15,1.07,0.86,0.82,0.86,1.1,1.07,1.0,1.0,1.0,62.0,142.80952,1063.0
0.88,1.08,0.85,1.0,1.0,1.0,1.0,0.71,0.82,1.0,1.0,1.0,1.1,1.1,1.0,390.0,116.95773,702.0
1.4,1.08,1.3,1.48,1.56,1.15,0.94,0.86,0.82,0.86,0.9,1.0,0.91,0.91,1.0,42.0,81.52304,605.0
1.15,1.08,1.0,1.06,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0,0.91,1.1,1.23,23.0,31.267437,230.0
0.75,0.94,1.3,1.06,1.21,1.15,1.0,1.0,0.91,1.0,1.1,1.0,1.24,1.24,1.0,13.0,11.439467,82.0
0.88,1.05,0.81,1.0,1.0,0.87,0.87,1.19,1.0,1.17,0.9,0.95,1.0,0.91,1.04,15.0,8.109868,55.0
0.88,0.94,0.7,1.0,1.06,1.0,1.0,0.86,0.82,0.86,1.0,1.0,1.0,1.0,1.0,60.0,13.365333,47.0
1.0,1.0,1.15,1.0,1.0,0.87,0.87,0.71,0.91,1.0,0.9,0.95,0.82,0.91,1.0,15.0,3.5196025,12.0
1.0,1.0,1.15,1.0,1.0,0.87,1.0,0.71,0.82,0.7,1.0,0.95,0.91,1.1,1.0,6.2,2.0069582,8.0
1.0,0.94,1.3,1.0,1.0,1.0,0.87,0.86,0.82,1.17,1.0,1.0,1.1,1.0,1.0,3.0,1.7640201,8.0
0.88,0.94,1.0,1.0,1.0,0.87,0.87,1.0,0.82,0.7,0.9,0.95,0.91,0.91,1.0,5.3,1.7268553,6.0
0.88,1.04,1.07,1.0,1.06,0.87,1.07,0.86,1.0,0.93,0.9,0.95,0.95,0.95,1.04,45.5,10.533317,45.0
1.0,1.04,1.07,1.0,1.21,0.87,1.07,0.86,1.0,1.0,0.9,0.95,1.0,1.0,1.04,28.6,12.502486,83.0
0.88,1.04,1.07,1.06,1.21,0.87,1.07,1.0,1.0,1.0,0.9,0.95,1.1,1.0,1.04,30.6,13.14225,87.0
0.88,1.04,1.07,1.0,1.06,0.87,1.07,1.0,1.0,1.0,0.9,0.95,1.0,0.95,1.04,35.0,15.751776,106.0
0.88,1.04,1.07,1.0,1.06,0.87,1.07,1.0,1.0,0.86,0.9,0.95,1.0,1.0,1.04,73.0,21.507915,126.0
0.75,0.94,1.3,1.0,1.0,0.87,0.87,0.71,0.82,0.7,1.1,1.07,1.1,1.0,1.04,23.0,6.5400276,36.0
0.88,0.94,0.85,1.0,1.0,0.87,1.0,1.19,0.91,1.17,0.9,0.95,1.1,1.0,1.04,464.0,190.11987,1272.0
1.0,1.0,0.85,1.0,1.0,1.0,0.87,0.71,1.0,0.7,1.1,1.0,0.82,0.91,1.0,91.0,26.575142,156.0
1.15,1.0,1.0,1.3,1.21,1.0,0.87,0.86,1.0,0.86,1.1,1.0,1.0,1.0,1.0,24.0,24.158947,176.0
0.88,1.0,1.0,1.0,1.0,1.0,1.15,1.19,1.0,1.42,1.0,0.95,1.24,1.1,1.04,10.0,16.657248,122.0
0.88,0.94,0.85,1.0,1.06,1.15,1.0,1.0,1.0,1.0,1.1,1.07,1.24,1.1,1.0,8.2,6.0008273,41.0
0.88,0.94,1.15,1.11,1.21,1.3,1.0,0.71,1.0,0.7,1.1,1.07,1.0,1.1,1.08,5.3,2.625607,14.0
1.0,0.94,1.0,1.0,1.06,1.15,0.87,1.0,0.82,1.0,1.0,0.95,0.91,1.1,1.0,4.4,3.2294402,20.0
0.88,0.94,0.7,1.0,1.0,0.87,0.87,0.86,0.82,1.17,0.9,0.95,1.1,1.0,1.0,6.3,3.1071687,18.0
1.15,0.94,1.3,1.3,1.21,1.0,1.0,0.86,0.91,1.0,1.1,1.07,1.1,1.1,1.08,27.0,128.0041,958.0
