YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,Generated_Var_1,Effort
85,253,52,305,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,162.2652,5152
86,197,124,321,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,175.2116,5635
85,40,60,100,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.764282,805
86,200,119,319,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,119.147514,3829
86,140,94,234,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,66.549446,2149
86,97,89,186,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,87.60655,2821
85,119,42,161,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.59443,2569
83,186,52,238,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,122.61308,3913
85,172,88,260,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,253.132,7854
83,78,38,116,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75.898315,2422
84,167,99,266,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,126.65325,4067
84,146,112,258,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,292.73157,9051
84,33,72,105,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,70.76652,2282
85,162,61,223,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,130.5471,4172
85,223,121,344,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,154.98001,4977
85,119,48,167,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,50.594097,1617
85,57,43,100,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,100.576355,3192
86,68,316,384,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,103.31175,3437
87,9,386,395,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,135.00902,4494
86,58,34,92,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,26.243769,840
86,318,269,587,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,477.39468,14973
85,88,170,258,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,159.87788,5180
86,306,132,438,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,180.0839,5775
87,304,78,382,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,342.43857,10577
86,89,200,289,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,122.17778,3983
85,86,230,316,33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,96.13608,3164
86,71,235,306,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,107.790596,3542
85,148,324,472,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,129.57867,4277
85,116,170,286,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,227.90369,7252
85,175,277,452,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,120.00862,3948
86,79,128,207,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,121.39497,3927
86,145,38,183,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22.434467,710
87,174,78,252,41,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,75.585,2429
85,194,91,285,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,202.45685,6405
88,126,49,175,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20.280338,651
86,137,119,256,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,295.5546,9135
87,289,88,377,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,45.555275,1435
87,260,144,404,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,184.28752,5922
88,158,59,217,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,26.36939,847
88,302,145,447,52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,251.92181,8050
87,451,48,499,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,145.45271,4620
87,661,132,793,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80.78334,2352
88,64,54,118,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,67.85111,2174
86,284,230,514,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,652.1499,19894
86,182,126,308,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,210.40335,6699
87,173,332,505,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,477.66397,14987
88,252,7,259,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,126.9968,4004
85,131,180,311,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,417.68173,12824
85,106,39,145,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,73.22707,2331
85,96,108,204,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,184.35182,5817
85,116,72,188,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,93.24317,2989
85,86,49,135,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,98.03641,3136
85,221,121,342,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,476.23685,14434
87,61,96,157,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,79.97387,2583
86,132,89,221,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,113.60397,3647
86,45,387,432,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,251.73549,8232
86,55,112,167,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,101.26744,3276
87,124,52,176,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,85.34686,2723
87,120,126,246,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,107.592445,3472
87,47,32,79,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,49.46187,1575
86,126,107,233,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90.84393,2926
86,101,45,146,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,58.90724,1876
86,78,99,177,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,78.07886,2520
86,69,74,143,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,49.78553,1603
86,194,97,291,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,113.10229,3626
87,224,110,334,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,213.56828,6783
87,323,184,507,35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,360.41852,11361
86,42,31,73,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,39.807915,1267
87,74,43,117,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,79.67889,2548
87,101,57,158,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,35.968185,1155
86,97,42,139,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17.244389,546
84,134,77,211,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,70.929504,2275
86,482,227,709,26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,283.17322,9100
84,213,73,286,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21.591686,595
84,139,143,282,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,121.95463,3941
86,473,182,655,40,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,441.24136,13860
85,229,169,398,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,42.496098,1400
83,227,73,300,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,87.44169,2800
86,395,193,588,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,297.3445,9520
86,469,176,645,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,182.8274,5880
85,886,241,1127,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,767.7189,23940
