size_D,duration_D,nlan,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_MIS,app_ProdCont,app_TransPro,har_Mainfrm,har_Mini,har_Multi,har_Network,har_PC,dba_Other,dba_Relatnl,ifc_GUI,source_Inhouse,telonuse_No,Generated_Var_1,Generated_Var_15,effort_D
562,14,1,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,33.023773,3.7184355,1062
647,16,3,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,200.46631,2.0435164,7871
130,5,3,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,21.572542,-0.21497715,845
254,8,2,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,59.750603,0.030988902,2330
1056,16,3,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,536.83325,11.290303,21272
383,12,2,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,107.74399,0.7107514,4224
345,12,4,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,72.4323,-0.2529232,2826
209,27,2,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,182.9671,4.570175,7320
366,24,1,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,229.34007,5.146167,9125
1181,54,2,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,304.50043,1.3606648,11900
181,13,2,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,108.21391,2.2602816,4300
739,21,1,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,107.20362,-1.5400563,4150
108,7,2,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,22.849379,-0.22488019,900
48,10,3,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,14.6277485,-0.11870783,583
249,19,2,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,65.421165,0.031901702,2565
371,11,2,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,103.30019,0.6920239,4047
211,13,1,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,38.87092,-0.4972891,1520
1849,32,4,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,658.7542,9.363739,25910
2482,38,4,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,946.88965,15.00459,37286
434,40,4,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,376.4277,9.649482,15052
292,29,3,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,275.81232,7.240691,11039
2954,14,4,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,478.11115,-4.5832734,18500
304,14,1,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,234.7311,5.842354,9369
353,28,1,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,181.3275,3.5303094,7184
567,16,4,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,264.2117,4.9884048,10447
467,13,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,130.20566,0.92821157,5100
3368,45,3,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1609.8922,32.55996,63694
253,4,2,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,42.382244,-0.4675345,1651
196,10,3,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,37.099922,-0.3551349,1450
185,12,4,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,44.52569,-0.13982603,1745
387,6,2,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,46.647583,-0.5574701,1798
430,28,2,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,75.87997,-0.960332,2957
204,6,2,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,24.907707,-0.3005882,963
71,6,1,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,31.078287,0.35714364,1233
840,6,3,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,85.479294,-0.52815425,3240
1648,11,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,258.28232,-2.873979,10000
1035,8,4,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,175.3256,-1.4602618,6800
548,22,1,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,98.92737,-0.825969,3850
2054,31,3,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,361.00357,-2.64718,14000
302,26,2,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,146.1924,2.5576575,5787
1172,22,3,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,249.60028,-0.23981714,9700
253,7,1,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,28.522854,-0.37344822,1100
227,14,2,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,140.31117,3.0907297,5578
59,6,3,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,26.684439,0.33094653,1060
299,6,4,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,133.54771,2.3393722,5279
422,15,1,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,205.06493,4.0070066,8117
1058,9,3,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,224.14638,-0.19138318,8710
65,9,3,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,20.055517,-0.049951978,796
390,26,3,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,276.46124,6.6049247,11023
193,13,2,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,44.93201,-0.08531725,1755
1526,28,4,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,156.45636,-1.435869,5931
575,13,2,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,114.54008,-0.44577983,4456
509,13,1,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,92.5812,-0.7501894,3600
583,12,3,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,117.18603,-0.4031663,4557
315,14,2,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,219.53334,5.2733374,8752
138,12,2,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,86.38576,1.8847531,3440
257,9,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,50.70545,-0.35590777,1981
423,30,1,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,342.94046,8.689468,13700
495,20,3,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,180.37854,2.4581099,7105
622,16,4,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,174.04881,1.2041416,6816
204,12,2,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,116.28275,2.4233897,4620
616,15,4,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,189.80507,1.8338357,7451
3634,33,3,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1009.51996,8.452824,39479
