YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,MI_PointsAdjust_Entities,MI_PointsAdjust_Language_3,MI_PointsAdjust_Language_2,MI_PointsAdjust_Language_1,MI_PointsAdjust_ManagerExp_4,MI_PointsAdjust_TeamExp_3,MI_PointsAdjust_ManagerExp_3,MI_Entities_Envergure,Effort
85,253,52,305,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15860,0,0,305,305,0,0,1768,5152
86,197,124,321,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39804,0,0,321,0,0,0,4092,5635
85,40,60,100,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6000,0,0,100,100,0,0,1080,805
86,200,119,319,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37961,0,0,319,0,0,0,3570,3829
86,140,94,234,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21996,0,0,234,0,0,0,2256,2149
86,97,89,186,38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16554,0,0,186,0,0,0,3382,2821
85,119,42,161,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6762,0,161,0,0,0,0,1050,2569
83,186,52,238,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12376,0,0,238,0,0,0,1300,3913
85,172,88,260,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22880,0,0,260,0,260,0,2640,7854
83,78,38,116,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4408,0,0,116,116,116,0,912,2422
84,167,99,266,24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26334,0,0,266,0,0,0,2376,4067
84,146,112,258,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28896,0,0,258,0,0,0,4480,9051
84,33,72,105,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7560,0,0,105,0,0,0,1368,2282
85,162,61,223,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,13603,0,0,223,223,223,0,1952,4172
85,223,121,344,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,41624,0,0,344,344,0,0,3388,4977
85,119,48,167,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8016,0,167,0,0,167,0,1248,1617
85,57,43,100,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4300,0,0,100,0,0,100,1849,3192
86,68,316,384,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,121344,0,384,0,384,0,0,6320,3437
87,9,386,395,21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,152470,0,395,0,395,395,0,8106,4494
86,58,34,92,29,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3128,0,0,92,0,0,0,986,840
86,318,269,587,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,157903,0,587,0,587,0,0,9146,14973
85,88,170,258,34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,43860,0,0,258,258,0,0,5780,5180
86,306,132,438,37,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,57816,0,0,438,438,0,0,4884,5775
87,304,78,382,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29796,0,0,382,0,0,0,3042,10577
86,89,200,289,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,57800,0,0,289,289,0,0,6600,3983
85,86,230,316,33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,72680,0,0,316,0,0,0,7590,3164
86,71,235,306,37,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,71910,0,0,306,0,0,0,8695,3542
85,148,324,472,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,152928,0,0,472,0,472,0,12636,4277
85,116,170,286,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,48620,0,0,286,286,0,0,4590,7252
85,175,277,452,37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,125204,0,0,452,0,0,0,10249,3948
86,79,128,207,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,26496,0,0,207,0,0,207,3456,3927
