Generated_Var_1,Generated_Var_3,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_16,Generated_Var_18,Generated_Var_19,effort_D
33.023773,-24.471659,51.27648,55.58578,61.4389,62.30448,72.04179,48.489857,-51.97318,14.961677,43.24629,-30.077261,11.960235,-34.94409,1062
200.46631,-122.641556,314.15704,314.8501,357.8439,356.591,413.16245,271.6429,-299.14215,88.35694,226.33273,-192.07187,108.59382,-212.73424,7871
21.572542,-13.03847,32.689957,33.359173,37.787567,37.50884,43.325184,28.324308,-31.891375,9.264038,23.843412,-20.005943,10.88829,-22.531622,845
59.750603,-36.051186,91.95194,92.80514,105.45879,104.97214,121.47248,79.55035,-88.73313,25.984486,66.79372,-56.57092,31.608593,-62.8718,2330
536.83325,-332.55856,856.3039,852.16644,968.8604,966.37146,1122.1436,740.27313,-804.24335,240.45724,611.59033,-520.5011,296.96237,-575.29736,21272
107.74399,-65.556274,167.77756,168.53212,191.55646,190.76517,220.95331,145.04039,-160.4667,47.23795,121.16947,-102.78177,57.891228,-113.964134,4224
72.4323,-43.81782,111.31601,112.6474,127.82688,127.25518,147.07053,96.32783,-107.65849,31.47943,80.891266,-68.45258,38.26094,-76.11862,2826
182.9671,-113.88731,293.8963,291.5733,331.98953,331.24365,384.93402,254.13666,-274.12158,82.841034,208.98729,-178.23386,101.97481,-196.99043,7320
229.34007,-142.2269,366.72064,364.51767,414.7562,413.6452,480.4515,317.02765,-343.3907,103.10756,261.37433,-222.66878,127.24047,-246.18175,9125
304.50043,-185.60226,474.4751,476.99173,541.78235,539.9592,624.49,409.89853,-454.04422,133.47478,342.71942,-290.71893,164.15077,-322.01965,11900
108.21391,-66.78086,172.24908,171.47952,195.13336,194.40454,225.73822,148.88425,-161.61037,48.322674,122.876236,-104.63069,59.74523,-115.899635,4300
107.20362,-65.20229,163.63988,166.86752,188.82797,187.7577,216.61472,142.03008,-159.58426,46.737514,119.297264,-100.21171,55.52105,-111.982956,4150
22.849379,-13.626899,34.68629,35.293503,40.065655,39.730495,45.9198,30.00313,-33.666904,9.815351,25.159704,-21.315912,11.872393,-23.895554,900
14.6277485,-8.556624,22.03591,22.368458,25.491596,25.19473,29.176668,18.976542,-21.286068,6.1900697,15.887966,-13.508771,7.522336,-15.277331,583
65.421165,-39.48472,101.08956,101.89862,115.84767,115.241035,133.24033,87.2935,-97.02653,28.461145,73.064156,-62.037136,34.9821,-68.94503,2565
103.30019,-62.831432,160.77806,161.53381,183.59473,182.84097,211.7974,139.03369,-153.85661,45.280956,116.17379,-98.50744,55.43992,-109.24531,4047
38.87092,-23.317432,59.005062,60.148617,68.18105,67.663284,78.19512,51.168446,-57.47935,16.761547,42.917362,-36.28357,20.241856,-40.5904,1520
658.7542,-405.05984,1039.7059,1039.1152,1181.1769,1177.4167,1365.0021,898.84564,-984.6734,291.8809,746.50757,-634.07104,360.16336,-701.4622,25910
946.88965,-583.0968,1497.8917,1495.5303,1700.2301,1694.8296,1965.5281,1294.9879,-1415.8896,420.25464,1074.2277,-912.65155,519.06476,-1009.46204,37286
376.4277,-234.98167,606.1258,600.9409,684.05475,683.0278,793.8034,524.24,-564.9238,171.14162,430.9018,-367.65665,210.47517,-405.8428,15052
275.81232,-172.19952,444.28412,440.3455,501.33908,500.55508,581.88605,384.3091,-413.87866,125.482925,315.77002,-269.42538,154.1855,-297.4611,11039
478.11115,-290.83725,733.49164,744.85175,843.6709,839.9747,970.31964,636.40137,-713.07526,209.35345,534.3934,-450.32523,250.86145,-500.95898,18500
