Transactions,PointsAdjust,MI_PointsAdjust_Entities,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_Entities_Envergure,Effort
253,305,15860,10370,77165,1768,5152
197,321,39804,10593,63237,4092,5635
40,100,6000,1800,4000,1080,805
200,319,37961,9570,63800,3570,3829
140,234,21996,5616,32760,2256,2149
97,186,16554,7068,18042,3382,2821
119,161,6762,4025,19159,1050,2569
186,238,12376,5950,44268,1300,3913
172,260,22880,7800,44720,2640,7854
78,116,4408,2784,9048,912,2422
167,266,26334,6384,44422,2376,4067
146,258,28896,10320,37668,4480,9051
33,105,7560,1995,3465,1368,2282
162,223,13603,7136,36126,1952,4172
223,344,41624,9632,76712,3388,4977
119,167,8016,4342,19873,1248,1617
57,100,4300,4300,5700,1849,3192
68,384,121344,7680,26112,6320,3437
9,395,152470,8295,3555,8106,4494
58,92,3128,2668,5336,986,840
318,587,157903,19958,186666,9146,14973
88,258,43860,8772,22704,5780,5180
306,438,57816,16206,134028,4884,5775
304,382,29796,14898,116128,3042,10577
89,289,57800,9537,25721,6600,3983
86,316,72680,10428,27176,7590,3164
71,306,71910,11322,21726,8695,3542
148,472,152928,18408,69856,12636,4277
116,286,48620,7722,33176,4590,7252
175,452,125204,16724,79100,10249,3948
79,207,26496,5589,16353,3456,3927
145,183,6954,4941,26535,1026,710
174,252,19656,10332,43848,3198,2429
194,285,25935,9975,55290,3185,6405
126,175,8575,6650,22050,1862,651
137,256,30464,8704,35072,4046,9135
289,377,33176,10556,108953,2464,1435
260,404,58176,9696,105040,3456,5922
158,217,12803,3906,34286,1062,847
302,447,64815,23244,134994,7540,8050
451,499,23952,13972,225049,1344,4620
661,793,104676,18239,524173,3036,2352
64,118,6372,2950,7552,1350,2174
284,514,118220,25700,145976,11500,19894
182,308,38808,10780,56056,4410,6699
173,505,167660,9595,87365,6308,14987
252,259,1813,7252,65268,196,4004
131,311,55980,15861,40741,9180,12824
106,145,5655,870,15370,234,2331
96,204,22032,5916,19584,3132,5817
116,188,13536,3384,21808,1296,2989
86,135,6615,4320,11610,1568,3136
221,342,41382,11970,75582,4235,14434
61,157,15072,2826,9577,1728,2583
132,221,19669,1105,29172,445,3647
45,432,167184,6912,19440,6192,8232
55,167,18704,2004,9185,1344,3276
124,176,9152,2464,21824,728,2723
120,246,30996,3690,29520,1890,3472
47,79,2528,1106,3713,448,1575
126,233,24931,5359,29358,2461,2926
101,146,6570,2190,14746,675,1876
78,177,17523,2478,13806,1386,2520
69,143,10582,2002,9867,1036,1603
194,291,28227,10185,56454,3395,3626
224,334,36740,9352,74816,3080,6783
323,507,93288,17745,163761,6440,11361
42,73,2263,1971,3066,837,1267
74,117,5031,2925,8658,1075,2548
101,158,9006,1422,15958,513,1155
97,139,5838,834,13483,252,546
134,211,16247,2743,28274,1001,2275
482,709,160943,18434,341738,5902,9100
213,286,20878,1716,60918,438,595
139,282,40326,6204,39198,3146,3941
473,655,119210,26200,309815,7280,13860
229,398,67262,15522,91142,6591,1400
227,300,21900,10200,68100,2482,2800
395,588,113484,23520,232260,7720,9520
469,645,113520,27735,302505,7568,5880
886,1127,271607,38318,998522,8194,23940
