Transactions,Entities,PointsAdjust,MI_PointsAdjust_Entities,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_Language_1,MI_Entities_Envergure,Effort
253,52,305,15860,10370,77165,305,1768,5152
197,124,321,39804,10593,63237,321,4092,5635
40,60,100,6000,1800,4000,100,1080,805
200,119,319,37961,9570,63800,319,3570,3829
140,94,234,21996,5616,32760,234,2256,2149
97,89,186,16554,7068,18042,186,3382,2821
119,42,161,6762,4025,19159,0,1050,2569
186,52,238,12376,5950,44268,238,1300,3913
172,88,260,22880,7800,44720,260,2640,7854
78,38,116,4408,2784,9048,116,912,2422
167,99,266,26334,6384,44422,266,2376,4067
146,112,258,28896,10320,37668,258,4480,9051
33,72,105,7560,1995,3465,105,1368,2282
162,61,223,13603,7136,36126,223,1952,4172
223,121,344,41624,9632,76712,344,3388,4977
119,48,167,8016,4342,19873,0,1248,1617
57,43,100,4300,4300,5700,100,1849,3192
68,316,384,121344,7680,26112,0,6320,3437
9,386,395,152470,8295,3555,0,8106,4494
58,34,92,3128,2668,5336,92,986,840
318,269,587,157903,19958,186666,0,9146,14973
88,170,258,43860,8772,22704,258,5780,5180
306,132,438,57816,16206,134028,438,4884,5775
304,78,382,29796,14898,116128,382,3042,10577
89,200,289,57800,9537,25721,289,6600,3983
86,230,316,72680,10428,27176,316,7590,3164
71,235,306,71910,11322,21726,306,8695,3542
148,324,472,152928,18408,69856,472,12636,4277
116,170,286,48620,7722,33176,286,4590,7252
175,277,452,125204,16724,79100,452,10249,3948
79,128,207,26496,5589,16353,207,3456,3927
145,38,183,6954,4941,26535,0,1026,710
174,78,252,19656,10332,43848,0,3198,2429
194,91,285,25935,9975,55290,285,3185,6405
126,49,175,8575,6650,22050,0,1862,651
137,119,256,30464,8704,35072,0,4046,9135
289,88,377,33176,10556,108953,0,2464,1435
260,144,404,58176,9696,105040,404,3456,5922
158,59,217,12803,3906,34286,0,1062,847
302,145,447,64815,23244,134994,0,7540,8050
451,48,499,23952,13972,225049,499,1344,4620
661,132,793,104676,18239,524173,0,3036,2352
64,54,118,6372,2950,7552,118,1350,2174
284,230,514,118220,25700,145976,514,11500,19894
182,126,308,38808,10780,56056,308,4410,6699
173,332,505,167660,9595,87365,505,6308,14987
252,7,259,1813,7252,65268,259,196,4004
131,180,311,55980,15861,40741,311,9180,12824
106,39,145,5655,870,15370,145,234,2331
96,108,204,22032,5916,19584,204,3132,5817
116,72,188,13536,3384,21808,188,1296,2989
86,49,135,6615,4320,11610,135,1568,3136
221,121,342,41382,11970,75582,342,4235,14434
61,96,157,15072,2826,9577,157,1728,2583
132,89,221,19669,1105,29172,0,445,3647
45,387,432,167184,6912,19440,0,6192,8232
55,112,167,18704,2004,9185,0,1344,3276
124,52,176,9152,2464,21824,0,728,2723
120,126,246,30996,3690,29520,0,1890,3472
47,32,79,2528,1106,3713,0,448,1575
126,107,233,24931,5359,29358,0,2461,2926
101,45,146,6570,2190,14746,0,675,1876
78,99,177,17523,2478,13806,177,1386,2520
69,74,143,10582,2002,9867,143,1036,1603
194,97,291,28227,10185,56454,0,3395,3626
224,110,334,36740,9352,74816,0,3080,6783
323,184,507,93288,17745,163761,0,6440,11361
42,31,73,2263,1971,3066,0,837,1267
74,43,117,5031,2925,8658,0,1075,2548
101,57,158,9006,1422,15958,0,513,1155
97,42,139,5838,834,13483,0,252,546
134,77,211,16247,2743,28274,0,1001,2275
482,227,709,160943,18434,341738,0,5902,9100
213,73,286,20878,1716,60918,0,438,595
139,143,282,40326,6204,39198,0,3146,3941
473,182,655,119210,26200,309815,0,7280,13860
229,169,398,67262,15522,91142,0,6591,1400
227,73,300,21900,10200,68100,300,2482,2800
395,193,588,113484,23520,232260,588,7720,9520
469,176,645,113520,27735,302505,0,7568,5880
886,241,1127,271607,38318,998522,1127,8194,23940
