size_D,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t08,MI_size_D_har_Mainfrm,MI_size_D_t03,MI_size_D_t10,MI_size_D_t15,MI_size_D_t12,effort_D
562,7868,2248,1124,1686,562,1686,2248,0,1686,1686,1686,2248,1062
647,10352,2588,2588,2588,1941,1941,3235,647,3235,3235,3235,2588,7871
130,650,260,520,520,390,390,260,130,390,390,520,520,845
254,2032,508,1016,1016,508,762,762,254,508,1270,762,762,2330
1056,16896,3168,5280,4224,3168,2112,5280,1056,4224,4224,3168,4224,21272
383,4596,1532,1149,1532,766,1149,1149,383,1149,1532,1532,1532,4224
345,4140,690,1380,1380,1380,1035,690,0,1035,1380,1380,1380,2826
209,5643,627,627,1045,418,627,1045,209,1045,1045,627,836,7320
366,8784,1464,1098,1464,366,1098,1830,366,1098,1098,1098,1098,9125
1181,63774,4724,2362,3543,2362,3543,5905,0,3543,2362,2362,2362,11900
181,2353,362,362,543,362,543,905,181,362,724,543,543,4300
739,15519,2217,1478,2217,739,2217,2217,0,2956,1478,1478,1478,4150
108,756,108,432,432,216,216,432,0,216,324,108,432,900
48,480,96,240,192,144,144,192,0,144,144,96,144,583
249,4731,747,747,996,498,747,1245,249,498,747,747,996,2565
371,4081,1113,742,1855,742,1484,1113,371,1113,1855,1113,1484,4047
211,2743,844,422,844,211,633,844,211,422,633,633,844,1520
1849,59168,7396,7396,7396,7396,1849,9245,1849,5547,7396,7396,7396,25910
2482,94316,12410,12410,12410,9928,7446,9928,2482,9928,9928,9928,12410,37286
434,17360,1736,1736,1736,1736,868,2170,0,1302,1736,1302,1736,15052
292,8468,876,876,1460,876,876,1168,292,1168,1460,876,1168,11039
2954,41356,11816,14770,11816,11816,11816,8862,0,5908,11816,8862,8862,18500
304,4256,1216,912,1520,304,912,1216,0,608,1216,912,1216,9369
353,9884,706,706,1412,353,1059,1412,0,706,1412,1059,706,7184
567,9072,2268,2835,2835,2268,1134,2268,567,1134,2835,2268,2268,10447
467,6071,1401,1401,1868,1401,1401,1401,467,1868,1868,1401,1401,5100
3368,151560,13472,13472,13472,10104,10104,16840,3368,10104,13472,13472,13472,63694
253,1012,506,506,1012,506,759,1012,253,759,759,1012,1012,1651
196,1960,392,392,392,588,784,588,0,392,588,588,784,1450
185,2220,555,555,555,740,740,925,185,370,555,555,740,1745
387,2322,1161,1548,1935,774,1548,1548,387,1161,1548,1548,1548,1798
430,12040,1720,1290,1290,860,1290,2150,430,1290,860,1290,1290,2957
204,1224,612,408,612,408,816,816,204,408,816,612,816,963
71,426,142,213,284,71,213,213,71,213,142,213,284,1233
840,5040,3360,2520,4200,2520,1680,4200,0,3360,3360,4200,4200,3240
1648,18128,8240,6592,8240,6592,3296,4944,0,6592,8240,8240,8240,10000
1035,8280,5175,4140,5175,4140,2070,3105,0,4140,5175,5175,5175,6800
548,12056,1644,1644,1644,548,1644,2192,548,2192,1644,1644,2192,3850
2054,63674,6162,10270,8216,6162,6162,8216,0,8216,8216,8216,10270,14000
302,7852,906,906,906,604,906,1208,302,604,906,906,906,5787
1172,25784,4688,4688,4688,3516,2344,2344,0,2344,2344,4688,3516,9700
253,1771,759,759,1012,253,759,759,0,759,759,759,1012,1100
227,3178,681,681,1135,454,908,681,227,454,1135,681,681,5578
59,354,118,177,236,177,177,177,59,177,177,177,236,1060
299,1794,897,1495,1196,1196,897,1196,299,1196,897,897,1196,5279
422,6330,1266,1688,2110,422,1266,1266,422,1266,1266,1688,1688,8117
1058,9522,5290,3174,4232,3174,4232,3174,0,3174,4232,4232,5290,8710
65,585,260,195,260,195,130,260,0,130,260,195,260,796
390,10140,1560,1560,1950,1170,1950,1950,0,1170,1560,1560,1560,11023
193,2509,386,579,579,386,772,386,193,386,579,772,579,1755
1526,42728,4578,6104,6104,6104,4578,4578,1526,3052,4578,4578,6104,5931
575,7475,2300,2300,2300,1150,1725,1150,0,1725,1725,1725,2300,4456
509,6617,1527,1018,2036,509,1527,2036,509,1527,1527,1527,2036,3600
583,6996,1166,1166,1166,1749,2332,1749,583,2332,1166,1749,2332,4557
315,4410,1260,945,1260,630,945,1575,315,1575,945,945,1260,8752
138,1656,414,276,552,276,552,414,138,690,552,414,552,3440
257,2313,771,1028,1028,771,1028,1028,0,771,1028,771,1028,1981
423,12690,1692,1269,1692,423,1269,2115,423,1269,1269,1269,1692,13700
495,9900,1485,1485,2475,1485,990,1485,0,1980,1485,1980,1980,7105
622,9952,1866,2488,2488,2488,1866,2488,0,1866,1866,1866,1866,6816
204,2448,816,1020,1020,408,612,1020,204,612,1020,612,816,4620
616,9240,1848,3080,3080,2464,1848,3080,0,1232,2464,2464,3080,7451
3634,119922,14536,18170,18170,10902,14536,10902,0,10902,18170,14536,14536,39479
