data,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,actual
1.16,113.0,126.59432,-66.12224,76.07578,63.286427,181.39525,125.44708,34.217003,-101.59044,-108.15547,14.644171,32.639454,-108.943855,2040.0
1.16,293.0,96.19318,-51.20052,59.10296,48.36269,137.78069,97.147385,27.645626,-76.207245,-82.54939,12.010601,25.817142,-82.91166,1600.0
1.16,132.0,17.064486,-11.867135,13.206614,3.8974826,24.481857,21.8738,1.7058644,-15.963926,-13.492876,1.3686838,2.4071524,-16.532562,243.0
1.16,60.0,14.190188,-8.356307,8.72451,6.4515452,19.99769,14.603937,4.02767,-11.338464,-11.95046,1.9692408,3.567383,-12.29004,240.0
0.94,16.0,2.6248355,-1.7228045,2.0101135,0.14903969,3.4091759,3.1075406,-0.19598678,-2.6055274,-1.8441697,0.12582825,0.015060049,-2.5274434,33.0
1.0,4.0,2.465556,-1.279565,1.3537837,1.0857384,3.233494,2.2846284,0.6581296,-2.0278835,-2.043111,0.385311,0.5770654,-2.008453,43.0
1.0,6.9,1.6072417,-1.1864767,1.3203942,-0.6121677,1.8602016,1.8906076,-0.7234966,-1.9161503,-0.7592716,-0.14545864,-0.5340119,-1.7968575,8.0
0.94,22.0,68.38348,-36.072697,41.178562,33.5853,97.80434,68.21856,17.498621,-55.259056,-58.309544,7.8100624,16.52793,-59.305794,1075.0
0.94,30.0,25.692125,-13.197661,15.274299,12.977163,36.479614,24.911915,7.2862496,-20.326385,-21.909742,3.042216,6.9103413,-21.754047,423.0
0.94,29.0,19.329563,-9.920501,11.48771,9.829926,27.3823,18.73467,5.644077,-15.188552,-16.545555,2.3266308,5.353793,-16.3098,321.0
0.94,32.0,12.830369,-6.786078,7.6800046,6.5924544,18.264565,12.754492,3.8930366,-10.169333,-11.114949,1.6908603,3.6526132,-10.983745,218.0
0.94,37.0,11.755928,-6.456103,7.101777,5.872533,16.679937,11.914045,3.5251513,-9.341222,-10.161599,1.6297802,3.237799,-10.139674,201.0
0.94,25.0,4.897997,-3.025514,3.1717014,1.6279,6.6851487,5.3728414,0.9774187,-4.213514,-4.0002456,0.6581853,0.9945469,-4.349031,79.0
0.94,3.0,3.3210902,-1.6749326,1.8170348,1.7238328,4.532076,3.083683,1.1200635,-2.6177573,-2.86359,0.5662045,0.9940547,-2.6649764,60.0
0.94,3.9,3.375437,-1.6964645,1.8298289,1.7422312,4.5849514,3.1229634,1.1408659,-2.663316,-2.9231467,0.58428496,1.001727,-2.7009237,61.0
1.0,6.1,2.4052181,-1.3122121,1.4118356,0.8415897,3.1113799,2.3289847,0.46644008,-2.0568497,-1.9145803,0.3484118,0.43520853,-2.0155053,40.0
1.0,3.6,1.3487191,-0.8947596,1.0949807,-0.4439443,1.5490408,1.4638901,-0.549123,-1.5490596,-0.6268547,-0.081799895,-0.38585067,-1.3937631,9.0
1.16,320.0,727.02985,-384.07153,439.1759,356.35397,1041.4692,727.3181,184.61566,-588.14343,-618.6747,82.0342,174.78773,-632.24756,11400.0
1.08,1150.0,398.8715,-209.90117,244.49973,201.4306,571.25476,400.44858,113.9692,-315.6072,-341.86093,48.763508,107.07233,-343.3418,6600.0
1.08,299.0,401.1654,-210.5281,241.84743,199.00562,575.3721,399.4583,106.19075,-323.26035,-342.44354,46.09534,101.20341,-346.7349,6400.0
1.16,252.0,150.10033,-77.34377,90.46168,75.58466,214.01402,146.64478,42.8055,-118.68673,-128.21808,17.35168,40.416466,-127.89455,2455.0
1.0,118.0,43.443707,-22.847744,26.43032,22.114721,62.162968,43.405987,12.6438465,-34.399487,-37.36646,5.3936243,11.872151,-37.327698,724.0
1.0,77.0,32.348316,-16.923574,19.56316,16.499285,46.218872,32.0508,9.452648,-25.592884,-27.83317,3.9678154,8.9096775,-27.711262,539.0
1.0,90.0,26.886593,-14.770441,16.49867,13.323407,38.381897,27.376566,7.903774,-21.319033,-23.063683,3.5712016,7.2110467,-23.189861,453.0
1.16,38.0,31.848719,-16.412024,18.984053,16.071407,45.29535,30.995525,8.962769,-25.247318,-27.176208,3.7409818,8.520062,-27.068323,523.0
1.0,48.0,23.194967,-12.090674,13.950133,11.816403,33.06716,22.832521,6.8021736,-18.330894,-19.951565,2.8318825,6.4415784,-19.78662,387.0
0.94,9.4,4.9923286,-2.60841,2.842568,2.616556,6.951469,4.841073,1.6143988,-3.9283934,-4.3556867,0.7625189,1.4809848,-4.1738157,88.0
1.08,13.0,5.586434,-2.9718301,3.2141483,2.894596,7.794169,5.497128,1.7842958,-4.4114385,-4.8773885,0.8607912,1.6316847,-4.730028,98.0
1.0,2.14,1.1456587,-0.7475422,0.92307067,-0.37093788,1.2622206,1.2279813,-0.4945485,-1.2989386,-0.5122569,-0.07122819,-0.34667644,-1.1795669,7.3
1.0,1.98,1.1251067,-0.7531638,0.9181227,-0.40868565,1.2326245,1.2117822,-0.51875395,-1.2958537,-0.47585335,-0.07972996,-0.37343293,-1.173339,5.9
1.08,62.0,65.55312,-34.128487,39.273243,32.911964,93.80702,64.67955,17.95026,-52.454723,-56.02734,7.622532,17.123022,-56.217564,1063.0
1.08,390.0,49.37174,-34.638912,38.634277,11.351065,71.63252,64.11916,4.6919537,-46.343258,-39.13343,3.759031,6.7342105,-48.447174,702.0
