rely,data,turn,pcap,modp,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_aexp_data,actual
0.88,1.16,1.07,1.17,1.24,113.0,127.68999999999998,131.07999999999998,119.78,1.3107999999999995,2040.0
0.88,1.16,1.07,1.0,1.1,293.0,266.63,339.88,310.58000000000004,1.0556,1600.0
1.0,1.16,0.94,0.86,0.91,132.0,108.24,153.11999999999998,132.0,0.9511999999999998,243.0
0.75,1.16,1.0,1.42,1.24,60.0,54.6,69.6,60.0,1.0556,240.0
0.88,0.94,1.0,0.86,1.24,16.0,16.0,15.04,16.0,0.94,33.0
0.75,1.0,1.0,1.42,1.24,4.0,4.0,4.0,4.84,1.0,43.0
0.75,1.0,0.87,1.0,0.91,6.9,6.9,6.9,6.9,1.0,8.0
1.15,0.94,1.0,1.0,1.1,22.0,20.02,20.68,34.32,0.8553999999999999,1075.0
1.15,0.94,1.0,0.86,0.91,30.0,30.0,28.2,36.3,0.94,423.0
1.4,0.94,1.07,0.86,1.0,29.0,23.78,27.26,45.24,0.7707999999999999,321.0
1.4,0.94,1.07,0.86,1.0,32.0,26.24,30.08,49.92,0.7707999999999999,218.0
1.15,0.94,1.0,0.86,0.91,37.0,30.34,34.78,39.22,0.7707999999999999,201.0
1.15,0.94,1.0,0.7,0.82,25.0,25.0,23.5,26.5,0.94,79.0
1.15,0.94,1.0,0.7,1.1,3.0,3.0,2.82,4.68,0.94,60.0
1.4,0.94,0.87,0.86,0.91,3.9,4.406999999999999,3.666,4.134,1.0621999999999998,61.0
1.4,1.0,0.87,0.86,1.0,6.1,6.1,6.1,9.516,1.0,40.0
1.4,1.0,0.87,0.86,1.0,3.6,2.952,3.6,5.6160000000000005,0.82,9.0
1.15,1.16,1.07,1.0,1.24,320.0,320.0,371.2,387.2,1.16,11400.0
1.15,1.08,0.94,1.0,0.91,1150.0,1046.5,1242.0,1391.5,0.9828,6600.0
1.4,1.08,1.07,1.08,1.24,299.0,245.18,322.92,361.79,0.8856,6400.0
1.0,1.16,0.87,1.0,0.91,252.0,252.0,292.32,287.28,1.16,2455.0
1.15,1.0,1.0,0.86,0.91,118.0,96.76,118.0,125.08,0.82,724.0
1.15,1.0,1.0,0.86,1.0,77.0,63.13999999999999,77.0,81.62,0.82,539.0
0.88,1.0,0.87,1.0,0.82,90.0,116.1,90.0,95.4,1.29,453.0
1.15,1.16,0.87,0.86,0.82,38.0,38.0,44.08,40.28,1.16,523.0
0.94,1.0,1.07,0.86,0.91,48.0,48.0,48.0,50.88,1.0,387.0
1.15,0.94,0.87,1.0,0.82,9.4,9.4,8.836,11.374,0.94,88.0
1.15,1.08,1.07,0.86,1.1,13.0,13.0,14.04,15.73,1.08,98.0
0.88,1.0,1.0,0.86,0.91,2.14,2.7606,2.14,2.14,1.29,7.3
0.88,1.0,1.0,0.86,0.91,1.98,2.5542,1.98,1.98,1.29,5.9
1.4,1.08,1.07,0.86,1.0,62.0,50.84,66.96000000000001,96.72,0.8856,1063.0
0.88,1.08,1.0,1.0,1.1,390.0,319.79999999999995,421.2000000000001,390.0,0.8856,702.0
1.4,1.08,0.94,0.86,0.91,42.0,34.44,45.36,65.52,0.8856,605.0
1.15,1.08,0.87,1.0,0.91,23.0,23.0,24.840000000000003,23.0,1.08,230.0
0.75,0.94,1.0,1.0,1.24,13.0,11.83,12.22,15.73,0.8553999999999999,82.0
0.88,1.05,0.87,1.17,1.0,15.0,15.0,15.75,15.0,1.05,55.0
0.88,0.94,1.0,0.86,1.0,60.0,49.2,56.4,63.6,0.7707999999999999,47.0
1.0,1.0,0.87,1.0,0.82,15.0,13.65,15.0,15.0,0.91,12.0
1.0,1.0,1.0,0.7,0.91,6.2,5.084,6.2,6.2,0.82,8.0
1.0,0.94,0.87,1.17,1.1,3.0,2.46,2.82,3.0,0.7707999999999999,8.0
0.88,0.94,0.87,0.7,0.91,5.3,4.345999999999999,4.981999999999999,5.3,0.7707999999999999,6.0
0.88,1.04,1.07,0.93,0.95,45.5,45.5,47.32,48.23,1.04,45.0
1.0,1.04,1.07,1.0,1.0,28.6,28.6,29.744000000000003,34.606,1.04,83.0
0.88,1.04,1.07,1.0,1.1,30.6,30.6,31.824,37.026,1.04,87.0
0.88,1.04,1.07,1.0,1.0,35.0,35.0,36.4,37.1,1.04,106.0
0.88,1.04,1.07,0.86,1.0,73.0,73.0,75.92,77.38000000000001,1.04,126.0
0.75,0.94,0.87,0.7,1.1,23.0,18.86,21.62,23.0,0.7707999999999999,36.0
0.88,0.94,1.0,1.17,1.1,464.0,422.24,436.16,464.0,0.8553999999999999,1272.0
1.0,1.0,0.87,0.7,0.82,91.0,91.0,91.0,91.0,1.0,156.0
1.15,1.0,0.87,0.86,1.0,24.0,24.0,24.0,29.04,1.0,176.0
0.88,1.0,1.15,1.42,1.24,10.0,10.0,10.0,10.0,1.0,122.0
0.88,0.94,1.0,1.0,1.24,8.2,8.2,7.707999999999999,8.692,0.94,41.0
0.88,0.94,1.0,0.7,1.0,5.3,5.3,4.981999999999999,6.412999999999999,0.94,14.0
1.0,0.94,0.87,1.0,0.91,4.4,3.608,4.136,4.664000000000001,0.7707999999999999,20.0
0.88,0.94,0.87,1.17,1.1,6.3,5.166,5.922,6.3,0.7707999999999999,18.0
1.15,0.94,1.0,1.0,1.1,27.0,24.57,25.38,32.67,0.8553999999999999,958.0
1.0,0.94,1.0,1.0,1.1,17.0,17.0,15.98,20.57,0.94,237.0
1.4,0.94,1.0,0.7,0.91,25.0,20.5,23.5,30.25,0.7707999999999999,130.0
1.0,0.94,0.87,1.0,0.91,23.0,23.0,21.62,24.380000000000003,0.94,70.0
1.15,0.94,1.0,0.86,1.1,6.7,7.571,6.298,7.102,1.0621999999999998,57.0
1.0,0.94,0.87,0.86,0.82,28.0,28.0,26.32,28.0,0.94,50.0
0.88,0.94,1.0,0.7,0.91,9.1,7.461999999999999,8.553999999999998,11.011,0.7707999999999999,38.0
1.0,0.94,0.87,0.86,0.82,10.0,8.2,9.4,10.0,0.7707999999999999,15.0
