rely,data,turn,modp,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_turn,MI_loc_pcap,actual
0.88,1.16,1.07,1.24,113.0,127.68999999999998,131.07999999999998,119.78,113.0,79.1,120.91,132.20999999999998,2040.0
0.88,1.16,1.07,1.1,293.0,266.63,339.88,310.58000000000004,293.0,249.05,313.51,293.0,1600.0
1.0,1.16,0.94,0.91,132.0,108.24,153.11999999999998,132.0,132.0,112.2,124.08,113.52,243.0
0.75,1.16,1.0,1.24,60.0,54.6,69.6,60.0,60.0,42.0,60.0,85.19999999999999,240.0
0.88,0.94,1.0,1.24,16.0,16.0,15.04,16.0,16.0,16.0,16.0,13.76,33.0
0.75,1.0,1.0,1.24,4.0,4.0,4.0,4.84,4.0,3.4,4.0,5.68,43.0
0.75,1.0,0.87,0.91,6.9,6.9,6.9,6.9,6.9,6.9,6.003,6.9,8.0
1.15,0.94,1.0,1.1,22.0,20.02,20.68,34.32,36.52,28.6,22.0,22.0,1075.0
1.15,0.94,1.0,0.91,30.0,30.0,28.2,36.3,39.0,39.0,30.0,25.8,423.0
1.4,0.94,1.07,1.0,29.0,23.78,27.26,45.24,32.190000000000005,37.7,31.03,24.94,321.0
1.4,0.94,1.07,1.0,32.0,26.24,30.08,49.92,35.52,41.6,34.24,27.52,218.0
1.15,0.94,1.0,0.91,37.0,30.34,34.78,39.22,41.07,48.1,37.0,31.82,201.0
1.15,0.94,1.0,0.82,25.0,25.0,23.5,26.5,27.750000000000004,32.5,25.0,17.5,79.0
1.15,0.94,1.0,1.1,3.0,3.0,2.82,4.68,3.9,4.949999999999999,3.0,2.1,60.0
1.4,0.94,0.87,0.91,3.9,4.406999999999999,3.666,4.134,5.07,5.07,3.393,3.354,61.0
1.4,1.0,0.87,1.0,6.1,6.1,6.1,9.516,7.93,7.93,5.307,5.246,40.0
1.4,1.0,0.87,1.0,3.6,2.952,3.6,5.6160000000000005,4.680000000000001,4.680000000000001,3.132,3.096,9.0
1.15,1.16,1.07,1.24,320.0,320.0,371.2,387.2,416.0,368.0,342.40000000000003,320.0,11400.0
1.15,1.08,0.94,0.91,1150.0,1046.5,1242.0,1391.5,1276.5,1150.0,1081.0,1150.0,6600.0
1.4,1.08,1.07,1.24,299.0,245.18,322.92,361.79,331.89000000000004,388.7,319.93,322.92,6400.0
1.0,1.16,0.87,0.91,252.0,252.0,292.32,287.28,267.12,289.79999999999995,219.24,252.0,2455.0
1.15,1.0,1.0,0.91,118.0,96.76,118.0,125.08,149.86,118.0,118.0,101.48,724.0
1.15,1.0,1.0,1.0,77.0,63.13999999999999,77.0,81.62,83.16000000000001,77.0,77.0,66.22,539.0
0.88,1.0,0.87,0.82,90.0,116.1,90.0,95.4,95.4,76.5,78.3,90.0,453.0
1.15,1.16,0.87,0.82,38.0,38.0,44.08,40.28,43.7,49.4,33.06,32.68,523.0
0.94,1.0,1.07,0.91,48.0,48.0,48.0,50.88,51.36,40.8,51.36,41.28,387.0
1.15,0.94,0.87,0.82,9.4,9.4,8.836,11.374,12.69,10.81,8.178,9.4,88.0
1.15,1.08,1.07,1.1,13.0,13.0,14.04,15.73,14.43,16.900000000000002,13.91,11.18,98.0
0.88,1.0,1.0,0.91,2.14,2.7606,2.14,2.14,2.14,2.14,2.14,1.8404,7.3
0.88,1.0,1.0,0.91,1.98,2.5542,1.98,1.98,1.98,1.98,1.98,1.7028,5.9
1.4,1.08,1.07,1.0,62.0,50.84,66.96000000000001,96.72,91.76,62.0,66.34,53.32,1063.0
