size_D,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_t08,MI_size_D_t03,MI_size_D_t10,MI_size_D_t15,MI_size_D_t12,MI_size_D_ifc_TextUI,MI_size_D_t01,MI_size_D_t04,MI_size_D_t06,MI_size_D_t13,effort_D
562,7868,2248,1124,1686,562,2248,1686,1686,1686,2248,0,2810,1124,2248,1686,1062
647,10352,2588,2588,2588,1941,3235,3235,3235,3235,2588,647,2588,1941,1941,2588,7871
130,650,260,520,520,390,260,390,390,520,520,130,260,390,390,520,845
254,2032,508,1016,1016,508,762,508,1270,762,762,254,762,762,1016,508,2330
1056,16896,3168,5280,4224,3168,5280,4224,4224,3168,4224,1056,2112,2112,1056,3168,21272
383,4596,1532,1149,1532,766,1149,1149,1532,1532,1532,383,1149,1532,1149,1915,4224
345,4140,690,1380,1380,1380,690,1035,1380,1380,1380,345,690,1035,1035,1380,2826
209,5643,627,627,1045,418,1045,1045,1045,627,836,209,836,836,418,836,7320
366,8784,1464,1098,1464,366,1830,1098,1098,1098,1098,366,732,732,732,1098,9125
1181,63774,4724,2362,3543,2362,5905,3543,2362,2362,2362,1181,4724,2362,2362,3543,11900
181,2353,362,362,543,362,905,362,724,543,543,181,362,543,543,362,4300
739,15519,2217,1478,2217,739,2217,2956,1478,1478,1478,739,3695,1478,739,739,4150
108,756,108,432,432,216,432,216,324,108,432,108,216,432,324,108,900
48,480,96,240,192,144,192,144,144,96,144,48,96,192,96,144,583
249,4731,747,747,996,498,1245,498,747,747,996,249,498,996,747,498,2565
371,4081,1113,742,1855,742,1113,1113,1855,1113,1484,371,1113,1113,1113,1113,4047
211,2743,844,422,844,211,844,422,633,633,844,211,422,844,633,633,1520
1849,59168,7396,7396,7396,7396,9245,5547,7396,7396,7396,1849,7396,5547,7396,5547,25910
2482,94316,12410,12410,12410,9928,9928,9928,9928,9928,12410,2482,9928,7446,9928,7446,37286
434,17360,1736,1736,1736,1736,2170,1302,1736,1302,1736,434,1302,1302,868,1736,15052
292,8468,876,876,1460,876,1168,1168,1460,876,1168,292,1168,1168,584,1168,11039
2954,41356,11816,14770,11816,11816,8862,5908,11816,8862,8862,2954,11816,8862,8862,5908,18500
304,4256,1216,912,1520,304,1216,608,1216,912,1216,304,1216,1216,912,608,9369
353,9884,706,706,1412,353,1412,706,1412,1059,706,353,1412,1059,1059,1059,7184
567,9072,2268,2835,2835,2268,2268,1134,2835,2268,2268,567,1134,2268,1701,1134,10447
467,6071,1401,1401,1868,1401,1401,1868,1868,1401,1401,467,1868,1401,1401,934,5100
3368,151560,13472,13472,13472,10104,16840,10104,13472,13472,13472,3368,13472,13472,10104,13472,63694
253,1012,506,506,1012,506,1012,759,759,1012,1012,253,759,1012,1012,1012,1651
196,1960,392,392,392,588,588,392,588,588,784,196,196,588,784,392,1450
185,2220,555,555,555,740,925,370,555,555,740,185,555,555,740,740,1745
387,2322,1161,1548,1935,774,1548,1161,1548,1548,1548,387,774,774,774,1161,1798
430,12040,1720,1290,1290,860,2150,1290,860,1290,1290,430,430,1290,860,1290,2957
204,1224,612,408,612,408,816,408,816,612,816,204,612,612,612,612,963
71,426,142,213,284,71,213,213,142,213,284,71,213,284,213,142,1233
840,5040,3360,2520,4200,2520,4200,3360,3360,4200,4200,0,3360,2520,2520,3360,3240
1648,18128,8240,6592,8240,6592,4944,6592,8240,8240,8240,0,6592,4944,4944,4944,10000
1035,8280,5175,4140,5175,4140,3105,4140,5175,5175,5175,0,4140,3105,3105,3105,6800
548,12056,1644,1644,1644,548,2192,2192,1644,1644,2192,548,1644,1096,1096,2192,3850
2054,63674,6162,10270,8216,6162,8216,8216,8216,8216,10270,2054,8216,8216,6162,8216,14000
302,7852,906,906,906,604,1208,604,906,906,906,302,604,1208,906,604,5787
1172,25784,4688,4688,4688,3516,2344,2344,2344,4688,3516,1172,4688,3516,4688,4688,9700
253,1771,759,759,1012,253,759,759,759,759,1012,0,759,506,759,1012,1100
227,3178,681,681,1135,454,681,454,1135,681,681,227,681,908,681,454,5578
59,354,118,177,236,177,177,177,177,177,236,59,236,177,177,177,1060
299,1794,897,1495,1196,1196,1196,1196,897,897,1196,299,897,1196,1196,897,5279
422,6330,1266,1688,2110,422,1266,1266,1266,1688,1688,422,1266,1688,1266,1266,8117
1058,9522,5290,3174,4232,3174,3174,3174,4232,4232,5290,1058,4232,5290,4232,2116,8710
