rely,data,time,stor,turn,acap,pcap,vexp,lexp,modp,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,actual
0.88,1.16,1.0,1.06,1.07,1.19,1.17,1.1,1.0,1.24,113.0,223.944,-86.907166,-167.77695,67.31557,2040.0
0.88,1.16,1.0,1.06,1.07,1.0,1.0,0.9,0.95,1.1,293.0,182.69533,-71.33806,-140.12494,56.277866,1600.0
1.0,1.16,1.0,1.0,0.94,0.86,0.86,0.9,0.95,0.91,132.0,31.385078,-12.729988,-25.674198,10.93023,243.0
0.75,1.16,1.0,1.0,1.0,1.19,1.42,1.0,0.95,1.24,60.0,27.829752,-11.111322,-21.911606,8.87411,240.0
0.88,0.94,1.0,1.0,1.0,1.0,0.86,0.9,0.95,1.24,16.0,3.972389,-1.8888115,-3.5672004,1.6287336,33.0
0.75,1.0,1.0,1.21,1.0,1.46,1.42,0.9,0.95,1.24,4.0,4.6528535,-2.084248,-3.9046245,1.6403366,43.0
0.75,1.0,1.0,1.0,0.87,1.0,1.0,0.9,0.95,0.91,6.9,1.2610576,-0.6882651,-1.3892636,0.6488919,8.0
1.15,0.94,1.66,1.56,1.0,0.71,1.0,1.21,1.14,1.1,22.0,116.691956,-45.3657,-87.03616,34.952137,1075.0
1.15,0.94,1.3,1.21,1.0,0.86,0.86,1.1,1.07,0.91,30.0,46.476715,-18.306114,-35.2536,14.219593,423.0
1.4,0.94,1.11,1.56,1.07,0.86,0.86,0.9,1.0,1.0,29.0,35.43177,-14.032767,-27.0809,10.942087,321.0
1.4,0.94,1.11,1.56,1.07,0.86,0.86,0.9,1.0,1.0,32.0,24.3946,-9.786253,-18.973295,7.695693,218.0
1.15,0.94,1.11,1.06,1.0,0.86,0.86,1.0,0.95,0.91,37.0,22.74403,-9.15302,-17.818024,7.23641,201.0
1.15,0.94,1.11,1.06,1.0,0.71,0.7,1.1,1.0,0.82,25.0,9.126511,-3.8949625,-7.539741,3.1673403,79.0
1.15,0.94,1.3,1.56,1.0,0.86,0.7,1.1,1.07,1.1,3.0,6.3976774,-2.805709,-5.2333574,2.1861532,60.0
1.4,0.94,1.3,1.06,0.87,0.86,0.86,1.21,1.14,0.91,3.9,6.543191,-2.8612127,-5.337709,2.2319028,61.0
1.4,1.0,1.3,1.56,0.87,0.86,0.86,1.0,1.0,1.0,6.1,4.340305,-1.996821,-3.736005,1.5846438,40.0
1.4,1.0,1.3,1.56,0.87,0.86,0.86,1.0,1.0,1.0,3.6,1.1528747,-0.639078,-1.2270317,0.5779856,9.0
1.15,1.16,1.3,1.21,1.07,0.86,1.0,1.0,1.0,1.24,320.0,1242.0891,-479.8666,-923.7202,370.1041,11400.0
1.15,1.08,1.11,1.21,0.94,0.71,1.0,1.0,1.0,0.91,1150.0,752.0571,-292.78033,-574.74664,230.56616,6600.0
1.4,1.08,1.11,1.21,1.07,0.71,1.08,1.1,1.07,1.24,299.0,701.1271,-271.3527,-523.55023,209.85385,6400.0
1.0,1.16,1.06,1.14,0.87,0.86,1.0,1.0,1.0,0.91,252.0,273.3532,-106.342354,-206.56538,82.90842,2455.0
1.15,1.0,1.27,1.06,1.0,0.86,0.86,0.9,1.0,0.91,118.0,82.02077,-32.1841,-62.936367,25.325668,724.0
1.15,1.0,1.08,1.06,1.0,0.86,0.86,0.9,1.0,1.0,77.0,60.60488,-23.84861,-46.45834,18.718786,539.0
0.88,1.0,1.06,1.06,0.87,1.0,1.0,1.1,0.95,0.82,90.0,51.823357,-20.456318,-40.130283,16.18417,453.0
1.15,1.16,1.15,1.06,0.87,0.86,0.86,1.1,1.0,0.82,38.0,57.534275,-22.587818,-43.554234,17.551476,523.0
0.94,1.0,1.07,1.06,1.07,0.86,0.86,1.1,1.0,0.91,48.0,43.21227,-17.065313,-33.12123,13.366119,387.0
1.15,0.94,1.35,1.21,0.87,1.0,1.0,1.0,1.0,0.82,9.4,9.657427,-4.039241,-7.702959,3.1746712,88.0
1.15,1.08,1.11,1.21,1.07,0.86,0.86,1.1,1.07,1.1,13.0,10.818257,-4.5142374,-8.632751,3.5531225,98.0
0.88,1.0,1.0,1.0,1.0,1.1,0.86,1.0,1.0,0.91,2.14,1.0063324,-0.5438602,-1.0720229,0.5006113,7.3
0.88,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,0.91,1.98,0.9048856,-0.48988175,-0.9902212,0.45682213,5.9
1.4,1.08,1.48,1.56,1.07,0.86,0.86,1.1,1.07,1.0,62.0,116.69354,-45.441658,-87.68605,35.22084,1063.0
0.88,1.08,1.0,1.0,1.0,0.71,1.0,1.0,1.0,1.1,390.0,91.8203,-36.793663,-74.46202,31.44581,702.0
1.4,1.08,1.48,1.56,0.94,0.86,0.86,0.9,1.0,0.91,42.0,66.54007,-26.0608,-50.285873,20.238455,605.0
1.15,1.08,1.06,1.0,0.87,1.0,1.0,1.0,1.0,0.91,23.0,25.420303,-10.160275,-19.572182,7.9381094,230.0
0.75,0.94,1.06,1.21,1.0,1.0,1.0,1.1,1.0,1.24,13.0,9.10239,-3.8417034,-7.3613143,3.0393379,82.0
0.88,1.05,1.0,1.0,0.87,1.19,1.17,0.9,0.95,1.0,15.0,6.2852006,-2.7289383,-5.270288,2.2208369,55.0
0.88,0.94,1.0,1.06,1.0,0.86,0.86,1.0,1.0,1.0,60.0,8.875418,-4.047883,-8.26385,3.4692154,47.0
1.0,1.0,1.0,1.0,0.87,0.71,1.0,0.9,0.95,0.82,15.0,2.1660445,-1.1444796,-2.2745314,1.0298603,12.0
1.0,1.0,1.0,1.0,1.0,0.71,0.7,1.0,0.95,0.91,6.2,1.2026875,-0.6718041,-1.3476095,0.63418716,8.0
1.0,0.94,1.0,1.0,0.87,0.86,1.17,1.0,1.0,1.1,3.0,1.0605725,-0.5807055,-1.1377409,0.5313755,8.0
0.88,0.94,1.0,1.0,0.87,1.0,0.7,0.9,0.95,0.91,5.3,1.0368494,-0.57129073,-1.1829262,0.55423486,6.0
0.88,1.04,1.0,1.06,1.07,0.86,0.93,0.9,0.95,0.95,45.5,7.3977103,-3.37209,-6.767008,2.8985736,45.0
1.0,1.04,1.0,1.21,1.07,0.86,1.0,0.9,0.95,1.0,28.6,9.706822,-4.104953,-8.00538,3.3802998,83.0
0.88,1.04,1.06,1.21,1.07,1.0,1.0,0.9,0.95,1.1,30.6,10.206278,-4.303862,-8.40498,3.551192,87.0
0.88,1.04,1.0,1.06,1.07,1.0,1.0,0.9,0.95,1.0,35.0,12.423906,-5.153057,-10.116149,4.221202,106.0
0.88,1.04,1.0,1.06,1.07,1.0,0.86,0.9,0.95,1.0,73.0,16.447048,-6.841567,-13.6698065,5.911438,126.0
0.75,0.94,1.0,1.0,0.87,0.71,0.7,1.1,1.07,1.1,23.0,4.6294765,-2.2101495,-4.178086,1.9169964,36.0
0.88,0.94,1.0,1.0,1.0,1.19,1.17,0.9,0.95,1.1,464.0,153.20993,-60.333405,-120.81634,49.610966,1272.0
1.0,1.0,1.0,1.0,0.87,0.71,0.7,1.1,1.0,0.82,91.0,20.477163,-8.438324,-16.928703,7.2682905,156.0
1.15,1.0,1.3,1.21,0.87,0.86,0.86,1.1,1.0,1.0,24.0,19.60461,-7.919252,-15.287053,6.2219286,176.0
0.88,1.0,1.0,1.0,1.15,1.19,1.42,1.0,0.95,1.24,10.0,13.359097,-5.4584646,-10.446975,4.2738066,122.0
0.88,0.94,1.0,1.06,1.0,1.0,1.0,1.1,1.07,1.24,8.2,4.552589,-2.0555568,-3.908189,1.6509175,41.0
0.88,0.94,1.11,1.21,1.0,0.71,0.7,1.1,1.07,1.0,5.3,1.677659,-0.87497264,-1.6722028,0.7787848,14.0
1.0,0.94,1.0,1.06,0.87,1.0,1.0,1.0,0.95,0.91,4.4,2.2432199,-1.094083,-2.0947976,0.9241514,20.0
0.88,0.94,1.0,1.0,0.87,0.86,1.17,0.9,0.95,1.1,6.3,2.0912628,-1.0503976,-1.9912713,0.9204765,18.0
1.15,0.94,1.3,1.21,1.0,0.86,1.0,1.1,1.07,1.1,27.0,104.20391,-40.553314,-77.87839,31.29106,958.0
1.0,0.94,1.11,1.21,1.0,1.0,1.0,1.1,1.07,1.1,17.0,25.98538,-10.376514,-19.90758,8.066214,237.0
1.4,0.94,1.66,1.21,1.0,0.71,0.7,0.9,0.95,0.91,25.0,14.6664915,-6.0165963,-11.658801,4.766835,130.0
1.0,0.94,1.06,1.06,0.87,1.0,1.0,1.0,1.0,0.91,23.0,8.104703,-3.4885178,-6.740757,2.8540652,70.0
1.15,0.94,1.11,1.06,1.0,0.86,0.86,1.1,1.07,1.1,6.7,6.196693,-2.7162364,-5.1166806,2.1440618,57.0
1.0,0.94,1.0,1.0,0.87,0.86,0.86,0.9,1.0,0.82,28.0,6.293375,-2.8275485,-5.4518976,2.4428904,50.0
0.88,0.94,1.11,1.21,1.0,0.78,0.7,1.21,1.14,0.91,9.1,4.2166348,-1.9519218,-3.6774948,1.5739565,38.0
1.0,0.94,1.0,1.0,0.87,0.71,0.86,1.0,1.0,0.82,10.0,1.9604789,-1.0568938,-1.9901195,0.94576293,15.0
