AFP,Input,Output,Enquiry,File,Interface,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_4,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
1587.0,774.0,260.0,340.0,128.0,0.0,1502.0,4.7,5.0,4.7,5.0,4.0,7490.0,1.0,83.62333,-61.705814,47.50486,-13.9802265,-282.1268,7490
260.0,9.0,4.0,3.0,193.0,41.0,51.0,16.0,16.6,16.0,16.6,17.0,4150.0,0.0,55.072807,-46.254314,32.31183,-10.175156,-192.5746,4150
152.0,25.0,33.0,28.0,42.0,35.0,163.0,4.4,4.1,4.4,4.1,9.0,668.0,0.0,7.346083,-5.823976,4.4442286,-1.3155572,-25.188433,668
252.0,151.0,28.0,8.0,39.0,0.0,69.0,12.8,14.3,15.5,17.3,4.0,3901.0,0.0,50.656418,-42.75512,29.442604,-9.519047,-176.57254,3238
292.0,93.0,0.0,194.0,20.0,0.0,0.0,10.3,9.8,12.4,11.7,13.0,3607.0,0.0,52.32257,-43.92453,30.705967,-9.664625,-182.92905,2994
83.0,63.0,0.0,24.0,0.0,0.0,0.0,16.1,15.3,19.3,18.5,4.0,1606.0,0.0,22.47138,-18.644226,13.267137,-4.128222,-78.22012,1333
79.0,24.0,0.0,23.0,30.0,0.0,0.0,20.3,20.9,24.5,25.1,6.0,1936.0,0.0,26.259758,-22.61446,14.565741,-5.34623,-89.89358,1607
97.0,0.0,108.0,7.0,0.0,5.0,120.0,11.9,9.7,11.9,9.7,7.0,1158.0,0.0,15.261279,-12.529113,9.065908,-2.7848713,-52.948452,1158
116.0,0.0,23.0,58.0,14.0,20.0,81.0,10.7,10.8,12.9,13.0,6.0,1498.0,0.0,19.369638,-16.453535,10.931682,-3.8479416,-66.41578,1243
52.0,39.0,7.0,0.0,0.0,0.0,0.0,64.8,73.3,78.1,88.3,7.0,4063.0,0.0,54.681335,-48.789326,27.897394,-12.392725,-183.23137,3372
465.0,209.0,129.0,24.0,83.0,15.0,460.0,21.9,22.2,21.9,22.2,9.0,10200.0,0.0,126.24807,-106.54841,73.871,-23.38755,-442.199,10200
67.0,32.0,5.0,16.0,7.0,0.0,25.0,25.4,28.4,30.6,34.2,7.0,2053.0,0.0,27.048874,-23.662186,14.561547,-5.7509904,-91.7928,1704
199.0,0.0,115.0,57.0,0.0,42.0,214.0,13.3,12.3,15.2,14.2,7.0,3034.0,0.0,37.752716,-32.01812,21.675291,-7.2549376,-130.90576,2640
176.0,13.0,54.0,54.0,40.0,7.0,168.0,19.0,19.9,19.0,19.9,26.0,3348.0,0.0,42.144413,-35.3024,24.762947,-7.7752366,-147.23242,3348
391.0,208.0,26.0,81.0,25.0,0.0,38.0,1.7,2.0,2.1,2.4,7.0,814.0,0.0,18.415396,-11.714512,10.71426,-1.3731635,-58.593506,676
263.0,65.0,45.0,101.0,42.0,10.0,176.0,3.5,3.5,3.5,3.5,3.0,911.0,0.0,12.16365,-9.905043,7.2572026,-2.2098517,-42.0845,911
42.0,12.0,15.0,3.0,7.0,15.0,52.0,59.4,48.0,59.4,48.0,6.4,2496.0,0.0,33.434135,-27.923725,19.677025,-6.1583314,-116.6839,2496
190.0,98.0,20.0,16.0,63.0,5.0,160.0,6.2,5.8,6.2,5.8,10.0,1171.0,0.0,14.046052,-11.499665,8.356336,-2.5592854,-48.68642,1171
245.0,105.0,28.0,18.0,58.0,0.0,19.0,14.4,16.9,14.4,16.9,13.0,3532.0,0.0,49.32324,-41.383736,28.954662,-9.107851,-172.40984,3532
77.0,28.0,0.0,42.0,0.0,0.0,0.0,5.7,6.2,6.8,7.5,1.0,525.0,0.0,8.544979,-6.8395877,5.144263,-1.5381107,-29.39318,436
