rely,data,time,stor,turn,acap,pcap,lexp,modp,loc,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,actual
0.88,1.16,1.0,1.06,1.07,1.19,1.17,1.0,1.24,113.0,273.75092,13.657224,265.66745,-122.30801,-201.38861,-315.3939,-121.24029,127.26679,2040.0
0.88,1.16,1.0,1.06,1.07,1.0,1.0,0.95,1.1,293.0,222.57785,5.3283277,219.59668,-98.20577,-162.85248,-255.45665,-103.38763,102.03877,1600.0
1.0,1.16,1.0,1.0,0.94,0.86,0.86,0.95,0.91,132.0,40.33498,-1.3354858,40.87305,-16.821524,-28.41318,-45.40433,-20.725573,17.236423,243.0
0.75,1.16,1.0,1.0,1.0,1.19,1.42,0.95,1.24,60.0,34.06994,0.0041634366,34.270473,-14.812368,-24.778421,-39.10405,-16.5842,15.327067,240.0
0.88,0.94,1.0,1.0,1.0,1.0,0.86,0.95,1.24,16.0,5.579176,-0.42691582,5.903236,-2.1487014,-3.8269174,-6.362185,-3.1238227,2.1408715,33.0
0.75,1.0,1.0,1.21,1.0,1.46,1.42,0.95,1.24,4.0,6.077956,-0.19114095,6.38387,-2.4896805,-4.289976,-7.074279,-3.2264452,2.4725103,43.0
0.75,1.0,1.0,1.0,0.87,1.0,1.0,0.95,0.91,6.9,2.0748067,-0.3540672,2.3719974,-0.6139883,-1.3379761,-2.358046,-1.2790487,0.59322625,8.0
1.15,0.94,1.66,1.56,1.0,0.71,1.0,1.14,1.1,22.0,143.44597,8.114633,138.84529,-64.63406,-105.66297,-165.74446,-62.924965,67.27679,1075.0
1.15,0.94,1.3,1.21,1.0,0.86,0.86,1.07,0.91,30.0,57.057602,2.228318,55.898933,-25.21952,-41.81887,-65.77185,-25.851423,26.200687,423.0
1.4,0.94,1.11,1.56,1.07,0.86,0.86,1.0,1.0,29.0,43.51398,1.4106356,42.857544,-19.106434,-31.836151,-50.14443,-19.977278,19.824677,321.0
1.4,0.94,1.11,1.56,1.07,0.86,0.86,1.0,1.0,32.0,30.005033,0.46488732,29.921518,-13.018371,-21.84971,-34.54846,-14.229608,13.477312,218.0
1.15,0.94,1.11,1.06,1.0,0.86,0.86,0.95,0.91,37.0,27.95818,0.2220456,28.01503,-12.114113,-20.332537,-32.167736,-13.439135,12.536636,201.0
1.15,0.94,1.11,1.06,1.0,0.71,0.7,1.0,0.82,25.0,11.726156,-0.36302596,12.046065,-4.896745,-8.341583,-13.366298,-6.0565543,4.9846272,79.0
1.15,0.94,1.3,1.56,1.0,0.86,0.7,1.07,1.1,3.0,8.280425,-0.10103304,8.561801,-3.4557076,-5.905994,-9.687764,-4.2467475,3.4823463,60.0
1.4,0.94,1.3,1.06,0.87,0.86,0.86,1.14,0.91,3.9,8.400529,-0.09753019,8.655069,-3.516448,-6.00313,-9.799417,-4.2839317,3.56772,61.0
1.4,1.0,1.3,1.56,0.87,0.86,0.86,1.0,1.0,6.1,5.8083367,-0.25896078,6.147564,-2.3362007,-4.0599236,-6.7293735,-3.1493168,2.29137,40.0
1.4,1.0,1.3,1.56,0.87,0.86,0.86,1.0,1.0,3.6,1.9911624,-0.31017923,2.3348935,-0.615968,-1.2763273,-2.38053,-1.2975426,0.5274078,9.0
1.15,1.16,1.3,1.21,1.07,0.86,1.0,1.0,1.24,320.0,1521.6155,89.56582,1468.4954,-687.2293,-1122.1268,-1756.2275,-663.40674,715.6508,11400.0
1.15,1.08,1.11,1.21,0.94,0.71,1.0,1.0,0.91,1150.0,915.66254,24.952656,900.94556,-404.88422,-670.5172,-1050.914,-422.52448,420.87695,6600.0
1.4,1.08,1.11,1.21,1.07,0.71,1.08,1.07,1.24,299.0,857.19543,45.522663,829.86365,-384.195,-631.1579,-987.93964,-377.32248,399.84827,6400.0
1.0,1.16,1.06,1.14,0.87,0.86,1.0,1.0,0.91,252.0,332.93073,13.103917,325.11752,-147.20995,-244.23972,-382.7608,-150.0929,153.2944,2455.0
1.15,1.0,1.27,1.06,1.0,0.86,0.86,1.0,0.91,118.0,100.05623,2.4412582,98.78855,-44.007233,-73.171455,-114.93623,-46.46137,45.73256,724.0
1.15,1.0,1.08,1.06,1.0,0.86,0.86,1.0,1.0,77.0,73.9992,1.9449373,73.02042,-32.488632,-54.118446,-85.067184,-34.25203,33.77186,539.0
0.88,1.0,1.06,1.06,0.87,1.0,1.0,0.95,0.82,90.0,63.267925,0.9813697,62.885487,-27.727697,-46.19319,-72.6392,-29.875286,28.797216,453.0
1.15,1.16,1.15,1.06,0.87,0.86,0.86,1.0,0.82,38.0,70.49495,2.8649127,68.94512,-31.209824,-51.71536,-81.23224,-31.805468,32.45554,523.0
0.94,1.0,1.07,1.06,1.07,0.86,0.86,1.0,0.91,48.0,52.8234,1.4392153,52.13167,-23.122688,-38.608982,-60.754364,-24.422855,24.025902,387.0
1.15,0.94,1.35,1.21,0.87,1.0,1.0,1.0,0.82,9.4,12.133049,-0.0066998675,12.324279,-5.1473937,-8.744707,-14.05214,-5.993029,5.277701,88.0
1.15,1.08,1.11,1.21,1.07,0.86,0.86,1.07,1.1,13.0,13.552647,-0.028490372,13.756377,-5.7410865,-9.773003,-15.670669,-6.696947,5.889932,98.0
0.88,1.0,1.0,1.0,1.0,1.1,0.86,1.0,0.91,2.14,1.6603118,-0.2713854,1.9704777,-0.5051837,-1.0651499,-1.9917471,-1.0979964,0.40601167,7.3
0.88,1.0,1.0,1.0,1.0,1.0,0.86,1.0,0.91,1.98,1.4979095,-0.267706,1.8032818,-0.43647715,-0.9563339,-1.8102043,-1.0104208,0.33789137,5.9
1.4,1.08,1.48,1.56,1.07,0.86,0.86,1.07,1.0,62.0,142.80952,6.7400975,138.93562,-63.639656,-104.96699,-164.56429,-63.610996,66.19807,1063.0
0.88,1.08,1.0,1.0,1.0,0.71,1.0,1.0,1.1,390.0,116.95773,-3.300895,117.94521,-49.14012,-82.54809,-131.62485,-59.603024,50.445946,702.0
1.4,1.08,1.48,1.56,0.94,0.86,0.86,1.0,0.91,42.0,81.52304,3.4205158,79.65156,-36.145554,-59.8242,-93.93444,-36.69706,37.574863,605.0
1.15,1.08,1.06,1.0,0.87,1.0,1.0,1.0,0.91,23.0,31.267437,0.8186843,30.950556,-13.646254,-22.81922,-36.032887,-14.5373125,14.143662,230.0
0.75,0.94,1.06,1.21,1.0,1.0,1.0,1.0,1.24,13.0,11.439467,-0.15906316,11.722184,-4.789352,-8.2122345,-13.235366,-5.7850647,4.8981338,82.0
0.88,1.05,1.0,1.0,0.87,1.19,1.17,0.95,1.0,15.0,8.109868,-0.30960494,8.412677,-3.3175352,-5.73962,-9.271196,-4.262911,3.3594253,55.0
0.88,0.94,1.0,1.06,1.0,0.86,0.86,1.0,1.0,60.0,13.365333,-0.7026289,13.225083,-5.3117337,-9.026892,-14.461453,-6.825415,5.535338,47.0
1.0,1.0,1.0,1.0,0.87,0.71,1.0,0.95,0.82,15.0,3.5196025,-0.4276188,3.7283368,-1.2064079,-2.322149,-3.8657913,-1.9881138,1.2558734,12.0
1.0,1.0,1.0,1.0,1.0,0.71,0.7,0.95,0.91,6.2,2.0069582,-0.34959185,2.3271277,-0.5861274,-1.290011,-2.334981,-1.2697793,0.5529402,8.0
1.0,0.94,1.0,1.0,0.87,0.86,1.17,1.0,1.1,3.0,1.7640201,-0.2988504,2.0925891,-0.5286624,-1.130103,-2.1249099,-1.1727487,0.4444893,8.0
0.88,0.94,1.0,1.0,0.87,1.0,0.7,0.95,0.91,5.3,1.7268553,-0.32172424,2.0175154,-0.49353382,-1.1041682,-1.989464,-1.0960557,0.4465254,6.0
0.88,1.04,1.0,1.06,1.07,0.86,0.93,0.95,0.95,45.5,10.533317,-0.7591141,10.699183,-4.107107,-7.1277866,-11.575645,-5.645077,4.2233615,45.0
1.0,1.04,1.0,1.21,1.07,0.86,1.0,0.95,1.0,28.6,12.502486,-0.3902157,12.819906,-5.232419,-8.891364,-14.216474,-6.445657,5.3325624,83.0
0.88,1.04,1.06,1.21,1.07,1.0,1.0,0.95,1.1,30.6,13.14225,-0.40658695,13.459601,-5.5093465,-9.342437,-14.929158,-6.766633,5.6158924,87.0
0.88,1.04,1.0,1.06,1.07,1.0,1.0,0.95,1.0,35.0,15.751776,-0.3716219,16.063053,-6.6765523,-11.269698,-17.942266,-7.9995694,6.8415494,106.0
0.88,1.04,1.0,1.06,1.07,1.0,0.86,0.95,1.0,73.0,21.507915,-0.95001584,21.95411,-8.811984,-15.054098,-24.225008,-11.249444,9.021849,126.0
0.75,0.94,1.0,1.0,0.87,0.71,0.7,1.07,1.1,23.0,6.5400276,-0.5308686,6.884839,-2.5126708,-4.47944,-7.4443517,-3.6593626,2.5336845,36.0
0.88,0.94,1.0,1.0,1.0,1.19,1.17,0.95,1.1,464.0,190.11987,-0.96290904,190.35458,-82.946495,-137.36115,-216.22627,-92.893234,85.69155,1272.0
1.0,1.0,1.0,1.0,0.87,0.71,0.7,1.0,0.82,91.0,26.575142,-1.0872835,27.049744,-10.939198,-18.631556,-29.90864,-13.815471,11.214868,156.0
1.15,1.0,1.3,1.21,0.87,0.86,0.86,1.0,1.0,24.0,24.158947,0.3372056,24.139193,-10.444045,-17.56637,-27.834324,-11.501294,10.805002,176.0
0.88,1.0,1.0,1.0,1.15,1.19,1.42,0.95,1.24,10.0,16.657248,0.26355904,16.677023,-7.1831546,-12.084255,-19.263067,-7.953831,7.4011226,122.0
0.88,0.94,1.0,1.06,1.0,1.0,1.0,1.07,1.24,8.2,6.0008273,-0.28004366,6.3201833,-2.3974087,-4.191633,-6.9045644,-3.244944,2.3678932,41.0
0.88,0.94,1.11,1.21,1.0,0.71,0.7,1.07,1.0,5.3,2.625607,-0.33199173,2.9730823,-0.8659125,-1.7172574,-3.0759158,-1.6198916,0.7882166,14.0
1.0,0.94,1.0,1.06,0.87,1.0,1.0,0.95,0.91,4.4,3.2294402,-0.29070896,3.560751,-1.1763203,-2.1758413,-3.76595,-1.8966688,1.1030817,20.0
0.88,0.94,1.0,1.0,0.87,0.86,1.17,0.95,1.1,6.3,3.1071687,-0.31380266,3.4287946,-1.1004966,-2.0866005,-3.6138268,-1.8392649,1.0466142,18.0
1.15,0.94,1.3,1.21,1.0,0.86,1.0,1.07,1.1,27.0,128.0041,6.9259877,124.0748,-57.483776,-94.230995,-147.83339,-56.3818,59.828457,958.0
1.0,0.94,1.11,1.21,1.0,1.0,1.0,1.07,1.1,17.0,32.070126,1.015165,31.644642,-14.06632,-23.420446,-37.010006,-14.789727,14.567327,237.0
1.4,0.94,1.66,1.21,1.0,0.71,0.7,0.95,0.91,25.0,18.16809,-0.08168394,18.408596,-7.7716985,-13.136946,-20.933092,-8.968714,8.001202,130.0
1.0,0.94,1.06,1.06,0.87,1.0,1.0,1.0,0.91,23.0,10.484374,-0.36660844,10.797853,-4.3560925,-7.4385605,-11.929243,-5.45276,4.424963,70.0
1.15,0.94,1.11,1.06,1.0,0.86,0.86,1.07,1.1,6.7,7.9675465,-0.17616087,8.257546,-3.2880335,-5.675157,-9.262785,-4.1245956,3.3284752,57.0
1.0,0.94,1.0,1.0,0.87,0.86,0.86,1.0,0.82,28.0,8.612717,-0.54649097,8.959808,-3.4133637,-5.9696894,-9.765081,-4.674141,3.4555619,50.0
0.88,0.94,1.11,1.21,1.0,0.78,0.7,1.14,0.91,9.1,5.711444,-0.33392435,6.047362,-2.237112,-3.9530404,-6.563914,-3.143225,2.208735,38.0
1.0,0.94,1.0,1.0,0.87,0.71,0.86,1.0,0.82,10.0,3.0545475,-0.38781685,3.3759153,-1.0226265,-2.02544,-3.5275884,-1.8378118,1.0112989,15.0
