ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Effort
1,1587,774,260,340,128,0,1502,0,0,4.7,5.0,4.7,5.0,4,0,4.0,7490,0.3269502,-0.066779815,0.34914726,7490
2,260,9,4,3,193,41,51,138,61,16.0,16.6,16.0,16.6,2,0,17.0,4150,3.2976885,4.4977527,3.9135463,4150
3,152,25,33,28,42,35,163,0,0,4.4,4.1,4.4,4.1,1,0,9.0,668,0.3269502,-0.066779815,0.34914726,668
4,252,151,28,8,39,0,69,153,4,12.8,14.3,15.5,17.3,1,0,4.0,3901,3.6025095,4.793627,3.5074983,3238
5,292,93,0,194,20,0,0,307,0,10.3,9.8,12.4,11.7,1,0,13.0,3607,1.1178966,0.4977354,1.3858893,2994
6,83,63,0,24,0,0,0,87,0,16.1,15.3,19.3,18.5,1,0,4.0,1606,1.4209365,1.733188,1.7500806,1333
7,79,24,0,23,30,0,0,77,0,20.3,20.9,24.5,25.1,1,0,6.0,1936,1.6365126,2.0507443,1.9985908,1607
8,97,0,108,7,0,5,120,0,0,11.9,9.7,11.9,9.7,2,0,7.0,1158,0.3269502,-0.066779815,0.34914726,1158
9,116,0,23,58,14,20,81,34,0,10.7,10.8,12.9,13.0,1,0,6.0,1498,0.3269502,-0.066779815,0.34914726,1243
10,52,39,7,0,0,0,0,46,0,64.8,73.3,78.1,88.3,1,0,7.0,4063,4.6780257,6.4402337,5.102314,3372
11,465,209,129,24,83,15,460,0,0,21.9,22.2,21.9,22.2,1,0,9.0,10200,8.810694,12.6187315,10.268781,10200
12,67,32,5,16,7,0,25,35,0,25.4,28.4,30.6,34.2,1,0,7.0,2053,1.9964174,2.5809052,2.4134789,1704
13,199,0,115,57,0,42,214,0,0,13.3,12.3,15.2,14.2,2,0,7.0,3034,0.5761874,0.39403588,0.68976486,2640
14,176,13,54,54,40,7,168,0,0,19.0,19.9,19.0,19.9,1,0,26.0,3348,1.74711,2.2136614,2.1260846,3348
15,391,208,26,81,25,0,38,302,0,1.7,2.0,2.1,2.4,1,0,7.0,814,-0.27960435,0.38603273,-0.60071635,676
16,263,65,45,101,42,10,176,87,0,3.5,3.5,3.5,3.5,1,0,3.0,911,0.3269502,-0.066779815,0.34914726,911
17,42,12,15,3,7,15,52,0,0,59.4,48.0,59.4,48.0,1,0,6.4,2496,2.203679,2.886214,2.652404,2496
18,190,98,20,16,63,5,160,42,0,6.2,5.8,6.2,5.8,1,0,10.0,1171,0.3269502,-0.066779815,0.34914726,1171
19,245,105,28,18,58,0,19,190,0,14.4,16.9,14.4,16.9,1,0,13.0,3532,2.7883992,3.7475405,3.3264527,3532
20,77,28,0,42,0,0,0,70,0,5.7,6.2,6.8,7.5,1,0,1.0,525,0.3269502,-0.066779815,0.34914726,436
21,355,278,0,73,0,0,0,351,0,2.6,2.6,3.1,3.1,1,0,4.0,1095,-0.53303677,0.7993104,-1.0579833,909
22,3156,2075,525,97,0,0,28,12,2657,2.9,3.4,3.5,4.1,1,0,6.0,10957,-190.6003,192.2136,-96.98698,9094
23,46,0,28,0,25,0,28,25,0,7.5,6.5,7.5,6.5,1,0,6.0,344,0.3269502,-0.066779815,0.34914726,344
24,56,14,12,15,7,5,53,0,0,5.3,5.6,5.3,5.6,4,0,3.0,296,0.3269502,-0.066779815,0.34914726,296
25,106,65,4,12,14,0,35,53,7,33.0,36.9,39.8,44.4,1,0,13.0,4220,4.8812184,6.644138,4.786566,3503
26,71,31,28,9,7,0,31,23,21,3.5,3.3,4.2,3.9,1,0,1.0,296,-0.5394508,0.51887846,0.08268082,246
27,306,51,105,0,105,45,306,0,0,6.8,6.8,6.8,6.8,2,0,24.0,2082,0.3269502,-0.066779815,0.34914726,2082
28,244,68,78,22,62,14,244,0,0,0.8,0.8,0.8,0.8,4,0,7.0,191,0.21985176,-0.4385101,-1.1695565,191
29,98,21,46,3,44,0,114,0,0,30.3,26.1,36.6,31.4,1,0,15.0,3583,2.9292378,3.955004,3.4888074,2974
30,331,100,44,61,107,0,312,0,0,1.0,1.1,1.2,1.3,1,0,2.0,395,0.016485553,0.03794115,-0.577984,328
31,101,16,5,39,52,0,112,0,0,4.0,3.6,4.0,3.6,1,0,8.0,406,0.3269502,-0.066779815,0.34914726,406
32,192,9,102,0,10,77,198,0,0,9.3,9.0,11.2,10.9,1,0,8.0,2151,0.3269502,-0.066779815,0.34914726,1785
