TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,Generated_Var_1,Generated_Var_2,Generated_Var_3,Effort
1.0,4.0,85,253,52,305,34,1,161.2079,-86.32036,-139.80896,5152
0.0,0.0,86,197,124,321,33,1,178.05978,-90.95337,-148.75557,5635
4.0,4.0,85,40,60,100,18,1,25.745852,-10.209082,-23.678053,805
0.0,0.0,86,200,119,319,30,1,120.30222,-57.97808,-104.17485,3829
0.0,0.0,86,140,94,234,24,1,67.74398,-30.314257,-60.176178,2149
0.0,0.0,86,97,89,186,38,1,89.38267,-43.803,-75.98316,2821
2.0,1.0,85,119,42,161,25,2,80.72892,-42.401382,-70.74366,2569
1.0,2.0,83,186,52,238,25,1,122.53831,-64.93915,-106.4499,3913
3.0,1.0,85,172,88,260,30,1,252.96483,-132.5229,-201.80453,7854
3.0,4.0,83,78,38,116,24,1,76.385475,-40.805817,-65.68931,2422
4.0,1.0,84,167,99,266,24,1,128.0581,-64.47225,-109.08632,4067
2.0,1.0,84,146,112,258,40,1,293.3691,-152.50394,-229.49643,9051
1.0,1.0,84,33,72,105,19,1,72.98011,-36.704407,-59.974915,2282
3.0,4.0,85,162,61,223,32,1,131.31017,-69.461365,-112.040985,4172
4.0,4.0,85,223,121,344,28,1,156.31627,-78.38583,-133.62468,4977
3.0,2.0,85,119,48,167,26,2,51.047153,-24.431501,-46.580208,1617
4.0,3.0,85,57,43,100,43,1,102.71163,-54.49861,-83.8612,3192
4.0,4.0,86,68,316,384,20,2,109.96621,-38.43725,-87.82451,3437
3.0,4.0,87,9,386,395,21,2,145.18681,-53.99424,-110.414696,4494
4.0,2.0,86,58,34,92,29,1,27.040594,-12.360153,-25.380966,840
4.0,4.0,86,318,269,587,34,2,482.14676,-245.12498,-380.40085,14973
2.0,4.0,85,88,170,258,34,1,165.67964,-81.39461,-132.74089,5180
2.0,4.0,86,306,132,438,37,1,180.95201,-90.501564,-156.32253,5775
4.0,1.0,87,304,78,382,39,1,338.90335,-179.98486,-274.19913,10577
1.0,4.0,86,89,200,289,33,1,127.12,-57.029625,-103.11248,3983
4.0,1.0,85,86,230,316,33,1,101.21801,-39.46848,-82.488556,3164
2.0,0.0,86,71,235,306,37,1,113.6919,-46.44287,-91.19859,3542
3.0,1.0,85,148,324,472,39,1,136.18314,-51.340584,-111.834435,4277
4.0,4.0,85,116,170,286,27,1,233.71689,-117.31186,-184.22919,7252
4.0,1.0,85,175,277,452,37,1,124.919106,-48.23848,-105.282715,3948
4.0,3.0,86,79,128,207,27,1,125.22631,-61.64525,-101.96531,3927
1.0,1.0,86,145,38,183,27,3,21.973103,-9.056671,-25.398417,710
4.0,4.0,87,174,78,252,41,3,76.67247,-35.87233,-68.56985,2429
1.0,1.0,85,194,91,285,35,1,203.37968,-107.1888,-167.75177,6405
2.0,2.0,88,126,49,175,38,3,20.422762,-7.60879,-23.526068,651
1.0,3.0,86,137,119,256,34,2,296.17764,-153.8208,-231.09445,9135
2.0,4.0,87,289,88,377,28,3,43.325428,-16.195944,-49.203445,1435
2.0,4.0,87,260,144,404,24,1,185.9875,-93.41904,-158.11646,5922
1.0,4.0,88,158,59,217,18,3,25.945026,-10.053276,-29.355446,847
3.0,3.0,88,302,145,447,52,2,254.03302,-131.44867,-212.56686,8050
1.0,1.0,87,451,48,499,28,1,144.03288,-72.89895,-131.76187,4620
2.0,4.0,87,661,132,793,23,3,65.312935,-25.193558,-88.001564,2352
1.0,1.0,88,64,54,118,25,1,68.80291,-35.395443,-59.010563,2174
1.0,4.0,86,284,230,514,50,1,646.793,-335.61365,-498.04245,19894
2.0,1.0,86,182,126,308,35,1,213.14006,-110.23214,-174.2065,6699
2.0,3.0,87,173,332,505,19,1,486.56845,-243.16571,-373.29144,14987
2.0,2.0,88,252,7,259,28,1,125.14555,-68.731766,-111.1558,4004
4.0,3.0,85,131,180,311,51,1,418.37094,-215.156,-319.9364,12824
2.0,3.0,85,106,39,145,6,1,72.813156,-38.679123,-64.263016,2331
3.0,3.0,85,96,108,204,29,1,187.6296,-96.1619,-148.80624,5817
2.0,3.0,85,116,72,188,18,1,93.98722,-47.949127,-80.77842,2989
3.0,3.0,85,86,49,135,32,1,99.49401,-52.9004,-83.59896,3136
2.0,3.0,85,221,121,342,35,1,468.98294,-246.67749,-363.15704,14434
1.0,1.0,87,61,96,157,18,1,82.07903,-39.861618,-68.38732,2583
1.0,3.0,86,132,89,221,5,2,114.637566,-58.694763,-97.29864,3647
3.0,7.0,86,45,387,432,16,2,265.80673,-121.76874,-203.54193,8232
1.0,1.0,86,55,112,167,12,2,104.38723,-51.67678,-84.92793,3276
1.0,4.0,87,124,52,176,14,2,85.1388,-44.58545,-74.719574,2723
3.0,3.0,87,120,126,246,15,2,109.59531,-52.716522,-92.33478,3472
1.0,2.0,87,47,32,79,14,2,49.521015,-26.56138,-43.67025,1575
1.0,1.0,86,126,107,233,23,2,92.032524,-43.904716,-79.3791,2926
3.0,2.0,86,101,45,146,15,2,58.89491,-29.892136,-52.642723,1876
1.0,1.0,86,78,99,177,14,1,79.713326,-38.119053,-67.39582,2520
4.0,7.0,86,69,74,143,14,1,50.43385,-23.307814,-44.593273,1603
1.0,3.0,86,194,97,291,35,2,113.89702,-56.081474,-99.16609,3626
2.0,3.0,87,224,110,334,28,2,214.24895,-112.67253,-178.2364,6783
2.0,4.0,87,323,184,507,35,2,362.3546,-187.41713,-293.55463,11361
1.0,3.0,86,42,31,73,27,2,40.23129,-20.963865,-35.816376,1267
1.0,2.0,87,74,43,117,25,2,80.556694,-42.983856,-68.711494,2548
3.0,4.0,87,101,57,158,9,2,36.20029,-15.840254,-34.278633,1155
0.0,4.0,86,97,42,139,6,3,16.733728,-7.074374,-19.325842,546
