Dataset                      Metric                   metric valor    p    k
---------------------------  ---------------------  --------------  ---  ---
../datasets_2/albrecht.arff  MAE                       10.2467        1    3
../datasets_2/albrecht.arff  Median Absolute Error      3.33333       1    3
../datasets_2/albrecht.arff  RMSE                      15.9097        1    3
../datasets_2/albrecht.arff  R2 Score                   0.791619      1    3
../datasets_2/albrecht.arff  MAE                       10.56          2    3
../datasets_2/albrecht.arff  Median Absolute Error      4.23333       2    3
../datasets_2/albrecht.arff  RMSE                      15.9775        2    3
../datasets_2/albrecht.arff  R2 Score                   0.789839      2    3
../datasets_2/albrecht.arff  MAE                       12.765         1    4
../datasets_2/albrecht.arff  Median Absolute Error      5.475         1    4
../datasets_2/albrecht.arff  RMSE                      21.9564        1    4
../datasets_2/albrecht.arff  R2 Score                   0.603122      1    4
../datasets_2/albrecht.arff  MAE                       12.21          2    4
../datasets_2/albrecht.arff  Median Absolute Error      4.125         2    4
../datasets_2/albrecht.arff  RMSE                      20.9885        2    4
../datasets_2/albrecht.arff  R2 Score                   0.63734       2    4
../datasets_2/albrecht.arff  MAE                       13.876         1    5
../datasets_2/albrecht.arff  Median Absolute Error      5.68          1    5
../datasets_2/albrecht.arff  RMSE                      24.8684        1    5
../datasets_2/albrecht.arff  R2 Score                   0.490866      1    5
../datasets_2/albrecht.arff  MAE                       13.988         2    5
../datasets_2/albrecht.arff  Median Absolute Error      6.38          2    5
../datasets_2/albrecht.arff  RMSE                      24.9657        2    5
../datasets_2/albrecht.arff  R2 Score                   0.486874      2    5
../datasets_2/albrecht.arff  MAE                       14.9267        1    6
../datasets_2/albrecht.arff  Median Absolute Error      5.93333       1    6
../datasets_2/albrecht.arff  RMSE                      27.2499        1    6
../datasets_2/albrecht.arff  R2 Score                   0.388686      1    6
../datasets_2/albrecht.arff  MAE                       14.7333        2    6
../datasets_2/albrecht.arff  Median Absolute Error      5.93333       2    6
../datasets_2/albrecht.arff  RMSE                      27.2164        2    6
../datasets_2/albrecht.arff  R2 Score                   0.390186      2    6
../datasets_2/albrecht.arff  MAE                       15.5486        1    7
../datasets_2/albrecht.arff  Median Absolute Error      3.58571       1    7
../datasets_2/albrecht.arff  RMSE                      29.3732        1    7
../datasets_2/albrecht.arff  R2 Score                   0.289704      1    7
../datasets_2/albrecht.arff  MAE                       14.94          2    7
../datasets_2/albrecht.arff  Median Absolute Error      3.58571       2    7
../datasets_2/albrecht.arff  RMSE                      29.0478        2    7
../datasets_2/albrecht.arff  R2 Score                   0.305357      2    7
../datasets_2/albrecht.arff  MAE                       16.3525        1    8
../datasets_2/albrecht.arff  Median Absolute Error      4.4875        1    8
../datasets_2/albrecht.arff  RMSE                      31.1844        1    8
../datasets_2/albrecht.arff  R2 Score                   0.199411      1    8
../datasets_2/albrecht.arff  MAE                       16.27          2    8
../datasets_2/albrecht.arff  Median Absolute Error      4.4875        2    8
../datasets_2/albrecht.arff  RMSE                      31.0009        2    8
../datasets_2/albrecht.arff  R2 Score                   0.208805      2    8
../datasets_2/albrecht.arff  MAE                       16.8644        1    9
../datasets_2/albrecht.arff  Median Absolute Error      5.03333       1    9
../datasets_2/albrecht.arff  RMSE                      32.2971        1    9
../datasets_2/albrecht.arff  R2 Score                   0.141258      1    9
../datasets_2/albrecht.arff  MAE                       16.7667        2    9
../datasets_2/albrecht.arff  Median Absolute Error      5.03333       2    9
../datasets_2/albrecht.arff  RMSE                      32.1331        2    9
../datasets_2/albrecht.arff  R2 Score                   0.149959      2    9
../datasets_2/kemerer.arff   MAE                       57.7           1    3
../datasets_2/kemerer.arff   Median Absolute Error     19.8333        1    3
../datasets_2/kemerer.arff   RMSE                      83.7563        1    3
../datasets_2/kemerer.arff   R2 Score                   0.0896467     1    3
../datasets_2/kemerer.arff   MAE                       73.6778        2    3
../datasets_2/kemerer.arff   Median Absolute Error     19.8333        2    3
../datasets_2/kemerer.arff   RMSE                     111.186         2    3
../datasets_2/kemerer.arff   R2 Score                  -0.604264      2    3
../datasets_2/kemerer.arff   MAE                       69.85          1    4
../datasets_2/kemerer.arff   Median Absolute Error     51.675         1    4
../datasets_2/kemerer.arff   RMSE                      95.7295        1    4
../datasets_2/kemerer.arff   R2 Score                  -0.189231      1    4
../datasets_2/kemerer.arff   MAE                       69.85          2    4
../datasets_2/kemerer.arff   Median Absolute Error     51.675         2    4
../datasets_2/kemerer.arff   RMSE                      95.7295        2    4
../datasets_2/kemerer.arff   R2 Score                  -0.189231      2    4
../datasets_2/kemerer.arff   MAE                       84.66          1    5
../datasets_2/kemerer.arff   Median Absolute Error     64.66          1    5
../datasets_2/kemerer.arff   RMSE                     101.166         1    5
../datasets_2/kemerer.arff   R2 Score                  -0.328129      1    5
../datasets_2/kemerer.arff   MAE                       81.9267        2    5
../datasets_2/kemerer.arff   Median Absolute Error     64.66          2    5
../datasets_2/kemerer.arff   RMSE                      96.8551        2    5
../datasets_2/kemerer.arff   R2 Score                  -0.217361      2    5
../datasets_2/kemerer.arff   MAE                       86.8222        1    6
../datasets_2/kemerer.arff   Median Absolute Error     80.55          1    6
../datasets_2/kemerer.arff   RMSE                     101.958         1    6
../datasets_2/kemerer.arff   R2 Score                  -0.349014      1    6
../datasets_2/kemerer.arff   MAE                       74.5833        2    6
../datasets_2/kemerer.arff   Median Absolute Error     80.55          2    6
../datasets_2/kemerer.arff   RMSE                      83.9395        2    6
../datasets_2/kemerer.arff   R2 Score                   0.0856608     2    6
../datasets_2/kemerer.arff   MAE                       78.7429        1    7
../datasets_2/kemerer.arff   Median Absolute Error     71.3571        1    7
../datasets_2/kemerer.arff   RMSE                      90.6518        1    7
../datasets_2/kemerer.arff   R2 Score                  -0.0664186     1    7
../datasets_2/kemerer.arff   MAE                       75.0476        2    7
../datasets_2/kemerer.arff   Median Absolute Error     71.3571        2    7
../datasets_2/kemerer.arff   RMSE                      85.1216        2    7
../datasets_2/kemerer.arff   R2 Score                   0.0597256     2    7
../datasets_2/kemerer.arff   MAE                       70.0042        1    8
../datasets_2/kemerer.arff   Median Absolute Error     73.675         1    8
../datasets_2/kemerer.arff   RMSE                      79.3344        1    8
../datasets_2/kemerer.arff   R2 Score                   0.183235      1    8
../datasets_2/kemerer.arff   MAE                       70.0042        2    8
../datasets_2/kemerer.arff   Median Absolute Error     73.675         2    8
../datasets_2/kemerer.arff   RMSE                      79.3344        2    8
../datasets_2/kemerer.arff   R2 Score                   0.183235      2    8
../datasets_2/kemerer.arff   MAE                       77.0741        1    9
../datasets_2/kemerer.arff   Median Absolute Error     83.7556        1    9
../datasets_2/kemerer.arff   RMSE                      87.3931        1    9
../datasets_2/kemerer.arff   R2 Score                   0.00887326    1    9
../datasets_2/kemerer.arff   MAE                       85.2333        2    9
../datasets_2/kemerer.arff   Median Absolute Error     83.7556        2    9
../datasets_2/kemerer.arff   RMSE                      90.6784        2    9
../datasets_2/kemerer.arff   R2 Score                  -0.0670447     2    9
../datasets_2/cocomo81.arff  MAE                      582.951         1    3
../datasets_2/cocomo81.arff  Median Absolute Error    201.333         1    3
../datasets_2/cocomo81.arff  RMSE                    1086.4           1    3
../datasets_2/cocomo81.arff  R2 Score                   0.588124      1    3
../datasets_2/cocomo81.arff  MAE                      578.567         2    3
../datasets_2/cocomo81.arff  Median Absolute Error    201.333         2    3
../datasets_2/cocomo81.arff  RMSE                    1085.39          2    3
../datasets_2/cocomo81.arff  R2 Score                   0.588885      2    3
../datasets_2/cocomo81.arff  MAE                      619.842         1    4
../datasets_2/cocomo81.arff  Median Absolute Error    204.25          1    4
../datasets_2/cocomo81.arff  RMSE                    1109.65          1    4
../datasets_2/cocomo81.arff  R2 Score                   0.570299      1    4
../datasets_2/cocomo81.arff  MAE                      620.285         2    4
../datasets_2/cocomo81.arff  Median Absolute Error    204.25          2    4
../datasets_2/cocomo81.arff  RMSE                    1109.66          2    4
../datasets_2/cocomo81.arff  R2 Score                   0.570297      2    4
../datasets_2/cocomo81.arff  MAE                      610.546         1    5
../datasets_2/cocomo81.arff  Median Absolute Error    144.6           1    5
../datasets_2/cocomo81.arff  RMSE                    1110.81          1    5
../datasets_2/cocomo81.arff  R2 Score                   0.569405      1    5
../datasets_2/cocomo81.arff  MAE                      609.9           2    5
../datasets_2/cocomo81.arff  Median Absolute Error    144.6           2    5
../datasets_2/cocomo81.arff  RMSE                    1110.64          2    5
../datasets_2/cocomo81.arff  R2 Score                   0.569533      2    5
../datasets_2/cocomo81.arff  MAE                      626.221         1    6
../datasets_2/cocomo81.arff  Median Absolute Error    254             1    6
../datasets_2/cocomo81.arff  RMSE                    1170.12          1    6
../datasets_2/cocomo81.arff  R2 Score                   0.522198      1    6
../datasets_2/cocomo81.arff  MAE                      626.221         2    6
../datasets_2/cocomo81.arff  Median Absolute Error    254             2    6
../datasets_2/cocomo81.arff  RMSE                    1170.12          2    6
../datasets_2/cocomo81.arff  R2 Score                   0.522198      2    6
../datasets_2/cocomo81.arff  MAE                      620.956         1    7
../datasets_2/cocomo81.arff  Median Absolute Error    217.286         1    7
../datasets_2/cocomo81.arff  RMSE                    1225.41          1    7
../datasets_2/cocomo81.arff  R2 Score                   0.475971      1    7
../datasets_2/cocomo81.arff  MAE                      620.835         2    7
../datasets_2/cocomo81.arff  Median Absolute Error    217.286         2    7
../datasets_2/cocomo81.arff  RMSE                    1225.41          2    7
../datasets_2/cocomo81.arff  R2 Score                   0.475973      2    7
../datasets_2/cocomo81.arff  MAE                      613.641         1    8
../datasets_2/cocomo81.arff  Median Absolute Error    192.625         1    8
../datasets_2/cocomo81.arff  RMSE                    1269.12          1    8
../datasets_2/cocomo81.arff  R2 Score                   0.43792       1    8
../datasets_2/cocomo81.arff  MAE                      613.805         2    8
../datasets_2/cocomo81.arff  Median Absolute Error    192.625         2    8
../datasets_2/cocomo81.arff  RMSE                    1269.13          2    8
../datasets_2/cocomo81.arff  R2 Score                   0.437911      2    8
../datasets_2/cocomo81.arff  MAE                      620.106         1    9
../datasets_2/cocomo81.arff  Median Absolute Error    163             1    9
../datasets_2/cocomo81.arff  RMSE                    1300.16          1    9
../datasets_2/cocomo81.arff  R2 Score                   0.410094      1    9
../datasets_2/cocomo81.arff  MAE                      620.482         2    9
../datasets_2/cocomo81.arff  Median Absolute Error    163             2    9
../datasets_2/cocomo81.arff  RMSE                    1300.18          2    9
../datasets_2/cocomo81.arff  R2 Score                   0.410078      2    9
../datasets_2/china.arff     MAE                      470.823         1    3
../datasets_2/china.arff     Median Absolute Error     99.3333        1    3
../datasets_2/china.arff     RMSE                    1514.49          1    3
../datasets_2/china.arff     R2 Score                   0.925754      1    3
../datasets_2/china.arff     MAE                      486.09          2    3
../datasets_2/china.arff     Median Absolute Error     97.6667        2    3
../datasets_2/china.arff     RMSE                    1519.87          2    3
../datasets_2/china.arff     R2 Score                   0.925225      2    3
../datasets_2/china.arff     MAE                      471.717         1    4
../datasets_2/china.arff     Median Absolute Error    108.5           1    4
../datasets_2/china.arff     RMSE                    1378.85          1    4
../datasets_2/china.arff     R2 Score                   0.938457      1    4
../datasets_2/china.arff     MAE                      469.635         2    4
../datasets_2/china.arff     Median Absolute Error    108.375         2    4
../datasets_2/china.arff     RMSE                    1382.03          2    4
../datasets_2/china.arff     R2 Score                   0.938173      2    4
../datasets_2/china.arff     MAE                      451.226         1    5
../datasets_2/china.arff     Median Absolute Error    113.7           1    5
../datasets_2/china.arff     RMSE                    1240.11          1    5
../datasets_2/china.arff     R2 Score                   0.950219      1    5
../datasets_2/china.arff     MAE                      438.332         2    5
../datasets_2/china.arff     Median Absolute Error    110.2           2    5
../datasets_2/china.arff     RMSE                    1226.5           2    5
../datasets_2/china.arff     R2 Score                   0.951305      2    5
../datasets_2/china.arff     MAE                      422.688         1    6
../datasets_2/china.arff     Median Absolute Error    109.583         1    6
../datasets_2/china.arff     RMSE                    1116.46          1    6
../datasets_2/china.arff     R2 Score                   0.959651      1    6
../datasets_2/china.arff     MAE                      423.095         2    6
../datasets_2/china.arff     Median Absolute Error    115.333         2    6
../datasets_2/china.arff     RMSE                    1116.67          2    6
../datasets_2/china.arff     R2 Score                   0.959636      2    6
../datasets_2/china.arff     MAE                      410.981         1    7
../datasets_2/china.arff     Median Absolute Error    107             1    7
../datasets_2/china.arff     RMSE                     986.217         1    7
../datasets_2/china.arff     R2 Score                   0.968516      1    7
../datasets_2/china.arff     MAE                      388.204         2    7
../datasets_2/china.arff     Median Absolute Error    117             2    7
../datasets_2/china.arff     RMSE                     946.762         2    7
../datasets_2/china.arff     R2 Score                   0.970985      2    7
../datasets_2/china.arff     MAE                      377.354         1    8
../datasets_2/china.arff     Median Absolute Error    111.125         1    8
../datasets_2/china.arff     RMSE                     887.804         1    8
../datasets_2/china.arff     R2 Score                   0.974486      1    8
../datasets_2/china.arff     MAE                      390.879         2    8
../datasets_2/china.arff     Median Absolute Error    108.375         2    8
../datasets_2/china.arff     RMSE                     916.005         2    8
../datasets_2/china.arff     R2 Score                   0.972839      2    8
../datasets_2/china.arff     MAE                      372.532         1    9
../datasets_2/china.arff     Median Absolute Error     99.1667        1    9
../datasets_2/china.arff     RMSE                     824.082         1    9
../datasets_2/china.arff     R2 Score                   0.978017      1    9
../datasets_2/china.arff     MAE                      419.214         2    9
../datasets_2/china.arff     Median Absolute Error    105.778         2    9
../datasets_2/china.arff     RMSE                    1094.42          2    9
../datasets_2/china.arff     R2 Score                   0.961228      2    9
../datasets_2/albrecht.arff  MAE                        7.48          1    3
../datasets_2/albrecht.arff  Median Absolute Error      4.53333       1    3
../datasets_2/albrecht.arff  RMSE                      10.2625        1    3
../datasets_2/albrecht.arff  R2 Score                  -0.193526      1    3
../datasets_2/albrecht.arff  MAE                        7.56667       2    3
../datasets_2/albrecht.arff  Median Absolute Error      3.86667       2    3
../datasets_2/albrecht.arff  RMSE                      10.2726        2    3
../datasets_2/albrecht.arff  R2 Score                  -0.195875      2    3
../datasets_2/albrecht.arff  MAE                        6.315         1    4
../datasets_2/albrecht.arff  Median Absolute Error      4             1    4
../datasets_2/albrecht.arff  RMSE                       9.19106       1    4
../datasets_2/albrecht.arff  R2 Score                   0.0426867     1    4
../datasets_2/albrecht.arff  MAE                        6.9           2    4
../datasets_2/albrecht.arff  Median Absolute Error      4             2    4
../datasets_2/albrecht.arff  RMSE                       9.33627       2    4
../datasets_2/albrecht.arff  R2 Score                   0.0121982     2    4
../datasets_2/albrecht.arff  MAE                        6.264         1    5
../datasets_2/albrecht.arff  Median Absolute Error      3.82          1    5
../datasets_2/albrecht.arff  RMSE                       9.05505       1    5
../datasets_2/albrecht.arff  R2 Score                   0.0708104     1    5
../datasets_2/albrecht.arff  MAE                        6.752         2    5
../datasets_2/albrecht.arff  Median Absolute Error      4.6           2    5
../datasets_2/albrecht.arff  RMSE                       9.18133       2    5
../datasets_2/albrecht.arff  R2 Score                   0.0447132     2    5
../datasets_2/albrecht.arff  MAE                        5.98667       1    6
../datasets_2/albrecht.arff  Median Absolute Error      3.9           1    6
../datasets_2/albrecht.arff  RMSE                       8.51647       1    6
