Dataset                      Metric                    metric valor    p    k
---------------------------  ---------------------  ---------------  ---  ---
../datasets_2/albrecht.arff  MAE                        4.03333        1    3
../datasets_2/albrecht.arff  Median Absolute Error      3.03333        1    3
../datasets_2/albrecht.arff  RMSE                       4.94222        1    3
../datasets_2/albrecht.arff  R2 Score                  -0.706935       1    3
../datasets_2/albrecht.arff  MAE                       20.44           2    3
../datasets_2/albrecht.arff  Median Absolute Error      5.33333        2    3
../datasets_2/albrecht.arff  RMSE                      28.5037         2    3
../datasets_2/albrecht.arff  R2 Score                   0.407873       2    3
../datasets_2/albrecht.arff  MAE                       15.705          1    4
../datasets_2/albrecht.arff  Median Absolute Error      7.15           1    4
../datasets_2/albrecht.arff  RMSE                      26.5499         1    4
../datasets_2/albrecht.arff  R2 Score                   0.514086       1    4
../datasets_2/albrecht.arff  MAE                        7.05           2    4
../datasets_2/albrecht.arff  Median Absolute Error      5.125          2    4
../datasets_2/albrecht.arff  RMSE                       9.5988         2    4
../datasets_2/albrecht.arff  R2 Score                   0.100667       2    4
../datasets_2/albrecht.arff  MAE                        5.636          1    5
../datasets_2/albrecht.arff  Median Absolute Error      6.04           1    5
../datasets_2/albrecht.arff  RMSE                       6.73545        1    5
../datasets_2/albrecht.arff  R2 Score                   0.691075       1    5
../datasets_2/albrecht.arff  MAE                       18.056          2    5
../datasets_2/albrecht.arff  Median Absolute Error      6.34           2    5
../datasets_2/albrecht.arff  RMSE                      29.5766         2    5
../datasets_2/albrecht.arff  R2 Score                   0.344011       2    5
../datasets_2/albrecht.arff  MAE                        2.80333        1    6
../datasets_2/albrecht.arff  Median Absolute Error      3.45           1    6
../datasets_2/albrecht.arff  RMSE                       3.0699         1    6
../datasets_2/albrecht.arff  R2 Score                   0.697296       1    6
../datasets_2/albrecht.arff  MAE                        2.87           2    6
../datasets_2/albrecht.arff  Median Absolute Error      2.65           2    6
../datasets_2/albrecht.arff  RMSE                       3.2195         2    6
../datasets_2/albrecht.arff  R2 Score                   0.0315101      2    6
../datasets_2/albrecht.arff  MAE                       13.0229         1    7
../datasets_2/albrecht.arff  Median Absolute Error      9.27143        1    7
../datasets_2/albrecht.arff  RMSE                      15.8415         1    7
../datasets_2/albrecht.arff  R2 Score                   0.331494       1    7
../datasets_2/albrecht.arff  MAE                        5.62           2    7
../datasets_2/albrecht.arff  Median Absolute Error      2.28571        2    7
../datasets_2/albrecht.arff  RMSE                       9.01999        2    7
../datasets_2/albrecht.arff  R2 Score                  -0.176297       2    7
../datasets_2/albrecht.arff  MAE                        6.7            1    8
../datasets_2/albrecht.arff  Median Absolute Error      3.3625         1    8
../datasets_2/albrecht.arff  RMSE                       8.89387        1    8
../datasets_2/albrecht.arff  R2 Score                   0.512115       1    8
../datasets_2/albrecht.arff  MAE                       16.32           2    8
../datasets_2/albrecht.arff  Median Absolute Error      3.4            2    8
../datasets_2/albrecht.arff  RMSE                      31.3082         2    8
../datasets_2/albrecht.arff  R2 Score                   0.33516        2    8
../datasets_2/albrecht.arff  MAE                        7.02667        1    9
../datasets_2/albrecht.arff  Median Absolute Error      3.17778        1    9
../datasets_2/albrecht.arff  RMSE                       9.65108        1    9
../datasets_2/albrecht.arff  R2 Score                   0.240202       1    9
../datasets_2/albrecht.arff  MAE                        8.05333        2    9
../datasets_2/albrecht.arff  Median Absolute Error      5.01111        2    9
../datasets_2/albrecht.arff  RMSE                      11.444          2    9
../datasets_2/albrecht.arff  R2 Score                   0.720008       2    9
../datasets_2/kemerer.arff   MAE                       47.3889         1    3
../datasets_2/kemerer.arff   Median Absolute Error     33              1    3
../datasets_2/kemerer.arff   RMSE                      57.0483         1    3
../datasets_2/kemerer.arff   R2 Score                  -0.805303       1    3
../datasets_2/kemerer.arff   MAE                       13.6444         2    3
../datasets_2/kemerer.arff   Median Absolute Error      6.66667        2    3
../datasets_2/kemerer.arff   RMSE                      17.4167         2    3
../datasets_2/kemerer.arff   R2 Score                   0.784999       2    3
../datasets_2/kemerer.arff   MAE                      327.195          1    4
../datasets_2/kemerer.arff   Median Absolute Error    107.075          1    4
../datasets_2/kemerer.arff   RMSE                     499.193          1    4
../datasets_2/kemerer.arff   R2 Score                  -0.128769       1    4
../datasets_2/kemerer.arff   MAE                       65.1758         2    4
../datasets_2/kemerer.arff   Median Absolute Error     73.8525         2    4
../datasets_2/kemerer.arff   RMSE                      78.4011         2    4
../datasets_2/kemerer.arff   R2 Score                   0.500415       2    4
../datasets_2/kemerer.arff   MAE                       45.74           1    5
../datasets_2/kemerer.arff   Median Absolute Error     62.88           1    5
../datasets_2/kemerer.arff   RMSE                      54.8401         1    5
../datasets_2/kemerer.arff   R2 Score                   0.537437       1    5
../datasets_2/kemerer.arff   MAE                       79.62           2    5
../datasets_2/kemerer.arff   Median Absolute Error     67.4            2    5
../datasets_2/kemerer.arff   RMSE                      83.7808         2    5
../datasets_2/kemerer.arff   R2 Score                 -52.28           2    5
../datasets_2/kemerer.arff   MAE                       26.8217         1    6
../datasets_2/kemerer.arff   Median Absolute Error     13.2333         1    6
../datasets_2/kemerer.arff   RMSE                      36.7093         1    6
../datasets_2/kemerer.arff   R2 Score                   0.748498       1    6
../datasets_2/kemerer.arff   MAE                      348.553          2    6
../datasets_2/kemerer.arff   Median Absolute Error     78.9167         2    6
../datasets_2/kemerer.arff   RMSE                     525.575          2    6
../datasets_2/kemerer.arff   R2 Score                  -0.26476        2    6
../datasets_2/kemerer.arff   MAE                      115.277          1    7
../datasets_2/kemerer.arff   Median Absolute Error     72.5429         1    7
../datasets_2/kemerer.arff   RMSE                     133.085          1    7
../datasets_2/kemerer.arff   R2 Score                  -2.20986        1    7
../datasets_2/kemerer.arff   MAE                       44.5143         2    7
../datasets_2/kemerer.arff   Median Absolute Error     46.9714         2    7
../datasets_2/kemerer.arff   RMSE                      44.8885         2    7
../datasets_2/kemerer.arff   R2 Score                   0.577353       2    7
../datasets_2/kemerer.arff   MAE                       39.9538         1    8
