Dataset                      Metric                   metric valor     e    n
---------------------------  ---------------------  --------------  ----  ---
../datasets_2/albrecht.arff  MAE                         6.21529     100   25
../datasets_2/albrecht.arff  Median Absolute Error       6.09528     100   25
../datasets_2/albrecht.arff  RMSE                        6.5556      100   25
../datasets_2/albrecht.arff  R2 Score                   -8.88043     100   25
../datasets_2/albrecht.arff  MAE                         3.90019     100   50
../datasets_2/albrecht.arff  Median Absolute Error       3.76054     100   50
../datasets_2/albrecht.arff  RMSE                        4.40431     100   50
../datasets_2/albrecht.arff  R2 Score                   -3.45971     100   50
../datasets_2/albrecht.arff  MAE                         2.12266     100   75
../datasets_2/albrecht.arff  Median Absolute Error       1.84646     100   75
../datasets_2/albrecht.arff  RMSE                        2.76358     100   75
../datasets_2/albrecht.arff  R2 Score                   -0.755883    100   75
../datasets_2/albrecht.arff  MAE                         1.56496     100  100
../datasets_2/albrecht.arff  Median Absolute Error       0.902117    100  100
../datasets_2/albrecht.arff  RMSE                        1.89499     100  100
../datasets_2/albrecht.arff  R2 Score                    0.174407    100  100
../datasets_2/albrecht.arff  MAE                         4.09404     200   25
../datasets_2/albrecht.arff  Median Absolute Error       3.95618     200   25
../datasets_2/albrecht.arff  RMSE                        4.57922     200   25
../datasets_2/albrecht.arff  R2 Score                   -3.82096     200   25
../datasets_2/albrecht.arff  MAE                         1.3131      200   50
../datasets_2/albrecht.arff  Median Absolute Error       1.2744      200   50
../datasets_2/albrecht.arff  RMSE                        1.69274     200   50
../datasets_2/albrecht.arff  R2 Score                    0.341231    200   50
../datasets_2/albrecht.arff  MAE                         1.26955     200   75
../datasets_2/albrecht.arff  Median Absolute Error       0.483877    200   75
../datasets_2/albrecht.arff  RMSE                        1.79463     200   75
../datasets_2/albrecht.arff  R2 Score                    0.25954     200   75
../datasets_2/albrecht.arff  MAE                         2.12092     200  100
../datasets_2/albrecht.arff  Median Absolute Error       1.79865     200  100
../datasets_2/albrecht.arff  RMSE                        2.57937     200  100
../datasets_2/albrecht.arff  R2 Score                   -0.529596    200  100
../datasets_2/albrecht.arff  MAE                         1.9124      300   25
../datasets_2/albrecht.arff  Median Absolute Error       1.42685     300   25
../datasets_2/albrecht.arff  RMSE                        2.45899     300   25
../datasets_2/albrecht.arff  R2 Score                   -0.390158    300   25
../datasets_2/albrecht.arff  MAE                         1.68703     300   50
../datasets_2/albrecht.arff  Median Absolute Error       1.52267     300   50
../datasets_2/albrecht.arff  RMSE                        2.13849     300   50
../datasets_2/albrecht.arff  R2 Score                   -0.0513905   300   50
../datasets_2/albrecht.arff  MAE                         3.50746     300   75
../datasets_2/albrecht.arff  Median Absolute Error       3.53692     300   75
../datasets_2/albrecht.arff  RMSE                        4.07861     300   75
../datasets_2/albrecht.arff  R2 Score                   -2.8245      300   75
../datasets_2/albrecht.arff  MAE                         4.77422     300  100
../datasets_2/albrecht.arff  Median Absolute Error       5.10115     300  100
../datasets_2/albrecht.arff  RMSE                        5.4053      300  100
../datasets_2/albrecht.arff  R2 Score                   -5.71724     300  100
../datasets_2/albrecht.arff  MAE                         2.6179      400   25
../datasets_2/albrecht.arff  Median Absolute Error       2.69807     400   25
../datasets_2/albrecht.arff  RMSE                        2.94857     400   25
../datasets_2/albrecht.arff  R2 Score                   -0.998814    400   25
../datasets_2/albrecht.arff  MAE                         4.25985     400   50
../datasets_2/albrecht.arff  Median Absolute Error       3.92394     400   50
../datasets_2/albrecht.arff  RMSE                        4.41574     400   50
../datasets_2/albrecht.arff  R2 Score                   -3.48289     400   50
../datasets_2/albrecht.arff  MAE                         1.75268     400   75
../datasets_2/albrecht.arff  Median Absolute Error       1.63747     400   75
../datasets_2/albrecht.arff  RMSE                        2.34692     400   75
../datasets_2/albrecht.arff  R2 Score                   -0.266335    400   75
../datasets_2/albrecht.arff  MAE                         3.22144     400  100
../datasets_2/albrecht.arff  Median Absolute Error       1.32092     400  100
../datasets_2/albrecht.arff  RMSE                        5.07087     400  100
../datasets_2/albrecht.arff  R2 Score                   -4.91174     400  100
../datasets_2/albrecht.arff  MAE                         3.19362     500   25
../datasets_2/albrecht.arff  Median Absolute Error       2.94742     500   25
../datasets_2/albrecht.arff  RMSE                        3.51841     500   25
../datasets_2/albrecht.arff  R2 Score                   -1.84605     500   25
../datasets_2/albrecht.arff  MAE                         1.79457     500   50
../datasets_2/albrecht.arff  Median Absolute Error       1.23175     500   50
../datasets_2/albrecht.arff  RMSE                        2.23723     500   50
../datasets_2/albrecht.arff  R2 Score                   -0.150729    500   50
../datasets_2/albrecht.arff  MAE                         3.21241     500   75
../datasets_2/albrecht.arff  Median Absolute Error       1.56222     500   75
../datasets_2/albrecht.arff  RMSE                        4.52265     500   75
../datasets_2/albrecht.arff  R2 Score                   -3.70259     500   75
../datasets_2/albrecht.arff  MAE                         3.83632     500  100
../datasets_2/albrecht.arff  Median Absolute Error       1.40614     500  100
../datasets_2/albrecht.arff  RMSE                        6.40721     500  100
../datasets_2/albrecht.arff  R2 Score                   -8.4382      500  100
../datasets_2/albrecht.arff  MAE                         1.67237     600   25
../datasets_2/albrecht.arff  Median Absolute Error       1.8537      600   25
../datasets_2/albrecht.arff  RMSE                        1.94635     600   25
../datasets_2/albrecht.arff  R2 Score                    0.129056    600   25
../datasets_2/albrecht.arff  MAE                         1.80396     600   50
../datasets_2/albrecht.arff  Median Absolute Error       1.23356     600   50
../datasets_2/albrecht.arff  RMSE                        2.55716     600   50
../datasets_2/albrecht.arff  R2 Score                   -0.503377    600   50
../datasets_2/albrecht.arff  MAE                         3.71094     600   75
../datasets_2/albrecht.arff  Median Absolute Error       1.71848     600   75
../datasets_2/albrecht.arff  RMSE                        5.92752     600   75
../datasets_2/albrecht.arff  R2 Score                   -7.07786     600   75
../datasets_2/albrecht.arff  MAE                         4.38381     600  100
../datasets_2/albrecht.arff  Median Absolute Error       0.863356    600  100
../datasets_2/albrecht.arff  RMSE                        7.74184     600  100
../datasets_2/albrecht.arff  R2 Score                  -12.7797      600  100
../datasets_2/albrecht.arff  MAE                         0.951366    700   25
../datasets_2/albrecht.arff  Median Absolute Error       0.449634    700   25
../datasets_2/albrecht.arff  RMSE                        1.32868     700   25
../datasets_2/albrecht.arff  R2 Score                    0.594125    700   25
../datasets_2/albrecht.arff  MAE                         2.81492     700   50
../datasets_2/albrecht.arff  Median Absolute Error       0.775104    700   50
../datasets_2/albrecht.arff  RMSE                        4.38753     700   50
../datasets_2/albrecht.arff  R2 Score                   -3.4258      700   50
../datasets_2/albrecht.arff  MAE                         4.2285      700   75
../datasets_2/albrecht.arff  Median Absolute Error       2.14016     700   75
../datasets_2/albrecht.arff  RMSE                        6.91766     700   75
../datasets_2/albrecht.arff  R2 Score                  -10.002       700   75
../datasets_2/albrecht.arff  MAE                         6.4564      700  100
../datasets_2/albrecht.arff  Median Absolute Error       3.73067     700  100
../datasets_2/albrecht.arff  RMSE                        9.53589     700  100
../datasets_2/albrecht.arff  R2 Score                  -19.9061      700  100
../datasets_2/albrecht.arff  MAE                         1.26798     800   25
