Dataset                      Metric                     metric valor    d    t
---------------------------  ---------------------  ----------------  ---  ---
../datasets_2/albrecht.arff  MAE                         6.10194        5   50
../datasets_2/albrecht.arff  Median Absolute Error       4.69031        5   50
../datasets_2/albrecht.arff  RMSE                        8.60779        5   50
../datasets_2/albrecht.arff  R2 Score                    0.321547       5   50
../datasets_2/albrecht.arff  MAE                         6.90446        5  100
../datasets_2/albrecht.arff  Median Absolute Error       4.69969        5  100
../datasets_2/albrecht.arff  RMSE                        9.13364        5  100
../datasets_2/albrecht.arff  R2 Score                    0.236123       5  100
../datasets_2/albrecht.arff  MAE                         6.44187        5  150
../datasets_2/albrecht.arff  Median Absolute Error       4.36419        5  150
../datasets_2/albrecht.arff  RMSE                        8.57227        5  150
../datasets_2/albrecht.arff  R2 Score                    0.327136       5  150
../datasets_2/albrecht.arff  MAE                         6.50126        5  200
../datasets_2/albrecht.arff  Median Absolute Error       4.60404        5  200
../datasets_2/albrecht.arff  RMSE                        8.88508        5  200
../datasets_2/albrecht.arff  R2 Score                    0.277132       5  200
../datasets_2/albrecht.arff  MAE                         6.17723        5  250
../datasets_2/albrecht.arff  Median Absolute Error       4.58994        5  250
../datasets_2/albrecht.arff  RMSE                        8.33455        5  250
../datasets_2/albrecht.arff  R2 Score                    0.363936       5  250
../datasets_2/albrecht.arff  MAE                         6.77472        5  300
../datasets_2/albrecht.arff  Median Absolute Error       4.8333         5  300
../datasets_2/albrecht.arff  RMSE                        9.14091        5  300
../datasets_2/albrecht.arff  R2 Score                    0.234905       5  300
../datasets_2/albrecht.arff  MAE                         6.70443        6   50
../datasets_2/albrecht.arff  Median Absolute Error       4.07771        6   50
../datasets_2/albrecht.arff  RMSE                        9.52173        6   50
../datasets_2/albrecht.arff  R2 Score                    0.169828       6   50
../datasets_2/albrecht.arff  MAE                         6.62159        6  100
../datasets_2/albrecht.arff  Median Absolute Error       4.95191        6  100
../datasets_2/albrecht.arff  RMSE                        8.91062        6  100
../datasets_2/albrecht.arff  R2 Score                    0.27297        6  100
../datasets_2/albrecht.arff  MAE                         6.90505        6  150
../datasets_2/albrecht.arff  Median Absolute Error       4.7794         6  150
../datasets_2/albrecht.arff  RMSE                        9.32706        6  150
../datasets_2/albrecht.arff  R2 Score                    0.203426       6  150
../datasets_2/albrecht.arff  MAE                         6.81084        6  200
../datasets_2/albrecht.arff  Median Absolute Error       4.84617        6  200
../datasets_2/albrecht.arff  RMSE                        8.91528        6  200
../datasets_2/albrecht.arff  R2 Score                    0.272211       6  200
../datasets_2/albrecht.arff  MAE                         6.64422        6  250
../datasets_2/albrecht.arff  Median Absolute Error       4.60009        6  250
../datasets_2/albrecht.arff  RMSE                        8.92084        6  250
../datasets_2/albrecht.arff  R2 Score                    0.271302       6  250
../datasets_2/albrecht.arff  MAE                         6.602          6  300
../datasets_2/albrecht.arff  Median Absolute Error       4.80602        6  300
../datasets_2/albrecht.arff  RMSE                        8.85235        6  300
../datasets_2/albrecht.arff  R2 Score                    0.282448       6  300
../datasets_2/albrecht.arff  MAE                         6.76482        7   50
../datasets_2/albrecht.arff  Median Absolute Error       4.60553        7   50
../datasets_2/albrecht.arff  RMSE                        8.73584        7   50
../datasets_2/albrecht.arff  R2 Score                    0.301212       7   50
../datasets_2/albrecht.arff  MAE                         7.46563        7  100
../datasets_2/albrecht.arff  Median Absolute Error       4.98539        7  100
../datasets_2/albrecht.arff  RMSE                        9.67218        7  100
../datasets_2/albrecht.arff  R2 Score                    0.143388       7  100
../datasets_2/albrecht.arff  MAE                         6.3094         7  150
../datasets_2/albrecht.arff  Median Absolute Error       5.01998        7  150
../datasets_2/albrecht.arff  RMSE                        8.37151        7  150
../datasets_2/albrecht.arff  R2 Score                    0.358282       7  150
../datasets_2/albrecht.arff  MAE                         6.51224        7  200
../datasets_2/albrecht.arff  Median Absolute Error       4.61726        7  200
../datasets_2/albrecht.arff  RMSE                        8.7387         7  200
../datasets_2/albrecht.arff  R2 Score                    0.300755       7  200
